# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 1.7500000000000000e+01 -1.1428571428571430e-01 4.2197590363256886e-05 1.0000000000000000e+00 4.2197590363256886e-05 6.5306122448979603e-03 7.2546775981416380e-03
8.0080080080080079e-02 1.7490847810506683e+01 -1.1429234074634767e-01 4.2175527107310560e-05 1.0833738208636425e+00 4.5691861949185170e-05 6.5313695766396219e-03 7.8750272234994478e-03
1.6016016016016016e-01 1.7481694618231536e+01 -1.1431030882559387e-01 4.2153470555925741e-05 1.1736988357326876e+00 4.9475479313582168e-05 6.5334233519013223e-03 8.9846754902653606e-03
2.4024024024024024e-01 1.7472539614965115e+01 -1.1433721641127373e-01 4.2131416817459170e-05 1.2715545922109306e+00 5.3572396530593037e-05 6.5364995283392216e-03 9.8603630964979837e-03
3.2032032032032032e-01 1.7463382163495748e+01 -1.1437117442577703e-01 4.2109362829542161e-05 1.3775689570002665e+00 5.8008551033038186e-05 6.5403827697657572e-03 1.0551946600804536e-02
4.0040040040040037e-01 1.7454221761087805e+01 -1.1441069726894400e-01 4.2087306181203179e-05 1.4924221444485215e+00 6.2812027745012757e-05 6.5449038247829749e-03 1.1098695059464335e-02
4.8048048048048048e-01 1.7445058010759134e+01 -1.1445461665522244e-01 4.2065244973270515e-05 1.6168510809727057e+00 6.8013236806414105e-05 6.5499296368469609e-03 1.1531524812797650e-02
5.6056056056056058e-01 1.7435890598692261e+01 -1.1450201385013466e-01 4.2043177708768379e-05 1.7516541333609108e+00 7.3645106013191434e-05 6.5553555878682147e-03 1.1874767757786536e-02
6.4064064064064064e-01 1.7426719276469544e+01 -1.1455216637737155e-01 4.2021103206831973e-05 1.8976962312908023e+00 7.9743289190286883e-05 6.5610994108745062e-03 1.2147568490301307e-02
7.2072072072072069e-01 1.7417543847102070e+01 -1.1460450610657330e-01 4.1999020535075954e-05 2.0559144169320511e+00 8.6346391815087919e-05 6.5670964099657989e-03 1.2364986975982033e-02
8.0080080080080074e-01 1.7408364154042193e+01 -1.1465858629157862e-01 4.1976928956449273e-05 2.2273238572403238e+00 9.3496215318381628e-05 6.5732957051916896e-03 1.2538868052438448e-02
8.8088088088088090e-01 1.7399180072542574e+01 -1.1471405564782332e-01 4.1954827887466018e-05 2.4130243575191956e+00 1.0123802160798112e-04 6.5796572815859525e-03 1.2678526597740290e-02
9.6096096096096095e-01 1.7389991502860511e+01 -1.1477063796569030e-01 4.1932716865373023e-05 2.6142074180426071e+00 1.0962081948813849e-04 6.5861496695257763e-03 1.2791287153226263e-02
1.0410410410410411e+00 1.7380798364913584e+01 -1.1482811607759988e-01 4.1910595522339121e-05 2.8321638790148969e+00 1.1869767478637233e-04 6.5927481209653756e-03 1.2882908738471916e-02
1.1211211211211212e+00 1.7371600594076632e+01 -1.1488631924908095e-01 4.1888463565162970e-05 3.0682922029203636e+00 1.2852604614930327e-04 6.5994331753008745e-03 1.2957919173596542e-02
1.2012012012012012e+00 1.7362398137876266e+01 -1.1494511326261135e-01 4.1866320759318238e-05 3.3241074474039571e+00 1.3916814863145264e-04 6.6061895314772755e-03 1.3019878116849418e-02
1.2812812812812813e+00 1.7353190953391387e+01 -1.1500439261916472e-01 4.1844166916408532e-05 3.6012509862553141e+00 1.5069134737674821e-04 6.6130051608514944e-03 1.3071583974582341e-02
1.3613613613613613e+00 1.7343979005208755e+01 -1.1506407440520948e-01 4.1822001884302888e-05 3.9015010408683803e+00 1.6316858388280709e-04 6.6198706093637920e-03 1.3115236634087481e-02
1.4414414414414414e+00 1.7334762263815222e+01 -1.1512409346948491e-01 4.1799825539378893e-05 4.2267840897490556e+00 1.7667883754413294e-04 6.6267784485853484e-03 1.3152565435340872e-02
1.5215215215215214e+00 1.7325540704333235e+01 -1.1518439862983816e-01 4.1777637780422818e-05 4.5791872292770872e+00 1.9130762539347612e-04 6.6337228438587319e-03 1.3184929796904853e-02
1.6016016016016015e+00 1.7316314305526451e+01 -1.1524494969014018e-01 4.1755438523832856e-05 4.9609715650319144e+00 2.0714754320217297e-04 6.6406992145414704e-03 1.3213398333227100e-02
1.6816816816816818e+00 1.7307083049017653e+01 -1.1530571509427914e-01 4.1733227699846860e-05 5.3745867196045101e+00 2.2429885136182801e-04 6.6477039667015361e-03 1.3238811056945929e-02
1.7617617617617618e+00 1.7297846918673688e+01 -1.1536667008117504e-01 4.1711005249575833e-05 5.8226865499809275e+00 2.4287010925288905e-04 6.6547342828093443e-03 1.3261828280161876e-02
1.8418418418418419e+00 1.7288605900121727e+01 -1.1542779523381672e-01 4.1688771122671052e-05 6.3081461753441781e+00 2.6297886211227624e-04 6.6617879562699605e-03 1.3282969057481143e-02
1.9219219219219219e+00 1.7279359980368842e+01 -1.1548907533817208e-01 4.1666525275489301e-05 6.8340804245489943e+00 2.8475238474419732e-04 6.6688632612329941e-03 1.3302641406499546e-02
2.0020020020020022e+00 1.7270109147502804e+01 -1.1555049848579463e-01 4.1644267669650011e-05 7.4038638216330694e+00 3.0832848677772541e-04 6.6759588501578131e-03 1.3321166063942968e-02
2.0820820820820822e+00 1.7260853390456749e+01 -1.1561205536808154e-01 4.1621998270900507e-05 8.0211522375967075e+00 3.3385638456387987e-04 6.6830736732161758e-03 1.3338795159808275e-02
2.1621621621621623e+00 1.7251592698824101e+01 -1.1567373872125331e-01 4.1599717048223572e-05 8.6899063473741016e+00 3.6149764522632464e-04 6.6902069148763879e-03 1.3355726896492726e-02
2.2422422422422423e+00 1.7242327062712981e+01 -1.1573554288986670e-01 4.1577423973135576e-05 9.4144170425018991e+00 3.9142720883601458e-04 6.6973579440060878e-03 1.3372117087432002e-02
2.3223223223223224e+00 1.7233056472631738e+01 -1.1579746348354665e-01 4.1555119019134390e-05 1.0199332962539074e+01 4.2383449517409177e-04 6.7045262746116604e-03 1.3388088227027667e-02
2.4024024024024024e+00 1.7223780919398862e+01 -1.1585949710702854e-01 4.1532802161265277e-05 1.1049690321886450e+01 4.5892460208215755e-04 6.7117115349467783e-03 1.3403736619998718e-02
2.4824824824824825e+00 1.7214500394072143e+01 -1.1592164114785482e-01 4.1510473375779392e-05 1.1970945223382135e+01 4.9691960297811759e-04 6.7189134432060135e-03 1.3419137985351801e-02
2.5625625625625625e+00 1.7205214887892922e+01 -1.1598389360941305e-01 4.1488132639865176e-05 1.2969008666004873e+01 5.3805995174277109e-04 6.7261317883998226e-03 1.3434351861274500e-02
2.6426426426426426e+00 1.7195924392242258e+01 -1.1604625297963181e-01 4.1465779931437071e-05 1.4050284471303391e+01 5.8260600386115407e-04 6.7333664153063520e-03 1.3449425067528390e-02
2.7227227227227226e+00 1.7186628898606422e+01 -1.1610871812771964e-01 4.1443415228969362e-05 1.5221710371897055e+01 6.3083966343763925e-04 6.7406172126311253e-03 1.3464394427006201e-02
2.8028028028028027e+00 1.7177328398549751e+01 -1.1617128822295784e-01 4.1421038511365363e-05 1.6490802525681850e+01 6.8306616649958915e-04 6.7478841036907721e-03 1.3479288904932021e-02
2.8828828828828827e+00 1.7168022883693258e+01 -1.1623396267083726e-01 4.1398649757854609e-05 1.7865703741355748e+01 7.3961601186597935e-04 6.7551670390827946e-03 1.3494131290334112e-02
2.9629629629629628e+00 1.7158712345697847e+01 -1.1629674106283490e-01 4.1376248947911898e-05 1.9355235724690452e+01 8.0084705179031014e-04 6.7624659909180347e-03 1.3508939517725475e-02
3.0430430430430429e+00 1.7149396776251010e+01 -1.1635962313691779e-01 4.1353836061193606e-05 2.0968955680774364e+01 8.6714675559717745e-04 6.7697809482827670e-03 1.3523727705965910e-02
3.1231231231231229e+00 1.7140076167056431e+01 -1.1642260874648246e-01 4.1331411077487555e-05 2.2717217635400903e+01 9.3893466062550449e-04 6.7771119136682666e-03 1.3538506974845533e-02
3.2032032032032030e+00 1.7130750509825745e+01 -1.1648569783592941e-01 4.1308973976673501e-05 2.4611238869055200e+01 1.0166650259754966e-03 6.7844589001617248e-03 1.3553286086929156e-02
3.2832832832832834e+00 1.7121419796272047e+01 -1.1654889042145471e-01 4.1286524738692091e-05 2.6663171889756132e+01 1.1008297058384161e-03 6.7918219292361281e-03 1.3568071952051366e-02
3.3633633633633635e+00 1.7112084018104788e+01 -1.1661218657594512e-01 4.1264063343520340e-05 2.8886182406549167e+01 1.1919612605763277e-03 6.7992010290115175e-03 1.3582870023883446e-02
3.4434434434434436e+00 1.7102743167025704e+01 -1.1667558641710021e-01 4.1241589771152366e-05 3.1294533803947296e+01 1.2906363252218548e-03 6.8065962328871096e-03 1.3597684611610063e-02
3.5235235235235236e+00 1.7093397234725636e+01 -1.1673909009809211e-01 4.1219104001584145e-05 3.3903678659328797e+01 1.3974792566951626e-03 6.8140075784652336e-03 1.3612519124933737e-02
3.6036036036036037e+00 1.7084046212881987e+01 -1.1680269780022122e-01 4.1196606014801482e-05 3.6730357890490176e+01 1.5131660827971787e-03 6.8214351067049017e-03 1.3627376266656031e-02
3.6836836836836837e+00 1.7074690093156715e+01 -1.1686640972714166e-01 4.1174095790770548e-05 3.9792708169509382e+01 1.6384287779455571e-03 6.8288788612560752e-03 1.3642258184039222e-02
3.7637637637637638e+00 1.7065328867194733e+01 -1.1693022610032083e-01 4.1151573309430338e-05 4.3110378292113253e+01 1.7740598926851729e-03 6.8363388879360753e-03 1.3657166587784306e-02
3.8438438438438438e+00 1.7055962526622626e+01 -1.1699414715547013e-01 4.1129038550686717e-05 4.6704655249203768e+01 1.9209175662410344e-03 6.8438152343178998e-03 1.3672102845551554e-02
3.9239239239239239e+00 1.7046591063047618e+01 -1.1705817313973875e-01 4.1106491494407709e-05 5.0598600809449060e+01 2.0799309538025489e-03 6.8513079494065274e-03 1.3687068055463386e-02
4.0040040040040044e+00 1.7037214468056771e+01 -1.1712230430950822e-01 4.1083932120419749e-05 5.4817199489287042e+01 2.2521061028493768e-03 6.8588170833845238e-03 1.3702063103889172e-02
4.0840840840840844e+00 1.7027832733216290e+01 -1.1718654092865895e-01 4.1061360408504648e-05 5.9387518859753413e+01 2.4385323156672018e-03 6.8663426874121291e-03 1.3717088710854683e-02
4.1641641641641645e+00 1.7018445850071014e+01 -1.1725088326720828e-01 4.1038776338397196e-05 6.4338883218702676e+01 2.6403890382745957e-03 6.8738848134702515e-03 1.3732145465745454e-02
4.2442442442442445e+00 1.7009053810143946e+01 -1.1731533160024049e-01 4.1016179889783240e-05 6.9703061742745604e+01 2.8589533193091217e-03 6.8814435142371929e-03 1.3747233855358868e-02
4.3243243243243246e+00 1.6999656604935875e+01 -1.1737988620706651e-01 4.0993571042298088e-05 7.5514472326132690e+01 3.0956078860229735e-03 6.8890188429919412e-03 1.3762354285966076e-02
4.4044044044044046e+00 1.6990254225925085e+01 -1.1744454737056435e-01 4.0970949775525238e-05 8.1810402414464164e+01 3.3518498884385199e-03 6.8966108535383668e-03 1.3777507100649981e-02
4.4844844844844847e+00 1.6980846664567085e+01 -1.1750931537666164e-01 4.0948316068995326e-05 8.8631248250150193e+01 3.6293003669367390e-03 6.9042196001458632e-03 1.3792692592922928e-02
4.5645645645645647e+00 1.6971433912294366e+01 -1.1757419051392963e-01 4.0925669902185236e-05 9.6020774064679244e+01 3.9297145031233719e-03 6.9118451375029099e-03 1.3807911017447088e-02
4.6446446446446448e+00 1.6962015960516222e+01 -1.1763917307326552e-01 4.0903011254517383e-05 1.0402639288073608e+02 4.2549927187675949e-03 6.9194875206808597e-03 1.3823162598456347e-02
4.7247247247247248e+00 1.6952592800618568e+01 -1.1770426334764356e-01 4.0880340105359059e-05 1.1269947072586547e+02 4.6071926929673376e-03 6.9271468051057133e-03 1.3838447536364247e-02
4.8048048048048049e+00 1.6943164423963783e+01 -1.1776946163192058e-01 4.0857656434021952e-05 1.2209565620959108e+02 4.9885423734979317e-03 6.9348230465362069e-03 1.3853766012973848e-02
4.8848848848848849e+00 1.6933730821890556e+01 -1.1783476822268441e-01 4.0834960219761595e-05 1.3227523757863841e+02 5.4014540645832138e-03 6.9425163010468777e-03 1.3869118195575359e-02
4.9649649649649650e+00 1.6924291985713776e+01 -1.1790018341813592e-01 4.0812251441776994e-05 1.4330352954121557e+02 5.8485396801302072e-03 6.9502266250150461e-03 1.3884504240147113e-02
5.0450450450450450e+00 1.6914847906724376e+01 -1.1796570751799729e-01 4.0789530079210254e-05 1.5525129234231255e+02 6.3326272588330223e-03 6.9579540751108409e-03 1.3899924293892467e-02
5.1251251251251251e+00 1.6905398576189228e+01 -1.1803134082344149e-01 4.0766796111146199e-05 1.6819518577890949e+02 6.8567788455251603e-03 6.9656987082897031e-03 1.3915378497229767e-02
5.2052052052052051e+00 1.6895943985351039e+01 -1.1809708363703778e-01 4.0744049516612099e-05 1.8221826106816735e+02 7.4243098517923611e-03 6.9734605817867480e-03 1.3930866985347911e-02
5.2852852852852852e+00 1.6886484125428218e+01 -1.1816293626271032e-01 4.0721290274577329e-05 1.9741049372454918e+02 8.0388100182049935e-03 6.9812397531126714e-03 1.3946389889438183e-02
5.3653653653653652e+00 1.6877018987614804e+01 -1.1822889900570679e-01 4.0698518363953103e-05 2.1386936086494296e+02 8.7041661106487950e-03 6.9890362800508086e-03 1.3961947337661370e-02
5.4454454454454453e+00 1.6867548563080319e+01 -1.1829497217257512e-01 4.0675733763592170e-05 2.3170046664591840e+02 9.4245864941894450e-03 6.9968502206551606e-03 1.3977539455914663e-02
5.5255255255255253e+00 1.6858072842969701e+01 -1.1836115607114644e-01 4.0652936452288601e-05 2.5101821984607756e+02 1.0204627739769200e-02 7.0046816332491437e-03 1.3993166368420648e-02
5.6056056056056054e+00 1.6848591818403172e+01 -1.1842745101052302e-01 4.0630126408777498e-05 2.7194656794103486e+02 1.1049223431877444e-02 7.0125305764249142e-03 1.4008828198196164e-02
5.6856856856856854e+00 1.6839105480476160e+01 -1.1849385730106990e-01 4.0607303611734738e-05 2.9461979238103305e+02 1.1963715359242863e-02 7.0203971090431585e-03 1.4024525067438974e-02
5.7657657657657655e+00 1.6829613820259187e+01 -1.1856037525441018e-01 4.0584468039776738e-05 3.1918337017389285e+02 1.2953887285650582e-02 7.0282812902332792e-03 1.4040257097804758e-02
5.8458458458458455e+00 1.6820116828797762e+01 -1.1862700518342191e-01 4.0561619671460195e-05 3.4579490730142464e+02 1.4026001514288221e-02 7.0361831793938042e-03 1.4056024410633448e-02
5.9259259259259256e+00 1.6810614497112301e+01 -1.1869374740223752e-01 4.0538758485281842e-05 3.7462514995833345e+02 1.5186838476673372e-02 7.0441028361930835e-03 1.4071827127151378e-02
6.0060060060060056e+00 1.6801106816198004e+01 -1.1876060222624467e-01 4.0515884459678227e-05 4.0585908010197477e+02 1.6443739596322900e-02 7.0520403205701554e-03 1.4087665368596809e-02
