# k_modes P_scalar P_tensor
4.8191790174752270e-05 2.6294426129405864e-09 3.1180771090902043e-10
5.1256674887673502e-05 2.6245715247401878e-09 3.1151617833215792e-10
5.4516479072758675e-05 2.6197054726301760e-09 3.1122470859100430e-10
5.7983599150815567e-05 2.6148434757305683e-09 3.1093318606712265e-10
6.1671219925911629e-05 2.6099855515048970e-09 3.1064161191885477e-10
6.5593364724698448e-05 2.6051325756087256e-09 3.1035008987953521e-10
6.9764948724479489e-05 2.6002838910724403e-09 3.1005854277323180e-10
7.4201835672817258e-05 2.5954395054987333e-09 3.0976697141089783e-10
7.8920898214375555e-05 2.5905999654592079e-09 3.0947544005714976e-10
8.3940082054405953e-05 2.5857648590982719e-09 3.0918390032995755e-10
8.9278474202881994e-05 2.5809342777613405e-09 3.0889236304812212e-10
9.4956375558800086e-05 2.5761083639069695e-09 3.0860084527181567e-10
1.0099537811067134e-04 2.5712863538875171e-09 3.0830925565247023e-10
1.0741844704678371e-04 2.5664693237145728e-09 3.0801772232824998e-10
1.1425000808748382e-04 2.5616567960780111e-09 3.0772618880806171e-10
1.2151604037158657e-04 2.5568483591238429e-09 3.0743460543217828e-10
1.2924417525014340e-04 2.5520449570628967e-09 3.0714308634131398e-10
1.3746380136326098e-04 2.5472454529785410e-09 3.0685149350128177e-10
1.4620617639955966e-04 2.5424511845435554e-09 3.0655998856203401e-10
1.5550454596327109e-04 2.5376609081014387e-09 3.0626842206954009e-10
1.6539427000100313e-04 2.5328748013319697e-09 3.0597681491855816e-10
1.7591295726895222e-04 2.5280936319550819e-09 3.0568525961091465e-10
1.8710060835191284e-04 2.5233172299195515e-09 3.0539373628692326e-10
1.9899976777796102e-04 2.5185444619683787e-09 3.0510210753009287e-10
2.1165568580727468e-04 2.5137768740962181e-09 3.0481056004610882e-10
2.2511649051034299e-04 2.5090134936913731e-09 3.0451897676797214e-10
2.3943337078994497e-04 2.5042550588973998e-09 3.0422744662527123e-10
2.5466077104289845e-04 2.4995009583386388e-09 3.0393589593774907e-10
2.7085659820183684e-04 2.4947510669982433e-09 3.0364430865503614e-10
2.8808244194435849e-04 2.4900048348969176e-09 3.0335261862535551e-10
3.0640380890695901e-04 2.4852645490922255e-09 3.0306110399758582e-10
3.2589037179442290e-04 2.4805283803813259e-09 3.0276954186704332e-10
3.4661623433198486e-04 2.4757960283010301e-09 3.0247789557415837e-10
3.6866021306782736e-04 2.4710689124569052e-09 3.0218633834881706e-10
3.9210613709755610e-04 2.4663462580544151e-09 3.0189477590248445e-10
4.1704316685044744e-04 2.4616275725636040e-09 3.0160314763341232e-10
4.4356613314975419e-04 2.4569139338913118e-09 3.0131158525799039e-10
4.7177589783644762e-04 2.4522044388714876e-09 3.0101997885991343e-10
5.0177973732778796e-04 2.4474992674645946e-09 3.0072834982265433e-10
5.3369175056931512e-04 2.4427993805305446e-09 3.0043681634472160e-10
5.6763329293162829e-04 2.4381032460997655e-09 3.0014519001280131e-10
6.0373343770198660e-04 2.4334118565600050e-09 2.9985359346193504e-10
6.4212946692568645e-04 2.4287248319365883e-09 2.9956197907293136e-10
6.8296739346380172e-04 2.4240424568846811e-09 2.9927038242349245e-10
7.2640251625256881e-04 2.4193645196431626e-09 2.9897877741352785e-10
7.7260001087596627e-04 2.4146904470237709e-09 2.9868709302504995e-10
8.2173555769732265e-04 2.4100216488792228e-09 2.9839550316147741e-10
8.7399600993862223e-04 2.4053570496486231e-09 2.9810387555876653e-10
9.2958010424808017e-04 2.4006973772669714e-09 2.9781229957010709e-10
9.8869921645815717e-04 2.3960416870651808e-09 2.9752065936902354e-10
1.0515781654080014e-03 2.3913905286110186e-09 2.9722902155565789e-10
1.1184560678871099e-03 2.3867437775809544e-09 2.9693737144678850e-10
1.1895872479514083e-03 2.3821019453420815e-09 2.9664577260424238e-10
1.2652422040696897e-03 2.3774644919373824e-09 2.9635415772729944e-10
1.3457086377782999e-03 2.3728314288350269e-09 2.9606252856734501e-10
1.4312925477558457e-03 2.3682029171075239e-09 2.9577090447981150e-10
1.5223193934784849e-03 2.3635786567861916e-09 2.9547924847002949e-10
1.6191353328809622e-03 2.3589590193066701e-09 2.9518760735488407e-10
1.7221085387299829e-03 2.3543438483186871e-09 2.9489596083611797e-10
1.8316305987158316e-03 2.3497330389269588e-09 2.9460429595689856e-10
1.9481180045865510e-03 2.3451271150331615e-09 2.9431267856370937e-10
2.0720137359875419e-03 2.3405255828832788e-09 2.9402104675960878e-10
2.2037889450296426e-03 2.3359279478956645e-09 2.9372933843517873e-10
2.3439447479917989e-03 2.3313354882352481e-09 2.9343771390601712e-10
2.4930141309718015e-03 2.3267472682332077e-09 2.9314605503101573e-10
2.6515639767319432e-03 2.3221639259106710e-09 2.9285444362736685e-10
2.8201972204473006e-03 2.3175845794184423e-09 2.9256276762127785e-10
2.9995551425545447e-03 2.3130096722579558e-09 2.9227108289657073e-10
3.1903198074205580e-03 2.3084395808377529e-09 2.9197943671314112e-10
3.3932166571046304e-03 2.3038737927031534e-09 2.9168776499880563e-10
3.6090172700778780e-03 2.2993128076705112e-09 2.9139613071706284e-10
3.8385422953907075e-03 2.2947561679646246e-09 2.9110447543422292e-10
4.0826645734464437e-03 2.2902029095948628e-09 2.9081267745426083e-10
4.3423124552488630e-03 2.2856561292390299e-09 2.9052112942880213e-10
4.6184733327460457e-03 2.2811123385730198e-09 2.9022938902465672e-10
4.9121973936958217e-03 2.2765737838343701e-09 2.8993774054632358e-10
5.2246016153318408e-03 2.2720395169824036e-09 2.8964606449104252e-10
5.5568740120174329e-03 2.2675098844343863e-09 2.8935440424931241e-10
5.9102781530402842e-03 2.2629839583835462e-09 2.8906264180930028e-10
6.2861579677282141e-03 2.2584632783826276e-09 2.8877097340939571e-10
6.6859428561591040e-03 2.2539471700425304e-09 2.8847931340308354e-10
7.1111531248999101e-03 2.2494351294027475e-09 2.8818759667233064e-10
7.5634057684459497e-03 2.2449278008021850e-09 2.8789590603185701e-10
8.0444206183461556e-03 2.2404253287924676e-09 2.8760426040320482e-10
8.5560268833982135e-03 2.2359262868218182e-09 2.8731247598877094e-10
9.1001701057848491e-03 2.2314328454775398e-09 2.8702083174914592e-10
9.6789195596039528e-03 2.2269434405869998e-09 2.8672912709173502e-10
1.0294476119927912e-02 2.2224585834815189e-09 2.8643742762962082e-10
1.0949180632316612e-02 2.2179777450707132e-09 2.8614566443625833e-10
1.1645522814611845e-02 2.2135020410178878e-09 2.8585398257838018e-10
1.2386150724864875e-02 2.2090308626066846e-09 2.8556230236820869e-10
1.3173880831402087e-02 2.2045638069545843e-09 2.8527057267322900e-10
1.4011708723323055e-02 2.2001012788910418e-09 2.8497884508593596e-10
1.4902820502161195e-02 2.1956434195778012e-09 2.8468713848957446e-10
1.5850604898027299e-02 2.1911900524770632e-09 2.8439542944583927e-10
1.6858666156311281e-02 2.1867409937262298e-09 2.8410369463365008e-10
