# k_modes P_scalar P_tensor
4.8191790174752270e-05 2.5299375660081593e-09 3.0012806032497193e-10
5.1256674887673502e-05 2.5251607992498004e-09 2.9983688256541767e-10
5.4516479072758675e-05 2.5203882365541494e-09 2.9954566960672929e-10
5.7983599150815567e-05 2.5156201399732451e-09 2.9925445184457223e-10
6.1671219925911764e-05 2.5108566034937788e-09 2.9896324095583628e-10
6.5593364724698570e-05 2.5060978933962640e-09 2.9867206887065236e-10
6.9764948724479489e-05 2.5013432940696475e-09 2.9838085022168422e-10
7.4201835672817258e-05 2.4965931254688560e-09 2.9808962275954237e-10
7.8920898214375555e-05 2.4918474776338364e-09 2.9779839721223311e-10
8.3940082054405953e-05 2.4871069285372617e-09 2.9750724322296874e-10
8.9278474202881994e-05 2.4823702329879931e-09 2.9721601196038558e-10
9.4956375558800276e-05 2.4776381272022931e-09 2.9692479064013505e-10
1.0099537811067155e-04 2.4729102453910393e-09 2.9663353582288395e-10
1.0741844704678393e-04 2.4681880286164425e-09 2.9634241998578843e-10
1.1425000808748393e-04 2.4634689595876417e-09 2.9605114257146287e-10
1.2151604037158670e-04 2.4587549283124645e-09 2.9575992907033850e-10
1.2924417525014365e-04 2.4540453091335806e-09 2.9546870442105224e-10
1.3746380136326125e-04 2.4493405158813378e-09 2.9517751831111807e-10
1.4620617639955999e-04 2.4446398015710069e-09 2.9488628175599487e-10
1.5550454596327141e-04 2.4399433868956703e-09 2.9459502035151024e-10
1.6539427000100346e-04 2.4352522511635389e-09 2.9430385270952222e-10
1.7591295726895257e-04 2.4305653688770068e-09 2.9401265454531137e-10
1.8710060835191322e-04 2.4258827364630267e-09 2.9372142605586372e-10
1.9899976777796162e-04 2.4212046782775945e-09 2.9343020646668818e-10
2.1165568580727533e-04 2.4165312843424791e-09 2.9313900615544377e-10
2.2511649051034345e-04 2.4118620025777795e-09 2.9284775838378274e-10
2.3943337078994570e-04 2.4071972127200795e-09 2.9255650910740453e-10
2.5466077104289921e-04 2.4025373303738262e-09 2.9226530918528847e-10
2.7085659820183766e-04 2.3978815631799055e-09 2.9197406231674850e-10
2.8808244194435904e-04 2.3932310631120576e-09 2.9168290783432805e-10
3.0640380890695993e-04 2.3885838595739841e-09 2.9139160652496115e-10
3.2589037179442393e-04 2.3839417080579837e-09 2.9110037222050639e-10
3.4661623433198589e-04 2.3793042118054724e-09 2.9080915647230938e-10
3.6866021306782888e-04 2.3746710310182327e-09 2.9051791769107864e-10
3.9210613709755767e-04 2.3700426855612413e-09 2.9022671927736308e-10
4.1704316685044917e-04 2.3654185999644427e-09 2.8993549113921336e-10
4.4356613314975560e-04 2.3607993573661676e-09 2.8964430472230000e-10
4.7177589783644957e-04 2.3561839985316622e-09 2.8935304264009477e-10
5.0177973732778991e-04 2.3515733115716482e-09 2.8906180096011690e-10
5.3369175056931729e-04 2.3469673050429403e-09 2.8877058031756361e-10
5.6763329293163067e-04 2.3423653611800630e-09 2.8847930645958359e-10
6.0373343770198909e-04 2.3377687478156161e-09 2.8818813406408224e-10
6.4212946692568916e-04 2.3331759946173637e-09 2.8789688263202731e-10
6.8296739346380454e-04 2.3285873898960609e-09 2.8760558662340542e-10
7.2640251625257185e-04 2.3240041661313309e-09 2.8731439901199120e-10
7.7260001087597018e-04 2.3194249514723564e-09 2.8702315084383365e-10
8.2173555769732775e-04 2.3148504604908987e-09 2.8673192993804600e-10
8.7399600993862668e-04 2.3102799352656596e-09 2.8644064173431216e-10
9.2958010424808494e-04 2.3057143135982711e-09 2.8614940332335280e-10
9.8869921645816216e-04 2.3011530243387487e-09 2.8585814335566435e-10
1.0515781654080057e-03 2.2965971015738410e-09 2.8556699118913501e-10
1.1184560678871144e-03 2.2920453399078832e-09 2.8527579619795538e-10
1.1895872479514144e-03 2.2874974363616295e-09 2.8498452061298742e-10
1.2652422040696975e-03 2.2829542575056123e-09 2.8469327264589235e-10
1.3457086377783082e-03 2.2784155261783282e-09 2.8440201767926866e-10
1.4312925477558544e-03 2.2738818319490907e-09 2.8411082957296241e-10
1.5223193934784942e-03 2.2693518590109367e-09 2.8381954303429078e-10
1.6191353328809722e-03 2.2648266298773601e-09 2.8352828657210278e-10
1.7221085387299935e-03 2.2603062920049028e-09 2.8323707872774055e-10
1.8316305987158426e-03 2.2557906196566630e-09 2.8294589162073776e-10
1.9481180045865648e-03 2.2512787936038236e-09 2.8265462162125353e-10
2.0720137359875549e-03 2.2467720149301931e-09 2.8236341940154220e-10
2.2037889450296560e-03 2.2422691410849283e-09 2.8207214226488536e-10
2.3439447479918132e-03 2.2377714780957047e-09 2.8178095425506042e-10
2.4930141309718167e-03 2.2332776388735672e-09 2.8148968051443034e-10
2.6515639767319622e-03 2.2287886589443252e-09 2.8119845127004282e-10
2.8201972204473205e-03 2.2243040740746321e-09 2.8090720803740532e-10
2.9995551425545694e-03 2.2198238502437291e-09 2.8061594708032190e-10
3.1903198074205810e-03 2.2153484069654035e-09 2.8032472115502486e-10
3.3932166571046547e-03 2.2108774174022866e-09 2.8003348869199977e-10
3.6090172700779040e-03 2.2064107771795712e-09 2.7974223644842121e-10
3.8385422953907313e-03 2.2019489889101313e-09 2.7945102811630449e-10
4.0826645734464723e-03 2.1974915573041244e-09 2.7915980146083626e-10
4.3423124552488942e-03 2.1930386484740938e-09 2.7886857719966241e-10
4.6184733327460838e-03 2.1885902396129266e-09 2.7857735199589342e-10
4.9121973936958616e-03 2.1841460758997319e-09 2.7828609381436424e-10
5.2246016153318833e-03 2.1797068138926381e-09 2.7799488650964188e-10
5.5568740120174789e-03 2.1752718585355380e-09 2.7770365422338300e-10
5.9102781530403327e-03 2.1708412153365435e-09 2.7741239708522704e-10
6.2861579677282653e-03 2.1664154171191375e-09 2.7712118333059130e-10
6.6859428561591586e-03 2.1619934759687031e-09 2.7682988691909926e-10
7.1111531248999682e-03 2.1575767591520534e-09 2.7653868286606949e-10
7.5634057684460200e-03 2.1531645176920448e-09 2.7624747498159464e-10
8.0444206183462215e-03 2.1487566884118747e-09 2.7595625482452026e-10
8.5560268833982829e-03 2.1443531577266359e-09 2.7566500821410728e-10
9.1001701057849323e-03 2.1399542934278337e-09 2.7537378297011791e-10
9.6789195596040413e-03 2.1355600615406101e-09 2.7508257420473071e-10
1.0294476119928007e-02 2.1311701119096098e-09 2.7479133646477085e-10
1.0949180632316712e-02 2.1267846891351785e-09 2.7450010145797036e-10
1.1645522814611953e-02 2.1224039180617646e-09 2.7420888554489409e-10
1.2386150724864989e-02 2.1180278294073665e-09 2.7391769316258163e-10
1.3173880831402208e-02 2.1136557578695803e-09 2.7362643758362948e-10
1.4011708723323198e-02 2.1092886475978839e-09 2.7333524051868495e-10
1.4902820502161348e-02 2.1049253302008930e-09 2.7304395154771287e-10
1.5850604898027448e-02 2.1005675655182544e-09 2.7275279857532892e-10
1.6858666156311434e-02 2.0962139262633440e-09 2.7246159653318726e-10
1.7930837743948207e-02 2.0918642649693510e-09 2.7217032590780053e-10
1.9071196927369648e-02 2.0875198358359148e-09 2.7187914964772935e-10
2.0284080277580368e-02 2.0831792703842048e-09 2.7158789009227587e-10
2.1574100161319699e-02 2.0788435048159850e-09 2.7129666953598946e-10
2.2946162281022853e-02 2.0745130564373303e-09 2.7100555447723465e-10
2.4405484330282629e-02 2.0701860460707786e-09 2.7071430011586636e-10
2.5957615835754483e-02 2.0658639084055109e-09 2.7042309375727225e-10
2.7608459260960283e-02 2.0615462271272680e-09 2.7013188171930522e-10
2.9364292452244319e-02 2.0572331240454544e-09 2.6984067916628668e-10
3.1231792512239641e-02 2.0529243252792588e-09 2.6954944993631851e-10
3.3218061191630628e-02 2.0486204702242732e-09 2.6925827820529848e-10
3.5330651895771947e-02 2.0443205650093680e-09 2.6896703411941855e-10
3.7577598408865445e-02 2.0400256412411080e-09 2.6867585277011544e-10
3.9967445444926891e-02 2.0357349858429663e-09 2.6838464024122148e-10
4.2509281141722512e-02 2.0314490356987873e-09 2.6809345355519613e-10
4.5212771621243916e-02 2.0271671954617278e-09 2.6780221525753130e-10
4.8088197748147737e-02 2.0228906571915339e-09 2.6751108213140625e-10
5.1146494225945908e-02 2.0186183289625828e-09 2.6721991055529792e-10
5.4399291179621674e-02 2.0143502712522041e-09 2.6692870762700129e-10
5.7858958382802722e-02 2.0100863311579280e-09 2.6663745319905576e-10
6.1538652297678388e-02 2.0058275492146763e-09 2.6634628565923618e-10
6.5452366106544979e-02 2.0015732666758776e-09 2.6605511770253690e-10
6.9614982925240584e-02 1.9973234484767061e-09 2.6576394424761669e-10
7.4042332400828720e-02 1.9930778364801904e-09 2.6547273074972097e-10
7.8751250908762158e-02 1.9888370614784555e-09 2.6518156172129376e-10
8.3759645578444716e-02 1.9846007517688730e-09 2.6489038741983883e-10
8.9086562390669061e-02 1.9803693601536665e-09 2.6459926855454825e-10
9.4752258605891121e-02 1.9761417335346931e-09 2.6430805082849825e-10
1.0077827979877260e-01 1.9719190108736006e-09 2.6401688600326437e-10
1.0718754179194040e-01 1.9677007558122830e-09 2.6372571668954516e-10
1.1400441780053977e-01 1.9634872102107991e-09 2.6343457512254608e-10
