# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354697e-02 6.0643657564594703e-06 1.0000000000000000e+00 6.0643657564594703e-06 1.2325669854156495e-04 1.5611554656510952e-03
8.0080080080080079e-02 5.6987426338726834e+00 -1.5702552902737463e-02 6.0643058943161433e-06 1.0833738208636425e+00 6.5699102476111893e-06 1.2328508383163437e-04 2.7911910741463255e-03
1.6016016016016016e-01 5.6974849941987484e+00 -1.5707454030711759e-02 6.0642460067142077e-06 1.1736988357326876e+00 7.1175984776770662e-06 1.2336205606346153e-04 4.9890617806626842e-03
2.4024024024024024e-01 5.6962268605792481e+00 -1.5714792634501030e-02 6.0641860726521101e-06 1.2715545922109306e+00 7.7109436487023581e-06 1.2347735377268390e-04 6.7191126909847817e-03
3.2032032032032032e-01 5.6949680592805132e+00 -1.5724053462601160e-02 6.0641260755529286e-06 1.3775689570002665e+00 8.3537518330175679e-06 1.2362292864736977e-04 8.0811869998088110e-03
4.0040040040040037e-01 5.6937084532293500e+00 -1.5734831733696768e-02 6.0640660023109816e-06 1.4924221444485215e+00 9.0501463872463288e-06 1.2379246484387542e-04 9.1539593224421786e-03
4.8048048048048048e-01 5.6924479341527912e+00 -1.5746809457093367e-02 6.0640058425451501e-06 1.6168510809727057e+00 9.8045944015439286e-06 1.2398100403900256e-04 9.9993705179076183e-03
5.6056056056056058e-01 5.6911864164027213e+00 -1.5759736828881068e-02 6.0639455880135774e-06 1.7516541333609108e+00 1.0621935353719642e-05 1.2418465245779515e-04 1.0666153976497193e-02
6.4064064064064064e-01 5.6899238321042045e+00 -1.5773417615821728e-02 6.0638852321545491e-06 1.8976962312908023e+00 1.1507412152039640e-05 1.2440035164155760e-04 1.1192631502906969e-02
7.2072072072072069e-01 5.6886601273438000e+00 -1.5787697672261038e-02 6.0638247697261527e-06 2.0559144169320511e+00 1.2466704765829672e-05 1.2462569889535831e-04 1.1608925158828382e-02
8.0080080080080074e-01 5.6873952591749193e+00 -1.5802455918453247e-02 6.0637641965233380e-06 2.2273238572403238e+00 1.3505966659596134e-05 1.2485880652732904e-04 1.1938704028471726e-02
8.8088088088088090e-01 5.6861291932651028e+00 -1.5817597252721981e-02 6.0637035091556889e-06 2.4130243575191956e+00 1.4631864264367298e-05 1.2509819142465898e-04 1.2200561855033503e-02
9.6096096096096095e-01 5.6848619020476194e+00 -1.5833046982938047e-02 6.0636427048728130e-06 2.6142074180426071e+00 1.5851619739438446e-05 1.2534268838196181e-04 1.2409102394155018e-02
1.0410410410410411e+00 5.6835933632692655e+00 -1.5848746451632409e-02 6.0635817814271330e-06 2.8321638790148969e+00 1.7173057298810729e-05 1.2559138204406545e-04 1.2575793797420583e-02
1.1211211211211212e+00 5.6823235588494683e+00 -1.5864649598904604e-02 6.0635207369660465e-06 3.0682922029203636e+00 1.8604653399478857e-05 1.2584355344801202e-04 1.2709640743066778e-02
1.2012012012012012e+00 5.6810524739839288e+00 -1.5880720262090774e-02 6.0634595699471478e-06 3.3241074474039571e+00 2.0155591113494110e-05 1.2609863802139022e-04 1.2817712919549576e-02
1.2812812812812813e+00 5.6797800964404113e+00 -1.5896930054271556e-02 6.0633982790715849e-06 3.6012509862553141e+00 2.1835819032565321e-05 1.2635619257520114e-04 1.2905560403187355e-02
1.3613613613613613e+00 5.6785064160054750e+00 -1.5913256697543204e-02 6.0633368632316589e-06 3.9015010408683803e+00 2.3656115083033938e-05 1.2661586936095183e-04 1.2977540030701647e-02
1.4414414414414414e+00 5.6772314240498023e+00 -1.5929682713565447e-02 6.0632753214696236e-06 4.2267840897490556e+00 2.5628155660555896e-05 1.2687739567743291e-04 1.3037071777713035e-02
1.5215215215215214e+00 5.6759551131866948e+00 -1.5946194394808540e-02 6.0632136529452869e-06 4.5791872292770872e+00 2.7764590527945534e-05 1.2714055783851166e-04 1.3086840115256739e-02
1.6016016016016015e+00 5.6746774770037671e+00 -1.5962780996323395e-02 6.0631518569105347e-06 4.9609715650319144e+00 3.0079123956603612e-05 1.2740518856829165e-04 1.3128952127281377e-02
1.6816816816816818e+00 5.6733985098521513e+00 -1.5979434100766743e-02 6.0630899326892925e-06 5.3745867196045101e+00 3.2586602631999677e-05 1.2767115709037352e-04 1.3165061661573883e-02
