# k_modes P_scalar P_tensor
4.5653584059835175e-05 2.8347255605929184e-09 7.3957599804900777e-12
4.6297741126279583e-05 2.8335309317480573e-09 7.3957175029699707e-12
4.6950987037220989e-05 2.8323366865170225e-09 7.3956753429739969e-12
4.7613450033268077e-05 2.8311436300287156e-09 7.3956356181599337e-12
4.8285260164462269e-05 2.8299506432592646e-09 7.3955954276035795e-12
4.8966549315808638e-05 2.8287565314459565e-09 7.3955516163614540e-12
4.9657451233166028e-05 2.8275626423403014e-09 7.3955076989697770e-12
5.0358101549503494e-05 2.8263690956344325e-09 7.3954640125447824e-12
5.1068637811526711e-05 2.8251776985997863e-09 7.3954252782793008e-12
5.1789199506680153e-05 2.8239856957474655e-09 7.3953842965335037e-12
5.2519928090530314e-05 2.8227937514295686e-09 7.3953427989996622e-12
5.3260967014535208e-05 2.8216016254680361e-09 7.3953001347180962e-12
5.4012461754205697e-05 2.8204099656016402e-09 7.3952580366807647e-12
5.4774559837664597e-05 2.8192197281285828e-09 7.3952189774763270e-12
5.5547410874607722e-05 2.8180289794291189e-09 7.3951779181178969e-12
5.6331166585674650e-05 2.8168368835881450e-09 7.3951326375833693e-12
5.7125980832233290e-05 2.8156466887932413e-09 7.3950916833585255e-12
5.7932009646584916e-05 2.8144560741420849e-09 7.3950489569684101e-12
5.8749411262595257e-05 2.8132672236262926e-09 7.3950101891304688e-12
5.9578346146757915e-05 2.8120758399805126e-09 7.3949640778868783e-12
6.0418977029695832e-05 2.8108872283365690e-09 7.3949245865726768e-12
6.1271468938107939e-05 2.8096975894994525e-09 7.3948817089875083e-12
6.2135989227165257e-05 2.8085086789577311e-09 7.3948400951477687e-12
6.3012707613365417e-05 2.8073206836182649e-09 7.3948001950890821e-12
6.3901796207850055e-05 2.8061311830145940e-09 7.3947556552168474e-12
6.4803429550192422e-05 2.8049424861605384e-09 7.3947125689384499e-12
6.5717784642661792e-05 2.8037553440525809e-09 7.3946728955630865e-12
6.6645040984971313e-05 2.8025676671508636e-09 7.3946311245430718e-12
6.7585380609515907e-05 2.8013798210797930e-09 7.3945882445286483e-12
6.8538988117108196e-05 2.8001923606929985e-09 7.3945457045362457e-12
6.9506050713217203e-05 2.7990048931899790e-09 7.3945024629354450e-12
7.0486758244719686e-05 2.7978186991841391e-09 7.3944618982823533e-12
7.1481303237169494e-05 2.7966319414556754e-09 7.3944191908988822e-12
7.2489880932592705e-05 2.7954457256382871e-09 7.3943772110740774e-12
7.3512689327816260e-05 2.7942593558238350e-09 7.3943341598940907e-12
7.4549929213337074e-05 2.7930741492405186e-09 7.3942935012666365e-12
7.5601804212740466e-05 2.7918872870938003e-09 7.3942477822617898e-12
7.6668520822673134e-05 2.7907033963416781e-09 7.3942092550847404e-12
7.7750288453381765e-05 2.7895184611270496e-09 7.3941672676976841e-12
7.8847319469822801e-05 2.7883339507404549e-09 7.3941257416673768e-12
7.9959829233352419e-05 2.7871483013592808e-09 7.3940805023400808e-12
8.1088036144004734e-05 2.7859643342981010e-09 7.3940390535380277e-12
8.2232161683366573e-05 2.7847808152354309e-09 7.3939980995257726e-12
8.3392430458057020e-05 2.7835964232578177e-09 7.3939541481786690e-12
8.4569070243821200e-05 2.7824135935041395e-09 7.3939136849163685e-12
8.5762312030244656e-05 2.7812304686054609e-09 7.3938717402593833e-12
8.6972390066100236e-05 2.7800463705139471e-09 7.3938265284495752e-12
8.8199541905333961e-05 2.7788639412941272e-09 7.3937850653285232e-12
8.9444008453699972e-05 2.7776817336184932e-09 7.3937435133202970e-12
9.0706034016053438e-05 2.7764991442902715e-09 7.3937002655783297e-12
9.1985866344310711e-05 2.7753162604917640e-09 7.3936555418858187e-12
9.3283756686086085e-05 2.7741351962735938e-09 7.3936149861154157e-12
9.4599959834015674e-05 2.7729520405466068e-09 7.3935681803693074e-12
9.5934734175775398e-05 2.7717723753653046e-09 7.3935299694129227e-12
9.7288341744806533e-05 2.7705912040354875e-09 7.3934870800281779e-12
9.8661048271756082e-05 2.7694107402216904e-09 7.3934453922079440e-12
1.0005312323664318e-04 2.7682299756056253e-09 7.3934022089036906e-12
1.0146483992176131e-04 2.7670496378749142e-09 7.3933594787647054e-12
1.0289647546532764e-04 2.7658701693056681e-09 7.3933183867502897e-12
1.0434831091588819e-04 2.7646890781445453e-09 7.3932722684353987e-12
1.0582063128749159e-04 2.7635095975981711e-09 7.3932297719423534e-12
1.0731372561564130e-04 2.7623314013713484e-09 7.3931900356160913e-12
1.0882788701403649e-04 2.7611521192209068e-09 7.3931466991111786e-12
1.1036341273211433e-04 2.7599731193780394e-09 7.3931034271920791e-12
1.1192060421340389e-04 2.7587945533122379e-09 7.3930606193019873e-12
1.1349976715470325e-04 2.7576162622871309e-09 7.3930178783394488e-12
1.1510121156609218e-04 2.7564378716882709e-09 7.3929741740821512e-12
