# k_modes P_scalar P_tensor
4.5653537606807526e-05 2.8486311216789499e-09 7.4263230742921644e-12
4.8505617730106634e-05 2.8434561014206008e-09 7.4261726175948356e-12
5.1535873772647315e-05 2.8382851150059999e-09 7.4260202225080292e-12
5.4755436788546047e-05 2.8331188408892920e-09 7.4258676328095386e-12
5.8176133214136777e-05 2.8279581905627788e-09 7.4257172390047179e-12
6.1810528310075625e-05 2.8228010911095241e-09 7.4255636294071789e-12
6.5671972317374254e-05 2.8176492865931086e-09 7.4254113715746099e-12
6.9774649496903566e-05 2.8125020101168174e-09 7.4252584321175250e-12
7.4133630232508464e-05 2.8073599534731201e-09 7.4251066453243662e-12
7.8764926389120342e-05 2.8022218272506464e-09 7.4249526350045723e-12
8.3685550129218814e-05 2.7970885839027707e-09 7.4247988566978314e-12
8.8913576403688865e-05 2.7919603043586521e-09 7.4246455703345892e-12
9.4468209346626315e-05 2.7868362765552943e-09 7.4244908782864182e-12
1.0036985281797466e-04 2.7817172308502325e-09 7.4243367076922348e-12
1.0664018535312354e-04 2.7766022886780824e-09 7.4241807357488962e-12
1.1330223979477604e-04 2.7714926964720006e-09 7.4240262804664801e-12
1.2038048789960135e-04 2.7663872601060261e-09 7.4238701309165604e-12
1.2790093023045616e-04 2.7612875679502649e-09 7.4237165655455561e-12
1.3589119166437747e-04 2.7561914745871391e-09 7.4235598087243953e-12
1.4438062286717689e-04 2.7510999042806292e-09 7.4234023572255646e-12
1.5340040810738189e-04 2.7460139845870958e-09 7.4232472451099868e-12
1.6298367980556032e-04 2.7409319026543508e-09 7.4230895686094346e-12
1.7316564023980014e-04 2.7358547763522353e-09 7.4229323747880276e-12
1.8398369085440711e-04 2.7307827027972965e-09 7.4227758925032476e-12
1.9547756964681043e-04 2.7257144925506867e-09 7.4226169221666556e-12
2.0768949713733992e-04 2.7206514737705285e-09 7.4224590434001372e-12
2.2066433145806689e-04 2.7155931229442381e-09 7.4223008557634541e-12
2.3444973313039655e-04 2.7105394779143470e-09 7.4221424491683890e-12
2.4909634013669103e-04 2.7054907011460957e-09 7.4219842669754735e-12
2.6465795392901359e-04 2.7004464779813060e-09 7.4218254617770865e-12
2.8119173705826276e-04 2.6954064826011678e-09 7.4216651182277053e-12
2.9875842314964324e-04 2.6903709834587477e-09 7.4215039803565972e-12
3.1742253999578749e-04 2.6853408820758668e-09 7.4213445348810264e-12
3.3725264658700433e-04 2.6803157795391259e-09 7.4211856634667004e-12
3.5832158494934942e-04 2.6752952510564248e-09 7.4210262192224574e-12
3.8070674771559042e-04 2.6702785040312982e-09 7.4208640014358206e-12
4.0449036241193751e-04 2.6652672398202945e-09 7.4207037112875687e-12
4.2975979350481165e-04 2.6602601264486978e-09 7.4205416469342485e-12
4.5660786331715923e-04 2.6552578507150732e-09 7.4203797405078955e-12
4.8513319299314046e-04 2.6502607371417472e-09 7.4202188713229429e-12
5.1544056476364810e-04 2.6452669625108675e-09 7.4200539688193549e-12
5.4764130684338812e-04 2.6402790342122807e-09 7.4198920321036108e-12
5.8185370237333876e-04 2.6352957167175758e-09 7.4197295747766597e-12
6.1820342391079091e-04 2.6303167917122122e-09 7.4195660378078992e-12
6.5682399506294866e-04 2.6253425598934771e-09 7.4194022224594587e-12
6.9785728095984813e-04 2.6203729916363758e-09 7.4192380703365454e-12
7.4145400936821563e-04 2.6154080490885884e-09 7.4190734466332006e-12
7.8777432436050285e-04 2.6104476413360167e-09 7.4189081236840502e-12
8.3698837457287867e-04 2.6054925066393543e-09 7.4187441688026045e-12
8.8927693821303400e-04 2.6005418858092186e-09 7.4185794225029519e-12
9.4483208711364274e-04 2.5955962326404577e-09 7.4184151860256768e-12
1.0038578922707487e-03 2.5906542164136482e-09 7.4182477046501332e-12
1.0665711734587442e-03 2.5857178478333073e-09 7.4180826609050937e-12
1.1332022956754789e-03 2.5807857903412432e-09 7.4179162427280979e-12
1.2039960153431338e-03 2.5758578883101611e-09 7.4177480220426904e-12
1.2792123793731458e-03 2.5709352629944850e-09 7.4175812017345346e-12
1.3591276803977996e-03 2.5660176246309350e-09 7.4174149507357134e-12
1.4440354716772697e-03 2.5611042927292163e-09 7.4172472901735638e-12
1.5342476454102325e-03 2.5561951195305672e-09 7.4170778273155509e-12
1.6300955784089796e-03 2.5512914690912345e-09 7.4169104925068330e-12
1.7319313493474587e-03 2.5463926153033061e-09 7.4167431649218511e-12
1.8401290320535634e-03 2.5414975020451213e-09 7.4165728008286469e-12
1.9550860695963239e-03 2.5366078648631094e-09 7.4164044253106773e-12
2.0772247342154570e-03 2.5317220871214495e-09 7.4162333539208899e-12
2.2069936784559967e-03 2.5268415781873966e-09 7.4160636630921118e-12
2.3448695832058788e-03 2.5219654087929555e-09 7.4158926668281391e-12
2.4913589086901088e-03 2.5170942102309827e-09 7.4157221935128517e-12
2.6469997548535791e-03 2.5122284272916646e-09 7.4155535551595737e-12
2.8123638379661644e-03 2.5073660714167952e-09 7.4153809221791077e-12
2.9880585907108583e-03 2.5025085872785911e-09 7.4152085045859315e-12
3.1747293934691746e-03 2.4976561626783026e-09 7.4150368976028868e-12
3.3730619450000085e-03 2.4928083619306320e-09 7.4148647958209677e-12
3.5837847812201932e-03 2.4879650540751935e-09 7.4146917911943239e-12
3.8076719513389845e-03 2.4831267669507262e-09 7.4145194946276072e-12
4.0455458611767733e-03 2.4782929232902076e-09 7.4143461436992150e-12
4.2982802941123003e-03 2.4734636819952557e-09 7.4141722414779699e-12
