# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 3.5000000000000000e+00 -1.1428571428571342e-02 5.0800815403567968e-06 1.0000000000000000e+00 5.0800815403567968e-06 6.5306122448978597e-05 6.5306122448978597e-05
4.0020010005002500e-02 3.4995426250204118e+00 -1.1428826530318464e-02 5.0800682631190069e-06 1.0408316010295584e+00 5.2874955836416041e-06 6.5309037930055589e-05 -1.0284025000892240e-03
8.0040020010005000e-02 3.4990852302087543e+00 -1.1429553153878225e-02 5.0800549847644744e-06 1.0833304217017536e+00 5.5033781089129934e-06 6.5317342648663835e-05 -1.9988526840037184e-03
1.2006003001500751e-01 3.4986277977776199e+00 -1.1430698244849461e-02 5.0800417042603442e-06 1.1275645372638630e+00 5.7280748735454410e-06 6.5330431182402283e-05 -2.8599314884069386e-03
1.6008004002001000e-01 3.4981703119403682e+00 -1.1432214770725448e-02 5.0800284206897074e-06 1.1736048025844994e+00 5.9619457517871902e-06 6.5347767281996561e-05 -3.6239753610818820e-03
2.0010005002501249e-01 3.4977127586824053e+00 -1.1434061032574694e-02 5.0800151332382630e-06 1.2215249656500033e+00 6.2053653111303660e-06 6.5368875848321537e-05 -4.3019415091751795e-03
2.4012006003001501e-01 3.4972551255617952e+00 -1.1436200065003630e-02 5.0800018411827176e-06 1.2714017856950692e+00 6.4587234122139464e-06 6.5393335963394517e-05 -4.9035584485705016e-03
2.8014007003501751e-01 3.4967974015327528e+00 -1.1438599104966210e-02 5.0799885438805256e-06 1.3233151561568384e+00 6.7224258332202076e-06 6.5420774742066894e-05 -5.4374602934449305e-03
3.2016008004002000e-01 3.4963395767816867e+00 -1.1441229098352941e-02 5.0799752407603777e-06 1.3773482326494020e+00 6.9968949197640269e-06 6.5450861640499027e-05 -5.9113125407923451e-03
3.6018009004502249e-01 3.4958816425910895e+00 -1.1444064290372159e-02 5.0799619313143015e-06 1.4335875661637096e+00 7.2825702613171672e-06 6.5483303741085611e-05 -6.3319168780788422e-03
4.0020010005002499e-01 3.4954235912154226e+00 -1.1447081852042372e-02 5.0799486150904844e-06 1.4921232417062418e+00 7.5799093952499471e-06 6.5517841463678917e-05 -6.7053073226926779e-03
4.4022011005502748e-01 3.4949654157689838e+00 -1.1450261542729989e-02 5.0799352916867790e-06 1.5530490225985223e+00 7.8893885396178922e-06 6.5554244698460675e-05 -7.0368375030310801e-03
4.8024012006003003e-01 3.4945071101294110e+00 -1.1453585419750714e-02 5.0799219607451225e-06 1.6164625006686109e+00 8.2115033558674529e-06 6.5592309483763071e-05 -7.3312560211940747e-03
5.2026013006503247e-01 3.4940486688519621e+00 -1.1457037580405529e-02 5.0799086219465865e-06 1.6824652525751536e+00 8.5467697426820637e-06 6.5631855059412295e-05 -7.5927736323461847e-03
5.6028014007003502e-01 3.4935900870900261e+00 -1.1460603922755832e-02 5.0798952750067807e-06 1.7511630025143974e+00 8.8957246622395749e-06 6.5672721137143182e-05 -7.8251257538544949e-03
6.0030015007503745e-01 3.4931313605290084e+00 -1.1464271946655800e-02 5.0798819196720355e-06 1.8226657915707887e+00 9.2589270002051676e-06 6.5714765633439584e-05 -8.0316245655791107e-03
6.4032016008004000e-01 3.4926724853260951e+00 -1.1468030572482118e-02 5.0798685557159290e-06 1.8970881539824314e+00 9.6369584608365313e-06 6.5757862605692266e-05 -8.2152065912510595e-03
6.8034017008504255e-01 3.4922134580556699e+00 -1.1471869976860090e-02 5.0798551829361286e-06 1.9745493006037433e+00 1.0030424498634834e-05 6.5801900382991962e-05 -8.3784759032432977e-03
7.2036018009004499e-01 3.4917542756623718e+00 -1.1475781451402985e-02 5.0798418011516887e-06 2.0551733098591889e+00 1.0439955288033979e-05 6.5846779960182411e-05 -8.5237413357333071e-03
7.6038019009504754e-01 3.4912949354199991e+00 -1.1479757279023865e-02 5.0798284102006752e-06 2.1390893264939561e+00 1.0866206732681027e-05 6.5892413592650700e-05 -8.6530491185243478e-03
8.0040020010004997e-01 3.4908354348932602e+00 -1.1483790618834975e-02 5.0798150099379600e-06 2.2264317684399439e+00 1.1309861515923945e-05 6.5938723488621095e-05 -8.7682132773203893e-03
