# k_modes P_scalar P_tensor
4.5632101424529182e-05 3.0721305090675936e-09 5.1915700424129794e-12
4.6276005760772165e-05 3.0709785251510730e-09 5.1915498484966751e-12
4.6928996086511242e-05 3.0698282592151558e-09 5.1915323069949263e-12
4.7591200612104076e-05 3.0686770161210918e-09 5.1915128417885639e-12
4.8262749357055601e-05 3.0675266328876244e-09 5.1914945796200206e-12
4.8943774175546893e-05 3.0663744820558881e-09 5.1914730762038693e-12
4.9634408782323664e-05 3.0652246991097094e-09 5.1914553247435541e-12
5.0334788778950667e-05 3.0640743112335613e-09 5.1914362809904846e-12
5.1045051680435603e-05 3.0629231575614310e-09 5.1914156917662693e-12
5.1765336942229546e-05 3.0617724137904262e-09 5.1913955340989032e-12
5.2495785987608445e-05 3.0606235413258748e-09 5.1913782948906809e-12
5.3236542235440030e-05 3.0594737042022412e-09 5.1913591525297911e-12
5.3987751128343568e-05 3.0583235035518082e-09 5.1913391487628628e-12
5.4749560161246348e-05 3.0571741488185534e-09 5.1913203160930806e-12
5.5522118910343806e-05 3.0560240520079752e-09 5.1912999707581147e-12
5.6305579062467136e-05 3.0548748331608515e-09 5.1912808487856203e-12
5.7100094444866457e-05 3.0537254713348415e-09 5.1912612363667845e-12
5.7905821055413568e-05 3.0525764913165900e-09 5.1912420058322735e-12
5.8722917093231547e-05 3.0514280637536878e-09 5.1912234567382356e-12
5.9551542989755419e-05 3.0502792309008407e-09 5.1912039633876337e-12
6.0391861440232168e-05 3.0491303251549238e-09 5.1911840806369754e-12
6.1244037435665230e-05 3.0479820093775326e-09 5.1911649447286622e-12
6.2108238295208689e-05 3.0468350812422365e-09 5.1911479117584545e-12
6.2984633699019751e-05 3.0456856139010054e-09 5.1911263069380414e-12
6.3873395721574070e-05 3.0445383303092689e-09 5.1911081509148798e-12
6.4774698865452014e-05 3.0433896235774769e-09 5.1910873164946417e-12
6.5688720095600267e-05 3.0422425499748843e-09 5.1910690013158410e-12
6.6615638874078123e-05 3.0410953389053188e-09 5.1910501869985713e-12
6.7555637195294114e-05 3.0399474885084951e-09 5.1910300329144257e-12
6.8508899621738597e-05 3.0388000000645717e-09 5.1910102264372734e-12
6.9475613320221929e-05 3.0376530583885009e-09 5.1909911001538771e-12
7.0455968098623106e-05 3.0365058119008288e-09 5.1909711986267335e-12
7.1450156443157991e-05 3.0353600943055871e-09 5.1909536364960898e-12
7.2458373556171730e-05 3.0342127993014312e-09 5.1909331252748737e-12
7.3480817394465937e-05 3.0330663872289052e-09 5.1909138631399712e-12
7.4517688708166632e-05 3.0319191031862312e-09 5.1908928422150183e-12
7.5569191080139376e-05 3.0307734599568493e-09 5.1908743720500269e-12
