# k_modes P_scalar P_tensor
4.5632198260222922e-05 3.0753001079684591e-09 5.2084642637899630e-12
4.8116686104433221e-05 3.0709411261150855e-09 5.2084036284530210e-12
5.0736444220148476e-05 3.0665848146874895e-09 5.2083438483762705e-12
5.3498837524204735e-05 3.0622307742323933e-09 5.2082842564152361e-12
5.6411631923244911e-05 3.0578786198919138e-09 5.2082242001538077e-12
5.9483016145984363e-05 3.0535282084829363e-09 5.2081634196011580e-12
6.2721624764155732e-05 3.0491800887431741e-09 5.2081028507984757e-12
6.6136562466850079e-05 3.0448340666570917e-09 5.2080421664452057e-12
6.9737429656497948e-05 3.0404899960447086e-09 5.2079811112039530e-12
7.3534349438446526e-05 3.0361489296448749e-09 5.2079214782267043e-12
7.7537996080010710e-05 3.0318089279375080e-09 5.2078599616616548e-12
8.1759625019003297e-05 3.0274711926093522e-09 5.2077986029593805e-12
8.6211104506108620e-05 3.0231358414376768e-09 5.2077376124921939e-12
9.0904948970053223e-05 3.0188029270409003e-09 5.2076770691452429e-12
9.5854354199376285e-05 3.0144722508208317e-09 5.2076166286066614e-12
1.0107323443970354e-04 3.0101426152744249e-09 5.2075542478746676e-12
1.0657626151081772e-04 3.0058156445172469e-09 5.2074926992160178e-12
1.1237890605349399e-04 3.0014918150434093e-09 5.2074328126293663e-12
1.1849748102205814e-04 2.9971685101862915e-09 5.2073700753104079e-12
1.2494918754493822e-04 2.9928475732290685e-09 5.2073076528977468e-12
1.3175216328213722e-04 2.9885295276363049e-09 5.2072464767870615e-12
1.3892553341557235e-04 2.9842129897839593e-09 5.2071841197993228e-12
1.4648946441563315e-04 2.9798994291616092e-09 5.2071231493314853e-12
1.5446522073510815e-04 2.9755874473455481e-09 5.2070611119375100e-12
1.6287522458986790e-04 2.9712777848362282e-09 5.2069993264928158e-12
1.7174311899436078e-04 2.9669696914877822e-09 5.2069364523727050e-12
1.8109383422913823e-04 2.9626642414078904e-09 5.2068743742253261e-12
1.9095365792726399e-04 2.9583605907953747e-09 5.2068116187493663e-12
