#  MPBH fPBH
1.3540633394229270e+21 0.0000000000000000e+00
1.1936979516038749e+21 0.0000000000000000e+00
1.0523250709014457e+21 0.0000000000000000e+00
9.2769536326993812e+20 0.0000000000000000e+00
8.1782588938541282e+20 0.0000000000000000e+00
7.2096855479746993e+20 0.0000000000000000e+00
6.3558229661495709e+20 0.0000000000000000e+00
5.6030856419781614e+20 0.0000000000000000e+00
4.9394970373696546e+20 0.0000000000000000e+00
4.3544990280693999e+20 0.0000000000000000e+00
3.8387839170675455e+20 0.0000000000000000e+00
3.3841463431144394e+20 0.0000000000000000e+00
2.9833527281117037e+20 0.0000000000000000e+00
2.6300261862022549e+20 0.0000000000000000e+00
2.3185450633883576e+20 0.0000000000000000e+00
2.0439534933775421e+20 0.0000000000000000e+00
1.8018825465418577e+20 0.0000000000000000e+00
1.5884807174193585e+20 0.0000000000000000e+00
1.4003526447690745e+20 0.0000000000000000e+00
1.2345050891757465e+20 0.0000000000000000e+00
1.0882993086731611e+20 0.0000000000000000e+00
9.5940907465134834e+19 0.0000000000000000e+00
8.4578366005356872e+19 0.0000000000000000e+00
7.4561521098137616e+19 0.0000000000000000e+00
6.5730998256881639e+19 0.0000000000000000e+00
5.7946298146995618e+19 0.0000000000000000e+00
5.1083561150525546e+19 0.0000000000000000e+00
4.5033596679458988e+19 0.0000000000000000e+00
3.9700145882787955e+19 0.0000000000000000e+00
3.4998350105878708e+19 0.0000000000000000e+00
3.0853400734346236e+19 0.0000000000000000e+00
2.7199348940573573e+19 0.0000000000000000e+00
2.3978056395174814e+19 0.0000000000000000e+00
2.1138270248539939e+19 0.0000000000000000e+00
1.8634807664820789e+19 0.0000000000000000e+00
1.6427836933764717e+19 0.0000000000000000e+00
1.4482243722420466e+19 0.0000000000000000e+00
1.2767072383370840e+19 0.0000000000000000e+00
1.1255033430343920e+19 0.0000000000000000e+00
9.9220693448213586e+18 0.0000000000000000e+00
8.7469718053458749e+18 0.0000000000000000e+00
7.7110442493982812e+18 0.0000000000000000e+00
6.7978043989850511e+18 0.0000000000000000e+00
5.9927220169260954e+18 0.0000000000000000e+00
5.2829877213755535e+18 0.0000000000000000e+00
4.6573091802648074e+18 0.0000000000000000e+00
4.1057314429894579e+18 0.0000000000000000e+00
3.6194785507012029e+18 0.0000000000000000e+00
3.1908139051216829e+18 0.0000000000000000e+00
2.8129171742558003e+18 0.0000000000000000e+00
2.4797757764947031e+18 0.0000000000000000e+00
2.1860892165503590e+18 0.0000000000000000e+00
1.9271847511443648e+18 0.0000000000000000e+00
1.6989430426376248e+18 0.0000000000000000e+00
1.4977326177019781e+18 0.0000000000000000e+00
1.3203520882288241e+18 0.0000000000000000e+00
1.1639792151719772e+18 0.0000000000000000e+00
1.0261260048975411e+18 0.0000000000000000e+00
9.0459912359467571e+17 0.0000000000000000e+00
7.9746499991486336e+17 0.0000000000000000e+00
7.0301906060011174e+17 0.0000000000000000e+00
6.1975860961901248e+17 0.0000000000000000e+00
5.4635891930016314e+17 0.0000000000000000e+00
4.8165215305737453e+17 0.0000000000000000e+00
4.2460878435362758e+17 0.0000000000000000e+00
3.7432121626743558e+17 0.0000000000000000e+00
3.2998934103831251e+17 0.0000000000000000e+00
2.9090780983437690e+17 0.0000000000000000e+00
2.5645481019584851e+17 0.0000000000000000e+00
2.2608217259630614e+17 0.0000000000000000e+00
1.9930664871067162e+17 0.0000000000000000e+00
1.7570222262154605e+17 0.0000000000000000e+00
1.5489333263019418e+17 0.0000000000000000e+00
1.3654889582680749e+17 0.0000000000000000e+00
1.2037704034709112e+17 0.0000000000000000e+00
1.0612046150196994e+17 0.0000000000000000e+00
9.3552327893424560e+16 0.0000000000000000e+00
8.2472672380117312e+16 0.0000000000000000e+00
7.2705210470730048e+16 0.0000000000000000e+00
6.4094535523593784e+16 0.0000000000000000e+00
5.6503646126423000e+16 0.0000000000000000e+00
4.9811766315160856e+16 0.0000000000000000e+00
4.3912423950211280e+16 0.0000000000000000e+00
3.8711756675775240e+16 0.0000000000000000e+00
3.4127018509011692e+16 0.0000000000000000e+00
3.0085263297886900e+16 0.0000000000000000e+00
2.6522184100675812e+16 0.0000000000000000e+00
2.3381090020892340e+16 0.0000000000000000e+00
2.0612004218428624e+16 0.0000000000000000e+00
1.8170868745678164e+16 0.0000000000000000e+00
1.6018843557069410e+16 0.0000000000000000e+00
1.4121688538798990e+16 0.0000000000000000e+00
1.2449218726456598e+16 0.0000000000000000e+00
1.0974824042701786e+16 0.0000000000000000e+00
9.6750459137083480e+15 0.0000000000000000e+00
8.5292040280693530e+15 0.0000000000000000e+00
7.5190672996559610e+15 0.0000000000000000e+00
6.6285637992356860e+15 0.0000000000000000e+00
5.8435250396745520e+15 0.0000000000000000e+00
5.1514605461353320e+15 0.0000000000000000e+00
4.5413591245374130e+15 0.0000000000000000e+00
4.0035136663312900e+15 0.0000000000000000e+00
3.5293667021178415e+15 0.0000000000000000e+00
3.1113742467708130e+15 0.0000000000000000e+00
2.7428857697500410e+15 0.0000000000000000e+00
2.4180383808555210e+15 0.0000000000000000e+00
2.1316635478491795e+15 0.0000000000000000e+00
1.8792048617612272e+15 0.0000000000000000e+00
1.6566455414740230e+15 0.0000000000000000e+00
1.4604445241343085e+15 0.0000000000000000e+00
1.2874801245510310e+15 0.0000000000000000e+00
1.1350003671632118e+15 0.0000000000000000e+00
1.0005792003273462e+15 0.0000000000000000e+00
8.8207789626533988e+14 0.0000000000000000e+00
7.7761102252109350e+14 0.0000000000000000e+00
6.8551644350966350e+14 0.0000000000000000e+00
6.0432887486415425e+14 0.0000000000000000e+00
5.3275656981294006e+14 0.0000000000000000e+00
4.6966076665235006e+14 0.0000000000000000e+00
4.1403757031081306e+14 0.0000000000000000e+00
3.6500197972843369e+14 0.0000000000000000e+00
3.2177380691724244e+14 0.0000000000000000e+00
2.8366526366527844e+14 0.0000000000000000e+00
2.5007001838091600e+14 0.0000000000000000e+00
2.2045354896474769e+14 0.0000000000000000e+00
1.9434463821697941e+14 0.0000000000000000e+00
1.7132787646674828e+14 0.0000000000000000e+00
1.5103705213535912e+14 0.0000000000000000e+00
1.3314932507300748e+14 0.0000000000000000e+00
1.1738008996301750e+14 0.0000000000000000e+00
1.0347844806702108e+14 0.0000000000000000e+00
9.1223215263617688e+13 0.0000000000000000e+00
8.0419402865827234e+13 0.0000000000000000e+00
7.0895115224858078e+13 0.0000000000000000e+00
6.2498814759064461e+13 0.0000000000000000e+00
5.5096910892927672e+13 0.0000000000000000e+00
4.8571634544524477e+13 0.0000000000000000e+00
4.2819164343198773e+13 0.0000000000000000e+00
3.7747974764348367e+13 0.0000000000000000e+00
3.3277379899082762e+13 0.0000000000000000e+00
2.9336249689182281e+13 0.0000000000000000e+00
2.5861878201828273e+13 0.0000000000000000e+00
2.2798985937620902e+13 0.0000000000000000e+00
2.0098840297959809e+13 0.0000000000000000e+00
1.7718480217855152e+13 0.0000000000000000e+00
1.5620032627573633e+13 0.0000000000000000e+00
1.3770109867583211e+13 0.0000000000000000e+00
