# k_modes P_scalar P_tensor
4.5649534616773719e-05 2.1708554162994917e-09 5.1756623580465451e-12
4.8619290852890658e-05 2.1662577331327724e-09 5.1755413426085402e-12
5.1782246256885197e-05 2.1616630629961157e-09 5.1754192792154608e-12
5.5150969509652422e-05 2.1570727739617712e-09 5.1752994531836171e-12
5.8738846954716307e-05 2.1524850854606348e-09 5.1751775540110141e-12
6.2560135791733066e-05 2.1479009727826600e-09 5.1750559352588483e-12
6.6630020730528504e-05 2.1433203302247198e-09 5.1749343224529785e-12
7.0964674330794986e-05 2.1387435519954230e-09 5.1748136806425018e-12
7.5581321267222861e-05 2.1341695778466616e-09 5.1746914391317140e-12
8.0498306775434903e-05 2.1295992425229651e-09 5.1745695874468334e-12
8.5735169550709740e-05 2.1250321436164126e-09 5.1744471772956621e-12
9.1312719389174203e-05 2.1204684037076983e-09 5.1743244703352735e-12
9.7253119879985833e-05 2.1159080183208704e-09 5.1742014667027835e-12
1.0357997647710198e-04 2.1113512387417494e-09 5.1740787625160082e-12
1.1031843030060911e-04 2.1067974375687242e-09 5.1739548188733666e-12
1.1749525804034885e-04 2.1022476494179179e-09 5.1738321641868135e-12
1.2513897835883116e-04 2.0977008146444582e-09 5.1737081944774045e-12
1.3327996521625017e-04 2.0931574241680179e-09 5.1735841102624302e-12
1.4195056856792092e-04 2.0886177308188676e-09 5.1734605306404840e-12
1.5118524291375828e-04 2.0840812350183315e-09 5.1733361982718033e-12
1.6102068421061256e-04 2.0795480000763828e-09 5.1732112884936663e-12
1.7149597569151572e-04 2.0750181173356170e-09 5.1730859897837631e-12
1.8265274317128116e-04 2.0704916913368986e-09 5.1729606006222076e-12
1.9453532045559510e-04 2.0659687870681371e-09 5.1728352304675371e-12
2.0719092551089262e-04 2.0614489755045548e-09 5.1727088136744852e-12
2.2066984809506114e-04 2.0569330923629710e-09 5.1725834349008011e-12
2.3502564959456857e-04 2.0524200271180078e-09 5.1724563160221599e-12
2.5031537586210541e-04 2.0479106124964934e-09 5.1723295333770969e-12
2.6659978390050182e-04 2.0434045796070552e-09 5.1722023943417993e-12
2.8394358329369513e-04 2.0389021759756789e-09 5.1720755201034447e-12
3.0241569334412256e-04 2.0344031787718097e-09 5.1719483418091617e-12
3.2208951693833612e-04 2.0299072536468305e-09 5.1718200180539637e-12
3.4304323222909496e-04 2.0254150257386879e-09 5.1716921174046161e-12
3.6536010329300605e-04 2.0209261816622657e-09 5.1715638278648346e-12
3.8912881099816769e-04 2.0164407489447276e-09 5.1714352198584001e-12
4.1444380539659806e-04 2.0119581595148241e-09 5.1713048188031946e-12
4.4140568104175198e-04 2.0074796893434951e-09 5.1711759144950650e-12
