# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 3.2000000000000002e+00 -1.4895138226882645e-02 5.0701777167631871e-06 1.0000000000000000e+00 5.0701777167631871e-06 1.1093257139897034e-04 1.6378775211883232e-03
8.0080080080080079e-02 3.1988071465725461e+00 -1.4896959461374301e-02 5.0701326723509155e-06 1.0833738208636425e+00 5.4928490055304018e-06 1.1095970059691465e-04 2.9444959365795263e-03
1.6016016016016016e-01 3.1976140175332866e+00 -1.4901898052040761e-02 5.0700876075210926e-06 1.1736988357326876e+00 5.9507559220102337e-06 1.1103328277670812e-04 5.2797851840546070e-03
2.4024024024024024e-01 3.1964203907363284e+00 -1.4909294654485247e-02 5.0700425054830985e-06 1.2715545922109306e+00 6.4468358305516459e-06 1.1114353354713119e-04 7.1190524772784518e-03
3.2032032032032032e-01 3.1952260908305909e+00 -1.4918630974261346e-02 5.0699973529642719e-06 1.3775689570002665e+00 6.9842709655171041e-06 1.1128277507309502e-04 8.5692323716639977e-03
4.0040040040040037e-01 3.1940309803063398e+00 -1.4929502788314756e-02 5.0699521395336527e-06 1.4924221444485215e+00 7.5665088443341839e-06 1.1144502675314904e-04 9.7131142169058892e-03
4.8048048048048048e-01 3.1928349491274690e+00 -1.4941588702948080e-02 5.0699068568194051e-06 1.6168510809727057e+00 8.1972843818793882e-06 1.1162553648403285e-04 1.0613097761778326e-02
5.6056056056056058e-01 3.1916379088734335e+00 -1.4954632501921018e-02 5.0698614980687886e-06 1.7516541333609108e+00 8.8806438486595337e-06 1.1182051663375624e-04 1.1321141334595700e-02
6.4064064064064064e-01 3.1904397903250041e+00 -1.4968435872741008e-02 5.0698160579693880e-06 1.8976962312908023e+00 9.6209708265460996e-06 1.1202703623817994e-04 1.1883160331660182e-02
7.2072072072072069e-01 3.1892405411444469e+00 -1.4982851416990994e-02 5.0697705324768562e-06 2.0559144169320511e+00 1.0423014328256450e-05 1.1224291829181452e-04 1.2335022991815379e-02
8.0080080080080074e-01 3.1880401203007285e+00 -1.4997765850540860e-02 5.0697249183944115e-06 2.2273238572403238e+00 1.1291919260385626e-05 1.1246649025382480e-04 1.2693296342998633e-02
8.8088088088088090e-01 3.1868384883584628e+00 -1.5013070737792298e-02 5.0696792126370885e-06 2.4130243575191956e+00 1.2233259424902033e-05 1.1269614648897768e-04 1.2974189010843108e-02
9.6096096096096095e-01 3.1856356169142450e+00 -1.5028690931546872e-02 5.0696334129518891e-06 2.6142074180426071e+00 1.3253073274895488e-05 1.1293077555797959e-04 1.3199795329073609e-02
1.0410410410410411e+00 3.1844314839324555e+00 -1.5044570516825983e-02 5.0695875175644315e-06 2.8321638790148969e+00 1.4357902648750782e-05 1.1316955101787482e-04 1.3382386031021404e-02
1.1211211211211212e+00 3.1832260706302993e+00 -1.5060663423677630e-02 5.0695415249433065e-06 3.0682922029203636e+00 1.5554834733364556e-05 1.1341179138065059e-04 1.3530023756780240e-02
1.2012012012012012e+00 3.1820193612635896e+00 -1.5076932782037306e-02 5.0694954337846314e-06 3.3241074474039571e+00 1.6851547526023847e-05 1.1365695105703559e-04 1.3649905104662668e-02
1.2812812812812813e+00 3.1808113426769928e+00 -1.5093349566738769e-02 5.0694492429787371e-06 3.6012509862553141e+00 1.8256359086048432e-05 1.1390460057188670e-04 1.3748359494738342e-02
1.3613613613613613e+00 3.1796020040854609e+00 -1.5109891939228518e-02 5.0694029515942829e-06 3.9015010408683803e+00 1.9778280892226335e-05 1.1415441720758148e-04 1.3830827626216324e-02
1.4414414414414414e+00 3.1783913366046921e+00 -1.5126543832816686e-02 5.0693565588428997e-06 4.2267840897490556e+00 2.1427075648182190e-05 1.1440616416306227e-04 1.3900645095923342e-02
1.5215215215215214e+00 3.1771793320512831e+00 -1.5143291336776358e-02 5.0693100639876545e-06 4.5791872292770872e+00 2.3213319906258083e-05 1.1465963625524295e-04 1.3959372405206484e-02
1.6016016016016015e+00 3.1759659827254709e+00 -1.5160122041903800e-02 5.0692634663268312e-06 4.9609715650319144e+00 2.5148471912102525e-05 1.1491465016270872e-04 1.4009615432901275e-02
1.6816816816816818e+00 3.1747512824750239e+00 -1.5177028247299128e-02 5.0692167652756883e-06 5.3745867196045101e+00 2.7244945105447247e-05 1.1517109320965782e-04 1.4053966443747030e-02
1.7617617617617618e+00 3.1735352256348790e+00 -1.5194003764859633e-02 5.0691699602855619e-06 5.8226865499809275e+00 2.9516187747322094e-05 1.1542887520328435e-04 1.4093608402007990e-02
1.8418418418418419e+00 3.1723178069585178e+00 -1.5211043712692225e-02 5.0691230508385557e-06 6.3081461753441781e+00 3.1976769185496248e-05 1.1568792541471684e-04 1.4129319159712463e-02
1.9219219219219219e+00 3.1710990213642392e+00 -1.5228143750643641e-02 5.0690760364280619e-06 6.8340804245489943e+00 3.4642473311103423e-05 1.1594818104513348e-04 1.4161573896252793e-02
2.0020020020020022e+00 3.1698788639465723e+00 -1.5245300114996911e-02 5.0690289165597875e-06 7.4038638216330694e+00 3.7530399806128886e-05 1.1620958779816241e-04 1.4191028264341413e-02
2.0820820820820822e+00 3.1686573301127816e+00 -1.5262510030191913e-02 5.0689816907624545e-06 8.0211522375967075e+00 4.0659073831196004e-05 1.1647210621085438e-04 1.4218652552782127e-02
2.1621621621621623e+00 3.1674344157044008e+00 -1.5279772075427802e-02 5.0689343585972990e-06 8.6899063473741016e+00 4.4048564857197341e-05 1.1673571733851162e-04 1.4245519970112213e-02
2.2422422422422423e+00 3.1662101169637458e+00 -1.5297086084005164e-02 5.0688869196555276e-06 9.4144170425018991e+00 4.7720615402919952e-05 1.1700042133073221e-04 1.4272252165135431e-02
2.3223223223223224e+00 3.1649844302053558e+00 -1.5314452153265693e-02 5.0688393735328693e-06 1.0199332962539074e+01 5.1698780504289704e-05 1.1726622237733211e-04 1.4298125107871795e-02
2.4024024024024024e+00 3.1637573510522983e+00 -1.5331868342987203e-02 5.0687917197703644e-06 1.1049690321886450e+01 5.6008578809604768e-05 1.1753309344334658e-04 1.4322299536365723e-02
2.4824824824824825e+00 3.1625288750999694e+00 -1.5349332676510631e-02 5.0687439579061774e-06 1.1970945223382135e+01 6.0677656271444010e-05 1.1780100680709850e-04 1.4345474901638157e-02
2.5625625625625625e+00 3.1612989985040736e+00 -1.5366844913005424e-02 5.0686960875201385e-06 1.2969008666004873e+01 6.5735963484393674e-05 1.1806996129018033e-04 1.4368418604117264e-02
2.6426426426426426e+00 3.1600677174530509e+00 -1.5384404957897288e-02 5.0686481081941930e-06 1.4050284471303391e+01 7.1215947805062179e-05 1.1833995795428734e-04 1.4391796442137448e-02
2.7227227227227226e+00 3.1588350286141504e+00 -1.5402014207666537e-02 5.0686000195470014e-06 1.5221710371897055e+01 7.7152761488536204e-05 1.1861102082658093e-04 1.4415949392808805e-02
2.8028028028028027e+00 3.1576009284263309e+00 -1.5419673418611082e-02 5.0685518211782196e-06 1.6490802525681850e+01 8.3584487174235121e-05 1.1888316416831059e-04 1.4440041358009775e-02
2.8828828828828827e+00 3.1563654128431486e+00 -1.5437381932077549e-02 5.0685035126482384e-06 1.7865703741355748e+01 9.0552382168994391e-05 1.1915638045841718e-04 1.4463015405823402e-02
2.9629629629629628e+00 3.1551284774039914e+00 -1.5455137889464416e-02 5.0684550934837984e-06 1.9355235724690452e+01 9.8101143094386900e-05 1.1943064359117931e-04 1.4484246144117124e-02
3.0430430430430429e+00 3.1538901175118834e+00 -1.5472939069936558e-02 5.0684065631998886e-06 2.0968955680774364e+01 1.0627919259588438e-04 1.1970592173098459e-04 1.4503890786496922e-02
3.1231231231231229e+00 3.1526503287961014e+00 -1.5490783983790606e-02 5.0683579213283216e-06 2.2717217635400903e+01 1.1513898995292361e-04 1.1998219421623178e-04 1.4522941631023405e-02
3.2032032032032030e+00 3.1514091074378299e+00 -1.5508672854410563e-02 5.0683091674433965e-06 2.4611238869055200e+01 1.2473736758217171e-04 1.2025946685256553e-04 1.4542982680231539e-02
3.2832832832832834e+00 3.1501664503370921e+00 -1.5526608121753042e-02 5.0682603011750437e-06 2.6663171889756132e+01 1.3513589559225738e-04 1.2053777988324377e-04 1.4565653128799630e-02
3.3633633633633635e+00 3.1489223549991836e+00 -1.5544594100301595e-02 5.0682113221998670e-06 2.8886182406549167e+01 1.4640127672800308e-04 1.2081720287156558e-04 1.4591820439545050e-02
3.4434434434434436e+00 3.1476768190188524e+00 -1.5562635424429467e-02 5.0681622302004728e-06 3.1294533803947296e+01 1.5860577423689761e-04 1.2109781067685347e-04 1.4620465735541741e-02
3.5235235235235236e+00 3.1464298390404424e+00 -1.5580733914110270e-02 5.0681130247834958e-06 3.3903678659328797e+01 1.7182767540141852e-04 1.2137963465115297e-04 1.4647284265856595e-02
3.6036036036036037e+00 3.1451814090722494e+00 -1.5598883493915918e-02 5.0680637053467242e-06 3.6730357890490176e+01 1.8615179370918894e-04 1.2166258312838124e-04 1.4671186430283470e-02
3.6836836836836837e+00 3.1439315248066078e+00 -1.5617083217429712e-02 5.0680142714254877e-06 3.9792708169509382e+01 2.0167001290174314e-04 1.2194664411006238e-04 1.4696547239523239e-02
3.7637637637637638e+00 3.1426801838388947e+00 -1.5635337924295077e-02 5.0679647226958979e-06 4.3110378292113253e+01 2.1848187636650500e-04 1.2223189600344995e-04 1.4714914526743646e-02
3.8438438438438438e+00 3.1414273748281922e+00 -1.5653625565194423e-02 5.0679150581176609e-06 4.6704655249203768e+01 2.3669522562163383e-04 1.2251799666765422e-04 1.4727259424574396e-02
3.9239239239239239e+00 3.1401730960838639e+00 -1.5671953237442714e-02 5.0678652774277198e-06 5.0598600809449060e+01 2.5642689212863299e-04 1.2280505913829558e-04 1.4749846244743160e-02
4.0040040040040044e+00 3.1389173497657481e+00 -1.5690339699409268e-02 5.0678153806722209e-06 5.4817199489287042e+01 2.7780344669718626e-04 1.2309337994142927e-04 1.4786526540831410e-02
4.0840840840840844e+00 3.1376601374083801e+00 -1.5708801876855062e-02 5.0677653678457000e-06 5.9387518859753413e+01 3.0096201135974170e-04 1.2338322820314257e-04 1.4832731189933409e-02
4.1641641641641645e+00 3.1364014573812846e+00 -1.5727347206326445e-02 5.0677152386863502e-06 6.4338883218702676e+01 3.2605113892748106e-04 1.2367472507417211e-04 1.4879758131685581e-02
4.2442442442442445e+00 3.1351413039487972e+00 -1.5745970800931028e-02 5.0676649926002574e-06 6.9703061742745604e+01 3.5323176587076619e-04 1.2396779823188627e-04 1.4918221420965024e-02
4.3243243243243246e+00 3.1338796675928489e+00 -1.5764656423821528e-02 5.0676146286874448e-06 7.5514472326132690e+01 3.8267824463752325e-04 1.2426219608056870e-04 1.4940668835462450e-02
4.4044044044044046e+00 3.1326165362621627e+00 -1.5783380254713320e-02 5.0675641458426125e-06 8.1810402414464164e+01 4.1457946203249450e-04 1.2455754613243715e-04 1.4943375253852406e-02
4.4844844844844847e+00 3.1313518972113141e+00 -1.5802116434761478e-02 5.0675135429034237e-06 8.8631248250150193e+01 4.4914005083207146e-04 1.2485344190887941e-04 1.4927319341901765e-02
4.5645645645645647e+00 3.1300857390930878e+00 -1.5820843375123069e-02 5.0674628188192085e-06 9.6020774064679244e+01 4.8658170240700185e-04 1.2514954255008775e-04 1.4898351448304481e-02
4.6446446446446448e+00 3.1288180539675943e+00 -1.5839549814530444e-02 5.0674119728129456e-06 1.0402639288073608e+02 5.2714458877238534e-04 1.2544566916349571e-04 1.4866560731246089e-02
4.7247247247247248e+00 3.1275488388915718e+00 -1.5858239611201370e-02 5.0673610045093916e-06 1.1269947072586547e+02 5.7108890318509841e-04 1.2574188178313809e-04 1.4844849292153366e-02
4.8048048048048049e+00 3.1262780967513386e+00 -1.5876934254411654e-02 5.0673099140022200e-06 1.2209565620959108e+02 6.1869652916746762e-04 1.2603852065945506e-04 1.4846720596619815e-02
4.8848848848848849e+00 3.1250058360028259e+00 -1.5895672081056144e-02 5.0672587018330321e-06 1.3227523757863841e+02 6.7027284865738717e-04 1.2633619545423388e-04 1.4883289026892751e-02
4.9649649649649650e+00 3.1237320689821471e+00 -1.5914503182523781e-02 5.0672073688551136e-06 1.4330352954121557e+02 7.2614870087419400e-04 1.2663570577327977e-04 1.4959517435395664e-02
5.0450450450450450e+00 3.1224568084501425e+00 -1.5933478987212552e-02 5.0671559159547880e-06 1.5525129234231255e+02 7.8668250445197534e-04 1.2693787631797197e-04 1.5069690343084375e-02
5.1251251251251251e+00 3.1211800620343526e+00 -1.5952635504010042e-02 5.0671043436032487e-06 1.6819518577890949e+02 8.5226255643346767e-04 1.2724328976190086e-04 1.5192131849424802e-02
5.2052052052052051e+00 3.1199018242318548e+00 -1.5971969212065399e-02 5.0670526512117146e-06 1.8221826106816735e+02 9.2330952284464570e-04 1.2755190025558251e-04 1.5283178546765405e-02
5.2852852852852852e+00 3.1186220656364210e+00 -1.5991404582178445e-02 5.0670008362627945e-06 1.9741049372454918e+02 1.0002791367893418e-03 1.2786251025545889e-04 1.5275366350633810e-02
5.3653653653653652e+00 3.1173407232529997e+00 -1.6010764876678331e-02 5.0669488935307753e-06 2.1386936086494296e+02 1.0836651213947568e-03 1.2817229596813825e-04 1.5225064629695530e-02
5.4454454454454453e+00 3.1160578149955618e+00 -1.6030117351355840e-02 5.0668968243260671e-06 2.3170046664591840e+02 1.1740023586430718e-03 1.2848233114911978e-04 1.5220445839179695e-02
5.5255255255255253e+00 3.1147733529448844e+00 -1.6049511724315225e-02 5.0668446294478648e-06 2.5101821984607756e+02 1.2718703191206616e-03 1.2879341329446594e-04 1.5231187166443444e-02
5.6056056056056054e+00 3.1134873293215692e+00 -1.6068937900777600e-02 5.0667923081107648e-06 2.7194656794103486e+02 1.3778967786607569e-03 1.2910538262952341e-04 1.5245296468706511e-02
