# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 6.2999999999999998e+00 -1.9056774797726668e-02 6.8670271354784198e-06 1.0000000000000000e+00 6.8670271354784198e-06 1.8158033284563515e-04 1.9104408660894760e-03
8.0080080080080079e-02 6.2984738601481363e+00 -1.9059412973941058e-02 6.8669272735890983e-06 1.0833738208636425e+00 7.4394492379809769e-06 1.8163061145561634e-04 3.3896158417241703e-03
1.6016016016016016e-01 6.2969473210762708e+00 -1.9066566200980725e-02 6.8668273608999270e-06 1.1736988357326876e+00 8.0595872786656075e-06 1.8176697334819028e-04 6.0327895275349395e-03
2.4024024024024024e-01 6.2954200610552800e+00 -1.9077278599158160e-02 6.8667273552699706e-06 1.2715545922109306e+00 8.7314187020539495e-06 1.8197127937494897e-04 8.1136906377086201e-03
3.2032032032032032e-01 6.2938918262841446e+00 -1.9090799151378159e-02 6.8666272234027597e-06 1.3775689570002665e+00 9.4592525022525751e-06 1.8222930611913051e-04 9.7534291273839446e-03
4.0040040040040037e-01 6.2923624176076114e+00 -1.9106541657522402e-02 6.8665269391074595e-06 1.4924221444485215e+00 1.0247756859376298e-05 1.8252996705531946e-04 1.1045666827801968e-02
4.8048048048048048e-01 6.2908316756737896e+00 -1.9124039982697190e-02 6.8664264813578187e-06 1.6168510809727057e+00 1.1101989078803002e-05 1.8286445262990036e-04 1.2061465614035868e-02
5.6056056056056058e-01 6.2892994727619271e+00 -1.9142923418044765e-02 6.8663258332296796e-06 1.7516541333609108e+00 1.2027428026779568e-05 1.8322575849456332e-04 1.2860292141474787e-02
6.4064064064064064e-01 6.2877657092101629e+00 -1.9162905911780954e-02 6.8662249814434382e-06 1.8976962312908023e+00 1.3030009270479972e-05 1.8360848149188470e-04 1.3494199106952137e-02
7.2072072072072069e-01 6.2862303095652035e+00 -1.9183774460921541e-02 6.8661239158679757e-06 2.0559144169320511e+00 1.4116163147074921e-05 1.8400860128375279e-04 1.4002450972625908e-02
8.0080080080080074e-01 6.2846932135758387e+00 -1.9205361954159710e-02 6.8660226283425930e-06 2.2273238572403238e+00 1.5292856004459371e-05 1.8442296389514263e-04 1.4403183805556684e-02
8.8088088088088090e-01 6.2831543637960268e+00 -1.9227509790630232e-02 6.8659211110500340e-06 2.4130243575191956e+00 1.6567634877768991e-05 1.8484856637439071e-04 1.4717398087818209e-02
9.6096096096096095e-01 6.2816137209232430e+00 -1.9250114133722188e-02 6.8658193585461631e-06 2.6142074180426071e+00 1.7948675898051915e-05 1.8528344708066538e-04 1.4969963836327198e-02
1.0410410410410411e+00 6.2800712525580860e+00 -1.9273092016634949e-02 6.8657173662814291e-06 2.8321638790148969e+00 1.9444836728307553e-05 1.8572603794083891e-04 1.5173096320532422e-02
1.1211211211211212e+00 6.2785269315992318e+00 -1.9296376503127013e-02 6.8656151303926671e-06 3.0682922029203636e+00 2.1065713372835897e-05 1.8617507307521614e-04 1.5336560038900172e-02
1.2012012012012012e+00 6.2769807353974771e+00 -1.9319914137129739e-02 6.8655126475940593e-06 3.3241074474039571e+00 2.2821701722113472e-05 1.8662954113303276e-04 1.5468674767522160e-02
1.2812812812812813e+00 6.2754326451708398e+00 -1.9343663179602771e-02 6.8654099151025571e-06 3.6012509862553141e+00 2.4724064227810095e-05 1.8708865260295998e-04 1.5576760035836010e-02
1.3613613613613613e+00 6.2738826456078227e+00 -1.9367592412709505e-02 6.8653069305875288e-06 3.9015010408683803e+00 2.6785002135568149e-05 1.8755181793242139e-04 1.5666816918415243e-02
1.4414414414414414e+00 6.2723307239508497e+00 -1.9391678376284749e-02 6.8652036920505638e-06 4.2267840897490556e+00 2.9017733738445799e-05 1.8801859512463477e-04 1.5742042853032302e-02
1.5215215215215214e+00 6.2707768680613674e+00 -1.9415899533345111e-02 6.8651001975693022e-06 4.5791872292770872e+00 3.1436579152416958e-05 1.8848857734447545e-04 1.5804764610698987e-02
1.6016016016016015e+00 6.2692210674696831e+00 -1.9440239436443463e-02 6.8649964454383582e-06 4.9609715650319144e+00 3.4057052159864863e-05 1.8896145467312583e-04 1.5858275140396085e-02
1.6816816816816818e+00 6.2676633133389830e+00 -1.9464686619528198e-02 6.8648924341651566e-06 5.3745867196045101e+00 3.6895959708177530e-05 1.8943701259822003e-04 1.5905011113189333e-02
1.7617617617617618e+00 6.2661035976373665e+00 -1.9489232101509189e-02 6.8647881623606657e-06 5.8226865499809275e+00 3.9971509701445737e-05 1.8991508395324814e-04 1.5946307655376850e-02
1.8418418418418419e+00 6.2645419128390687e+00 -1.9513868485516526e-02 6.8646836286994442e-06 6.3081461753441781e+00 4.3303427777328190e-05 1.9039553163501753e-04 1.5983003576241505e-02
1.9219219219219219e+00 6.2629782517165546e+00 -1.9538589332257342e-02 6.8645788318921598e-06 6.8340804245489943e+00 4.6913083817807610e-05 1.9087823654730020e-04 1.6015803746697553e-02
2.0020020020020022e+00 6.2614126074138339e+00 -1.9563389381463851e-02 6.8644737706958795e-06 7.4038638216330694e+00 5.0823629005404360e-05 1.9136310204538628e-04 1.6045640838501640e-02
2.0820820820820822e+00 6.2598449736139861e+00 -1.9588265057457307e-02 6.8643684439369420e-06 8.0211522375967075e+00 5.5060144303773030e-05 1.9185006398060144e-04 1.6073674558304725e-02
2.1621621621621623e+00 6.2582753446138888e+00 -1.9613214694852589e-02 6.8642628505212406e-06 8.6899063473741016e+00 5.9649801314788772e-05 1.9233909533319078e-04 1.6100932019503328e-02
2.2422422422422423e+00 6.2567037151191567e+00 -1.9638237920428063e-02 6.8641569894067291e-06 9.4144170425018991e+00 6.4622036543479240e-05 1.9283019430966936e-04 1.6127592900887684e-02
2.3223223223223224e+00 6.2551300795722593e+00 -1.9663333627185434e-02 6.8640508595129714e-06 1.0199332962539074e+01 7.0008740187975309e-05 1.9332334466700074e-04 1.6152466456120392e-02
2.4024024024024024e+00 6.2535544313935665e+00 -1.9688497685791343e-02 6.8639444596191727e-06 1.1049690321886450e+01 7.5844460665420090e-05 1.9381847056170555e-04 1.6175821161409257e-02
2.4824824824824825e+00 6.2519767652530795e+00 -1.9713729796025210e-02 6.8638377886699553e-06 1.1970945223382135e+01 8.2166626190348393e-05 1.9431557123534608e-04 1.6198662015502793e-02
2.5625625625625625e+00 6.2503970755789657e+00 -1.9739028989023740e-02 6.8637308455739927e-06 1.2969008666004873e+01 8.9015784817374067e-05 1.9481463271475978e-04 1.6221375249121577e-02
2.6426426426426426e+00 6.2488153574019316e+00 -1.9764396174365283e-02 6.8636236293201868e-06 1.4050284471303391e+01 9.6435864495908433e-05 1.9531567806863252e-04 1.6244552497560391e-02
2.7227227227227226e+00 6.2472316057317210e+00 -1.9789832259798620e-02 6.8635161388918083e-06 1.5221710371897055e+01 1.0447445479905226e-04 1.9581873043548310e-04 1.6267786073616279e-02
2.8028028028028027e+00 6.2456458151332042e+00 -1.9815336873003027e-02 6.8634083732083955e-06 1.6490802525681850e+01 1.1318311213569097e-04 1.9632378769529670e-04 1.6290256500654944e-02
2.8828828828828827e+00 6.2440579797129923e+00 -1.9840908321540039e-02 6.8633003311239409e-06 1.7865703741355748e+01 1.2261769040380912e-04 1.9683082151187838e-04 1.6311378580579815e-02
2.9629629629629628e+00 6.2424680933735397e+00 -1.9866544359580209e-02 6.8631920114617352e-06 1.9355235724690452e+01 1.3283869920565429e-04 1.9733979239558411e-04 1.6331170662332438e-02
3.0430430430430429e+00 6.2408761501917027e+00 -1.9892243329988211e-02 6.8630834130662721e-06 2.0968955680774364e+01 1.4391169192204433e-04 1.9785067234973024e-04 1.6350349905844545e-02
3.1231231231231229e+00 6.2392821447787030e+00 -1.9918005250349601e-02 6.8629745348525907e-06 2.2717217635400903e+01 1.5590768613446058e-04 1.9836346657647715e-04 1.6370156339952195e-02
3.2032032032032030e+00 6.2376860724784757e+00 -1.9943832411522526e-02 6.8628653758334570e-06 2.4611238869055200e+01 1.6890361909080551e-04 1.9887822562944822e-04 1.6391908509430932e-02
3.2832832832832834e+00 6.2360879292613491e+00 -1.9969729057297780e-02 6.8627559351047607e-06 2.6663171889756132e+01 1.8298284113514232e-04 1.9939503931094163e-04 1.6416293499319518e-02
3.3633633633633635e+00 6.2344877111700230e+00 -1.9995699713750415e-02 6.8626462117695245e-06 2.8886182406549167e+01 1.9823565026478814e-04 1.9991400352123922e-04 1.6442394125513026e-02
3.4434434434434436e+00 6.2328854131748148e+00 -2.0021745736866357e-02 6.8625362047809148e-06 3.1294533803947296e+01 2.1475987124132851e-04 2.0043515117586306e-04 1.6466456096719800e-02
3.5235235235235236e+00 6.2312810272951236e+00 -2.0047859647027228e-02 6.8624259126846361e-06 3.3903678659328797e+01 2.3266148296711105e-04 2.0095833821345135e-04 1.6492085033302437e-02
3.6036036036036037e+00 6.2296745522687367e+00 -2.0074054295635729e-02 6.8623153349676397e-06 3.6730357890490176e+01 2.5205529821076039e-04 2.0148382793206562e-04 1.6517846962609588e-02
3.6836836836836837e+00 6.2280659785813119e+00 -2.0100317704847017e-02 6.8622044699367737e-06 3.9792708169509382e+01 2.7306569987169685e-04 2.0201138591789322e-04 1.6532084869444959e-02
3.7637637637637638e+00 6.2264552924724468e+00 -2.0126625155385675e-02 6.8620933153090157e-06 4.3110378292113253e+01 2.9582743869875324e-04 2.0254052007270172e-04 1.6542994074786536e-02
3.8438438438438438e+00 6.2248424930500104e+00 -2.0152990811235776e-02 6.8619818706075710e-06 4.6704655249203768e+01 3.2048649759301300e-04 2.0307151931887681e-04 1.6566594560042017e-02
3.9239239239239239e+00 6.2232275836606608e+00 -2.0179441689073704e-02 6.8618701359484093e-06 5.0598600809449060e+01 3.4720102781513350e-04 2.0360493344136288e-04 1.6605432075961955e-02
4.0040040040040044e+00 6.2216105661796091e+00 -2.0206000433628329e-02 6.8617581112373770e-06 5.4817199489287042e+01 3.7614236323093274e-04 2.0414122676189412e-04 1.6653767502203098e-02
4.0840840840840844e+00 6.2199914378402568e+00 -2.0232675754633316e-02 6.8616457957244595e-06 5.9387518859753413e+01 4.0749611910253407e-04 2.0468058409606343e-04 1.6701953064723708e-02
4.1641641641641645e+00 6.2183701901590815e+00 -2.0259459184089425e-02 6.8615331878526882e-06 6.4338883218702676e+01 4.4146338247450678e-04 2.0522284321589267e-04 1.6739943042538188e-02
4.2442442442442445e+00 6.2167468095111129e+00 -2.0286326812554666e-02 6.8614202853391417e-06 6.9703061742745604e+01 4.7826200179192134e-04 2.0576752777288717e-04 1.6759947289781221e-02
