# k_modes P_scalar P_tensor
4.5677601662862249e-05 2.7329238987573879e-09 9.7846013364649609e-12
4.8789863136145121e-05 2.7266385254936688e-09 9.7842421328345405e-12
5.2114179777069617e-05 2.7203617837057211e-09 9.7838869867077994e-12
5.5665000048436457e-05 2.7140911911476782e-09 9.7835269847582516e-12
5.9457756864779946e-05 2.7078273285915360e-09 9.7831642320733338e-12
6.3508934668375671e-05 2.7015718893787089e-09 9.7828048039646955e-12
6.7836141075500436e-05 2.6953224651494995e-09 9.7824400203304553e-12
7.2458183404336494e-05 2.6890805026492260e-09 9.7820750976412410e-12
7.7395150417136741e-05 2.6828472776089769e-09 9.7817146589081522e-12
8.2668499631923455e-05 2.6766201093738153e-09 9.7813490038842632e-12
8.8301150583203994e-05 2.6703994174592206e-09 9.7809795778343182e-12
9.4317584437044019e-05 2.6641871525585106e-09 9.7806135467488873e-12
1.0074395039345054e-04 2.6579824645750013e-09 9.7802478145539294e-12
1.0760817933852635e-04 2.6517845697852064e-09 9.7798794768288994e-12
1.1494010524035638e-04 2.6455938896450323e-09 9.7795100788023197e-12
1.2277159481625260e-04 2.6394104652141020e-09 9.7791397961416049e-12
1.3113668603492718e-04 2.6332343744520584e-09 9.7787689036817867e-12
1.4007173605556613e-04 2.6270656763222693e-09 9.7783975568307555e-12
1.4961557924679105e-04 2.6209039229599748e-09 9.7780241756918768e-12
1.5980969597230384e-04 2.6147485644716876e-09 9.7776466560949585e-12
1.7069839287680967e-04 2.6086025039039395e-09 9.7772758348645062e-12
1.8232899545579185e-04 2.6024616385198703e-09 9.7768963980834120e-12
1.9475205374610487e-04 2.5963296807752061e-09 9.7765222184865138e-12
2.0802156203137735e-04 2.5902041431440091e-09 9.7761439767406936e-12
2.2219519351712925e-04 2.5840866275381972e-09 9.7757677003444031e-12
2.3733455099557248e-04 2.5779762477039587e-09 9.7753900062464338e-12
2.5350543458955440e-04 2.5718721216457123e-09 9.7750076025029865e-12
2.7077812773934346e-04 2.5657754869917453e-09 9.7746251551886454e-12
2.8922770267523628e-04 2.5596876491160578e-09 9.7742476223540424e-12
3.0893434670366222e-04 2.5536058512530742e-09 9.7738644986902260e-12
3.2998371072492087e-04 2.5475305196183261e-09 9.7734774172988037e-12
3.5246728149731279e-04 2.5414640995749881e-09 9.7730957236146631e-12
3.7648277926563659e-04 2.5354037963028188e-09 9.7727086962125374e-12
4.0213458248225704e-04 2.5293514850932163e-09 9.7723235514706134e-12
4.2953418146671511e-04 2.5233057121214298e-09 9.7719346570692449e-12
4.5880066297561325e-04 2.5172672635121519e-09 9.7715450689313619e-12
4.9006122778886142e-04 2.5112378997704920e-09 9.7711616214142026e-12
5.2345174356187036e-04 2.5052140979717034e-09 9.7707706347002359e-12
5.5911733534653920e-04 2.4991972330580488e-09 9.7703773878816525e-12
5.9721301634763752e-04 2.4931886300657857e-09 9.7699871351489750e-12
6.3790436165601038e-04 2.4871856131385578e-09 9.7695893044251717e-12
6.8136822788686998e-04 2.4811919362873385e-09 9.7691986783754406e-12
7.2779352185092447e-04 2.4752043606012477e-09 9.7688025360580267e-12
7.7738202159921771e-04 2.4692244359767695e-09 9.7684069611396222e-12
8.3034925341018994e-04 2.4632520608619452e-09 9.7680115547954938e-12
8.8692542853058471e-04 2.4572855389805643e-09 9.7676095823915967e-12
9.4735644374159024e-04 2.4513286987188354e-09 9.7672162492317636e-12
1.0119049500989293e-03 2.4453765420107942e-09 9.7668116456678324e-12
1.0808514944919921e-03 2.4394330627335723e-09 9.7664117464500675e-12
1.1544957389835473e-03 2.4334966199224797e-09 9.7660098920475723e-12
1.2331577632296465e-03 2.4275683166369261e-09 9.7656106117569991e-12
1.3171794556404326e-03 2.4216467792136159e-09 9.7652083569715142e-12
1.4069259993282203e-03 2.4157317913980976e-09 9.7648022314131113e-12
1.5027874593012680e-03 2.4098246283124022e-09 9.7643973804325765e-12
1.6051804778015957e-03 2.4039242450514183e-09 9.7639895507393101e-12
1.7145500851553355e-03 2.3980316528496099e-09 9.7635828594380184e-12
1.8313716340060797e-03 2.3921463760324673e-09 9.7631753733002866e-12
1.9561528653379845e-03 2.3862679226787766e-09 9.7627651118754302e-12
2.0894361152681870e-03 2.3803975253956287e-09 9.7623570766421053e-12
2.2318006721998638e-03 2.3745331083716280e-09 9.7619427428361561e-12
2.3838652945809002e-03 2.3686758414492132e-09 9.7615269250116489e-12
2.5462909002109896e-03 2.3628272245704266e-09 9.7611158080832218e-12
2.7197834387857689e-03 2.3569847896994418e-09 9.7606991732434538e-12
2.9050969601628778e-03 2.3511508631826856e-09 9.7602866723213843e-12
3.1030368916855336e-03 2.3453229405969173e-09 9.7598679174446721e-12
3.3144635388078700e-03 2.3395030971398524e-09 9.7594515024452013e-12
3.5402958242367138e-03 2.3336900552217944e-09 9.7590321348056977e-12
3.7815152818413511e-03 2.3278839942691331e-09 9.7586105336053316e-12
4.0391703226898322e-03 2.3220866806631928e-09 9.7581941080347300e-12
4.3143807917534046e-03 2.3162955241950360e-09 9.7577719827150274e-12
4.6083428350837804e-03 2.3105110701306301e-09 9.7573464650935293e-12
4.9223340986174645e-03 2.3047347304064145e-09 9.7569234401071040e-12
5.2577192812026828e-03 2.2989651784983843e-09 9.7564973771719263e-12
5.6159560659839640e-03 2.2932033830257482e-09 9.7560722993809730e-12
5.9986014559239957e-03 2.2874479583778513e-09 9.7556423578477456e-12
6.4073185409987566e-03 2.2817000629199028e-09 9.7552124685884861e-12
6.8438837264781591e-03 2.2759603971342785e-09 9.7547856374669570e-12
7.3101944537084735e-03 2.2702274039445310e-09 9.7543552148943471e-12
7.8082774469532936e-03 2.2645014221124819e-09 9.7539225796024155e-12
8.3402975221363272e-03 2.2587828668955176e-09 9.7534895781739187e-12
8.9085669957712828e-03 2.2530719369245250e-09 9.7530570344404216e-12
9.5155557349729941e-03 2.2473677182541225e-09 9.7526210291421508e-12
1.0163901892229996e-02 2.2416710572134365e-09 9.7521851623656764e-12
1.0856423371595087e-02 2.2359812225087586e-09 9.7517462886527010e-12
