# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 6.2000000000000002e+00 -2.2592571270199164e-02 9.0982726647916223e-06 1.0000000000000000e+00 9.0982726647916223e-06 2.5521213829951431e-04 2.4646305494945295e-03
8.0080080080080079e-02 6.1981906763076680e+00 -2.2596568229385033e-02 9.0980866992169128e-06 1.0833738208636425e+00 9.8566289498793130e-06 2.5530244787262652e-04 4.3556210740341144e-03
1.6016016016016016e-01 6.1963807477063124e+00 -2.2607408363632314e-02 9.0979006130759485e-06 1.1736988357326876e+00 1.0678195357178946e-05 2.5554745646001617e-04 7.7350984653918936e-03
2.4024024024024024e-01 6.1945697263450201e+00 -2.2623647000517423e-02 9.0977143059736481e-06 1.2715545922109306e+00 1.1568240404383871e-05 2.5591470180201048e-04 1.0397019421842605e-02
3.2032032032032032e-01 6.1927572272632512e+00 -2.2644150249755100e-02 9.0975276985288535e-06 1.3775689570002665e+00 1.2532471742943428e-05 2.5637877026674197e-04 1.2495681889954592e-02
4.0040040040040037e-01 6.1909429474739763e+00 -2.2668031856727944e-02 9.0973407280708573e-06 1.4924221444485215e+00 1.3577072758166383e-05 2.5691983412881646e-04 1.4150274970764551e-02
4.8048048048048048e-01 6.1891266441415809e+00 -2.2694587317787503e-02 9.0971533441585443e-06 1.6168510809727057e+00 1.4708742218277208e-05 2.5752214676234072e-04 1.5452344597721801e-02
5.6056056056056058e-01 6.1873081230104772e+00 -2.2723258947536729e-02 9.0969655062239846e-06 1.7516541333609108e+00 1.5934737230018874e-05 2.5817324859840401e-04 1.6479032811630833e-02
6.4064064064064064e-01 6.1854872327088319e+00 -2.2753618685383701e-02 9.0967771824306031e-06 1.8976962312908023e+00 1.7262919775990717e-05 2.5886358163992114e-04 1.7296478279038879e-02
7.2072072072072069e-01 6.1836638574139835e+00 -2.2785345952743969e-02 9.0965883481859669e-06 2.0559144169320511e+00 1.8701807129931642e-05 2.5958599509311300e-04 1.7950833477146228e-02
8.0080080080080074e-01 6.1818379003660837e+00 -2.2818177872268766e-02 9.0963989827492715e-06 2.2273238572403238e+00 2.0260626469254066e-05 2.6033462070524797e-04 1.8466838708855071e-02
8.8088088088088090e-01 6.1800092746709634e+00 -2.2851881498449956e-02 9.0962090673470635e-06 2.4130243575191956e+00 2.1949374040595429e-05 2.6110424400959970e-04 1.8875521852871814e-02
9.6096096096096095e-01 6.1781779201955782e+00 -2.2886304841943490e-02 9.0960185886980169e-06 2.6142074180426071e+00 2.3778879269227802e-05 2.6189147465918304e-04 1.9206186601054425e-02
1.0410410410410411e+00 6.1763437848760807e+00 -2.2921320425947293e-02 9.0958275351462469e-06 2.8321638790148969e+00 2.5760874194790302e-05 2.6269346503447429e-04 1.9473102345298789e-02
1.1211211211211212e+00 6.1745068253109636e+00 -2.2956827079490674e-02 9.0956358967942022e-06 3.0682922029203636e+00 2.7908068702736220e-05 2.6350795477881814e-04 1.9689481635727507e-02
1.2012012012012012e+00 6.1726670049951142e+00 -2.2992744606587224e-02 9.0954436651446043e-06 3.3241074474039571e+00 3.0234232024750323e-05 2.6433315227187296e-04 1.9866372178497214e-02
1.2812812812812813e+00 6.1708242935503357e+00 -2.3029011464407931e-02 9.0952508329485231e-06 3.6012509862553141e+00 3.2754281032395338e-05 2.6516768451391594e-04 2.0013338943390024e-02
1.3613613613613613e+00 6.1689786657774022e+00 -2.3065581902245513e-02 9.0950573940135328e-06 3.9015010408683803e+00 3.5484375889501458e-05 2.6601053424459784e-04 2.0137220132181895e-02
1.4414414414414414e+00 6.1671300993537708e+00 -2.3102419010028116e-02 9.0948633427257007e-06 4.2267840897490556e+00 3.8442023675474906e-05 2.6686088205745426e-04 2.0241459699671945e-02
1.5215215215215214e+00 6.1652785730340876e+00 -2.3139489285266979e-02 9.0946686736763013e-06 4.5791872292770872e+00 4.1646190645004904e-05 2.6771798219149269e-04 2.0330286117717103e-02
1.6016016016016015e+00 6.1634240694319429e+00 -2.3176771035501729e-02 9.0944733822482884e-06 4.9609715650319144e+00 4.5117423848273382e-05 2.6858135781603597e-04 2.0408145520430201e-02
1.6816816816816818e+00 6.1615665725567412e+00 -2.3214246940884177e-02 9.0942774641026374e-06 5.3745867196045101e+00 4.8877982882964620e-05 2.6945063051617520e-04 2.0477292159143699e-02
1.7617617617617618e+00 6.1597060676124959e+00 -2.3251903447691905e-02 9.0940809151366139e-06 5.8226865499809275e+00 5.2951982629004208e-05 2.7032550697039337e-04 2.0539307111677771e-02
1.8418418418418419e+00 6.1578425403898871e+00 -2.3289728933396186e-02 9.0938837313562187e-06 6.3081461753441781e+00 5.7365547878979371e-05 2.7120573689553570e-04 2.0595268190104429e-02
1.9219219219219219e+00 6.1559759772648963e+00 -2.3327713703821615e-02 9.0936859088774380e-06 6.8340804245489943e+00 6.2146980856856332e-05 2.7209111332373339e-04 2.0646461719097540e-02
2.0020020020020022e+00 6.1541063654670163e+00 -2.3365850804479400e-02 9.0934874439845400e-06 7.4038638216330694e+00 6.7326942698991702e-05 2.7298149190859534e-04 2.0694532954490173e-02
2.0820820820820822e+00 6.1522336932679549e+00 -2.3404136591744722e-02 9.0932883331710996e-06 8.0211522375967075e+00 7.2938650060727400e-05 2.7387680480252214e-04 2.0741072659690815e-02
2.1621621621621623e+00 6.1503579497417658e+00 -2.3442570009548629e-02 9.0930885730893935e-06 8.6899063473741016e+00 7.9018088108524432e-05 2.7477704432629440e-04 2.0786647190917881e-02
2.2422422422422423e+00 6.1484791237473271e+00 -2.3481149517254930e-02 9.0928881603338886e-06 9.4144170425018991e+00 8.5604241262211099e-05 2.7568219132584072e-04 2.0829842508621528e-02
2.3223223223223224e+00 6.1465972024839886e+00 -2.3519868728407136e-02 9.0926870911343056e-06 1.0199332962539074e+01 9.2739343166659661e-05 2.7659211250075197e-04 2.0870820366551697e-02
2.4024024024024024e+00 6.1447121748756572e+00 -2.3558726633084247e-02 9.0924853620761294e-06 1.1049690321886450e+01 1.0046914750722683e-04 2.7750680028619648e-04 2.0910845377986771e-02
2.4824824824824825e+00 6.1428240295794829e+00 -2.3597721584338240e-02 9.0922829696739991e-06 1.1970945223382135e+01 1.0884322138545768e-04 2.7842623198597141e-04 2.0950665955695520e-02
2.5625625625625625e+00 6.1409327563344078e+00 -2.3636855373422114e-02 9.0920799106681996e-06 1.2969008666004873e+01 1.1791526315346469e-04 2.7935046597203693e-04 2.0991190253640834e-02
2.6426426426426426e+00 6.1390383448258996e+00 -2.3676129801377368e-02 9.0918761817759466e-06 1.4050284471303391e+01 1.2774344673181974e-04 2.8027956118583476e-04 2.1031777537079820e-02
2.7227227227227226e+00 6.1371407838832415e+00 -2.3715544255388781e-02 9.0916717795166392e-06 1.5221710371897055e+01 1.3839079462415219e-04 2.8121351966465191e-04 2.1071158098232651e-02
2.8028028028028027e+00 6.1352400614813627e+00 -2.3755095715539402e-02 9.0914667002122707e-06 1.6490802525681850e+01 1.4992558202201294e-04 2.8215228622721926e-04 2.1108484250920097e-02
2.8828828828828827e+00 6.1333361652556118e+00 -2.3794780311103311e-02 9.0912609400995567e-06 1.7865703741355748e+01 1.6242177459117803e-04 2.8309578502683490e-04 2.1143907254001712e-02
2.9629629629629628e+00 6.1314290832378742e+00 -2.3834595545513884e-02 9.0910544954902092e-06 1.9355235724690452e+01 1.7595950274621982e-04 2.8404397240911513e-04 2.1178686318981180e-02
3.0430430430430429e+00 6.1295188045224567e+00 -2.3874542309145270e-02 9.0908473629159043e-06 2.0968955680774364e+01 1.9062557545366810e-04 2.8499688523558382e-04 2.1214835867619283e-02
3.1231231231231229e+00 6.1276053195701259e+00 -2.3914625799044732e-02 9.0906395391943850e-06 2.2717217635400903e+01 2.0651403685685942e-04 2.8595466355416793e-04 2.1254317197746158e-02
3.2032032032032030e+00 6.1256886198587255e+00 -2.3954854464753525e-02 9.0904310213532399e-06 2.4611238869055200e+01 2.2372676928919403e-04 2.8691752621376096e-04 2.1297780702028087e-02
3.2832832832832834e+00 6.1237686965887619e+00 -2.3995236099354063e-02 9.0902218063478141e-06 2.6663171889756132e+01 2.4237414653866126e-04 2.8788567773187218e-04 2.1342864795965082e-02
3.3633633633633635e+00 6.1218455381523817e+00 -2.4035770194880974e-02 9.0900118905097537e-06 2.8886182406549167e+01 2.6257574154696557e-04 2.8885912443056430e-04 2.1382904045437953e-02
3.4434434434434436e+00 6.1199191271506574e+00 -2.4076438933567694e-02 9.0898012689002568e-06 3.1294533803947296e+01 2.8446109308076213e-04 2.8983745586090717e-04 2.1420929128377866e-02
3.5235235235235236e+00 6.1179894556445635e+00 -2.4117253261951726e-02 9.0895899386484324e-06 3.3903678659328797e+01 3.0817053642500459e-04 2.9082095245056060e-04 2.1458080917340239e-02
3.6036036036036037e+00 6.1160565076018472e+00 -2.4158199857623051e-02 9.0893778950391360e-06 3.6730357890490176e+01 3.3385610308669770e-04 2.9180931018042922e-04 2.1491897424354017e-02
3.6836836836836837e+00 6.1141202717655894e+00 -2.4199280016688460e-02 9.0891651344338292e-06 3.9792708169509382e+01 3.6168249569900490e-04 2.9280257666304869e-04 2.1530257186607820e-02
3.7637637637637638e+00 6.1121807420635923e+00 -2.4240510890344669e-02 9.0889516543450794e-06 4.3110378292113253e+01 3.9182814409754498e-04 2.9380118411245927e-04 2.1576919546748771e-02
3.8438438438438438e+00 6.1102379120022725e+00 -2.4281908547238593e-02 9.0887374521785450e-06 4.6704655249203768e+01 4.2448634935452557e-04 2.9480554134822930e-04 2.1628931671633666e-02
3.9239239239239239e+00 6.1082917716604701e+00 -2.4323478891557043e-02 9.0885225245583661e-06 5.0598600809449060e+01 4.5986652316781497e-04 2.9581581269401050e-04 2.1680335401091714e-02
4.0040040040040044e+00 6.1063423067797986e+00 -2.4365214915899519e-02 9.0883068671230141e-06 5.4817199489287042e+01 4.9819553055493960e-04 2.9683184894898620e-04 2.1725051920213182e-02
4.0840840840840844e+00 6.1043894994481711e+00 -2.4407098767987651e-02 9.0880904746786066e-06 5.9387518859753413e+01 5.3971914446412114e-04 2.9785323513515218e-04 2.1758954752909961e-02
4.1641641641641645e+00 6.1024333298731355e+00 -2.4449107110264965e-02 9.0878733415967775e-06 6.4338883218702676e+01 5.8470362163135631e-04 2.9887941924460441e-04 2.1781141598158343e-02
4.2442442442442445e+00 6.1004737787416374e+00 -2.4491218251440534e-02 9.0876554623440875e-06 6.9703061742745604e+01 6.3343740978856933e-04 2.9990988571984697e-04 2.1794415711344592e-02
4.3243243243243246e+00 6.0985108296628594e+00 -2.4533419529030157e-02 9.0874368320300784e-06 7.5514472326132690e+01 6.8623299716781430e-04 3.0094433689369917e-04 2.1804987669960276e-02
4.4044044044044046e+00 6.0965444711907466e+00 -2.4575713421948711e-02 9.0872174468609556e-06 8.1810402414464164e+01 7.4342891615543436e-04 3.0198284509887500e-04 2.1821408312961525e-02
4.4844844844844847e+00 6.0945746979228703e+00 -2.4618120872207199e-02 9.0869973043859700e-06 8.8631248250150193e+01 8.0539191393347851e-04 3.0302593763930187e-04 2.1852743415902775e-02
4.5645645645645647e+00 6.0926015101722388e+00 -2.4660680294768214e-02 9.0867764034235495e-06 9.6020774064679244e+01 8.7251930400939132e-04 3.0407457630038463e-04 2.1906000427225278e-02
4.6446446446446448e+00 6.0906249117087050e+00 -2.4703440754613372e-02 9.0865547435541775e-06 1.0402639288073608e+02 9.4524151368528299e-04 3.0512999255834645e-04 2.1982817596111766e-02
4.7247247247247248e+00 6.0886449050665892e+00 -2.4746447790076342e-02 9.0863323240671202e-06 1.1269947072586547e+02 1.0240248437616876e-03 3.0619333911348714e-04 2.2075426252020899e-02
4.8048048048048049e+00 6.0866614839151509e+00 -2.4789720361495092e-02 9.0861091422479897e-06 1.2209565620959108e+02 1.1093744581147330e-03 3.0726511780056220e-04 2.2161897738620887e-02
4.8848848848848849e+00 6.0846746219885457e+00 -2.4833217404236951e-02 9.0858851908942173e-06 1.3227523757863841e+02 1.2018376222377651e-03 3.0834434332304849e-04 2.2201222445085697e-02
4.9649649649649650e+00 6.0826842587756236e+00 -2.4876794591598597e-02 9.0856604551040355e-06 1.4330352954121557e+02 1.3020072114294553e-03 3.0942745457629461e-04 2.2203751658110591e-02
5.0450450450450450e+00 6.0806903808882478e+00 -2.4920450196626722e-02 9.0854349305686553e-06 1.5525129234231255e+02 1.4105255144627724e-03 3.1051441900127640e-04 2.2223779933127061e-02
5.1251251251251251e+00 6.0786929991782701e+00 -2.4964255940448175e-02 9.0852086183243878e-06 1.6819518577890949e+02 1.5280883513992200e-03 3.1160703733010102e-04 2.2260691235638452e-02
