# k_modes P_scalar P_tensor
4.5722929464350531e-05 3.1766956899833286e-09 1.6615955921477617e-11
4.8465553133606766e-05 3.1682204306946101e-09 1.6615175388181680e-11
5.1372689109473283e-05 3.1597560047909373e-09 1.6614393540193340e-11
5.4454205424276287e-05 3.1513023680736544e-09 1.6613610163720083e-11
5.7720562029961399e-05 3.1428590359181643e-09 1.6612822693017939e-11
6.1182846303535197e-05 3.1344262721687865e-09 1.6612032500771761e-11
6.4852810682247496e-05 3.1260047298161897e-09 1.6611242959364389e-11
6.8742912556266731e-05 3.1175928742768682e-09 1.6610445981345423e-11
7.2866356554259618e-05 3.1091935743492487e-09 1.6609656746239558e-11
7.7237139365408949e-05 3.1008029166247582e-09 1.6608854560019804e-11
8.1870097250016227e-05 3.0924244493487443e-09 1.6608058064252060e-11
8.6780956399959221e-05 3.0840560651788174e-09 1.6607256251492084e-11
9.1986386319946813e-05 3.0756983609296209e-09 1.6606452101013091e-11
9.7504056410773696e-05 3.0673514428212066e-09 1.6605646273109271e-11
1.0335269594663674e-04 3.0590159106638838e-09 1.6604841970647437e-11
1.0955215765010635e-04 3.0506889953520639e-09 1.6604024313782186e-11
1.1612348508054879e-04 3.0423744928204936e-09 1.6603213538375703e-11
1.2308898406474547e-04 3.0340703537945345e-09 1.6602398745491765e-11
1.3047229841217544e-04 3.0257772294955155e-09 1.6601583516713261e-11
1.3829849017196841e-04 3.0174940774037833e-09 1.6600761974521974e-11
1.4659412470395457e-04 3.0092219815954728e-09 1.6599940118295507e-11
1.5538736085257958e-04 3.0009605724612517e-09 1.6599115898795838e-11
1.6470804652976949e-04 2.9927102707432754e-09 1.6598291587980884e-11
1.7458782003119621e-04 2.9844699146427794e-09 1.6597460873113939e-11
1.8506021742985244e-04 2.9762408205807482e-09 1.6596630770578378e-11
1.9616078641147331e-04 2.9680223406900361e-09 1.6595797910726061e-11
2.0792720693821318e-04 2.9598149072410934e-09 1.6594964612020005e-11
2.2039941915015599e-04 2.9516175067232361e-09 1.6594125205369227e-11
2.3361975893881345e-04 2.9434310461187023e-09 1.6593284687716769e-11
2.4763310165280323e-04 2.9352553070795690e-09 1.6592441854083552e-11
2.6248701442350254e-04 2.9270902877708909e-09 1.6591596699119911e-11
2.7823191762773805e-04 2.9189360915234860e-09 1.6590749838910040e-11
2.9492125603557893e-04 2.9107924474894129e-09 1.6589899563129165e-11
3.1261168022418207e-04 2.9026597017679992e-09 1.6589047993627598e-11
3.3136323887348668e-04 2.8945385175884321e-09 1.6588198773341851e-11
3.5123958259648445e-04 2.8864264769134078e-09 1.6587338143336651e-11
3.7230817999595479e-04 2.8783257106650437e-09 1.6586478227986399e-11
3.9464054668104985e-04 2.8702354455354275e-09 1.6585614563843266e-11
4.1831248802110638e-04 2.8621563370577639e-09 1.6584750986079279e-11
4.4340435646069619e-04 2.8540881757897294e-09 1.6583886135690553e-11
4.7000132426934461e-04 2.8460302950853019e-09 1.6583016361819759e-11
4.9819367265174373e-04 2.8379834064462131e-09 1.6582145561665045e-11
5.2807709819983092e-04 2.8299470157543376e-09 1.6581270948598954e-11
5.5975303772693862e-04 2.8219216114982140e-09 1.6580395231796233e-11
5.9332901258666226e-04 2.8139069847896285e-09 1.6579517385176537e-11
6.2891899364518947e-04 2.8059027473559048e-09 1.6578634963012980e-11
6.6664378814596491e-04 2.7979098501623589e-09 1.6577753523673258e-11
7.0663144977987805e-04 2.7899273315807624e-09 1.6576867468724263e-11
7.4901771335290988e-04 2.7819550857537941e-09 1.6575976123321982e-11
7.9394645552669212e-04 2.7739939879107271e-09 1.6575084545974836e-11
8.4157018319592103e-04 2.7660440009572404e-09 1.6574192618783373e-11
8.9205055116037951e-04 2.7581044399574483e-09 1.6573296213243433e-11
9.4555891084877226e-04 2.7501751015711549e-09 1.6572394179634012e-11
1.0022768919569591e-03 2.7422569179249206e-09 1.6571491860785502e-11
1.0623970189749113e-03 2.7343491150435329e-09 1.6570584759881494e-11
1.1261233646951622e-03 2.7264528498363244e-09 1.6569679755679582e-11
1.1936722429209865e-03 2.7185668986748776e-09 1.6568769515558910e-11
1.2652729427257035e-03 2.7106918503757005e-09 1.6567857494728454e-11
1.3411685067554458e-03 2.7028273331612611e-09 1.6566941482359433e-11
1.4216165562172894e-03 2.6949739703347641e-09 1.6566025276988424e-11
1.5068901653531158e-03 2.6871310520593641e-09 1.6565104482051869e-11
1.5972787883675097e-03 2.6792991248457049e-09 1.6564182361305424e-11
1.6930892419560768e-03 2.6714774025059382e-09 1.6563254157574562e-11
1.7946467467693302e-03 2.6636674015329412e-09 1.6562329146986042e-11
1.9022960313472314e-03 2.6558676543113836e-09 1.6561398302286658e-11
2.0164025022716909e-03 2.6480781869485338e-09 1.6560461655301341e-11
2.1373534845089436e-03 2.6403002529843454e-09 1.6559527033243989e-11
2.2655595361520645e-03 2.6325317300596909e-09 1.6558581274764291e-11
2.4014558420264388e-03 2.6247755339893356e-09 1.6557642327532385e-11
2.5455036908885831e-03 2.6170297434188128e-09 1.6556698361708545e-11
2.6981920412326543e-03 2.6092945126605303e-09 1.6555750353924597e-11
2.8600391810195574e-03 2.6015699114571510e-09 1.6554798522156703e-11
3.0315944869625014e-03 2.5938562789263770e-09 1.6553845157574970e-11
3.2134402893407724e-03 2.5861537656468986e-09 1.6552891107248582e-11
3.4061938486716365e-03 2.5784611954335422e-09 1.6551928902076856e-11
3.6105094509500343e-03 2.5707796266644607e-09 1.6550965206046812e-11
3.8270806285682470e-03 2.5631091902603234e-09 1.6550000892263917e-11
4.0566425144541209e-03 2.5554491575729601e-09 1.6549031321633991e-11
4.2999743374189520e-03 2.5478003316903058e-09 1.6548061517807430e-11
4.5579020671851428e-03 2.5401622402031606e-09 1.6547088440907648e-11
4.8313012180720124e-03 2.5325346023190707e-09 1.6546110323590497e-11
5.1210998208566757e-03 2.5249180976620296e-09 1.6545131479081124e-11
5.4282815728976504e-03 2.5173122289838347e-09 1.6544148698510434e-11
5.7538891772140810e-03 2.5097166881244162e-09 1.6543159857759370e-11
6.0990278818547931e-03 2.5021323915676343e-09 1.6542171064441536e-11
6.4648692315712498e-03 2.4945591784735587e-09 1.6541181178618055e-11
6.8526550445292250e-03 2.4869963013946760e-09 1.6540185247091982e-11
7.2637016275577081e-03 2.4794448481653280e-09 1.6539190420738436e-11
7.6994042442434423e-03 2.4719034543015468e-09 1.6538187701705481e-11
8.1612418510375959e-03 2.4643728493661897e-09 1.6537181757750720e-11
8.6507821174510099e-03 2.4568536427645823e-09 1.6536176765608898e-11
9.1696867473784940e-03 2.4493451609350685e-09 1.6535168151394868e-11
9.7197171196151139e-03 2.4418464978951131e-09 1.6534149817876977e-11
1.0302740266710608e-02 2.4343596275481747e-09 1.6533135047321649e-11
1.0920735212456822e-02 2.4268830805427726e-09 1.6532113849667842e-11
1.1575799689520046e-02 2.4194176315811734e-09 1.6531091503001564e-11
1.2270157260020851e-02 2.4119632469411033e-09 1.6530067693283972e-11
1.3006164863231568e-02 2.4045193641509221e-09 1.6529038602758412e-11
1.3786320816011435e-02 2.3970862171984325e-09 1.6528005782640418e-11
1.4613273293136345e-02 2.3896639259664578e-09 1.6526970011133091e-11
1.5489829316308781e-02 2.3822522637623953e-09 1.6525929806305546e-11
1.6418964282360567e-02 2.3748519269735923e-09 1.6524889758679563e-11
1.7403832062990940e-02 2.3674616968503230e-09 1.6523841583333247e-11
1.8447775710322956e-02 2.3600828657020942e-09 1.6522794158868685e-11
1.9554338804617020e-02 2.3527149478669276e-09 1.6521744068123804e-11
2.0727277482660667e-02 2.3453573956297507e-09 1.6520687431859809e-11
2.1970573187663749e-02 2.3380110569154258e-09 1.6519630244456529e-11
2.3288446183937824e-02 2.3306750371294772e-09 1.6518566147380070e-11
2.4685369882233802e-02 2.3233497787316936e-09 1.6517498243472983e-11
2.6166086024364332e-02 2.3160356403483442e-09 1.6516428954333990e-11
2.7735620778653602e-02 2.3087326477605298e-09 1.6515358492903163e-11
2.9399301800849660e-02 2.3014405277977221e-09 1.6514285041103637e-11
3.1162776318410551e-02 2.2941588828130815e-09 1.6513205531570164e-11
3.3032030299550291e-02 2.2868879312925580e-09 1.6512121542212212e-11
3.5013408772112307e-02 2.2796283244873348e-09 1.6511037799346506e-11
3.7113637361240862e-02 2.2723795506389385e-09 1.6509950472543582e-11
3.9339845118958855e-02 2.2651413595479360e-09 1.6508857859319367e-11
4.1699588723144415e-02 2.2579133901359200e-09 1.6507757177402021e-11
4.4200878128048265e-02 2.2506975088460570e-09 1.6506662052975023e-11
4.6852203753419919e-02 2.2434914508952966e-09 1.6505555936938244e-11
4.9662565304534674e-02 2.2362963098849906e-09 1.6504446799562233e-11
5.2641502320947747e-02 2.2291127518386037e-09 1.6503339359001032e-11
5.5799126557671379e-02 2.2219393279289436e-09 1.6502223153210789e-11
5.9146156308689642e-02 2.2147769297486763e-09 1.6501104586999279e-11
6.2693952789320107e-02 2.2076256449319157e-09 1.6499984250036299e-11
6.6454558700918195e-02 2.2004849155828595e-09 1.6498858096533000e-11
7.0440739108829753e-02 2.1933553119268411e-09 1.6497730287178190e-11
7.4666024772347989e-02 2.1862361865871292e-09 1.6496595930570315e-11
7.9144758073755872e-02 2.1791282146699906e-09 1.6495459998890432e-11
8.3892141702354706e-02 2.1720311087215777e-09 1.6494320497160343e-11
8.8924290258734176e-02 2.1649448681925501e-09 1.6493177105725193e-11
9.4258284954449587e-02 2.1578693613914470e-09 1.6492029016733975e-11
9.9912231592779649e-02 2.1508048936922184e-09 1.6490878492892379e-11
1.0590532202737687e-01 2.1437511477291251e-09 1.6489723053821471e-11
1.1225789930742512e-01 2.1367079503330443e-09 1.6488561320627309e-11
1.1899152673043566e-01 2.1296763138870072e-09 1.6487400937902454e-11
1.2612906103707433e-01 2.1226552199109788e-09 1.6486234256143679e-11
1.3369472999647578e-01 2.1156451864830031e-09 1.6485065094568242e-11
1.4171421464539877e-01 2.1086454294856354e-09 1.6483887394166899e-11
1.5021473646037933e-01 2.1016576751374936e-09 1.6482714484307160e-11
1.5922514975877775e-01 2.0946795251033855e-09 1.6481527694822467e-11
1.6877603964237034e-01 2.0877128015965761e-09 1.6480341243378170e-11
1.7889982581594421e-01 2.0807573272191715e-09 1.6479153589350024e-11
1.8963087263330050e-01 2.0738119700791932e-09 1.6477955958113907e-11
2.0100560574420709e-01 2.0668781229267227e-09 1.6476759098936250e-11
2.1306263573825124e-01 2.0599550418640894e-09 1.6475557308111319e-11
2.2584288920528783e-01 2.0530427927292680e-09 1.6474350943118324e-11
2.3938974765735974e-01 2.0461412727594350e-09 1.6473139239440797e-11
2.5374919478364805e-01 2.0392508546998093e-09 1.6471925086574560e-11
2.6896997253829613e-01 2.0323712686165232e-09 1.6470706187767181e-11
2.8510374659093807e-01 2.0255026306711003e-09 1.6469483588741285e-11
3.0220528170153471e-01 2.0186449760059057e-09 1.6468257556070539e-11
3.2033262761481673e-01 2.0117980266651359e-09 1.6467025698643687e-11
3.3954731610533473e-01 2.0049615786267409e-09 1.6465786310027009e-11
3.5991456984197434e-01 1.9981368852796619e-09 1.6464549606792520e-11
3.8150352378090319e-01 1.9913225515993981e-09 1.6463304184358721e-11
4.0438745983845525e-01 1.9845196513243000e-09 1.6462058740907122e-11
4.2864405564052577e-01 1.9777270481236515e-09 1.6460803967004605e-11
4.5435564819284191e-01 1.9709455060424736e-09 1.6459546095312746e-11
4.8160951336710878e-01 1.9641749614612195e-09 1.6458284552932844e-11
5.1049816215172950e-01 1.9574150192988906e-09 1.6457015951819838e-11
5.4111965467269163e-01 1.9506668230039057e-09 1.6455749891198601e-11
5.7357793305055016e-01 1.9439289672035564e-09 1.6454474650748998e-11
6.0798317422334147e-01 1.9372019458194318e-09 1.6453194101899831e-11
6.4445216393307803e-01 1.9304860670687160e-09 1.6451910997855573e-11
6.8310869314528311e-01 1.9237811866735001e-09 1.6450623971434588e-11
7.2408397824716231e-01 1.9170869733642742e-09 1.6449330253391636e-11
7.6751710645077520e-01 1.9104037202202488e-09 1.6448032238345654e-11
8.1355550791304798e-01 1.9037315632360029e-09 1.6446731040174245e-11
8.6235545617523690e-01 1.8970704401640856e-09 1.6445426104544480e-11
9.1408259862052799e-01 1.8904200121636419e-09 1.6444114531696925e-11
9.6891251875035178e-01 1.8837804448723740e-09 1.6442797582916775e-11
1.0270313321880427e+00 1.8771518073632297e-09 1.6441475904731198e-11
