# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 6.2000000000000002e+00 -9.9776126970706532e-03 3.8425901807311798e-06 1.0000000000000000e+00 3.8425901807311798e-06 4.9776377566372758e-05 4.9776377566372758e-05
4.0020010005002500e-02 6.1996006943408242e+00 -9.9777239810951261e-03 3.8425825260452186e-06 1.0408316010295584e+00 3.9994813226718498e-06 4.9777487921460384e-05 -4.9671065899425015e-04
8.0040020010005000e-02 6.1992013800305878e+00 -9.9780409355217335e-03 3.8425748710428237e-06 1.0833304217017536e+00 4.1627782554673841e-06 4.9780650455473718e-05 -9.8155336543021996e-04
1.2006003001500751e-01 6.1988020493114204e+00 -9.9785403806090106e-03 3.8425672154265341e-06 1.1275645372638630e+00 4.3327425241677105e-06 4.9785634063722308e-05 -1.4117113666706944e-03
1.6008004002001000e-01 6.1984026952998583e+00 -9.9792017640820511e-03 3.8425595589323896e-06 1.1736048025844994e+00 4.5096463525800283e-06 4.9792233924129159e-05 -1.7933617978172231e-03
2.0010005002501249e-01 6.1980033118868318e+00 -9.9800068606076126e-03 3.8425519013260816e-06 1.2215249656500033e+00 4.6937730792756967e-06 4.9800268468887506e-05 -2.1319873338286419e-03
2.4012006003001501e-01 6.1976038936500464e+00 -9.9809395085388442e-03 3.8425442423995863e-06 1.2714017856950692e+00 4.8854176113991409e-06 4.9809576736555815e-05 -2.4324536101918322e-03
2.8014007003501751e-01 6.1972044357779881e+00 -9.9819853815614531e-03 3.8425365819682549e-06 1.3233151561568384e+00 5.0848868970056849e-06 4.9820016078853276e-05 -2.6990765926709673e-03
3.2016008004002000e-01 6.1968049339999869e+00 -9.9831317785617820e-03 3.8425289198681321e-06 1.3773482326494020e+00 5.2925004166845877e-06 4.9831460054065066e-05 -2.9356848250080315e-03
3.6018009004502249e-01 6.1964053845212810e+00 -9.9843674285108198e-03 3.8425212559534658e-06 1.4335875661637096e+00 5.5085906952546502e-06 4.9843796473753877e-05 -3.1456774276126505e-03
4.0020010005002499e-01 6.1960057839743765e+00 -9.9856823443096304e-03 3.8425135900948470e-06 1.4921232417062418e+00 5.7335038343526117e-06 4.9856925940728536e-05 -3.3320675554588401e-03
4.4022011005502748e-01 6.1956061293679854e+00 -9.9870676693611937e-03 3.8425059221772511e-06 1.5530490225985223e+00 5.9676000667664135e-06 4.9870760316199812e-05 -3.4975282102554352e-03
4.8024012006003003e-01 6.1952064180443402e+00 -9.9885155493270924e-03 3.8424982520984143e-06 1.6164625006686109e+00 6.2112543334017693e-06 4.9885221439574550e-05 -3.6444305834710832e-03
5.2026013006503247e-01 6.1948066476419745e+00 -9.9900190202705259e-03 3.8424905797673965e-06 1.6824652525751536e+00 6.4648568838060011e-06 4.9900240012683441e-05 -3.7748775554011368e-03
5.6028014007003502e-01 6.1944068160627346e+00 -9.9915719095551997e-03 3.8424829051033306e-06 1.7511630025143974e+00 6.7288139012109927e-06 4.9915754611906272e-05 -3.8907334180846888e-03
6.0030015007503745e-01 6.1940069214406375e+00 -9.9931687422610601e-03 3.8424752280342265e-06 1.8226657915707887e+00 7.0035481530961497e-06 4.9931710755651749e-05 -3.9936519852573765e-03
6.4032016008004000e-01 6.1936069621156769e+00 -9.9948046624786166e-03 3.8424675484959696e-06 1.8970881539824314e+00 7.2894996683136177e-06 4.9948060120552149e-05 -4.0851002554886358e-03
6.8034017008504255e-01 6.1932069366116949e+00 -9.9964753668238572e-03 3.8424598664314785e-06 1.9745493006037433e+00 7.5871264418602291e-06 4.9964759879758086e-05 -4.1663784218635910e-03
7.2036018009004499e-01 6.1928068436145640e+00 -9.9981770388832738e-03 3.8424521817898660e-06 2.0551733098591889e+00 7.8969051684247403e-06 4.9981772050426351e-05 -4.2386396173942674e-03
7.6038019009504754e-01 6.1924066819537762e+00 -9.9999062938765319e-03 3.8424444945257378e-06 2.1390893264939561e+00 8.2193320058854698e-06 4.9999062943155740e-05 -4.3029065955096169e-03
8.0040020010004997e-01 6.1920064505866037e+00 -1.0001660131091755e-02 3.8424368045985880e-06 2.2264317684399439e+00 8.5549233699811619e-06 5.0016602688935166e-05 -4.3600860761947901e-03
