#  MPBH fPBH
1.1929583500885830e+21 0.0000000000000000e+00
1.0732694802381782e+21 0.0000000000000000e+00
9.6558893034714497e+20 0.0000000000000000e+00
8.6871191213043220e+20 0.0000000000000000e+00
7.8155451306385578e+20 0.0000000000000000e+00
7.0314156898399748e+20 0.0000000000000000e+00
6.3259575342364217e+20 0.0000000000000000e+00
5.6912776160832127e+20 0.0000000000000000e+00
5.1202747928720566e+20 0.0000000000000000e+00
4.6065603759044703e+20 0.0000000000000000e+00
4.1443866501841047e+20 0.0000000000000000e+00
3.7285825658698393e+20 0.0000000000000000e+00
3.3544958817708140e+20 0.0000000000000000e+00
3.0179411135534884e+20 0.0000000000000000e+00
2.7151527042771157e+20 0.0000000000000000e+00
2.4427428933042002e+20 0.0000000000000000e+00
2.1976638122005073e+20 0.0000000000000000e+00
1.9771733835330870e+20 0.0000000000000000e+00
1.7788046410235072e+20 0.0000000000000000e+00
1.6003381277936452e+20 0.0000000000000000e+00
1.4397770638806337e+20 0.0000000000000000e+00
1.2953250051816767e+20 0.0000000000000000e+00
1.1653657438649264e+20 0.0000000000000000e+00
1.0484452253613159e+20 0.0000000000000000e+00
9.4325527961490260e+19 0.0000000000000000e+00
8.4861898456809587e+19 0.0000000000000000e+00
7.6347749812055015e+19 0.0000000000000000e+00
6.8687821123054469e+19 0.0000000000000000e+00
6.1796408960932758e+19 0.0000000000000000e+00
5.5596408475753832e+19 0.0000000000000000e+00
5.0018450705719108e+19 0.0000000000000000e+00
4.5000126439669785e+19 0.0000000000000000e+00
4.0485287949047325e+19 0.0000000000000000e+00
3.6423420776710701e+19 0.0000000000000000e+00
3.2769078553843884e+19 0.0000000000000000e+00
2.9481374521379160e+19 0.0000000000000000e+00
2.6523524066802627e+19 0.0000000000000000e+00
2.3862433157996052e+19 0.0000000000000000e+00
2.1468328069290078e+19 0.0000000000000000e+00
1.9314422256903377e+19 0.0000000000000000e+00
1.7376616656589992e+19 0.0000000000000000e+00
1.5633230050262508e+19 0.0000000000000000e+00
1.4064756484786926e+19 0.0000000000000000e+00
1.2653647028819530e+19 0.0000000000000000e+00
1.1384113425862748e+19 0.0000000000000000e+00
1.0241951446704673e+19 0.0000000000000000e+00
9.2143819648130591e+18 0.0000000000000000e+00
8.2899079765497354e+18 0.0000000000000000e+00
7.4581859664699924e+18 0.0000000000000000e+00
6.7099101784723169e+18 0.0000000000000000e+00
6.0367084979614730e+18 0.0000000000000000e+00
5.4310487800981535e+18 0.0000000000000000e+00
4.8861545760849971e+18 0.0000000000000000e+00
4.3959293145890207e+18 0.0000000000000000e+00
3.9548880900011259e+18 0.0000000000000000e+00
3.5580962943429524e+18 0.0000000000000000e+00
3.2011144062014275e+18 0.0000000000000000e+00
2.8799483189598679e+18 0.0000000000000000e+00
2.5910046525709420e+18 0.0000000000000000e+00
2.3310505488754278e+18 0.0000000000000000e+00
2.0971775006350203e+18 0.0000000000000000e+00
1.8867688095788206e+18 0.0000000000000000e+00
1.6974703093665428e+18 0.0000000000000000e+00
1.5271640259010627e+18 0.0000000000000000e+00
1.3739444802876559e+18 0.0000000000000000e+00
1.2360973693045944e+18 0.0000000000000000e+00
1.1120803848506616e+18 0.0000000000000000e+00
1.0005059577671886e+18 0.0000000000000000e+00
9.0012573296314598e+17 0.0000000000000000e+00
8.0981660214258918e+17 0.0000000000000000e+00
7.2856813786104550e+17 0.0000000000000000e+00
