# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 7.2000000000000002e+00 -3.2820560531401213e-02 2.0992296807582379e-05 1.0000000000000000e+00 2.0992296807582379e-05 5.3859459679768558e-04 1.5335215459789423e-03
8.0080080080080079e-02 7.1973716557191150e+00 -3.2823175366990927e-02 2.0991391365653985e-05 1.0833738208636425e+00 2.2741523869052635e-05 5.3868042058612001e-04 2.3848019769193403e-03
1.6016016016016016e-01 7.1947429157607630e+00 -3.2830264866374137e-02 2.0990485690158343e-05 1.1736988357326876e+00 2.4636508616002487e-05 5.3891314559814001e-04 3.9063808614532214e-03
2.4024024024024024e-01 7.1921134613878088e+00 -3.2840880899661973e-02 2.0989579561427080e-05 1.2715545922109306e+00 2.6689396279909296e-05 5.3926172913289130e-04 5.1046585973808737e-03
3.2032032032032032e-01 7.1894830408642854e+00 -3.2854276927905789e-02 2.0988672805842661e-05 1.3775689570002665e+00 2.8913344105964530e-05 5.3970175622776136e-04 6.0494695158885767e-03
4.0040040040040037e-01 7.1868514574973092e+00 -3.2869872031240040e-02 2.0987765287594482e-05 1.4924221444485215e+00 3.1322605677693996e-05 5.4021424367504815e-04 6.7952269179429470e-03
4.8048048048048048e-01 7.1842185544498287e+00 -3.2887205221066820e-02 2.0986856898213375e-05 1.6168510809727057e+00 3.3932622262095780e-05 5.4078413362628234e-04 7.3821382807019225e-03
5.6056056056056058e-01 7.1815842050206209e+00 -3.2905906199673825e-02 2.0985947549887725e-05 1.7516541333609108e+00 3.6760121768256110e-05 5.4139933141086611e-04 7.8428386907415243e-03
6.4064064064064064e-01 7.1789483091162198e+00 -3.2925684747768080e-02 2.0985037173060399e-05 1.8976962312908023e+00 3.9823225956814113e-05 5.4205035805470381e-04 8.2067736541052566e-03
7.2072072072072069e-01 7.1763107912453634e+00 -3.2946324692051977e-02 2.0984125715074263e-05 2.0559144169320511e+00 4.3141566584335763e-05 5.4273015535705692e-04 8.4992486785647695e-03
8.0080080080080074e-01 7.1736715953549792e+00 -3.2967668370283032e-02 2.0983213136626114e-05 2.2273238572403238e+00 4.6736411220765909e-05 5.4343357888648016e-04 8.7351595731422153e-03
8.8088088088088090e-01 7.1710306718267658e+00 -3.2989577511258507e-02 2.0982299402788928e-05 2.4130243575191956e+00 5.0630799535690159e-05 5.4415611218566653e-04 8.9188769161798100e-03
9.6096096096096095e-01 7.1683879720443215e+00 -3.3011916890730943e-02 2.0981384479271294e-05 2.6142074180426071e+00 5.4849690946515039e-05 5.4489332840026343e-04 9.0630754829523017e-03
1.0410410410410411e+00 7.1657434684083254e+00 -3.3034614547561778e-02 2.0980468346286059e-05 2.8321638790148969e+00 5.9420124615166781e-05 5.4564287915299014e-04 9.1808931314097536e-03
1.1211211211211212e+00 7.1630971352368045e+00 -3.3057604322539388e-02 2.0979550985338382e-05 3.0682922029203636e+00 6.4371392709083986e-05 5.4640260177278739e-04 9.2760411483758937e-03
1.2012012012012012e+00 7.1604489513214045e+00 -3.3080833549250288e-02 2.0978632381002735e-05 3.3241074474039571e+00 6.9735228134041005e-05 5.4717077415660171e-04 9.3530682388441987e-03
1.2812812812812813e+00 7.1577988988681938e+00 -3.3104259867764385e-02 2.0977712520195480e-05 3.6012509862553141e+00 7.5546007902734427e-05 5.4794601069623784e-04 9.4157134907091392e-03
1.3613613613613613e+00 7.1551469631537321e+00 -3.3127850190200474e-02 2.0976791391943084e-05 3.9015010408683803e+00 8.1840973449744819e-05 5.4872722911218283e-04 9.4673984216836638e-03
1.4414414414414414e+00 7.1524931323295986e+00 -3.3151580112911930e-02 2.0975868987251753e-05 4.2267840897490556e+00 8.8660469303976345e-05 5.4951363199140892e-04 9.5110552025490513e-03
1.5215215215215214e+00 7.1498373967742337e+00 -3.3175431966691746e-02 2.0974945298660461e-05 4.5791872292770872e+00 9.6048201646411468e-05 5.5030464308829631e-04 9.5482753197992758e-03
1.6016016016016015e+00 7.1471797473909904e+00 -3.3199389696525861e-02 2.0974020319059484e-05 4.9609715650319144e+00 1.0405151840725571e-04 5.5109973811089368e-04 9.5795324732201471e-03
1.6816816816816818e+00 7.1445201753417544e+00 -3.3223438060398361e-02 2.0973094041508088e-05 5.3745867196045101e+00 1.1272171270450585e-04 5.5189841827656323e-04 9.6062905605031543e-03
1.7617617617617618e+00 7.1418586740652801e+00 -3.3247568701775247e-02 2.0972166460639945e-05 5.8226865499809275e+00 1.2211435157432932e-04 5.5270041228963249e-04 9.6300977639140958e-03
1.8418418418418419e+00 7.1391952374208918e+00 -3.3271774565010570e-02 2.0971237571374438e-05 6.3081461753441781e+00 1.3228963207809980e-04 5.5350549135244217e-04 9.6515208711051535e-03
1.9219219219219219e+00 7.1365298598133604e+00 -3.3296050271182799e-02 2.0970307369003351e-05 6.8340804245489943e+00 1.4331276708728132e-04 5.5431348183056608e-04 9.6709680811943310e-03
2.0020020020020022e+00 7.1338625357907608e+00 -3.3320390908372959e-02 2.0969375848910180e-05 7.4038638216330694e+00 1.5525440320997232e-04 5.5512422514339161e-04 9.6885997710422812e-03
2.0820820820820822e+00 7.1311932600089003e+00 -3.3344791924805300e-02 2.0968443006546160e-05 8.0211522375967075e+00 1.6819107354087677e-04 5.5593757425428036e-04 9.7046511497614011e-03
2.1621621621621623e+00 7.1285220274003880e+00 -3.3369249637695129e-02 2.0967508837549537e-05 8.6899063473741016e+00 1.8220568813604428e-04 5.5675341069140829e-04 9.7195710483477023e-03
2.2422422422422423e+00 7.1258488333864296e+00 -3.3393761870648284e-02 2.0966573337894609e-05 9.4144170425018991e+00 1.9738806535514092e-04 5.5757166593678161e-04 9.7339778936813177e-03
