# k_modes P_scalar P_tensor
4.5844002165250459e-05 7.7574475446609735e-09 8.7642080405843610e-11
4.8332539806195997e-05 7.7477085524695327e-09 8.7635375852512120e-11
5.0956162066675304e-05 7.7379730031771784e-09 8.7628672163952944e-11
5.3722201708763128e-05 7.7282409010920476e-09 8.7621968895905572e-11
5.6638389536885646e-05 7.7185102199893246e-09 8.7615243897771008e-11
5.9712876004646806e-05 7.7087820933757588e-09 8.7608509348632621e-11
6.2954253994531551e-05 7.6990582142139990e-09 8.7601784607137602e-11
6.6371582834154290e-05 7.6893366349982433e-09 8.7595047648265056e-11
6.9974413616173678e-05 7.6796168319221690e-09 8.7588292257600923e-11
7.3772815892642602e-05 7.6699004302606688e-09 8.7581536921416225e-11
7.7777405818400515e-05 7.6601861141256080e-09 8.7574766811543732e-11
8.1999375822164674e-05 7.6504753152842976e-09 8.7567997972021116e-11
8.6450525888250563e-05 7.6407666921675348e-09 8.7561215162471471e-11
9.1143296536348812e-05 7.6310603771826960e-09 8.7554419745889653e-11
9.6090803591535393e-05 7.6213584631079839e-09 8.7547635819744125e-11
1.0130687484169114e-04 7.6116571367161838e-09 8.7540819505372784e-11
1.0680608868478787e-04 7.6019610974250844e-09 8.7534024810208266e-11
1.1260381487405424e-04 7.5922661001472976e-09 8.7527202666634272e-11
1.1871625747490010e-04 7.5825742933894115e-09 8.7520378001993063e-11
1.2516050015365994e-04 7.5728847454019775e-09 8.7513539875590167e-11
1.3195455392473412e-04 7.5631982256264805e-09 8.7506697406555410e-11
1.3911740748957359e-04 7.5535145737550581e-09 8.7499848378399133e-11
1.4666908030820414e-04 7.5438328486066425e-09 8.7492981883797024e-11
1.5463067855161591e-04 7.5341554877134080e-09 8.7486126390950385e-11
1.6302445409140329e-04 7.5244789654080353e-09 8.7479240607090553e-11
1.7187386669152238e-04 7.5148073565146996e-09 8.7472371934602321e-11
1.8120364957598676e-04 7.5051366269002615e-09 8.7465473609695042e-11
1.9103987855575814e-04 7.4954692370045378e-09 8.7458573961039501e-11
2.0141004490803241e-04 7.4858057544616634e-09 8.7451679850600615e-11
2.1234313221161189e-04 7.4761435989633008e-09 8.7444760845244885e-11
2.2386969735311264e-04 7.4664848810332312e-09 8.7437841798549757e-11
2.3602195593040983e-04 7.4568278563838796e-09 8.7430901976021151e-11
2.4883387229201456e-04 7.4471749481890377e-09 8.7423969915535022e-11
2.6234125446403348e-04 7.4375247923245440e-09 8.7417029651885587e-11
2.7658185423002556e-04 7.4278761647465522e-09 8.7410066507805039e-11
2.9159547264346431e-04 7.4182302147516135e-09 8.7403094182605218e-11
3.0742407126770494e-04 7.4085881992446325e-09 8.7396127251144943e-11
3.2411188945436154e-04 7.3989492121782494e-09 8.7389155071076610e-11
3.4170556798787568e-04 7.3893128210986838e-09 8.7382172457224755e-11
3.6025427944184782e-04 7.3796794726484162e-09 8.7375184796161687e-11
3.7980986561146634e-04 7.3700479172905145e-09 8.7368177291355713e-11
4.0042698240614743e-04 7.3604201360100202e-09 8.7361172956521055e-11
4.2216325260733986e-04 7.3507934674819488e-09 8.7354140576597438e-11
4.4507942691844073e-04 7.3411699202439375e-09 8.7347103971284706e-11
4.6923955375694219e-04 7.3315501565439594e-09 8.7340070490681996e-11
4.9471115826335988e-04 7.3219327015057932e-09 8.7333022984788127e-11
5.2156543102725283e-04 7.3123186878553519e-09 8.7325974774018503e-11
