# k_modes P_scalar P_tensor
4.5843517749658970e-05 7.7145336515388332e-09 8.7013974757909586e-11
4.8332157949473912e-05 7.7048255403813436e-09 8.7006933225880574e-11
5.0955895330922143e-05 7.6951187760517236e-09 8.6999868509822261e-11
5.3722063717706524e-05 7.6854145444061394e-09 8.6992793396891111e-11
5.6638395054123192e-05 7.6757151652492911e-09 8.6985734360286033e-11
5.9713041017253696e-05 7.6660165183752574e-09 8.6978644860381431e-11
6.2954595802386683e-05 7.6563206509984795e-09 8.6971547781250924e-11
6.6372120145358500e-05 7.6466288190841831e-09 8.6964457270010503e-11
6.9975166648959653e-05 7.6369384561891029e-09 8.6957344465404119e-11
7.3773806484198867e-05 7.6272522053094527e-09 8.6950239090057541e-11
7.7778657541059809e-05 7.6175678239611529e-09 8.6943115785290798e-11
8.2000914107436867e-05 7.6078868017553282e-09 8.6935991274457653e-11
8.6452378159208014e-05 7.5982065942214148e-09 8.6928836895658324e-11
9.1145492348906269e-05 7.5885295731766602e-09 8.6921679174246697e-11
9.6093374785199027e-05 7.5788564424883705e-09 8.6914526247330043e-11
1.0130985570039023e-04 7.5691852666045872e-09 8.6907356127427004e-11
1.0680951610843816e-04 7.5595178596750309e-09 8.6900189330121531e-11
1.1260772856154376e-04 7.5498526280618847e-09 8.6893007699185535e-11
1.1872070011923342e-04 7.5401901155127957e-09 8.6885817390791508e-11
1.2516551765004118e-04 7.5305317402224739e-09 8.6878634536703695e-11
1.3196019559241737e-04 7.5208735036864555e-09 8.6871413284470386e-11
1.3912372630836412e-04 7.5112199956405771e-09 8.6864206229612112e-11
1.4667613317054508e-04 7.5015674049416938e-09 8.6856969673253557e-11
1.5463852653125839e-04 7.4919182840125035e-09 8.6849732879600330e-11
1.6303316272971421e-04 7.4822730504697730e-09 8.6842500446874351e-11
1.7188350630255566e-04 7.4726292862855037e-09 8.6835244720733249e-11
1.8121429557151108e-04 7.4629885895734033e-09 8.6827983938134114e-11
1.9105161179150737e-04 7.4533526262263144e-09 8.6820737302836544e-11
2.0142295205252651e-04 7.4437168093536866e-09 8.6813451799736573e-11
2.1235730613897841e-04 7.4340840479880876e-09 8.6806160874496483e-11
2.2388523756142691e-04 7.4244544769331531e-09 8.6798866178136917e-11
2.3603896898716659e-04 7.4148289094535095e-09 8.6791577230553788e-11
2.4885247230844489e-04 7.4052042882430617e-09 8.6784258304378153e-11
2.6236156360008638e-04 7.3955834584111208e-09 8.6776942324333152e-11
2.7660400323194326e-04 7.3859655867934748e-09 8.6769619974756569e-11
2.9161960141600441e-04 7.3763503784064379e-09 8.6762287351955374e-11
3.0745032948318636e-04 7.3667371044100031e-09 8.6754935999643308e-11
3.2414043720084502e-04 7.3571284568940662e-09 8.6747597442772062e-11
3.4173657645893271e-04 7.3475192680534539e-09 8.6740210984556707e-11
3.6028793167052435e-04 7.3379160077466546e-09 8.6732852573022984e-11
3.7984635725120782e-04 7.3283144131692030e-09 8.6725472200864052e-11
4.0046652256161647e-04 7.3187147246865330e-09 8.6718072267969603e-11
4.2220606471824666e-04 7.3091198221781205e-09 8.6710686857883242e-11
4.4512574969969186e-04 7.2995268881759459e-09 8.6703283047959968e-11
4.6928964219861895e-04 7.2899364776184016e-09 8.6695866775590133e-11
4.9476528469424613e-04 7.2803486428165634e-09 8.6688438820187256e-11
5.2162388624587218e-04 7.2707629345546958e-09 8.6680993855962959e-11
5.4994052153516191e-04 7.2611824706909444e-09 8.6673568816927180e-11
5.7979434071355113e-04 7.2516030856567496e-09 8.6666114272898040e-11
6.1126879064133126e-04 7.2420265604886888e-09 8.6658651045339609e-11
6.4445184813681760e-04 7.2324539715575326e-09 8.6651192215959418e-11
6.7943626588757471e-04 7.2228838552449750e-09 8.6643720227608503e-11
7.1631983171106665e-04 7.2133146112154044e-09 8.6636216030556114e-11
7.5520564188941099e-04 7.2037496417238569e-09 8.6628719630221638e-11
7.9620238934226132e-04 7.1941871895989713e-09 8.6621210620001164e-11
8.3942466744330426e-04 7.1846277411015474e-09 8.6613694619068134e-11
8.8499329032960610e-04 7.1750723871268037e-09 8.6606184526803330e-11
9.3303563059912297e-04 7.1655188110218375e-09 8.6598652557273221e-11
9.8368597534030352e-04 7.1559673964266782e-09 8.6591103360143845e-11
1.0370859014889522e-03 7.1464190884614586e-09 8.6583548090642289e-11
1.0933846715615414e-03 7.1368745934611424e-09 8.6575995272901536e-11
1.1527396508711244e-03 7.1273316117572877e-09 8.6568417130116805e-11
1.2153167473920358e-03 7.1177922947243955e-09 8.6560839496598071e-11
