# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.5000000000000000e+00 -1.8516220967785910e-02 6.4273035629241895e-06 1.0000000000000000e+00 6.4273035629241895e-06 1.7142521946393729e-04 1.8692478831483842e-03
8.0080080080080079e-02 5.4985171510309545e+00 -1.8518738294934067e-02 6.4272153229898160e-06 1.0833738208636425e+00 6.9630768219808269e-06 1.7147183401812875e-04 3.3218451425655565e-03
1.6016016016016016e-01 5.4970339211298018e+00 -1.8525563775149495e-02 6.4271270389248540e-06 1.1736988357326876e+00 7.5435115226921775e-06 1.7159825659356562e-04 5.9175004952402369e-03
2.4024024024024024e-01 5.4955500032946807e+00 -1.8535785153474635e-02 6.4270386741602984e-06 1.2715545922109306e+00 8.1723305404457790e-06 1.7178766562788534e-04 7.9609991562095313e-03
3.2032032032032032e-01 5.4940651554256528e+00 -1.8548685891891410e-02 6.4269501998130448e-06 1.3775689570002665e+00 8.8535670834491108e-06 1.7202687415802573e-04 9.5701690084725108e-03
4.0040040040040037e-01 5.4925791864000928e+00 -1.8563703190090344e-02 6.4268615930270341e-06 1.4924221444485215e+00 9.5915905607392474e-06 1.7230553806488519e-04 1.0837889595366532e-02
4.8048048048048048e-01 5.4910919451347677e+00 -1.8580395010180013e-02 6.4267728356750173e-06 1.6168510809727057e+00 1.0391134606527172e-05 1.7261553936716116e-04 1.1837300169884549e-02
5.6056056056056058e-01 5.4896033119939966e+00 -1.8598414174171494e-02 6.4266839133415095e-06 1.7516541333609108e+00 1.1257327440608728e-05 1.7295050489701157e-04 1.2625949321373481e-02
6.4064064064064064e-01 5.4881131920406965e+00 -1.8617488017255365e-02 6.4265948145253515e-06 1.8976962312908023e+00 1.2195724759557773e-05 1.7330543003632356e-04 1.3249090026126502e-02
7.2072072072072069e-01 5.4866215097350306e+00 -1.8637402405245113e-02 6.4265055300140817e-06 2.0559144169320511e+00 1.3212345369649503e-05 1.7367638420751814e-04 1.3742289211697399e-02
8.0080080080080074e-01 5.4851282047701506e+00 -1.8657989180138314e-02 6.4264160523928304e-06 2.2273238572403238e+00 1.4313709790046733e-05 1.7406028012307919e-04 1.4133490203073442e-02
8.8088088088088090e-01 5.4836332288011578e+00 -1.8679116298510288e-02 6.4263263756586624e-06 2.4130243575191956e+00 1.5506882073832406e-05 1.7445469284663634e-04 1.4444640155761104e-02
9.6096096096096095e-01 5.4821365428756774e+00 -1.8700680085160272e-02 6.4262364949176238e-06 2.6142074180426071e+00 1.6799515115109773e-05 1.7485771782375500e-04 1.4692972628885661e-02
1.0410410410410411e+00 5.4806381154155579e+00 -1.8722599148311019e-02 6.4261464061467122e-06 2.8321638790148969e+00 1.8199899732750112e-05 1.7526785943416826e-04 1.4892017391262414e-02
1.1211211211211212e+00 5.4791379206314810e+00 -1.8744809599974498e-02 6.4260561060068008e-06 3.0682922029203636e+00 1.9717017845589462e-05 1.7568394346964805e-04 1.5052394864580843e-02
1.2012012012012012e+00 5.4776359372776282e+00 -1.8767261301536109e-02 6.4259655916955981e-06 3.3241074474039571e+00 2.1360600080116913e-05 1.7610504838006739e-04 1.5182440761515537e-02
1.2812812812812813e+00 5.4761321476734581e+00 -1.8789914914655391e-02 6.4258748608320536e-06 3.6012509862553141e+00 2.3141188180124662e-05 1.7653045124999456e-04 1.5288696983414386e-02
1.3613613613613613e+00 5.4746265369353031e+00 -1.8812739584747419e-02 6.4257839113654771e-06 3.9015010408683803e+00 2.5070202618587702e-05 1.7695958534176125e-04 1.5376297270931663e-02
1.4414414414414414e+00 5.4731190923727766e+00 -1.8835711121359226e-02 6.4256927415040828e-06 4.2267840897490556e+00 2.7160015845405450e-05 1.7739200672364783e-04 1.5449270085027942e-02
1.5215215215215214e+00 5.4716098030146361e+00 -1.8858810568859071e-02 6.4256013496587998e-06 4.5791872292770872e+00 2.9424031640783192e-05 1.7782736803605530e-04 1.5510776428746684e-02
1.6016016016016015e+00 5.4700986592363439e+00 -1.8882023083717184e-02 6.4255097343990860e-06 4.9609715650319144e+00 3.1876771083189633e-05 1.7826539786701428e-04 1.5563296551321678e-02
1.6816816816816818e+00 5.4685856524674934e+00 -1.8905337052614598e-02 6.4254178944181796e-06 5.3745867196045101e+00 3.4533965683249121e-05 1.7870588453648120e-04 1.5608776501335296e-02
1.7617617617617618e+00 5.4670707749619902e+00 -1.8928743399722277e-02 6.4253258285057627e-06 5.8226865499809275e+00 3.7412658280885565e-05 1.7914866334626484e-04 1.5648743150679975e-02
1.8418418418418419e+00 5.4655540196175147e+00 -1.8952235042573311e-02 6.4252335355264675e-06 6.3081461753441781e+00 4.0531312352824434e-05 1.7959360655447188e-04 1.5684394464637982e-02
1.9219219219219219e+00 5.4640353798336898e+00 -1.8975806464654642e-02 6.4251410144029628e-06 6.8340804245489943e+00 4.3909930431498153e-05 1.8004061549201447e-04 1.5716670340274637e-02
2.0020020020020022e+00 5.4625148494006615e+00 -1.8999453379681407e-02 6.4250482641026545e-06 7.4038638216330694e+00 4.7570182394835997e-05 1.8048961436334363e-04 1.5746308193068416e-02
2.0820820820820822e+00 5.4609924224115707e+00 -1.9023172467887706e-02 6.4249552836272110e-06 8.0211522375967075e+00 5.1535544449725193e-05 1.8094054537150041e-04 1.5773886573570550e-02
2.1621621621621623e+00 5.4594680931937782e+00 -1.9046961168885594e-02 6.4248620720043340e-06 8.6899063473741016e+00 5.5831449700513584e-05 1.8139336488451783e-04 1.5799859390485390e-02
2.2422422422422423e+00 5.4579418562548323e+00 -1.9070817518958092e-02 6.4247686282812768e-06 9.4144170425018991e+00 6.0485451268222803e-05 1.8184804042069945e-04 1.5824582762537762e-02
2.3223223223223224e+00 5.4564137062400038e+00 -1.9094740023254741e-02 6.4246749515197318e-06 1.0199332962539074e+01 6.5527399006634331e-05 1.8230454827784323e-04 1.5848336086264184e-02
2.4024024024024024e+00 5.4548836378989325e+00 -1.9118727555402639e-02 6.4245810407918184e-06 1.1049690321886450e+01 7.0989630948612537e-05 1.8276287166885610e-04 1.5871338565323700e-02
2.4824824824824825e+00 5.4533516460593958e+00 -1.9142779278652006e-02 6.4244868951769177e-06 1.1970945223382135e+01 7.6907180710499245e-05 1.8322299925559431e-04 1.5893762178866438e-02
2.5625625625625625e+00 5.4518177256066940e+00 -1.9166894583936885e-02 6.4243925137591703e-06 1.2969008666004873e+01 8.3318002184759512e-05 1.8368492399587456e-04 1.5915741855920668e-02
2.6426426426426426e+00 5.4502818714674452e+00 -1.9191073041222268e-02 6.4242978956255187e-06 1.4050284471303391e+01 9.0263212961934274e-05 1.8414864223676407e-04 1.5937383457687436e-02
2.7227227227227226e+00 5.4487440785968451e+00 -1.9215314361287612e-02 6.4242030398641472e-06 1.5221710371897055e+01 9.7787358043072679e-05 1.8461415300155296e-04 1.5958770039945367e-02
2.8028028028028027e+00 5.4472043419686340e+00 -1.9239618365707714e-02 6.4241079455632603e-06 1.6490802525681850e+01 1.0593869553394745e-04 1.8508145742903879e-04 1.5979966766088576e-02
2.8828828828828827e+00 5.4456626565672117e+00 -1.9263984963272598e-02 6.4240126118101073e-06 1.7865703741355748e+01 1.1476950615333235e-04 1.8555055833259639e-04 1.6001024761539567e-02
2.9629629629629628e+00 5.4441190173814213e+00 -1.9288414131464884e-02 6.4239170376902204e-06 1.9355235724690452e+01 1.2433642854034940e-04 1.8602145985344712e-04 1.6021984137560164e-02
3.0430430430430429e+00 5.4425734193996549e+00 -1.9312905901909695e-02 6.4238212222867972e-06 2.0968955680774364e+01 1.3470082251134966e-04 1.8649416718800914e-04 1.6042876363488300e-02
3.1231231231231229e+00 5.4410258576059949e+00 -1.9337460348944874e-02 6.4237251646802253e-06 2.2717217635400903e+01 1.4592916259604217e-04 1.8696868637350759e-04 1.6063726127704264e-02
