# k_modes P_scalar P_tensor
4.5663568455982461e-05 2.7609816278134892e-09 8.3246664522845895e-12
4.8630052140655061e-05 2.7553640370551068e-09 8.3244243637056104e-12
5.1789250187104088e-05 2.7497517215822407e-09 8.3241803764714287e-12
5.5153682072657786e-05 2.7441464342255834e-09 8.3239397940360791e-12
5.8736680588769683e-05 2.7385464506400975e-09 8.3236973631537569e-12
6.2552444677079413e-05 2.7329519419149042e-09 8.3234536465808636e-12
6.6616095697910466e-05 2.7273642930631336e-09 8.3232127979793674e-12
7.0943737354189088e-05 2.7217822236219506e-09 8.3229709494316407e-12
7.5552519508255016e-05 2.7162063871638635e-09 8.3227300711610306e-12
8.0460706144461371e-05 2.7106356855425653e-09 8.3224868294354606e-12
8.5687747746890280e-05 2.7050714851316677e-09 8.3222453483446571e-12
9.1254358379007654e-05 2.6995127999523039e-09 8.3220026586357488e-12
9.7182597770713089e-05 2.6939600508036900e-09 8.3217600096749305e-12
1.0349595873808512e-04 2.6884131801923992e-09 8.3215172214442457e-12
1.1021946028225441e-04 2.6828719777743601e-09 8.3212736599883079e-12
1.1737974673634332e-04 2.6773364911240872e-09 8.3210294499663568e-12
1.2500519335337715e-04 2.6718064313994553e-09 8.3207836946395628e-12
1.3312601875359957e-04 2.6662825525728361e-09 8.3205387238509525e-12
1.4177440467680335e-04 2.6607647295265731e-09 8.3202941476699520e-12
1.5098462351424089e-04 2.6552527464706192e-09 8.3200492858933017e-12
1.6079317412550509e-04 2.6497459232512668e-09 8.3198020003581762e-12
1.7123892647860530e-04 2.6442455235464622e-09 8.3195562693508266e-12
1.8236327568642728e-04 2.6387506647573654e-09 8.3193092886503199e-12
1.9421030605000291e-04 2.6332616844895560e-09 8.3190621139395733e-12
2.0682696575867110e-04 2.6277784660295411e-09 8.3188143911915515e-12
2.2026325293944343e-04 2.6223005292721121e-09 8.3185645734528696e-12
2.3457241379286266e-04 2.6168288968449685e-09 8.3183159230897198e-12
2.4981115360054039e-04 2.6113627732172095e-09 8.3180658653504042e-12
2.6603986144056811e-04 2.6059026942966603e-09 8.3178161290319194e-12
2.8332284950131849e-04 2.6004485798785607e-09 8.3175664440835544e-12
3.0172860794200606e-04 2.5949997325555754e-09 8.3173145773241239e-12
3.2133007630998404e-04 2.5895571299146409e-09 8.3170636489824529e-12
3.4220493259036933e-04 2.5841199216364453e-09 8.3168109452526951e-12
3.6443590103345914e-04 2.5786887535836387e-09 8.3165584708057918e-12
