# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.5000000000000000e+00 -1.8517467688827643e-02 6.4273027858493789e-06 1.0000000000000000e+00 6.4273027858493789e-06 1.7144830480338789e-04 1.8703140154461056e-03
8.0080080080080079e-02 5.4985170511468402e+00 -1.8519986731974150e-02 6.4272145340377426e-06 1.0833738208636425e+00 6.9630759672508048e-06 1.7149495427624928e-04 3.3238142447419503e-03
1.6016016016016016e-01 5.4970337211022784e+00 -1.8526816896789072e-02 6.4271262380619286e-06 1.1736988357326876e+00 7.5435105827202943e-06 1.7162147216357452e-04 5.9211199111954644e-03
2.4024024024024024e-01 5.4955497026742863e+00 -1.8537045412465480e-02 6.4270378613278717e-06 1.2715545922109306e+00 8.1723295068849739e-06 1.7181102631190376e-04 7.9659041644285222e-03
3.2032032032032032e-01 5.4940647535229630e+00 -1.8549955076672175e-02 6.4269493749217014e-06 1.3775689570002665e+00 8.8535659471044032e-06 1.7205041667327792e-04 9.5771904596166635e-03
4.0040040040040037e-01 5.4925786835190262e+00 -1.8564986145166919e-02 6.4268607561046744e-06 1.4924221444485215e+00 9.5915893116977837e-06 1.7232935528511983e-04 1.0847042905488331e-02
4.8048048048048048e-01 5.4910913405466575e+00 -1.8581693529120369e-02 6.4267719866245435e-06 1.6168510809727057e+00 1.0391133233738996e-05 1.7263966720507690e-04 1.1845246246158915e-02
5.6056056056056058e-01 5.4896026026554265e+00 -1.8599723135200363e-02 6.4266830517874148e-06 1.7516541333609108e+00 1.1257325931463938e-05 1.7297485035305381e-04 1.2630155342559131e-02
6.4064064064064064e-01 5.4881123746578382e+00 -1.8618801609266999e-02 6.4265939400612990e-06 1.8976962312908023e+00 1.2195723100090636e-05 1.7332988668262170e-04 1.3252919019682998e-02
7.2072072072072069e-01 5.4866205845204572e+00 -1.8638725457002715e-02 6.4265046426533164e-06 2.0559144169320511e+00 1.3212343545311712e-05 1.7370104333076054e-04 1.3752324328191130e-02
8.0080080080080074e-01 5.4851271748966210e+00 -1.8659335514801714e-02 6.4264151525025276e-06 2.2273238572403238e+00 1.4313707785699594e-05 1.7408540092697026e-04 1.4146244002688085e-02
8.8088088088088090e-01 5.4836320910060197e+00 -1.8680480405372790e-02 6.4263254628331188e-06 2.4130243575191956e+00 1.5506879871162132e-05 1.7448017408775839e-04 1.4454977538987494e-02
9.6096096096096095e-01 5.4821352951781925e+00 -1.8702060390806463e-02 6.4262355689044642e-06 2.6142074180426071e+00 1.6799512694319304e-05 1.7488353143068600e-04 1.4703012894575448e-02
1.0410410410410411e+00 5.4806367566001191e+00 -1.8723996460007278e-02 6.4261454667848613e-06 2.8321638790148969e+00 1.8199897072323407e-05 1.7529402171718254e-04 1.4902550700317955e-02
1.1211211211211212e+00 5.4791364494516186e+00 -1.8746224707193639e-02 6.4260551531308781e-06 3.0682922029203636e+00 1.9717014921887698e-05 1.7571047038629863e-04 1.5063110688709995e-02
1.2012012012012012e+00 5.4776343521577973e+00 -1.8768694078418510e-02 6.4259646250998532e-06 3.3241074474039571e+00 2.1360596867048799e-05 1.7613193870463103e-04 1.5192845509147282e-02
1.2812812812812813e+00 5.4761304468218590e+00 -1.8791364661916592e-02 6.4258738802840464e-06 3.6012509862553141e+00 2.3141184648925186e-05 1.7655769292856385e-04 1.5298928206360090e-02
1.3613613613613613e+00 5.4746247188575250e+00 -1.8814206580261457e-02 6.4257829166682563e-06 3.9015010408683803e+00 2.5070198737775459e-05 1.7698718462237674e-04 1.5387282751979486e-02
1.4414414414414414e+00 5.4731171561485050e+00 -1.8837197456328617e-02 6.4256917325296364e-06 4.2267840897490556e+00 2.7160011580688310e-05 1.7742000400435665e-04 1.5461125497338076e-02
1.5215215215215214e+00 5.4716077472139597e+00 -1.8860316881905377e-02 6.4256003262168401e-06 4.5791872292770872e+00 2.9424026954250841e-05 1.7785577644294248e-04 1.5522666260612562e-02
1.6016016016016015e+00 5.4700964820473965e+00 -1.8883548947660863e-02 6.4255086962525733e-06 4.9609715650319144e+00 3.1876765932974303e-05 1.7829421042935185e-04 1.5575098624389964e-02
1.6816816816816818e+00 5.4685833522786806e+00 -1.8906882732030686e-02 6.4254168413537116e-06 5.3745867196045101e+00 3.4533960023462815e-05 1.7873510732138007e-04 1.5620883046844732e-02
1.7617617617617618e+00 5.4670683502960564e+00 -1.8930309654143603e-02 6.4253247603258800e-06 5.8226865499809275e+00 3.7412652061208929e-05 1.7917831180088125e-04 1.5661332161448657e-02
1.8418418418418419e+00 5.4655514689827926e+00 -1.8953822679971099e-02 6.4252324520314278e-06 6.3081461753441781e+00 4.0531305517979346e-05 1.7962369709189342e-04 1.5697276338071040e-02
1.9219219219219219e+00 5.4640327015023198e+00 -1.8977415674740629e-02 6.4251399153635598e-06 6.8340804245489943e+00 4.3909922920574487e-05 1.8007115284594566e-04 1.5729390033072808e-02
