# k_modes P_scalar P_tensor
4.5668981936634458e-05 2.5739775853304377e-09 8.3163598351410968e-12
4.8684546219962236e-05 2.5684628555849838e-09 8.3161026944100419e-12
5.1899230946997290e-05 2.5629539020323668e-09 8.3158447338190908e-12
5.5326184221171336e-05 2.5574510673104844e-09 8.3155869957876284e-12
5.8979422327106492e-05 2.5519536106723231e-09 8.3153271032498317e-12
6.2873887057406417e-05 2.5464618421221739e-09 8.3150660719241864e-12
6.7025506824787464e-05 2.5409764788991468e-09 8.3148062088375157e-12
7.1451261809499228e-05 2.5354965182817771e-09 8.3145442658844085e-12
7.6169253408488362e-05 2.5300230830766569e-09 8.3142838972479647e-12
8.1198778270353658e-05 2.5245547731679747e-09 8.3140205233878024e-12
8.6560407218896310e-05 2.5190930222935949e-09 8.3137588513876133e-12
9.2276069388063717e-05 2.5136368148307229e-09 8.3134955374039440e-12
9.8369141912400078e-05 2.5081861626502400e-09 8.3132306043619484e-12
1.0486454553983850e-04 2.5027415055436723e-09 8.3129655353700209e-12
1.1178884655789270e-04 2.4973029694743936e-09 8.3127007004265763e-12
1.1917036545012735e-04 2.4918703539215695e-09 8.3124354745521377e-12
1.2703929272731392e-04 2.4864438978527148e-09 8.3121706585011154e-12
1.3542781240702241e-04 2.4810226246666683e-09 8.3119029962799505e-12
1.4437023364668289e-04 2.4756072300285325e-09 8.3116347519095595e-12
1.5390313106849714e-04 2.4701981528250185e-09 8.3113674674870433e-12
1.6406549435013144e-04 2.4647946489867285e-09 8.3110986022486945e-12
1.7489888769301864e-04 2.4593970958038872e-09 8.3108294732154028e-12
1.8644761982049667e-04 2.4540053105685513e-09 8.3105594202312607e-12
1.9875892520107813e-04 2.4486198391878926e-09 8.3102903079102485e-12
2.1188315723805705e-04 2.4432395621124072e-09 8.3100183622705014e-12
2.2587399421560004e-04 2.4378656675904389e-09 8.3097476175810822e-12
2.4078865884364506e-04 2.4324975849385648e-09 8.3094761171325499e-12
2.5668815229954882e-04 2.4271348158609855e-09 8.3092022037494706e-12
2.7363750372371511e-04 2.4217781635927018e-09 8.3089285774359057e-12
2.9170603618964853e-04 2.4164273818343570e-09 8.3086544762643014e-12
3.1096765023624911e-04 2.4110823044851530e-09 8.3083792702170549e-12
3.3150112612200265e-04 2.4057436628161399e-09 8.3081055333533958e-12
3.5339044603728949e-04 2.4004108282703022e-09 8.3078310826971652e-12
3.7672513759266378e-04 2.3950831750339307e-09 8.3075538274094857e-12
4.0160063998797505e-04 2.3897614942858854e-09 8.3072764461163528e-12
4.2811869435996976e-04 2.3844461346093005e-09 8.3070002389836524e-12
4.5638775990489763e-04 2.3791359594139557e-09 8.3067212462137624e-12
4.8652345747807212e-04 2.3738322958126068e-09 8.3064441312320319e-12
5.1864904248471121e-04 2.3685335267812774e-09 8.3061632923755759e-12
5.5289590899618981e-04 2.3632408780673963e-09 8.3058830301658260e-12
5.8940412715354482e-04 2.3579540107606918e-09 8.3056022278659112e-12
6.2832301605622121e-04 2.3526726448044094e-09 8.3053199277617868e-12
6.6981175447918158e-04 2.3473976305569262e-09 8.3050392078185942e-12
7.1404003191621933e-04 2.3421276759203134e-09 8.3047555503877572e-12
7.6118874261225336e-04 2.3368636611459114e-09 8.3044721786144664e-12
8.1145072542320297e-04 2.3316054931270644e-09 8.3041888310500023e-12
8.6503155252948283e-04 2.3263530940762719e-09 8.3039053289727252e-12
9.2215037022896321e-04 2.3211065316104455e-09 8.3036220322990442e-12
9.8304079524825323e-04 2.3158643566016954e-09 8.3033339071346640e-12
1.0479518702382299e-03 2.3106285085069676e-09 8.3030480127770953e-12
1.1171490823618036e-03 2.3053980391530083e-09 8.3027611171315558e-12
1.1909154491399575e-03 2.3001728737725062e-09 8.3024731738050197e-12
1.2695526759971842e-03 2.2949532231410630e-09 8.3021851277315735e-12
1.3533823902406993e-03 2.2897388229328045e-09 8.3018962625083480e-12
1.4427474565204199e-03 2.2845294987373014e-09 8.3016062561416283e-12
1.5380133791499532e-03 2.2793253610783265e-09 8.3013158304367811e-12
1.6395697970241253e-03 2.2741264239392422e-09 8.3010253752814187e-12
1.7478320772472541e-03 2.2689319420124786e-09 8.3007325996861344e-12
1.8632430139901509e-03 2.2637427449257341e-09 8.3004410108149284e-12
1.9862746395241876e-03 2.2585580351536696e-09 8.3001481759857138e-12
2.1174301548395860e-03 2.2533779045759608e-09 8.2998550952551548e-12
2.2572459877441813e-03 2.2482021069150661e-09 8.2995615375037360e-12
2.4062939868603164e-03 2.2430303245126806e-09 8.2992671058948041e-12
2.5651837604933375e-03 2.2378621070390388e-09 8.2989710277692257e-12
2.7345651699376972e-03 2.2326976770755794e-09 8.2986751223511867e-12
2.9151309874183217e-03 2.2275359303001452e-09 8.2983764850002828e-12
3.1076197295382552e-03 2.2223775076930630e-09 8.2980787639532031e-12
3.3128186778214213e-03 2.2172218554582461e-09 8.2977813784753406e-12
3.5315670987045612e-03 2.2120674919100680e-09 8.2974805276924893e-12
3.7647596761481608e-03 2.2069154194177653e-09 8.2971818383688743e-12
4.0133501709057866e-03 2.2017642614123840e-09 8.2968823391602874e-12
4.2783553214182975e-03 2.1966130442545909e-09 8.2965808676356089e-12
4.5608590022876315e-03 2.1914613289246356e-09 8.2962785564710326e-12
4.8620166573383958e-03 2.1863082479143269e-09 8.2959753310332701e-12
5.1830600253985259e-03 2.1811534164034584e-09 8.2956733840705401e-12
5.5253021781275303e-03 2.1759950788685703e-09 8.2953701711034108e-12
5.8901428904970963e-03 2.1708318618013786e-09 8.2950651522485121e-12
6.2790743658894081e-03 2.1656629410860749e-09 8.2947605540577422e-12
6.6936873392288909e-03 2.1604857899279248e-09 8.2944527541764345e-12
7.1356775831092761e-03 2.1552998682248905e-09 8.2941465556230613e-12
7.6068528435261455e-03 2.1501028070662941e-09 8.2938407101176501e-12
8.1091402335821683e-03 2.1448914523535134e-09 8.2935319981944615e-12
8.6445941154054164e-03 2.1396636912282475e-09 8.2932223109914453e-12
9.2154045025178710e-03 2.1344170405716416e-09 8.2929135531233060e-12
9.8239060170199673e-03 2.1291473666934198e-09 8.2926027724764824e-12
1.0472587438226122e-02 2.1238513674273446e-09 8.2922919310982650e-12
1.1164101881805355e-02 2.1185246354628306e-09 8.2919807145412640e-12
1.1901277651059776e-02 2.1131619079619277e-09 8.2916676604523893e-12
1.2687129804722823e-02 2.1077580897122608e-09 8.2913546023014907e-12
1.3524872488589730e-02 2.1023065362163301e-09 8.2910401746169361e-12
1.4417932081416715e-02 2.0968005285745223e-09 8.2907259625556601e-12
1.5369961208855813e-02 2.0912314641938445e-09 8.2904099442876736e-12
1.6384853682742537e-02 2.0855908895739011e-09 8.2900948286697628e-12
1.7466760426838247e-02 2.0798672713759531e-09 8.2897761031134040e-12
1.8620106454163728e-02 2.0740499366573160e-09 8.2894579850523182e-12
1.9849608965361486e-02 2.0681258700479818e-09 8.2891416991414739e-12
2.1160296642109337e-02 2.0620785069445956e-09 8.2888213150362413e-12
2.2557530214495559e-02 2.0558920808400488e-09 8.2885020347560412e-12
2.4047024386476504e-02 2.0495466787132961e-09 8.2881815622622466e-12
2.5634871209092025e-02 2.0430201368599323e-09 8.2878587637534378e-12
2.7327564997035536e-02 2.0362886758961565e-09 8.2875376950557055e-12
2.9132028890487761e-02 2.0293232307212265e-09 8.2872142135200044e-12
3.1055643170852468e-02 2.0220927282732563e-09 8.2868908744126005e-12
3.3106275446205889e-02 2.0145609154188691e-09 8.2865662287370782e-12
3.5292312829918744e-02 2.0066876499033327e-09 8.2862419787449544e-12
3.7622696244061837e-02 1.9984260946821668e-09 8.2859141370524244e-12
4.0106956987896673e-02 1.9897258197781865e-09 8.2855882955899842e-12
4.2755255721016620e-02 1.9805276399366911e-09 8.2852618278521660e-12
4.5578424020580093e-02 1.9707648720905752e-09 8.2849318239526219e-12
4.8588008682605932e-02 1.9603640893248476e-09 8.2846029724795950e-12
5.1796318948523025e-02 1.9492408306808937e-09 8.2842726878689623e-12
5.5216476850132042e-02 1.9373006200262971e-09 8.2839416079754639e-12
5.8862470878890641e-02 1.9244372717734492e-09 8.2836103706187833e-12
6.2749213199030152e-02 1.9105314002433074e-09 8.2832799548998748e-12
6.6892600638506328e-02 1.8954479578077775e-09 8.2829465439811665e-12
7.1309579707237766e-02 1.8790374129819857e-09 8.2826137761370019e-12
7.6018215908557660e-02 1.8611305308095146e-09 8.2822779606812663e-12
8.1037767627363505e-02 1.8415404313674653e-09 8.2819427281078425e-12
8.6388764897168249e-02 1.8200571841813532e-09 8.2816064461459921e-12
9.2093093368211448e-02 1.7964486033347878e-09 8.2812697179580383e-12
9.8174083820060667e-02 1.7704565770868901e-09 8.2809306634545421e-12
1.0465660758481135e-01 1.7417979647243072e-09 8.2805923446573120e-12
1.1156717827116693e-01 1.7101607113627963e-09 8.2802537778288880e-12
1.1893406020545222e-01 1.6752039988558283e-09 8.2799128329182818e-12
1.2678738403308534e-01 1.6365596414824543e-09 8.2795732883572975e-12
1.3515926995331942e-01 1.5938307137009913e-09 8.2792304872019386e-12
1.4408395909128630e-01 1.5465964094932143e-09 8.2788887412229216e-12
1.5359795354465519e-01 1.4944155999989079e-09 8.2785476092068380e-12
1.6374016567769920e-01 1.4368336809329612e-09 8.2782038679429173e-12
1.7455207727338454e-01 1.3733970318894754e-09 8.2778587473765281e-12
1.8607790919441641e-01 1.3036684371941173e-09 8.2775139344681821e-12
1.9836480224715750e-01 1.2272516692586707e-09 8.2771686808226819e-12
2.1146300998815512e-01 1.1438267911994306e-09 8.2768233772405546e-12
2.2542610426185811e-01 1.0531957856927120e-09 8.2764779866762856e-12
2.4031119431017547e-01 9.5534891922636192e-10 8.2761307764000301e-12
2.5617916035003790e-01 8.5054958840805530e-10 8.2757830040179941e-12
2.7309490257429747e-01 7.3945129716899676e-10 8.2754348288585148e-12
2.9112760659438236e-01 6.2325103029923655e-10 8.2750877661081945e-12
3.1035102641037088e-01 5.0389502105721389e-10 8.2747396664643905e-12
3.3084378606583603e-01 3.8434552523857620e-10 8.2743915384145369e-12
3.5268970122123300e-01 2.6893887193696871e-10 8.2740442885470586e-12
3.7597812196106861e-01 1.6384507665279084e-10 8.2736947673980005e-12
4.0080429823693958e-01 7.7678428399446572e-11 8.2733462132261773e-12
4.2726976944110545e-01 2.2285586495796400e-11 8.2729994807107965e-12
