# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354697e-02 6.4382318418096799e-06 1.0000000000000000e+00 6.4382318418096799e-06 1.2325669854156495e-04 1.5611555773539232e-03
8.0080080080080079e-02 5.6987426338727296e+00 -1.5702552902877892e-02 6.4381682891855909e-06 1.0833738208636425e+00 6.9749429788181345e-06 1.2328508383383947e-04 2.7911910787586963e-03
1.6016016016016016e-01 5.6974849941987520e+00 -1.5707454030723468e-02 6.4381047095333693e-06 1.1736988357326876e+00 7.5563960019044486e-06 1.2336205606364547e-04 4.9890993401897777e-03
2.4024024024024024e-01 5.6962268606106381e+00 -1.5714792729086057e-02 6.4380410805599641e-06 1.2715545922109306e+00 8.1863207008286447e-06 1.2347735525906800e-04 6.7190881703411854e-03
3.2032032032032032e-01 5.6949680592601064e+00 -1.5724053401129572e-02 6.4379773846547778e-06 1.3775689570002665e+00 8.8687577909701857e-06 1.2362292768078724e-04 8.0820610907789692e-03
4.0040040040040037e-01 5.6937084539907712e+00 -1.5734834027780923e-02 6.4379136079973056e-06 1.4924221444485215e+00 9.6080848326216574e-06 1.2379250094090623e-04 9.1561836207357094e-03
4.8048048048048048e-01 5.6924479359936617e+00 -1.5746815003426260e-02 6.4378497395119634e-06 1.6168510809727057e+00 1.0409044310469769e-05 1.2398109137606519e-04 1.0000222621237993e-02
5.6056056056056058e-01 5.6911864178813873e+00 -1.5759741283902739e-02 6.4377857702719851e-06 1.7516541333609108e+00 1.1276774054188978e-05 1.2418472266777418e-04 1.0662976733607256e-02
6.4064064064064064e-01 5.6899238312874543e+00 -1.5773415154982578e-02 6.4377216932612309e-06 1.8976962312908023e+00 1.2216840195400881e-05 1.2440031282571703e-04 1.1187700748783357e-02
7.2072072072072069e-01 5.6886601246863515e+00 -1.5787689665611813e-02 6.4376575031576031e-06 2.0559144169320511e+00 1.3235272872012508e-05 1.2462557248883301e-04 1.1608662763124578e-02
8.0080080080080074e-01 5.6873952581299809e+00 -1.5802452770166099e-02 6.4375931958017895e-06 2.2273238572403238e+00 1.4338604908217304e-05 1.2485875677666511e-04 1.1941968661001409e-02
8.8088088088088090e-01 5.6861291933485187e+00 -1.5817597504056768e-02 6.4375287671934645e-06 2.4130243575191956e+00 1.5533913717468348e-05 1.2509819540017144e-04 1.2201869280788785e-02
9.6096096096096095e-01 5.6848619021032727e+00 -1.5833047150628918e-02 6.4374642143444093e-06 2.6142074180426071e+00 1.6828866702522978e-05 1.2534269103701927e-04 1.2409094042537112e-02
1.0410410410410411e+00 5.6835933633457110e+00 -1.5848746681968413e-02 6.4373995349911698e-06 2.8321638790148969e+00 1.8231770437789286e-05 1.2559138569460238e-04 1.2575980458611044e-02
1.1211211211211212e+00 5.6823235590624090e+00 -1.5864650240504041e-02 6.4373347271738184e-06 3.0682922029203636e+00 1.9751623950975913e-05 1.2584356362676247e-04 1.2709890466977347e-02
1.2012012012012012e+00 5.6810524742714499e+00 -1.5880721128398372e-02 6.4372697892366464e-06 3.3241074474039571e+00 2.1398176447350038e-05 1.2609865177897923e-04 1.2817575392462014e-02
1.2812812812812813e+00 5.6797800965381011e+00 -1.5896930348613662e-02 6.4372047197799715e-06 3.6012509862553141e+00 2.3181989845834984e-05 1.2635619725433704e-04 1.2904926262840519e-02
1.3613613613613613e+00 5.6785064157574920e+00 -1.5913255950371605e-02 6.4371395176389591e-06 3.9015010408683803e+00 2.5114506528283381e-05 1.2661585747101865e-04 1.2977069647503987e-02
1.4414414414414414e+00 5.6772314237487986e+00 -1.5929681806645012e-02 6.4370741818428274e-06 4.2267840897490556e+00 2.7208122736347681e-05 1.2687738123047854e-04 1.3037387963260564e-02
1.5215215215215214e+00 5.6759551132054469e+00 -1.5946194451319482e-02 6.4370087115077754e-06 4.5791872292770872e+00 2.9476268086481763e-05 1.2714055873964611e-04 1.3087241101041118e-02
1.6016016016016015e+00 5.6746774770430006e+00 -1.5962781114547051e-02 6.4369431057706358e-06 4.9609715650319144e+00 3.1933491713456343e-05 1.2740519045547000e-04 1.3128950835069949e-02
1.6816816816816818e+00 5.6733985098699309e+00 -1.5979434154346935e-02 6.4368773639400095e-06 5.3745867196045101e+00 3.4595555595954860e-05 1.2767115794655467e-04 1.3165062302179828e-02
1.7617617617617618e+00 5.6721182067206426e+00 -1.5996147239378745e-02 6.4368114853667365e-06 5.8226865499809275e+00 3.7479535660607652e-05 1.2793836325194211e-04 1.3196664235082646e-02
1.8418418418418419e+00 5.6708365630923421e+00 -1.6012915460132830e-02 6.4367454694477478e-06 6.3081461753441781e+00 4.0603931314760775e-05 1.2820673076668050e-04 1.3224581197760491e-02
1.9219219219219219e+00 5.6695535746882424e+00 -1.6029734555340992e-02 6.4366793155996885e-06 6.8340804245489943e+00 4.3988784109839253e-05 1.2847619495734655e-04 1.3249300815985047e-02
2.0020020020020022e+00 5.6682692373902199e+00 -1.6046600829711682e-02 6.4366130232562654e-06 7.4038638216330694e+00 4.7655806296739319e-05 1.2874669909405183e-04 1.3271386998813962e-02
2.0820820820820822e+00 5.6669835473530572e+00 -1.6063511438048628e-02 6.4365465918781608e-06 8.0211522375967075e+00 5.1628520097838970e-05 1.2901819986015954e-04 1.3291631077207074e-02
2.1621621621621623e+00 5.6656965011068268e+00 -1.6080464693869295e-02 6.4364800209637448e-06 8.6899063473741016e+00 5.5932408588919438e-05 1.2929067238538845e-04 1.3310936469511342e-02
2.2422422422422423e+00 5.6644080955539398e+00 -1.6097460060639592e-02 6.4364133100488409e-06 9.4144170425018991e+00 6.0595079158709866e-05 1.2956411020194339e-04 1.3329939109884857e-02
2.3223223223223224e+00 5.6631183277473927e+00 -1.6114497483741334e-02 6.4363464586837846e-06 1.0199332962539074e+01 6.5646440594375167e-05 1.2983851457675288e-04 1.3348365877696240e-02
2.4024024024024024e+00 5.6618271943367642e+00 -1.6131575721288826e-02 6.4362794663760322e-06 1.1049690321886450e+01 7.1118894928571725e-05 1.3011386762583755e-04 1.3365247534811199e-02
2.4824824824824825e+00 5.6605346915228916e+00 -1.6148692207716406e-02 6.4362123325856764e-06 1.1970945223382135e+01 7.7047545279439693e-05 1.3039013000978029e-04 1.3381140258070785e-02
2.5625625625625625e+00 5.6592408164065500e+00 -1.6165847117608323e-02 6.4361450568647063e-06 1.2969008666004873e+01 8.3470421018142806e-05 1.3066730651494266e-04 1.3396850728526746e-02
2.6426426426426426e+00 5.6579455658614632e+00 -1.6183039970096062e-02 6.4360776387407088e-06 1.4050284471303391e+01 9.0428721703701570e-05 1.3094539133686337e-04 1.3412598490982790e-02
2.7227227227227226e+00 5.6566489371567510e+00 -1.6200271504571359e-02 6.4360100777818960e-06 1.5221710371897055e+01 9.7967081354606664e-05 1.3122439841091338e-04 1.3428759259132613e-02
2.8028028028028027e+00 5.6553509274717095e+00 -1.6217542218678924e-02 6.4359423735460296e-06 1.6490802525681850e+01 1.0613385474881571e-04 1.3150433780731666e-04 1.3444896936924142e-02
2.8828828828828827e+00 5.6540515336821215e+00 -1.6234851724523394e-02 6.4358745255579528e-06 1.7865703741355748e+01 1.1498142759015687e-04 1.3178520525863012e-04 1.3460355943542094e-02
2.9629629629629628e+00 5.6527507523820084e+00 -1.6252198814341118e-02 6.4358065333118845e-06 1.9355235724690452e+01 1.2456655253075438e-04 1.3206698315043540e-04 1.3474709845814264e-02
3.0430430430430429e+00 5.6514485800565835e+00 -1.6269581981793069e-02 6.4357383962896150e-06 2.0968955680774364e+01 1.3495071320485482e-04 1.3234964893114285e-04 1.3488011918650972e-02
3.1231231231231229e+00 5.6501450133221649e+00 -1.6287000145035431e-02 6.4356701139857502e-06 2.2717217635400903e+01 1.4620051860905962e-04 1.3263318686219206e-04 1.3500849297130392e-02
3.2032032032032030e+00 5.6488400491488138e+00 -1.6304453317724222e-02 6.4356016859311221e-06 2.4611238869055200e+01 1.5838813035854520e-04 1.3291759899492419e-04 1.3514202385696925e-02
3.2832832832832834e+00 5.6475336849814468e+00 -1.6321942974110402e-02 6.4355331117055293e-06 2.6663171889756132e+01 1.7159172555962168e-04 1.3320291122505596e-04 1.3529111187745482e-02
3.3633633633633635e+00 5.6462259186751993e+00 -1.6339471854381889e-02 6.4354643909309293e-06 2.8886182406549167e+01 1.8589599826728266e-04 1.3348917024006896e-04 1.3546150214756933e-02
3.4434434434434436e+00 5.6449167481607834e+00 -1.6357042956408951e-02 6.4353955232362241e-06 3.1294533803947296e+01 2.0139270274368711e-04 1.3377642713890384e-04 1.3564713634632235e-02
3.5235235235235236e+00 5.6436061707556098e+00 -1.6374657460049319e-02 6.4353265081847811e-06 3.3903678659328797e+01 2.1818124200135726e-04 1.3406470346697441e-04 1.3582112328642180e-02
3.6036036036036037e+00 5.6422941820364310e+00 -1.6392311330169565e-02 6.4352573451558284e-06 3.6730357890490176e+01 2.3636930540497925e-04 1.3435393537260276e-04 1.3596952571906292e-02
3.6836836836836837e+00 5.6409807780777514e+00 -1.6410002062257050e-02 6.4351880335829839e-06 3.9792708169509382e+01 2.5607355943628663e-04 1.3464408384164032e-04 1.3611833005924615e-02
3.7637637637637638e+00 5.6396659566925367e+00 -1.6427732420216806e-02 6.4351185730767996e-06 4.3110378292113253e+01 2.7742039603994488e-04 1.3493519623512115e-04 1.3624588592398216e-02
3.8438438438438438e+00 5.6383497120529658e+00 -1.6445494227112500e-02 6.4350489628597602e-06 4.6704655249203768e+01 3.0054674332211133e-04 1.3522714018699528e-04 1.3635821946577751e-02
