# k_modes P_scalar P_tensor
4.5660280261118634e-05 2.8887404555294512e-09 8.3242562940506018e-12
4.6304515200297052e-05 2.8874604748704846e-09 8.3242054280188945e-12
4.6957839848397097e-05 2.8861811180378991e-09 8.3241555512331920e-12
4.7620382454918119e-05 2.8849006465149268e-09 8.3241016167651781e-12
4.8292273078870793e-05 2.8836210620936076e-09 8.3240493987924745e-12
4.8973643614308388e-05 2.8823415600665162e-09 8.3239965798764342e-12
4.9664627816218240e-05 2.8810635383277994e-09 8.3239472117903957e-12
5.0365361326777543e-05 2.8797841887311885e-09 8.3238931509071087e-12
5.1075981701981094e-05 2.8785056925023200e-09 8.3238407435855946e-12
5.1796628438643230e-05 2.8772288453494240e-09 8.3237922470826649e-12
5.2527443001781736e-05 2.8759496374799163e-09 8.3237361018798213e-12
5.3268568852388187e-05 2.8746732201523582e-09 8.3236871683627577e-12
5.4020151475589079e-05 2.8733956968891924e-09 8.3236342079949956e-12
5.4782338409205313e-05 2.8721186737227080e-09 8.3235818505020984e-12
5.5555279272714613e-05 2.8708427416175953e-09 8.3235318120788484e-12
5.6339125796621611e-05 2.8695662513158976e-09 8.3234793488347744e-12
5.7134031852243288e-05 2.8682894270033343e-09 8.3234250386118165e-12
5.7940153481914723e-05 2.8670126697387248e-09 8.3233700889511954e-12
5.8757648929619831e-05 2.8657374342577972e-09 8.3233187240675338e-12
5.9586678672056042e-05 2.8644621414386175e-09 8.3232663521672005e-12
6.0427405450135504e-05 2.8631883327687432e-09 8.3232174326882773e-12
6.1279994300931975e-05 2.8619125674032131e-09 8.3231619965676558e-12
6.2144612590078388e-05 2.8606393004921306e-09 8.3231129804915048e-12
6.3021430044620538e-05 2.8593647362215965e-09 8.3230593523586396e-12
6.3910618786335298e-05 2.8580911291184888e-09 8.3230076504879117e-12
6.4812353365518990e-05 2.8568172517347049e-09 8.3229543403281869e-12
6.5726810795251427e-05 2.8555439296542308e-09 8.3229017931401878e-12
6.6654170586144361e-05 2.8542707319621238e-09 8.3228487629409805e-12
6.7594614781580411e-05 2.8529975059644954e-09 8.3227948116251247e-12
6.8548327993447718e-05 2.8517254384306523e-09 8.3227433681904986e-12
6.9515497438380933e-05 2.8504532992488481e-09 8.3226909065907918e-12
7.0496312974511308e-05 2.8491816127740737e-09 8.3226388818808639e-12
7.1490967138736929e-05 2.8479095699770758e-09 8.3225850038025456e-12
7.2499655184518575e-05 2.8466382267935872e-09 8.3225323118332110e-12
7.3522575120207770e-05 2.8453684308041762e-09 8.3224832755659642e-12
7.4559927747916768e-05 2.8440958153026296e-09 8.3224251665949275e-12
7.5611916702937021e-05 2.8428264690954676e-09 8.3223757685058736e-12
7.6678748493712350e-05 2.8415563498899626e-09 8.3223232651287508e-12
7.7760632542378367e-05 2.8402867253587434e-09 8.3222713637177607e-12
7.8857781225871504e-05 2.8390166826689968e-09 8.3222173837790712e-12
7.9970409917619741e-05 2.8377470153475007e-09 8.3221636350935481e-12
8.1098737029821494e-05 2.8364783092200061e-09 8.3221118757732299e-12
8.2242984056319561e-05 2.8352088098607132e-09 8.3220569338035031e-12
8.3403375616081493e-05 2.8339405882149424e-09 8.3220049048638712e-12
8.4580139497293470e-05 2.8326727646511561e-09 8.3219531703835590e-12
