# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 6.4000000000000004e+00 -1.7562534005532003e-02 6.3347929716595794e-06 1.0000000000000000e+00 6.3347929716595794e-06 1.5422130034773400e-04 1.5422130034773400e-04
4.0020010005002500e-02 6.3992971393776612e+00 -1.7563115649082965e-02 6.3347538729591118e-06 1.0408316010295584e+00 6.5934120157202282e-06 1.5423151565153146e-04 -1.4685196904629817e-03
8.0040020010005000e-02 6.3985942335363752e+00 -1.7564772444522942e-02 6.3347147694689473e-06 1.0833304217017536e+00 6.8625892225691217e-06 1.5426061551393624e-04 -2.9084125203309827e-03
1.2006003001500751e-01 6.3978912419157830e+00 -1.7567383525824782e-02 6.3346756566756150e-06 1.1275645372638630e+00 7.1427556255360972e-06 1.5430648197170996e-04 -4.1860159691778313e-03
1.6008004002001000e-01 6.3971881285124867e+00 -1.7570841763697564e-02 6.3346365305712742e-06 1.1736048025844994e+00 7.4343598549056584e-06 1.5436724014244926e-04 -5.3196086552574446e-03
2.0010005002501249e-01 6.3964848613598759e+00 -1.7575052197848866e-02 6.3345973875954653e-06 1.2215249656500033e+00 7.7378688562891522e-06 1.5444122987855614e-04 -6.3254363366829569e-03
2.4012006003001501e-01 6.3957814120738057e+00 -1.7579930667727693e-02 6.3345582245843837e-06 1.2714017856950692e+00 8.0537686383259720e-06 1.5452698114105633e-04 -7.2179304825603944e-03
2.8014007003501751e-01 6.3950777554445493e+00 -1.7585402582731002e-02 6.3345190387254074e-06 1.3233151561568384e+00 8.3825650509093780e-06 1.5462319199836111e-04 -8.0099070286305026e-03
3.2016008004002000e-01 6.3943738690691552e+00 -1.7591401814159333e-02 6.3344798275162182e-06 1.3773482326494020e+00 8.7247845951827516e-06 1.5472870889360414e-04 -8.7127474045013541e-03
3.6018009004502249e-01 6.3936697330417989e+00 -1.7597869761987774e-02 6.3344405887304238e-06 1.4335875661637096e+00 9.0809752666066643e-06 1.5484251007994180e-04 -9.3365519628675776e-03
4.0020010005002499e-01 6.3929653296644773e+00 -1.7604754482917338e-02 6.3344013203854885e-06 1.4921232417062418e+00 9.4517074324418940e-06 1.5496369020189907e-04 -9.8902847464240346e-03
4.4022011005502748e-01 6.3922606431970079e+00 -1.7612009936912486e-02 6.3343620207150522e-06 1.5530490225985223e+00 9.8375747450567121e-06 1.5509144700895209e-04 -1.0381899309335444e-02
4.8024012006003003e-01 6.3915556596368388e+00 -1.7619595323557686e-02 6.3343226881445764e-06 1.6164625006686109e+00 1.0239195092520099e-05 1.5522506968296794e-04 -1.0818450174787679e-02
5.2026013006503247e-01 6.3908503665180119e+00 -1.7627474476160060e-02 6.3342833212691172e-06 1.6824652525751536e+00 1.0657211588001627e-05 1.5536392820383719e-04 -1.1206195170251513e-02
5.6028014007003502e-01 6.3901447527377409e+00 -1.7635615339068496e-02 6.3342439188341772e-06 1.7511630025143974e+00 1.1092293599564221e-05 1.5550746419379401e-04 -1.1550684059776007e-02
6.0030015007503745e-01 6.3894388084028062e+00 -1.7643989504718863e-02 6.3342044797187525e-06 1.8226657915707887e+00 1.1545137821997816e-05 1.5565518282131469e-04 -1.1856837353704311e-02
6.4032016008004000e-01 6.3887325246899334e+00 -1.7652571792826918e-02 6.3341650029199203e-06 1.8970881539824314e+00 1.2016469392409474e-05 1.5580664545045427e-04 -1.2129018193453099e-02
6.8034017008504255e-01 6.3880258937251879e+00 -1.7661339886892100e-02 6.3341254875395311e-06 1.9745493006037433e+00 1.2507043051357525e-05 1.5596146330016292e-04 -1.2371094618878637e-02
7.2036018009004499e-01 6.3873189084774973e+00 -1.7670274013286143e-02 6.3340859327724833e-06 2.0551733098591889e+00 1.3017644351388553e-05 1.5611929185230778e-04 -1.2586494680531283e-02
7.6038019009504754e-01 6.3866115626597475e+00 -1.7679356643157874e-02 6.3340463378957946e-06 2.1390893264939561e+00 1.3549090914911025e-05 1.5627982565798523e-04 -1.2778257734832318e-02
8.0040020010004997e-01 6.3859038506453141e+00 -1.7688572240869865e-02 6.3340067022594096e-06 2.2264317684399439e+00 1.4102233743421875e-05 1.5644279396023598e-04 -1.2949077819567435e-02
8.4042021010505252e-01 6.3851957673943200e+00 -1.7697907041742240e-02 6.3339670252780639e-06 2.3173405421284179e+00 1.4677958580181391e-05 1.5660795682907478e-04 -1.3101342039170061e-02
8.8044022011005496e-01 6.3844873083851050e+00 -1.7707348845505847e-02 6.3339273064237318e-06 2.4119612665942256e+00 1.5277187328517535e-05 1.5677510156821863e-04 -1.3237166268063193e-02
9.2046023011505751e-01 6.3837784695555913e+00 -1.7716886839586238e-02 6.3338875452191474e-06 2.5104455067305493e+00 1.5900879528031999e-05 1.5694403964335203e-04 -1.3358425740713315e-02
9.6048024012006006e-01 6.3830692472522355e+00 -1.7726511445245407e-02 6.3338477412321850e-06 2.6129510160678189e+00 1.6550033891071497e-05 1.5711460400920821e-04 -1.3466781716472540e-02
1.0005002501250626e+00 6.3823596381830239e+00 -1.7736214175918256e-02 6.3338078940706708e-06 2.7196419894656789e+00 1.7225689901923782e-05 1.5728664664702184e-04 -1.3563706036974770e-02
1.0405202601300649e+00 6.3816496393737605e+00 -1.7745987505461056e-02 6.3337680033775415e-06 2.8306893261227755e+00 1.7928929481298771e-05 1.5746003627198997e-04 -1.3650503960857270e-02
1.0805402701350675e+00 6.3809392481354754e+00 -1.7755824769933738e-02 6.3337280688272681e-06 2.9462709033256500e+00 1.8660878718762739e-05 1.5763465663029625e-04 -1.3728331241707442e-02
1.1205602801400700e+00 6.3802284620302538e+00 -1.7765720064603623e-02 6.3336880901220683e-06 3.0665718613752397e+00 1.9422709675895820e-05 1.5781040470692990e-04 -1.3798211994472544e-02
1.1605802901450726e+00 6.3795172788422860e+00 -1.7775668156702673e-02 6.3336480669887088e-06 3.1917849001473835e+00 2.0215642263062224e-05 1.5798718920860671e-04 -1.3861053842388222e-02
