# k_modes P_scalar P_tensor
4.5664517805352600e-05 2.6392059091245474e-09 8.0699093004523954e-12
4.6308802277385040e-05 2.6380145676765741e-09 8.0698572451380773e-12
4.6962177012511178e-05 2.6368212616483272e-09 8.0697983615850870e-12
4.7624770266007725e-05 2.6356312004220432e-09 8.0697485371653634e-12
4.8296712102715438e-05 2.6344404887817046e-09 8.0696958652238891e-12
4.8978134422570715e-05 2.6332497682792002e-09 8.0696423041708931e-12
4.9669170986497396e-05 2.6320599323114909e-09 8.0695906305529278e-12
5.0369957442662999e-05 2.6308692078117028e-09 8.0695353618452499e-12
5.1080631353106302e-05 2.6296801676855334e-09 8.0694844058960503e-12
5.1801332220740604e-05 2.6284895330089126e-09 8.0694277220072615e-12
5.2532201516737079e-05 2.6272996360839697e-09 8.0693724315119404e-12
5.3273382708295403e-05 2.6261116092867098e-09 8.0693220225832704e-12
5.4025021286806192e-05 2.6249223834708448e-09 8.0692670938907941e-12
5.4787264796409858e-05 2.6237339615197221e-09 8.0692137801954086e-12
5.5560262862959322e-05 2.6225452754810187e-09 8.0691587826315401e-12
5.6344167223391419e-05 2.6213575156452633e-09 8.0691057724557000e-12
5.7139131755511689e-05 2.6201707683159839e-09 8.0690550476501624e-12
5.7945312508200404e-05 2.6189826404254659e-09 8.0689992012476679e-12
5.8762867732044778e-05 2.6177955348479967e-09 8.0689456578749046e-12
5.9591957910402345e-05 2.6166078604379178e-09 8.0688894977712342e-12
6.0432745790903663e-05 2.6154210277310344e-09 8.0688350758836581e-12
6.1285396417399469e-05 2.6142353739365270e-09 8.0687834278704870e-12
6.2150077162357524e-05 2.6130490731258609e-09 8.0687289282948477e-12
6.3026957759717634e-05 2.6118642941196403e-09 8.0686782635162238e-12
6.3916210338210217e-05 2.6106777939253023e-09 8.0686214248616258e-12
6.4818009455143864e-05 2.6094931503128765e-09 8.0685694777265052e-12
6.5732532130670718e-05 2.6083071835903956e-09 8.0685125818843393e-12
6.6659957882535335e-05 2.6071225222494147e-09 8.0684588302510854e-12
6.7600468761312634e-05 2.6059386577035903e-09 8.0684067015326401e-12
6.8554249386144190e-05 2.6047536935278470e-09 8.0683503182359335e-12
6.9521486980978804e-05 2.6035700364141924e-09 8.0682971114370146e-12
7.0502371411323094e-05 2.6023866749741534e-09 8.0682439535231999e-12
7.1497095221511838e-05 2.6012027935645523e-09 8.0681883338004565e-12
7.2505853672504293e-05 2.6000195678038907e-09 8.0681338623013871e-12
