# k_modes P_scalar P_tensor
4.5653928962181625e-05 3.0915648765325344e-09 8.1208843713658718e-12
4.8618170779244188e-05 3.0857746977552755e-09 8.1207116267828325e-12
5.1774876415955240e-05 3.0799901998599553e-09 8.1205391505237164e-12
5.5136542262339539e-05 3.0742106853147632e-09 8.1203651290869508e-12
5.8716476080470658e-05 3.0684368879652178e-09 8.1201914711907105e-12
6.2528849685652873e-05 3.0626685133080011e-09 8.1200174266783653e-12
6.6588755048115116e-05 3.0569054896289395e-09 8.1198427775229807e-12
7.0912264037303470e-05 3.0511471245283822e-09 8.1196657089706229e-12
7.5516492045282394e-05 3.0453954876176477e-09 8.1194916912829889e-12
8.0419665741108851e-05 3.0396491863903565e-09 8.1193170508276961e-12
8.5641195224397319e-05 3.0339077510018514e-09 8.1191405226687344e-12
9.1201750863708812e-05 3.0281725152193146e-09 8.1189656550255705e-12
9.7123345123941549e-05 3.0224412880141692e-09 8.1187866067833908e-12
1.0342941970665429e-04 3.0167168692288181e-09 8.1186108349589367e-12
1.1014493834827985e-04 3.0109977433508593e-09 8.1184343274096905e-12
1.1729648564358951e-04 3.0052835368058659e-09 8.1182560665761453e-12
1.2491237228561821e-04 2.9995751319350920e-09 8.1180783904794411e-12
1.3302274713866195e-04 2.9938724040127616e-09 8.1179010080719888e-12
1.4165971658800763e-04 2.9881750596467333e-09 8.1177231086265350e-12
1.5085747163886531e-04 2.9824826272820935e-09 8.1175434061808540e-12
1.6065242326764390e-04 2.9767957401129362e-09 8.1173636254007296e-12
1.7108334656138418e-04 2.9711146128167214e-09 8.1171843417419668e-12
1.8219153421595286e-04 2.9654387688971786e-09 8.1170042666051397e-12
1.9402096000064453e-04 2.9597687224249905e-09 8.1168247698412575e-12
2.0661845283629862e-04 2.9541041301293929e-09 8.1166449672232563e-12
2.2003388217604886e-04 2.9484443319149978e-09 8.1164630311780194e-12
2.3432035542257168e-04 2.9427903631413216e-09 8.1162817841479940e-12
2.4953442816334136e-04 2.9371418413763135e-09 8.1161001564880325e-12
2.6573632805614793e-04 2.9314988665272846e-09 8.1159184618602282e-12
2.8299019325117206e-04 2.9258611034650013e-09 8.1157357621906784e-12
3.0136432629344803e-04 2.9202289493679100e-09 8.1155531572144256e-12
3.2093146451083864e-04 2.9146024506317420e-09 8.1153707638677912e-12
3.4176906795789800e-04 2.9089809934069800e-09 8.1151868991766068e-12
3.6395962605550465e-04 2.9033650434431636e-09 8.1150028189097794e-12
3.8759098414014833e-04 2.8977551484955291e-09 8.1148200791460340e-12
4.1275669121557633e-04 2.8921502260395913e-09 8.1146356605373865e-12
4.3955637028344168e-04 2.8865505200843463e-09 8.1144502299522489e-12
4.6809611271896658e-04 2.8809567463391254e-09 8.1142657920787734e-12
4.9848889825283372e-04 2.8753679768961957e-09 8.1140797495426026e-12
5.3085504222187866e-04 2.8697846640834260e-09 8.1138933747251703e-12
5.6532267185910258e-04 2.8642077812869764e-09 8.1137093688916248e-12
6.0202823350849455e-04 2.8586350725476598e-09 8.1135214330941864e-12
6.4111703277255037e-04 2.8530684502258897e-09 8.1133349321407628e-12
6.8274380973077720e-04 2.8475071489264885e-09 8.1131476933112070e-12
7.2707335150627359e-04 2.8419512540357063e-09 8.1129599702228431e-12
7.7428114460535268e-04 2.8364013146002129e-09 8.1127733138398430e-12
8.2455406961260747e-04 2.8308557141617959e-09 8.1125831543179975e-12
8.7809114099149127e-04 2.8253166270600049e-09 8.1123956298768912e-12
9.3510429491906115e-04 2.8197824838145883e-09 8.1122063254671645e-12
9.9581922827364760e-04 2.8142536935779681e-09 8.1120163529452161e-12
1.0604762920967622e-03 2.8087302163197926e-09 8.1118256193491880e-12
1.1293314430661490e-03 2.8032129014428722e-09 8.1116365508993242e-12
1.2026572567465741e-03 2.7977003374107343e-09 8.1114451206066610e-12
1.2807440066294837e-03 2.7921937396140348e-09 8.1112547923125749e-12
1.3639008132331001e-03 2.7866925914252940e-09 8.1110641068020697e-12
1.4524568678118924e-03 2.7811963357508171e-09 8.1108714240840459e-12
1.5467627355196687e-03 2.7757063979857435e-09 8.1106808855088608e-12
1.6471917431851327e-03 2.7702213046266255e-09 8.1104882050309342e-12
1.7541414571936294e-03 2.7647419296927043e-09 8.1102959452849279e-12
1.8680352573255676e-03 2.7592675334823457e-09 8.1101019103552615e-12
1.9893240127818331e-03 2.7537990624770197e-09 8.1099088995417233e-12
2.1184878670310343e-03 2.7483354282847146e-09 8.1097137101312285e-12
2.2560381385442509e-03 2.7428777028304950e-09 8.1095194761930171e-12
2.4025193449416352e-03 2.7374255821351454e-09 8.1093253295887189e-12
2.5585113585638829e-03 2.7319787097861822e-09 8.1091301827074439e-12
2.7246317020017284e-03 2.7265373812395457e-09 8.1089349590481498e-12
2.9015379926707785e-03 2.7211015608995126e-09 8.1087395084429268e-12
3.0899305461089578e-03 2.7156709179799811e-09 8.1085428627193856e-12
3.2905551483021758e-03 2.7102460632630894e-09 8.1083468363310703e-12
3.5042060080130218e-03 2.7048262489747825e-09 8.1081492112536899e-12
3.7317289007997218e-03 2.6994121073720468e-09 8.1079518404686566e-12
3.9740245171716376e-03 2.6940036893373250e-09 8.1077549045276357e-12
4.2320520281354853e-03 2.6886001410696585e-09 8.1075558356013990e-12
4.5068328822471960e-03 2.6832020738650154e-09 8.1073564758692488e-12
4.7994548492007183e-03 2.6778097010174489e-09 8.1071574412388783e-12
5.1110763259610099e-03 2.6724230476828230e-09 8.1069588268093652e-12
5.4429309224879006e-03 2.6670416498418592e-09 8.1067592580907215e-12
5.7963323452041556e-03 2.6616649538829785e-09 8.1065569905176518e-12
6.1726795975398591e-03 2.6562950659039817e-09 8.1063584820515957e-12
6.5734625181404832e-03 2.6509295632893629e-09 8.1061563027122583e-12
7.0002676786625161e-03 2.6455700596075883e-09 8.1059553910666042e-12
7.4547846645042467e-03 2.6402157031343020e-09 8.1057531859743135e-12
7.9388127633350253e-03 2.6348671351598930e-09 8.1055515700416209e-12
8.4542680879008784e-03 2.6295238132389506e-09 8.1053489717356927e-12
9.0031911613032388e-03 2.6241863475655610e-09 8.1051472043115384e-12
9.5877549947785638e-03 2.6188533390340585e-09 8.1049419685978292e-12
1.0210273689956273e-02 2.6135268256911648e-09 8.1047395448930602e-12
1.0873211599648411e-02 2.6082051813411138e-09 8.1045349278136415e-12
1.1579193083435867e-02 2.6028890573179134e-09 8.1043301088560946e-12
1.2331012896670230e-02 2.5975781638955216e-09 8.1041241775116289e-12
1.3131647254018233e-02 2.5922730544109707e-09 8.1039188972127441e-12
1.3984265611345614e-02 2.5869735459681932e-09 8.1037136628471793e-12
1.4892243212581181e-02 2.5816794414064652e-09 8.1035079016419298e-12
1.5859174451230258e-02 2.5763902089431497e-09 8.1032998953030164e-12
1.6888887099431229e-02 2.5711071995310624e-09 8.1030938876700625e-12
1.7985457460883664e-02 2.5658292832163509e-09 8.1028863485392963e-12
1.9153226507633493e-02 2.5605566372605317e-09 8.1026778296606235e-12
2.0396817064595830e-02 2.5552894124455026e-09 8.1024688041506308e-12
2.1721152109843208e-02 2.5500282088123029e-09 8.1022611506681710e-12
2.3131474263104322e-02 2.5447720200976081e-09 8.1020517006826065e-12
2.4633366539622285e-02 2.5395207876190280e-09 8.1018402517476055e-12
2.6232774451529824e-02 2.5342758383979184e-09 8.1016310318851156e-12
2.7936029544234131e-02 2.5290360529669614e-09 8.1014204803568264e-12
2.9749874460984028e-02 2.5238018680847685e-09 8.1012099867939488e-12
3.1681489634842581e-02 2.5185730003507962e-09 8.1009986192894523e-12
3.3738521713729590e-02 2.5133493985743456e-09 8.1007862466740179e-12
3.5929113831059845e-02 2.5081313868641036e-09 8.1005738997491849e-12
3.8261937841809326e-02 2.5029186863639291e-09 8.1003606566569117e-12
4.0746228651620933e-02 2.4977116617868809e-09 8.1001477120780045e-12
4.3391820774848301e-02 2.4925101546330524e-09 8.0999345460042693e-12
4.6209187266258882e-02 2.4873136993440045e-09 8.0997196711378553e-12
4.9209481180515109e-02 2.4821234156203723e-09 8.0995066857815595e-12
5.2404579723557748e-02 2.4769379877732375e-09 8.0992913392960756e-12
