# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 1.750000000000000000e+01 -1.142857142857142960e-01 4.219759036325688615e-05 1.000000000000000000e+00 4.219759036325688615e-05 6.530612244897960293e-03 6.530612244898446016e-03
1.000100010001000149e-02 1.749885702819027955e+01 -1.142858249158474476e-01 4.219483441486709930e-05 1.010051177235855357e+00 4.261894217400850020e-05 6.530624888347868855e-03 6.337998531917847511e-03
2.000200020002000298e-02 1.749771405418406189e+01 -1.142861524642494048e-01 4.219207863587843345e-05 1.020203380635537282e+00 4.304450126036360333e-05 6.530662322540830428e-03 6.151066486511600276e-03
3.000300030003000273e-02 1.749657107584394922e+01 -1.142866905625234131e-01 4.218932301597537579e-05 1.030457625630923912e+00 4.347430962201807842e-05 6.530723819866988966e-03 5.969649194105359005e-03
4.000400040004000596e-02 1.749542809109529173e+01 -1.142874330305090474e-01 4.218656754514752831e-05 1.040814937860179201e+00 4.390840967803697826e-05 6.530808674351545016e-03 5.793584604209535763e-03
5.000500050005000918e-02 1.749428509792432607e+01 -1.142883738707199393e-01 4.218381221368048021e-05 1.051276353270337527e+00 4.434684427103873958e-05 6.530916201006729815e-03 5.622715390999003492e-03
6.000600060006000547e-02 1.749314209437641310e+01 -1.142895072630366188e-01 4.218105701214714103e-05 1.061842918220921472e+00 4.478965667142138280e-05 6.531045735213849950e-03 5.456888820140856286e-03
7.000700070007001563e-02 1.749199907855425096e+01 -1.142908275593457479e-01 4.217830193139906027e-05 1.072515689588597887e+00 4.523689058163055517e-05 6.531196632100052385e-03 5.295956613781582084e-03
8.000800080008001192e-02 1.749085604861600629e+01 -1.142923292779875061e-01 4.217554696255724556e-05 1.083295734872888438e+00 4.568859014046947157e-05 6.531368265893959697e-03 5.139774810030793908e-03
9.000900090009000820e-02 1.748971300277402108e+01 -1.142940070997867652e-01 4.217279209700582006e-05 1.094184132302942203e+00 4.614479992745469000e-05 6.531560029463054015e-03 4.988203663856280792e-03
1.000100010001000184e-01 1.748856993929312509e+01 -1.142958558630598892e-01 4.217003732638375542e-05 1.105181970945379621e+00 4.660556496721302569e-05 6.531771333734680968e-03 4.841107520566600986e-03
1.100110011001100146e-01 1.748742685648901585e+01 -1.142978705587431726e-01 4.216728264257704523e-05 1.116290350813223586e+00 4.707093073392268042e-05 6.532001607131604493e-03 4.698354692187833165e-03
1.200120012001200109e-01 1.748628375272671320e+01 -1.143000463257386884e-01 4.216452803771104777e-05 1.127510382975922543e+00 4.754094315579860715e-05 6.532250295033004833e-03 4.559817339223148566e-03
1.300130013001300211e-01 1.748514062641907785e+01 -1.143023784464623077e-01 4.216177350414328294e-05 1.138843189670480704e+00 4.801564861962289631e-05 6.532516859259145971e-03 4.425371357459384133e-03
1.400140014001400313e-01 1.748399747602536891e+01 -1.143048623425783894e-01 4.215901903445647294e-05 1.150289904413705599e+00 4.849509397532052906e-05 6.532800777577897969e-03 4.294896269405613573e-03
1.500150015001500137e-01 1.748285430004991170e+01 -1.143074935709054718e-01 4.215626462145189481e-05 1.161851672115582934e+00 4.897932654058087716e-05 6.533101543231297978e-03 4.168275119980895810e-03
1.600160016001600238e-01 1.748171109704075477e+01 -1.143102678194778121e-01 4.215351025814296332e-05 1.173529649193791435e+00 4.946839410552540336e-05 6.533418664480372673e-03 4.045394376060893263e-03
1.700170017001700340e-01 1.748056786558841935e+01 -1.143131809037469943e-01 4.215075593774902387e-05 1.185325003689369439e+00 4.996234493742207064e-05 6.533751664166392858e-03 3.926143829480205003e-03
