# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 1.7500000000000000e+01 -1.1428571428571430e-01 4.2197590363256886e-05 1.0000000000000000e+00 4.2197590363256886e-05 6.5306122448979603e-03 6.4338205585269597e-03
1.0001000100010001e-02 1.7498857028190280e+01 -1.1428582491584745e-01 4.2194834414867099e-05 1.0100511772358554e+00 4.2618942174008500e-05 6.5306248883478689e-03 6.3389411350942750e-03
2.0002000200020003e-02 1.7497714054184062e+01 -1.1428615246424940e-01 4.2192078635878433e-05 1.0202033806355373e+00 4.3044501260363603e-05 6.5306623225408304e-03 6.1519812257414758e-03
3.0003000300030003e-02 1.7496571075843949e+01 -1.1428669056252341e-01 4.2189323015975376e-05 1.0304576256309239e+00 4.3474309622018078e-05 6.5307238198669890e-03 5.9705368914059025e-03
4.0004000400040006e-02 1.7495428091095292e+01 -1.1428743303050905e-01 4.2186567545147528e-05 1.0408149378601792e+00 4.3908409678036978e-05 6.5308086743515450e-03 5.7944460572756321e-03
5.0005000500050009e-02 1.7494285097924326e+01 -1.1428837387071994e-01 4.2183812213680480e-05 1.0512763532703375e+00 4.4346844271038740e-05 6.5309162010067298e-03 5.6235513334981935e-03
6.0006000600060005e-02 1.7493142094376413e+01 -1.1428950726303662e-01 4.2181057012147141e-05 1.0618429182209215e+00 4.4789656671421383e-05 6.5310457352138499e-03 5.4576999330843857e-03
7.0007000700070016e-02 1.7491999078554251e+01 -1.1429082755934575e-01 4.2178301931399060e-05 1.0725156895885979e+00 4.5236890581630555e-05 6.5311966321000524e-03 5.2967437850799017e-03
8.0008000800080012e-02 1.7490856048616006e+01 -1.1429232927798751e-01 4.2175546962557246e-05 1.0832957348728884e+00 4.5688590140469472e-05 6.5313682658939597e-03 5.1405389306877066e-03
9.0009000900090008e-02 1.7489713002774021e+01 -1.1429400709978677e-01 4.2172792097005820e-05 1.0941841323029422e+00 4.6144799927454690e-05 6.5315600294630540e-03 4.9889452837889323e-03
1.0001000100010002e-01 1.7488569939293125e+01 -1.1429585586305989e-01 4.2170037326383755e-05 1.1051819709453796e+00 4.6605564967213026e-05 6.5317713337346810e-03 4.8418270302689166e-03
1.1001100110011001e-01 1.7487426856489016e+01 -1.1429787055874317e-01 4.2167282642577045e-05 1.1162903508132236e+00 4.7070930733922680e-05 6.5320016071316045e-03 4.6990524839090548e-03
1.2001200120012001e-01 1.7486283752726713e+01 -1.1430004632573869e-01 4.2164528037711048e-05 1.1275103829759225e+00 4.7540943155798607e-05 6.5322502950330048e-03 4.5604939067975369e-03
1.3001300130013002e-01 1.7485140626419078e+01 -1.1430237844646231e-01 4.2161773504143283e-05 1.1388431896704807e+00 4.8015648619622896e-05 6.5325168592591460e-03 4.4260273428262491e-03
1.4001400140014003e-01 1.7483997476025369e+01 -1.1430486234257839e-01 4.2159019034456473e-05 1.1502899044137056e+00 4.8495093975320529e-05 6.5328007775778980e-03 4.2955324646259032e-03
1.5001500150015001e-01 1.7482854300049912e+01 -1.1430749357090547e-01 4.2156264621451895e-05 1.1618516721155829e+00 4.8979326540580877e-05 6.5331015432312980e-03 4.1688924337067827e-03
1.6001600160016002e-01 1.7481711097040755e+01 -1.1431026781947781e-01 4.2153510258142963e-05 1.1735296491937914e+00 4.9468394105525403e-05 6.5334186644803727e-03 4.0459937739982278e-03
1.7001700170017003e-01 1.7480567865588419e+01 -1.1431318090374699e-01 4.2150755937749024e-05 1.1853250036893694e+00 4.9962344937422071e-05 6.5337516641663929e-03 3.9267262585509187e-03
1.8001800180018002e-01 1.7479424604324667e+01 -1.1431622876290841e-01 4.2148001653689444e-05 1.1972389153835423e+00 5.0461227785446901e-05 6.5341000792868038e-03 3.8109828097629347e-03
1.9001900190019003e-01 1.7478281311921329e+01 -1.1431940745633687e-01 4.2145247399577804e-05 1.2092725759157255e+00 5.0965091885492979e-05 6.5344634605839849e-03 3.6986594128285790e-03
2.0002000200020004e-01 1.7477137987089115e+01 -1.1432271316011616e-01 4.2142493169216183e-05 1.2214271889027140e+00 5.1473986965027548e-05 6.5348413721450990e-03 3.5896550425273881e-03
2.1002100210021002e-01 1.7475994628576526e+01 -1.1432614216364689e-01 4.2139738956589777e-05 1.2337039700590677e+00 5.1987963247997562e-05 6.5352333910111996e-03 3.4838716034616330e-03
2.2002200220022003e-01 1.7474851235168703e+01 -1.1432969086631709e-01 4.2136984755861373e-05 1.2461041473187098e+00 5.2507071459784105e-05 6.5356391067938144e-03 3.3812138836553044e-03
2.3002300230023004e-01 1.7473707805686363e+01 -1.1433335577422041e-01 4.2134230561366115e-05 1.2586289609577446e+00 5.3031362832206277e-05 6.5360581212972292e-03 3.2815895213177946e-03
2.4002400240024002e-01 1.7472564338984700e+01 -1.1433713349690611e-01 4.2131476367606183e-05 1.2712796637185113e+00 5.3560889108574791e-05 6.5364900481446643e-03 3.1849089853124893e-03
2.5002500250025006e-01 1.7471420833952312e+01 -1.1434102074414554e-01 4.2128722169245540e-05 1.2840575209348848e+00 5.4095702548795950e-05 6.5369345124065602e-03 3.0910855687586716e-03
2.6002600260026004e-01 1.7470277289510122e+01 -1.1434501432269961e-01 4.2125967961104757e-05 1.2969638106588344e+00 5.4635855934526396e-05 6.5373911502291894e-03 3.0000353961109980e-03
2.7002700270027002e-01 1.7469133704610297e+01 -1.1434911113307182e-01 4.2123213738155690e-05 1.3099998237882569e+00 5.5181402574379037e-05 6.5378596084618053e-03 2.9116774435317613e-03
2.8002800280028006e-01 1.7467990078235154e+01 -1.1435330816623131e-01 4.2120459495516197e-05 1.3231668641960919e+00 5.5732396309180671e-05 6.5383395442805319e-03 2.8259335727976349e-03
2.9002900290029004e-01 1.7466846409396059e+01 -1.1435760250029044e-01 4.2117705228444784e-05 1.3364662488607377e+00 5.6288891517281880e-05 6.5388306248072171e-03 2.7427270332813598e-03
3.0003000300030003e-01 1.7465702697133466e+01 -1.1436199130065614e-01 4.2114950932340782e-05 1.3498993079977759e+00 5.6850943119927111e-05 6.5393325271256748e-03 2.6619802096470423e-03
3.1003100310031007e-01 1.7464558940517534e+01 -1.1436647182186262e-01 4.2112196602747299e-05 1.3634673851930201e+00 5.7418606586682242e-05 6.5398449384904481e-03 2.5836196336015901e-03
3.2003200320032005e-01 1.7463415138644358e+01 -1.1437104139626274e-01 4.2109442235332961e-05 1.3771718375369033e+00 5.7991937940887577e-05 6.5403675550328227e-03 2.5075762890032259e-03
3.3003300330033003e-01 1.7462271290636352e+01 -1.1437569743516054e-01 4.2106687825893769e-05 1.3910140357602154e+00 5.8570993765192020e-05 6.5409000818896952e-03 2.4337816879007931e-03
3.4003400340034007e-01 1.7461127395641455e+01 -1.1438043742648099e-01 4.2103933370349265e-05 1.4049953643712039e+00 5.9155831207134757e-05 6.5414422329365665e-03 2.3621693973824827e-03
3.5003500350035005e-01 1.7459983452832361e+01 -1.1438525893241136e-01 4.2101178864738771e-05 1.4191172217940540e+00 5.9746507984782629e-05 6.5419937305173960e-03 2.2926750068569266e-03
3.6003600360036003e-01 1.7458839461405766e+01 -1.1439015958714691e-01 4.2098424305217700e-05 1.4333810205087607e+00 6.0343082392423763e-05 6.5425543051864689e-03 2.2252360405692001e-03
3.7003700370037007e-01 1.7457695420581636e+01 -1.1439513709473316e-01 4.2095669688054092e-05 1.4477881871924057e+00 6.0945613306318132e-05 6.5431236954613973e-03 2.1597918768949632e-03
3.8003800380038005e-01 1.7456551329602537e+01 -1.1440018922699723e-01 4.2092915009625248e-05 1.4623401628618542e+00 6.1554160190505568e-05 6.5437016475863863e-03 2.0962836740964002e-03
3.9003900390039004e-01 1.7455407187732952e+01 -1.1440531382156062e-01 4.2090160266414552e-05 1.4770384030178882e+00 6.2168783102671920e-05 6.5442879153048850e-03 2.0346543027046299e-03
4.0004000400040007e-01 1.7454262994258659e+01 -1.1441050877992592e-01 4.2087405455008332e-05 1.4918843777907860e+00 6.2789542700073640e-05 6.5448822596407535e-03 1.9748482845064613e-03
4.1004100410041006e-01 1.7453118748486109e+01 -1.1441577206562976e-01 4.2084650572092907e-05 1.5068795720873649e+00 6.3416500245521633e-05 6.5454844486870726e-03 1.9168117381518322e-03
4.2004200420042004e-01 1.7451974449741829e+01 -1.1442110170245447e-01 4.2081895614451673e-05 1.5220254857395050e+00 6.4049717613424951e-05 6.5460942574017142e-03 1.8604923313280154e-03
4.3004300430043008e-01 1.7450830097371842e+01 -1.1442649577269089e-01 4.2079140578962325e-05 1.5373236336541618e+00 6.4689257295894650e-05 6.5467114674088228e-03 1.8058392394774423e-03
4.4004400440044006e-01 1.7449685690741106e+01 -1.1443195241544475e-01 4.2076385462594076e-05 1.5527755459648889e+00 6.5335182408908626e-05 6.5473358668053060e-03 1.7528031112064224e-03
4.5004500450045004e-01 1.7448541229232966e+01 -1.1443746982497896e-01 4.2073630262405053e-05 1.5683827681848841e+00 6.5987556698538142e-05 6.5479672499714854e-03 1.7013360403066282e-03
