# k  Ps  Pt
4.822646174536931849e-05 2.565529895421270242e-09 3.079201574525925587e-10
4.890122365957330224e-05 2.564444148352841416e-09 3.078543345475293132e-10
4.958542652433394583e-05 2.563359969659004096e-09 3.077886722006341441e-10
5.027920243298005778e-05 2.562275901134924373e-09 3.077229959284253499e-10
5.098268532702805841e-05 2.561191565278884528e-09 3.076572598890642704e-10
5.169601102204087926e-05 2.560108495263029144e-09 3.075916484358031971e-10
5.241931723384891153e-05 2.559024420898232079e-09 3.075258888173957134e-10
5.315274360513716414e-05 2.557941048894939106e-09 3.074601861414447647e-10
5.389643173240559056e-05 2.556858649302806873e-09 3.073945726765143044e-10
5.465052519330549838e-05 2.555774671716500765e-09 3.073287424095102097e-10
5.541516957435899381e-05 2.554691905934346103e-09 3.072630301265908276e-10
5.619051249906616412e-05 2.553610085904458825e-09 3.071974038849581086e-10
5.697670365640549334e-05 2.552527671906518380e-09 3.071316788701257647e-10
5.777389482973309501e-05 2.551445818995559447e-09 3.070659935236714113e-10
5.858223992608621675e-05 2.550363208138862544e-09 3.070001899320562564e-10
5.940189500589680374e-05 2.549282323345690088e-09 3.069345663636350654e-10
6.023301831312081296e-05 2.548200558545640668e-09 3.068688091425334300e-10
6.107577030578910599e-05 2.547119824054482242e-09 3.068031483010232753e-10
6.193031368698530736e-05 2.546038718957787701e-09 3.067374154504389595e-10
6.279681343625825179e-05 2.544958128286765448e-09 3.066717172713040369e-10
6.367543684147269304e-05 2.543877750670873063e-09 3.066060169111372886e-10
6.456635353110631783e-05 2.542798017063597145e-09 3.065403662440241486e-10
6.546973550699850615e-05 2.541717989285286304e-09 3.064746532537655640e-10
6.638575717755726185e-05 2.540638215081751952e-09 3.064089429335672595e-10
6.731459539143080516e-05 2.539557496702927867e-09 3.063430912679697150e-10
6.825642947165026461e-05 2.538479385609313395e-09 3.062775260404570236e-10
6.921144125025005490e-05 2.537399599091577246e-09 3.062117315523962464e-10
7.017981510337271695e-05 2.536321102657210313e-09 3.061460649594485762e-10
7.116173798686494217e-05 2.535242544751156040e-09 3.060803631161012362e-10
7.215739947237108289e-05 2.534165397187954767e-09 3.060148042746571727e-10
7.316699178393298527e-05 2.533087366126225155e-09 3.059491111835795777e-10
7.419070983510049492e-05 2.532008313473852873e-09 3.058832668541906376e-10
7.522875126656195942e-05 2.530930517920890946e-09 3.058175465981099013e-10
7.628131648430107044e-05 2.529853809462478310e-09 3.057519304101344686e-10
7.734860869828749912e-05 2.528776709569233758e-09 3.056862388487330808e-10
7.843083396170904989e-05 2.527698869668119422e-09 3.056204305655496692e-10
7.952820121075255600e-05 2.526622511426703255e-09 3.055547732592767935e-10
8.064092230494147233e-05 2.525545807329261254e-09 3.054890471811997768e-10
8.176921206803798505e-05 2.524470097248104209e-09 3.054234131046574659e-10
8.291328832951653659e-05 2.523393229422799185e-09 3.053576117133467212e-10
8.407337196661944512e-05 2.522317493117648917e-09 3.052919188934764200e-10
8.524968694699900968e-05 2.521241817991742488e-09 3.052262061764679035e-10
8.644246037195737662e-05 2.520166416415181795e-09 3.051604989124853445e-10
8.765192252029101140e-05 2.519091107371256839e-09 3.050947750390943137e-10
8.887830689274873390e-05 2.518017000296831521e-09 3.050291690860930720e-10
9.012185025711174702e-05 2.516941438779787828e-09 3.049633592832455956e-10
9.138279269390439988e-05 2.515867429431712285e-09 3.048977095341312955e-10
9.266137764274456250e-05 2.514792977002118993e-09 3.048319785962207352e-10
9.395785194934243474e-05 2.513718849508721228e-09 3.047662594022573278e-10
9.527246591315704583e-05 2.512645160799610219e-09 3.047005656174485304e-10
9.660547333571957885e-05 2.511570877816891728e-09 3.046347716481467849e-10
9.795713156963203124e-05 2.510497688794334020e-09 3.045690830226625600e-10
9.932770156825324590e-05 2.509424823597454569e-09 3.045034060007114757e-10
1.007174479360782219e-04 2.508352158810867106e-09 3.044377251824089214e-10
1.021266389798232812e-04 2.507279031199681623e-09 3.043719605917352821e-10
1.035555467602258605e-04 2.506207440882387829e-09 3.043063545215215653e-10
1.050044471445689024e-04 2.505135132721642088e-09 3.042406339933319599e-10
1.064736198599403353e-04 2.504063228388371598e-09 3.041749343791672495e-10
1.079633485472377124e-04 2.502991375119426974e-09 3.041092134647309304e-10
1.094739208159279699e-04 2.501919245477524985e-09 3.040434309030741691e-10
1.110056282995744079e-04 2.500848310273265962e-09 3.039777657377523999e-10
1.125587667121395665e-04 2.499777246107334129e-09 3.039120571696646493e-10
1.141336359050762901e-04 2.498706719253321242e-09 3.038463863163631973e-10
1.157305399252176993e-04 2.497636439566929107e-09 3.037807171999823163e-10
1.173497870734764798e-04 2.496565240411548913e-09 3.037149087701244275e-10
1.189916899643667271e-04 2.495495069619395253e-09 3.036491973023360662e-10
1.206565655863572401e-04 2.494425794391632670e-09 3.035835671884054266e-10
1.223447353630700580e-04 2.493355447562842976e-09 3.035177790720230229e-10
1.240565252153349746e-04 2.492286453310507908e-09 3.034521271435103720e-10
1.257922656241124994e-04 2.491216889533297261e-09 3.033863785139117937e-10
1.275522916942965258e-04 2.490148446444253761e-09 3.033207381892457849e-10
1.293369432194110195e-04 2.489079328127032687e-09 3.032549878320012430e-10
1.311465647472105655e-04 2.488010974889285054e-09 3.031893026400214215e-10
1.329815056461995323e-04 2.486941818546653111e-09 3.031234921803181959e-10
1.348421201730817798e-04 2.485874697942127734e-09 3.030579017014465567e-10
1.367287675411534877e-04 2.484806218903053393e-09 3.029921175542281287e-10
1.386418119896544183e-04 2.483739102483700437e-09 3.029264720816109706e-10
1.405816228540878062e-04 2.482672043905881566e-09 3.028608052501576614e-10
1.425485746375251632e-04 2.481604038855399165e-09 3.027949949854579226e-10
1.445430470829083610e-04 2.480537336952509808e-09 3.027293159050647821e-10
1.465654252463636793e-04 2.479469960940366370e-09 3.026635271231929832e-10
1.486160995715406436e-04 2.478403586114287753e-09 3.025978320870347126e-10
1.506954659649926986e-04 2.477337912966031908e-09 3.025321952142385848e-10
1.528039258726110493e-04 2.476271641147424452e-09 3.024664570001493645e-10
1.549418863571285550e-04 2.475205857695274987e-09 3.024007502270165565e-10
1.571097601767075275e-04 2.474140378464867695e-09 3.023350529205231106e-10
1.593079658646282925e-04 2.473075129923243763e-09 3.022693559720714842e-10
1.615369278100913897e-04 2.472010024176455709e-09 3.022036483820943574e-10
1.637970763401509202e-04 2.470945099384316361e-09 3.021379348502390083e-10
1.660888478027942492e-04 2.469880031154853410e-09 3.020721761876371714e-10
1.684126846511839991e-04 2.468815658355860517e-09 3.020064742974652566e-10
1.707690355290790592e-04 2.467751151635808223e-09 3.019407277474344104e-10
1.731583553574497357e-04 2.466687819337744412e-09 3.018750971757027287e-10
1.755811054223065299e-04 2.465623596635607386e-09 3.018093297655248281e-10
1.780377534637561524e-04 2.464559449592604705e-09 3.017435433972997271e-10
1.805287737663046135e-04 2.463497516884334616e-09 3.016780001366574439e-10
1.830546472504224068e-04 2.462434194205704282e-09 3.016122586168196428e-10
1.856158615653931974e-04 2.461370592718941942e-09 3.015464551212063460e-10
1.882129111834592169e-04 2.460308562173214764e-09 3.014808158299969437e-10
1.908462974952852104e-04 2.459246190998226619e-09 3.014151070970842538e-10
1.935165289067577413e-04 2.458184231439194496e-09 3.013494201278350765e-10
1.962241209371387183e-04 2.457121381819470027e-09 3.012835965890371758e-10
1.989695963185927972e-04 2.456060133204604250e-09 3.012179410588186826e-10
2.017534850971059487e-04 2.454998758634247631e-09 3.011522418296021674e-10
2.045763247348183415e-04 2.453936586152398141e-09 3.010864168495798782e-10
2.074386602137867457e-04 2.452876154533467494e-09 3.010207773525597711e-10
2.103410441412001191e-04 2.451815259676499068e-09 3.009550529945113151e-10
2.132840368560660232e-04 2.450755173098088470e-09 3.008893995459086532e-10
2.162682065373919087e-04 2.449694932859228251e-09 3.008236991646696339e-10
2.192941293138776988e-04 2.448635060651637430e-09 3.007580162881556516e-10
2.223623893751445232e-04 2.447574796864338558e-09 3.006922570489501980e-10
2.254735790845192021e-04 2.446515114511419360e-09 3.006265406678558744e-10
2.286282990933969478e-04 2.445455422524126563e-09 3.005607952244031600e-10
2.318271584572043499e-04 2.444396836907383802e-09 3.004951580037641429e-10
2.350707747529835940e-04 2.443337719008535671e-09 3.004294267327781936e-10
2.383597741986244250e-04 2.442278725240043238e-09 3.003636827911222877e-10
2.416947917737617148e-04 2.441219790569326979e-09 3.002979181259733385e-10
2.450764713423663919e-04 2.440161096052931432e-09 3.002321546493229218e-10
2.485054657770495727e-04 2.439103796121035320e-09 3.001665345718750760e-10
2.519824370851090332e-04 2.438045018247184447e-09 3.001007044336042729e-10
2.555080565363361533e-04 2.436987244547941978e-09 3.000349696934868894e-10
2.590830047926127714e-04 2.435930863149596877e-09 2.999693782218975473e-10
2.627079720393208240e-04 2.434873601019922173e-09 2.999036503450043091e-10
2.663836581185907932e-04 2.433815694194657918e-09 2.998378145941959520e-10
2.701107726644144929e-04 2.432760165947323627e-09 2.997722437271620929e-10
2.738900352396470245e-04 2.431703861678067000e-09 2.997065489752641813e-10
2.777221754749286905e-04 2.430647702025003247e-09 2.996408440165624900e-10
2.816079332095473061e-04 2.429591904979644109e-09 2.995751556858304796e-10
