# k_modes P_scalar P_tensor
4.8189704732837525e-05 2.6326065330359242e-09 3.1195622669729320e-10
4.8864036874476839e-05 2.6315075888962660e-09 3.1189051530171911e-10
4.9547805136129207e-05 2.6304094919503701e-09 3.1182487685690417e-10
5.0241141560085467e-05 2.6293102565514309e-09 3.1175907627639281e-10
5.0944180036341791e-05 2.6282130670963349e-09 3.1169349151726671e-10
5.1657056328454891e-05 2.6271141674871488e-09 3.1162767635183958e-10
5.2379908099758917e-05 2.6260171067583505e-09 3.1156205264643811e-10
5.3112874939950246e-05 2.6249193586968697e-09 3.1149631993964844e-10
5.3856098392043266e-05 2.6238210112586739e-09 3.1143048919948437e-10
5.4609721979703410e-05 2.6227256616504720e-09 3.1136498650579961e-10
5.5373891234963603e-05 2.6216284632034988e-09 3.1129923795185415e-10
5.6148753726327579e-05 2.6205323719124758e-09 3.1123359325110651e-10
5.6934459087266480e-05 2.6194347947681217e-09 3.1116774508351883e-10
5.7731159045115165e-05 2.6183395967674577e-09 3.1110215234286393e-10
5.8539007450371947e-05 2.6172433900592464e-09 3.1103641216926604e-10
5.9358160306408234e-05 2.6161476396880443e-09 3.1097069949951476e-10
6.0188775799594989e-05 2.6150526147753681e-09 3.1090504578823950e-10
6.1031014329849738e-05 2.6139564464678586e-09 3.1083922882960092e-10
6.1885038541610951e-05 2.6128618589349868e-09 3.1077357294184141e-10
6.2751013355247026e-05 2.6117681138569435e-09 3.1070798962405545e-10
6.3629105998903594e-05 2.6106724662709078e-09 3.1064215288402563e-10
6.4519486040796610e-05 2.6095778244310091e-09 3.1057640823150926e-10
6.5422325421958272e-05 2.6084839278858310e-09 3.1051072561417516e-10
6.6337798489440202e-05 2.6073890361894642e-09 3.1044489706613587e-10
6.7266082029981158e-05 2.6062961702131017e-09 3.1037928234402468e-10
6.8207355304147004e-05 2.6052033157470335e-09 3.1031364183238468e-10
6.9161800080947306e-05 2.6041101925461110e-09 3.1024794206956481e-10
7.0129600672936309e-05 2.6030166318542321e-09 3.1018216297624032e-10
7.1110943971806242e-05 2.6019248609344252e-09 3.1011656984968576e-10
7.2106019484477580e-05 2.6008314543553665e-09 3.1005075455663810e-10
7.3115019369694156e-05 2.5997396587308304e-09 3.0998510386369020e-10
7.4138138475131820e-05 2.5986471095851165e-09 3.0991933612389499e-10
7.5175574375024943e-05 2.5975560646211232e-09 3.0985372067943049e-10
7.6227527408319465e-05 2.5964645890958737e-09 3.0978802599902476e-10
7.7294200717361239e-05 2.5953728844010636e-09 3.0972227722261657e-10
7.8375800287124270e-05 2.5942814566335521e-09 3.0965653411734107e-10
7.9472534984988019e-05 2.5931916023263407e-09 3.0959095137322048e-10
8.0584616601072595e-05 2.5921002737651015e-09 3.0952516548614380e-10
8.1712259889137059e-05 2.5910101227739691e-09 3.0945949259528278e-10
8.2855682608049937e-05 2.5899201903568779e-09 3.0939381872055695e-10
8.4015105563841591e-05 2.5888297697949420e-09 3.0932805893950792e-10
8.5190752652343488e-05 2.5877399681615444e-09 3.0926234606659520e-10
8.6382850902424165e-05 2.5866496605961628e-09 3.0919654527441995e-10
8.7591630519831694e-05 2.5855605352720803e-09 3.0913085837703297e-10
8.8817324931648198e-05 2.5844710366360640e-09 3.0906509936303607e-10
9.0060170831366307e-05 2.5833833559862735e-09 3.0899953045546828e-10
9.1320408224598032e-05 2.5822943823022118e-09 3.0893377968698061e-10
9.2598280475421693e-05 2.5812064482376732e-09 3.0886812583306529e-10
9.3894034353377286e-05 2.5801174132283844e-09 3.0880231276433743e-10
9.5207920081121194e-05 2.5790296805474217e-09 3.0873662826123057e-10
9.6540191382746084e-05 2.5779420874749513e-09 3.0867093328054158e-10
9.7891105532776882e-05 2.5768558010714301e-09 3.0860536689021959e-10
9.9260923405854163e-05 2.5757671748137409e-09 3.0853949314877364e-10
1.0064990952711098e-04 2.5746804161343462e-09 3.0847381563464725e-10
1.0205833212325464e-04 2.5735942989205261e-09 3.0840818772217576e-10
1.0348646317436523e-04 2.5725070878728446e-09 3.0834240119110770e-10
1.0493457846641641e-04 2.5714194007689682e-09 3.0827652996101301e-10
1.0640295764453283e-04 2.5703347271872190e-09 3.0821099290088785e-10
1.0789188426699266e-04 2.5692491536713362e-09 3.0814532030488714e-10
1.0940164585998476e-04 2.5681630972660280e-09 3.0807956224110084e-10
1.1093253397313310e-04 2.5670774262991279e-09 3.0801382325272761e-10
1.1248484423579820e-04 2.5659929351300345e-09 3.0794819814982662e-10
1.1405887641416531e-04 2.5649074472380816e-09 3.0788242598211549e-10
1.1565493446913254e-04 2.5638229902125546e-09 3.0781674999985491e-10
1.1727332661500901e-04 2.5627370539814784e-09 3.0775086922419624e-10
1.1891436537903331e-04 2.5616540414426054e-09 3.0768531191324704e-10
1.2057836766172590e-04 2.5605705278071153e-09 3.0761966697561540e-10
1.2226565479808604e-04 2.5594864750131703e-09 3.0755392940456145e-10
1.2397655261964398e-04 2.5584021412854926e-09 3.0748813125214515e-10
1.2571139151738259e-04 2.5573197176644423e-09 3.0742253469417482e-10
1.2747050650553930e-04 2.5562364547078306e-09 3.0735680966373394e-10
1.2925423728630004e-04 2.5551520579251038e-09 3.0729092146511718e-10
1.3106292831539934e-04 2.5540703316423581e-09 3.0722532600654924e-10
1.3289692886863839e-04 2.5529869985925606e-09 3.0715951015965970e-10
1.3475659310933284e-04 2.5519056928194713e-09 3.0709391062907801e-10
1.3664228015670572e-04 2.5508235623687601e-09 3.0702818421768975e-10
1.3855435415523697e-04 2.5497423224495245e-09 3.0696253716364559e-10
1.4049318434498274e-04 2.5486602119806170e-09 3.0689675899678702e-10
1.4245914513287945e-04 2.5475783248503542e-09 3.0683097864617690e-10
1.4445261616504593e-04 2.5464982226704651e-09 3.0676538665866125e-10
1.4647398240009586e-04 2.5454160350579518e-09 3.0669951548680251e-10
1.4852363418347753e-04 2.5443351605362354e-09 3.0663377506948557e-10
1.5060196732285364e-04 2.5432559756101476e-09 3.0656821054586956e-10
1.5270938316453483e-04 2.5421757743879992e-09 3.0650249593608801e-10
1.5484628867098400e-04 2.5410956892413739e-09 3.0643676775793999e-10
1.5701309649940505e-04 2.5400160552724406e-09 3.0637106640816925e-10
1.5921022508143023e-04 2.5389367329188644e-09 3.0630537522487843e-10
1.6143809870392372e-04 2.5378563082718084e-09 3.0623952334403913e-10
1.6369714759091603e-04 2.5367783776170695e-09 3.0617394483628155e-10
1.6598780798668345e-04 2.5357000963141356e-09 3.0610829636755671e-10
1.6831052223999167e-04 2.5346204081331903e-09 3.0604245025625307e-10
1.7066573888951792e-04 2.5335411665996590e-09 3.0597663064601554e-10
1.7305391275046736e-04 2.5324644593531375e-09 3.0591108939525314e-10
1.7547550500240258e-04 2.5313864899688796e-09 3.0584536795596860e-10
1.7793098327830261e-04 2.5303080609003710e-09 3.0577956328482309e-10
1.8042082175486615e-04 2.5292309900004500e-09 3.0571389514346352e-10
1.8294550124408037e-04 2.5281536440413976e-09 3.0564816620386374e-10
1.8550550928607079e-04 2.5270774671657806e-09 3.0558255058462709e-10
1.8810134024324900e-04 2.5260005045191606e-09 3.0551681304424737e-10
1.9073349539577936e-04 2.5249248296416552e-09 3.0545120280098951e-10
1.9340248303838166e-04 2.5238477126566875e-09 3.0538539074136022e-10
1.9610881857848664e-04 2.5227710867734688e-09 3.0531961030904616e-10
1.9885302463576663e-04 2.5216953244462595e-09 3.0525390670000126e-10
2.0163563114305921e-04 2.5206197808697380e-09 3.0518820187316234e-10
2.0445717544870115e-04 2.5195444721683295e-09 3.0512249781610277e-10
2.0731820242029614e-04 2.5184696804342658e-09 3.0505682874130141e-10
2.1021926454993476e-04 2.5173940793622972e-09 3.0499103359173872e-10
2.1316092206088465e-04 2.5163201763794985e-09 3.0492541661991235e-10
2.1614374301577585e-04 2.5152453420016260e-09 3.0485965921762286e-10
2.1916830342629976e-04 2.5141710933979842e-09 3.0479394503737630e-10
2.2223518736444131e-04 2.5130974721473105e-09 3.0472827913462115e-10
2.2534498707526957e-04 2.5120236719749969e-09 3.0466256358784378e-10
2.2849830309130679e-04 2.5109490160161601e-09 3.0459671663930407e-10
2.3169574434849560e-04 2.5098768610017005e-09 3.0453114521241152e-10
2.3493792830379115e-04 2.5088029492857895e-09 3.0446533287572785e-10
2.3822548105439882e-04 2.5077300557399452e-09 3.0439961640608596e-10
2.4155903745867814e-04 2.5066576574891317e-09 3.0433393216970928e-10
2.4493924125874097e-04 2.5055853390409814e-09 3.0426822987071332e-10
2.4836674520476484e-04 2.5045125381277580e-09 3.0420244121581711e-10
2.5184221118104428e-04 2.5034403752110348e-09 3.0413670200475362e-10
2.5536631033380730e-04 2.5023693359803330e-09 3.0407107209276558e-10
2.5893972320082152e-04 2.5012967923305570e-09 3.0400523092403619e-10
2.6256313984281083e-04 2.5002269413196146e-09 3.0393968943702749e-10
2.6623725997671356e-04 2.4991546874274282e-09 3.0387382842487390e-10
2.6996279311080549e-04 2.4980842285036346e-09 3.0380815704517523e-10
2.7374045868171123e-04 2.4970142243586368e-09 3.0374251389308682e-10
2.7757098619333515e-04 2.4959430147683574e-09 3.0367669580612772e-10
2.8145511535773645e-04 2.4948733675945836e-09 3.0361104006083312e-10
2.8539359623797327e-04 2.4938043016336014e-09 3.0354542715085353e-10
2.8938718939294767e-04 2.4927333535641324e-09 3.0347955754331605e-10
2.9343666602427816e-04 2.4916637850495885e-09 3.0341382773764783e-10
2.9754280812522427e-04 2.4905936620453024e-09 3.0334800241824223e-10
3.0170640863169792e-04 2.4895262957705344e-09 3.0328248518555814e-10
3.0592827157538801e-04 2.4884564119577676e-09 3.0321663366951893e-10
3.1020921223902495e-04 2.4873891696946296e-09 3.0315107582514561e-10
3.1455005731382044e-04 2.4863198058363272e-09 3.0308523135989360e-10
3.1895164505911066e-04 2.4852523050183143e-09 3.0301958611360587e-10
3.2341482546423045e-04 2.4841842770894774e-09 3.0295384912003881e-10
