# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 5.700000000000000178e+00 -1.570074511235474909e-02 6.064365756459462636e-06 1.000000000000000000e+00 6.064365756459462636e-06 1.232566985415657645e-04 -6.897893608782035193e-05
1.000100010001000149e-02 5.699842976745682854e+00 -1.570077529780030193e-02 6.064358280969897805e-06 1.010051177235855357e+00 6.125312220873652970e-06 1.232571724760080740e-04 -2.574331252383344599e-04
2.000200020002000298e-02 5.699685952892060037e+00 -1.570086466696666086e-02 6.064350805432484930e-06 1.020203380635537282e+00 6.186871193062064656e-06 1.232585756452010532e-04 -6.287935835616858399e-04
3.000300030003000273e-02 5.699528927855984861e+00 -1.570101147880188439e-02 6.064343329791699307e-06 1.030457625630923912e+00 6.249048828627885513e-06 1.232608807287342552e-04 -9.892216811123631052e-04
4.000400040004000596e-02 5.699371901071462965e+00 -1.570121404393382686e-02 6.064335853993647618e-06 1.040814937860179201e+00 6.311851345037655358e-06 1.232640612267124115e-04 -1.339038181568068166e-03
5.000500050005000918e-02 5.699214871989144449e+00 -1.570147072313653885e-02 6.064328377986023036e-06 1.051276353270337527e+00 6.375285022242967016e-06 1.232680914347569279e-04 -1.678554688581808613e-03
6.000600060006000547e-02 5.699057840075838932e+00 -1.570177992587459825e-02 6.064320901718050173e-06 1.061842918220921472e+00 6.439356203308424358e-06 1.232729464202992622e-04 -2.008073626013057340e-03
7.000700070007001563e-02 5.698900804814006626e+00 -1.570214010877162350e-02 6.064313425140446111e-06 1.072515689588597887e+00 6.504071295045897187e-06 1.232786019977472731e-04 -2.327888371578263130e-03
8.000800080008001192e-02 5.698743765701296482e+00 -1.570254977420441553e-02 6.064305948205367886e-06 1.083295734872888438e+00 6.569436768655162744e-06 1.232850347056835814e-04 -2.638284325124166160e-03
9.000900090009000820e-02 5.698586722250143843e+00 -1.570300746911421075e-02 6.064298470866382001e-06 1.094184132302942203e+00 6.635459160370991448e-06 1.232922217875283364e-04 -2.939538951981488651e-03
1.000100010001000184e-01 5.698429673987318367e+00 -1.570351178362132047e-02 6.064290993078410208e-06 1.105181970945379621e+00 6.702145072116710745e-06 1.233001411691668394e-04 -3.231921312162270871e-03
