# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 5.7000000000000002e+00 -1.5700745112354749e-02 6.0643657564594626e-06 1.0000000000000000e+00 6.0643657564594626e-06 1.2325669854156576e-04 -6.8978936087820352e-05
1.0001000100010001e-02 5.6998429767456829e+00 -1.5700775297800302e-02 6.0643582809698978e-06 1.0100511772358554e+00 6.1253122208736530e-06 1.2325717247600807e-04 -2.5743312523833446e-04
2.0002000200020003e-02 5.6996859528920600e+00 -1.5700864666966661e-02 6.0643508054324849e-06 1.0202033806355373e+00 6.1868711930620647e-06 1.2325857564520105e-04 -6.2879358356168584e-04
3.0003000300030003e-02 5.6995289278559849e+00 -1.5701011478801884e-02 6.0643433297916993e-06 1.0304576256309239e+00 6.2490488286278855e-06 1.2326088072873426e-04 -9.8922168111236311e-04
4.0004000400040006e-02 5.6993719010714630e+00 -1.5701214043933827e-02 6.0643358539936476e-06 1.0408149378601792e+00 6.3118513450376554e-06 1.2326406122671241e-04 -1.3390381815680682e-03
5.0005000500050009e-02 5.6992148719891444e+00 -1.5701470723136539e-02 6.0643283779860230e-06 1.0512763532703375e+00 6.3752850222429670e-06 1.2326809143475693e-04 -1.6785546885818086e-03
6.0006000600060005e-02 5.6990578400758389e+00 -1.5701779925874598e-02 6.0643209017180502e-06 1.0618429182209215e+00 6.4393562033084244e-06 1.2327294642029926e-04 -2.0080736260130573e-03
7.0007000700070016e-02 5.6989008048140066e+00 -1.5702140108771624e-02 6.0643134251404461e-06 1.0725156895885979e+00 6.5040712950458972e-06 1.2327860199774727e-04 -2.3278883715782631e-03
8.0008000800080012e-02 5.6987437657012965e+00 -1.5702549774204416e-02 6.0643059482053679e-06 1.0832957348728884e+00 6.5694367686551627e-06 1.2328503470568358e-04 -2.6382843251241662e-03
9.0009000900090008e-02 5.6985867222501438e+00 -1.5703007469114211e-02 6.0642984708663820e-06 1.0941841323029422e+00 6.6354591603709914e-06 1.2329222178752834e-04 -2.9395389519673481e-03
1.0001000100010002e-01 5.6984296739873184e+00 -1.5703511783621317e-02 6.0642909930784102e-06 1.1051819709453796e+00 6.7021450721167107e-06 1.2330014116916679e-04 -3.2319213121622717e-03
