# k  Ps  Pt
4.565674984681046235e-05 2.711697685684223102e-09 7.424296635481732072e-12
4.630094376035713652e-05 2.710529480652892733e-09 7.424259945073084962e-12
4.695422692794923520e-05 2.709361525695628196e-09 7.424223238845156321e-12
4.761672759441721718e-05 2.708193820784169278e-09 7.424186516709407127e-12
4.828857581406170398e-05 2.707026365648537050e-09 7.424149777915843059e-12
4.896990347618456390e-05 2.705859160711468780e-09 7.424113023609671441e-12
4.966084433097966674e-05 2.704692205696175360e-09 7.424076253022331624e-12
5.036153401578955663e-05 2.703525500618117209e-09 7.424039466183736203e-12
5.107211008173157365e-05 2.702359045633571079e-09 7.424002663510768052e-12
5.179271202070063394e-05 2.701192840675654867e-09 7.423965844808802235e-12
5.252348129275245646e-05 2.700026885739666880e-09 7.423929010053483776e-12
5.326456135387374138e-05 2.698861180791456552e-09 7.423892159139718733e-12
5.401609768414311543e-05 2.697695725895885596e-09 7.423855292233591078e-12
5.477823781629037229e-05 2.696530520903752136e-09 7.423818408915560297e-12
5.555113136465869751e-05 2.695365566046612978e-09 7.423781509807714679e-12
5.633493005457451951e-05 2.694200861058678860e-09 7.423744594170024843e-12
5.712978775213289461e-05 2.693036406254338800e-09 7.423707662853756576e-12
5.793586049440240378e-05 2.691894361599949161e-09 7.423731921217195031e-12
5.875330652005704207e-05 2.690730389271318558e-09 7.423694934697564862e-12
5.958228630043899035e-05 2.689566667051498682e-09 7.423657932230108973e-12
6.042296257106086156e-05 2.688403194963143940e-09 7.423620913887254133e-12
6.127550036355234795e-05 2.687239972979244819e-09 7.423583879556880211e-12
6.214006703805655465e-05 2.686077001118792558e-09 7.423546829296170915e-12
6.301683231608464593e-05 2.684914279368090287e-09 7.423509763048651780e-12
6.390596831383335075e-05 2.683751807730027761e-09 7.423472680810282222e-12
6.480764957597325623e-05 2.682589586208991518e-09 7.423435582587627988e-12
6.572205310991257774e-05 2.681427614811142815e-09 7.423398468387114268e-12
6.664935842054573020e-05 2.680265893522207822e-09 7.423361338150150179e-12
6.758974754549128099e-05 2.679104422349308978e-09 7.423324191888093298e-12
6.854340509082798539e-05 2.677943201287842195e-09 7.423287029575325261e-12
6.951051826733370214e-05 2.676782230344315317e-09 7.423249851223048548e-12
7.049127692723670285e-05 2.675604590817661541e-09 7.423166914443329178e-12
7.148587360148575868e-05 2.674444127060601816e-09 7.423129704006918549e-12
7.249450353754461490e-05 2.673283913452596809e-09 7.423092477588066629e-12
7.351736473772126177e-05 2.672123949974454687e-09 7.423055235119975352e-12
7.455465799803712450e-05 2.670964236614521305e-09 7.423017976560070765e-12
7.560658694764553717e-05 2.669804773415410111e-09 7.422980702016086683e-12
7.667335808880490803e-05 2.668645560329720348e-09 7.422943411342636417e-12
7.775518083741730978e-05 2.667486597374860032e-09 7.422906104578427821e-12
7.885226756413893227e-05 2.666327884587742925e-09 7.422868781815381340e-12
7.996483363606925524e-05 2.665169421915716086e-09 7.422831442893586159e-12
8.109309745903006770e-05 2.664011209377282717e-09 7.422794087854564483e-12
8.223728052043990401e-05 2.662853246979641359e-09 7.422756716706337703e-12
8.339760743279453546e-05 2.661695534721190590e-09 7.422719329433152228e-12
8.457430597775927709e-05 2.660538072616442052e-09 7.422681926064466674e-12
8.576760715088499541e-05 2.659380860615122603e-09 7.422644506447637138e-12
8.697774520695411885e-05 2.658223898776405849e-09 7.422607070737436867e-12
8.820495770596750663e-05 2.657067187064897145e-09 7.422569618822694079e-12
8.944948555977826098e-05 2.655910725485430122e-09 7.422532150705169763e-12
9.071157307938533065e-05 2.654765743567247381e-09 7.422525265525041879e-12
9.199146802289423757e-05 2.653609744225658343e-09 7.422487669738864007e-12
9.328942164415297681e-05 2.652453995612445754e-09 7.422450059311030299e-12
9.460568874207585645e-05 2.651298496470973372e-09 7.422412430628682412e-12
9.594052771066232451e-05 2.650143248217603948e-09 7.422374787740963149e-12
9.729420058972254668e-05 2.648988249815151841e-09 7.422337127660894237e-12
9.866697311631680920e-05 2.647833501838693280e-09 7.422299452028327312e-12
1.000591147769225569e-04 2.646679003723278796e-09 7.422261759207966694e-12
1.014708988603368726e-04 2.645517482779198773e-09 7.422203318836337902e-12
1.029026025113251997e-04 2.644363519556362070e-09 7.422165684095221608e-12
1.043545067850266608e-04 2.643209806443587204e-09 7.422128032951360952e-12
1.058268967021283753e-04 2.642056343449200161e-09 7.422090365415556134e-12
1.073200613048163758e-04 2.640903130561922334e-09 7.422052681445071642e-12
1.088342937135178983e-04 2.639750167780157678e-09 7.422014981023901857e-12
1.103698911844423769e-04 2.638597455051698274e-09 7.421977263994270152e-12
1.119271551679362130e-04 2.637444992533123210e-09 7.421939530780224531e-12
1.135063913676590452e-04 2.636292780092306097e-09 7.421901781002316890e-12
1.151079098005967520e-04 2.635140817741971043e-09 7.421864014683713132e-12
1.167320248579193861e-04 2.633989105558472608e-09 7.421826232026238865e-12
1.183790553666996413e-04 2.632837643394514326e-09 7.421788432606052882e-12
1.200493246525007534e-04 2.631686431449209739e-09 7.421750616967409331e-12
1.217431606028476608e-04 2.630535469587893015e-09 7.421712784722677158e-12
1.234608957315948405e-04 2.629384759655218692e-09 7.421674940935658973e-12
1.252028672442005372e-04 2.628234299357418655e-09 7.421637079079534619e-12
1.269694171039238522e-04 2.627084086672473058e-09 7.421599193558711596e-12
1.287608920989540690e-04 2.625934124126238284e-09 7.421561291538352770e-12
1.305776439104887516e-04 2.624784411590876051e-09 7.421523372637520467e-12
1.324200291817714565e-04 2.623634949227133196e-09 7.421485437308194574e-12
1.342884095881031656e-04 2.622485736942394028e-09 7.421447485271221021e-12
1.361831519078426759e-04 2.621336774713860207e-09 7.421409516447846399e-12
1.381046280944082483e-04 2.620188062737421338e-09 7.421371531392797089e-12
1.400532153492949105e-04 2.619039600755522330e-09 7.421333529349797367e-12
1.420292961961218338e-04 2.617891388953445849e-09 7.421295510841281261e-12
1.440332585557257473e-04 2.616743427219797137e-09 7.421257475533735040e-12
1.460654958223118018e-04 2.615595715612853549e-09 7.421219423584101686e-12
1.481264069406813724e-04 2.614448254077080247e-09 7.421181354819177332e-12
1.502163964845468810e-04 2.613301042751437784e-09 7.421143269629166662e-12
1.523358747359540241e-04 2.612154081419160999e-09 7.421105167373458681e-12
1.544852577658230590e-04 2.611007370242287542e-09 7.421067048510809049e-12
1.566649675156263886e-04 2.609860909197009915e-09 7.421028912959205715e-12
1.588754318802203063e-04 2.608714698215040635e-09 7.420990760507935729e-12
1.611170847918429357e-04 2.607568737448430390e-09 7.420952591587585374e-12
1.633903663052999956e-04 2.606423026714399973e-09 7.420914405654438492e-12
1.656957226843498547e-04 2.605277566107085434e-09 7.420876202969519034e-12
1.680336064893098321e-04 2.604132355618071037e-09 7.420837983496977123e-12
1.704044766658971324e-04 2.602987395232334769e-09 7.420799747179294625e-12
1.728087986353231734e-04 2.601842684913584080e-09 7.420761493899963474e-12
1.752470443856600621e-04 2.600698224787954087e-09 7.420723224013634126e-12
1.777196925644958345e-04 2.599554014771132340e-09 7.420684937263100263e-12
1.802272285728968371e-04 2.598410054877596152e-09 7.420646633677594318e-12
1.827701446606951117e-04 2.597266345062975555e-09 7.420608313115817041e-12
1.853489400231225488e-04 2.596122884305762878e-09 7.420569972555313482e-12
1.879641208988053896e-04 2.594979667867861368e-09 7.420531598014918599e-12
1.906162006691445286e-04 2.593836696740291301e-09 7.420493192249004891e-12
1.933056999590950322e-04 2.592693972579946316e-09 7.420454760134367526e-12
1.960331467393703546e-04 2.591551442247983270e-09 7.420416145768575145e-12
1.987990764300867250e-04 2.590410904510962706e-09 7.420382568970674663e-12
2.016040320058701794e-04 2.589268888463874226e-09 7.420343961729031854e-12
2.044485641024471859e-04 2.588127122528967646e-09 7.420305336432593746e-12
2.073332311247394933e-04 2.586985599794354856e-09 7.420266672983362692e-12
2.102585993564830692e-04 2.585844286352078614e-09 7.420227867670843896e-12
2.132252430713936259e-04 2.584703186039615896e-09 7.420188942037880431e-12
2.162337446459028020e-04 2.583567330770010748e-09 7.420163987661723543e-12
2.192846946734816171e-04 2.582426936535632517e-09 7.420125637687255146e-12
2.223786920805805522e-04 2.581286790635893707e-09 7.420087265800261798e-12
2.255163442442020328e-04 2.580146894305699698e-09 7.420048875501459091e-12
2.286982671111348852e-04 2.579007248109298924e-09 7.420010468390128040e-12
2.319250853188693058e-04 2.577867851242732214e-09 7.419972042153851313e-12
2.351974323182174167e-04 2.576728703515832813e-09 7.419933596230504756e-12
2.385159504976665115e-04 2.575589800588384461e-09 7.419895117686263229e-12
2.418812913094833686e-04 2.574451146562818770e-09 7.419856618694060414e-12
2.452941153976014813e-04 2.573312741942626517e-09 7.419818100716371022e-12
2.487550927273089849e-04 2.572174587671804829e-09 7.419779566438533513e-12
2.522649027167700236e-04 2.571036682567750541e-09 7.419741012463535215e-12
2.558242343703993177e-04 2.569899026738545967e-09 7.419702439083671385e-12
2.594337864141188781e-04 2.568761621608383950e-09 7.419663850367263459e-12
2.630942674325242175e-04 2.567624465194132473e-09 7.419625240614219530e-12
2.668063960079856468e-04 2.566487576445145274e-09 7.419586664246729577e-12
2.705709008617115420e-04 2.565350953095320947e-09 7.419548114860825920e-12
2.743885209968013406e-04 2.564214579338943632e-09 7.419509547050241523e-12
2.782600058433198150e-04 2.563078453515273302e-09 7.419470956020451762e-12
2.821861154054142000e-04 2.561942576420643762e-09 7.419432344041632826e-12
2.861676204105114167e-04 2.560806908846414391e-09 7.419393598033323983e-12
2.902053024606157747e-04 2.559671348286237414e-09 7.419354422171116638e-12
2.942999541857460773e-04 2.558536033563286077e-09 7.419315216603147436e-12
2.984523793995343534e-04 2.557400965613596722e-09 7.419275984008811092e-12
3.026633932570206424e-04 2.556266177732655596e-09 7.419236820385106032e-12
3.069338224146747835e-04 2.555131658373149145e-09 7.419197692415017948e-12
3.112645051926768696e-04 2.553997387887550107e-09 7.419158543432020374e-12
3.156562917394857472e-04 2.552863366426563346e-09 7.419119373855739449e-12
3.201100441987286848e-04 2.551729594318675516e-09 7.419080184617016703e-12
3.246266368784497770e-04 2.550596071537888332e-09 7.419040975627300190e-12
3.292069564227423470e-04 2.549462790621997038e-09 7.419001724667155101e-12
3.338519019858039445e-04 2.548329758084341719e-09 7.418962451017610600e-12
3.385623854084482539e-04 2.547196973415093326e-09 7.418923153334045827e-12
3.433393313971076864e-04 2.546064438956240883e-09 7.418883838380946729e-12
3.481836777053601024e-04 2.544927488158038767e-09 7.418831277766906359e-12
3.530963753180163664e-04 2.543795760371821384e-09 7.418792834130361997e-12
3.580783886378091727e-04 2.542664147727794482e-09 7.418753978135297998e-12
3.631306956747099241e-04 2.541532792726720892e-09 7.418715119875335933e-12
3.682542882379234261e-04 2.540400005128367633e-09 7.418671264698971058e-12
3.734501721305848480e-04 2.539269145236797694e-09 7.418632350206918754e-12
3.787193673472099057e-04 2.538138472178901364e-09 7.418593228346171801e-12
3.840629082739270539e-04 2.537008046492062999e-09 7.418554080666604077e-12
3.894818438915350007e-04 2.535877863177197957e-09 7.418514892165085050e-12
3.949772379814270686e-04 2.534747928220216110e-09 7.418475680853748823e-12
4.005501693344210024e-04 2.533618243294342951e-09 7.418436451761042496e-12
4.062017319625336846e-04 2.532488808290539532e-09 7.418397204547054614e-12
4.119330353137432097e-04 2.531359623533284406e-09 7.418357940171048116e-12
4.177452044897858011e-04 2.530230688772907579e-09 7.418318657872063691e-12
4.236393804670188527e-04 2.529102004040468444e-09 7.418279357730665821e-12
4.296167203204075027e-04 2.527973569466229335e-09 7.418240040124203962e-12
4.356783974506643381e-04 2.526845384935862311e-09 7.418200704696777195e-12
4.418256018146007229e-04 2.525717450523806182e-09 7.418161351659069389e-12
4.480595401587236315e-04 2.524589766067411598e-09 7.418121980509998118e-12
4.543814362561286735e-04 2.523462331733958467e-09 7.418082591738582220e-12
4.607925311467396708e-04 2.522335147465616523e-09 7.418043185158295697e-12
4.672940833809315964e-04 2.521208213342663233e-09 7.418003760997354774e-12
4.738873692665977527e-04 2.520081529214914443e-09 7.417964318792037474e-12
4.805736831196958823e-04 2.518955089500141375e-09 7.417924841975211830e-12
4.873543375183360979e-04 2.517828897866591021e-09 7.417885341399106199e-12
4.942306635604495511e-04 2.516702956346543988e-09 7.417845823077081296e-12
5.012040111250925948e-04 2.515577264957831810e-09 7.417806287046843311e-12
5.082757491374403219e-04 2.514451828030285908e-09 7.417766745739189786e-12
5.154472658375183801e-04 2.513326642300194037e-09 7.417727189766533576e-12
5.227199690527253731e-04 2.512201706655185630e-09 7.417687615918255528e-12
5.300952864741995726e-04 2.511077021111009379e-09 7.417648024227576961e-12
5.375746659370866974e-04 2.509952585736207950e-09 7.417608414881327602e-12
5.451595757047657904e-04 2.508828400415902500e-09 7.417568787532117442e-12
5.528515047570750412e-04 2.507704465231204706e-09 7.417529142403417727e-12
5.606519630826138851e-04 2.506580780159336909e-09 7.417489479416206857e-12
5.685624819751674544e-04 2.505457345188346349e-09 7.417449798522283790e-12
5.765846143343104132e-04 2.504341051299044533e-09 7.417430858096305214e-12
