# k_modes P_scalar P_tensor
4.5653537606807526e-05 2.8384897490886642e-09 7.4005317258093647e-12
4.8505617730106634e-05 2.8333236462085720e-09 7.4003581076513883e-12
5.1535873772647315e-05 2.8281616858452684e-09 7.4001827919644255e-12
5.4755436788546047e-05 2.8230043665336414e-09 7.4000070721734916e-12
5.8176133214136777e-05 2.8178520755073979e-09 7.3998319400939935e-12
6.1810528310075625e-05 2.8127040387021344e-09 7.3996553810485924e-12
6.5671972317374254e-05 2.8075606531998514e-09 7.3994784329800442e-12
6.9774649496903566e-05 2.8024226183004636e-09 7.3993029350458006e-12
7.4133630232508464e-05 2.7972887774066654e-09 7.3991258476440049e-12
7.8764926389120342e-05 2.7921598283658711e-09 7.3989490167182935e-12
8.3685550129218814e-05 2.7870355418192211e-09 7.3987717994281518e-12
8.8913576403688865e-05 2.7819158419403551e-09 7.3985940358962662e-12
9.4468209346626315e-05 2.7768005174833692e-09 7.3984151325389664e-12
1.0036985281797466e-04 2.7716909126587803e-09 7.3982386901105011e-12
1.0664018535312354e-04 2.7665846869230711e-09 7.3980584776503202e-12
1.1330223979477604e-04 2.7614835420169103e-09 7.3978789922746357e-12
1.2038048789960135e-04 2.7563873183051738e-09 7.3976998400432918e-12
1.2790093023045616e-04 2.7512955196882142e-09 7.3975196850191415e-12
1.3589119166437747e-04 2.7462087699015803e-09 7.3973401830816420e-12
1.4438062286717689e-04 2.7411266273681740e-09 7.3971601475511646e-12
1.5340040810738189e-04 2.7360485616530577e-09 7.3969781973932053e-12
1.6298367980556032e-04 2.7309754773106759e-09 7.3967967201210786e-12
1.7316564023980014e-04 2.7259076310557581e-09 7.3966164262214525e-12
1.8398369085440711e-04 2.7208443848942804e-09 7.3964355955061174e-12
1.9547756964681043e-04 2.7157842524311860e-09 7.3962501802166252e-12
2.0768949713733992e-04 2.7107307158734301e-09 7.3960696291444594e-12
2.2066433145806689e-04 2.7056810244625030e-09 7.3958864898952039e-12
2.3444973313039655e-04 2.7006364650407578e-09 7.3957042276354597e-12
2.4909634013669103e-04 2.6955960002995205e-09 7.3955200674144481e-12
2.6465795392901359e-04 2.6905606451692396e-09 7.3953367278817523e-12
2.8119173705826276e-04 2.6855300700346089e-09 7.3951533370272315e-12
2.9875842314964324e-04 2.6805034814134240e-09 7.3949676948037902e-12
3.1742253999578749e-04 2.6754824066682200e-09 7.3947840375278923e-12
3.3725264658700433e-04 2.6704656005613252e-09 7.3945988764001124e-12
3.5832158494934942e-04 2.6654534633715061e-09 7.3944133573843961e-12
3.8070674771559042e-04 2.6604458263304193e-09 7.3942270044925621e-12
4.0449036241193751e-04 2.6554429987719621e-09 7.3940406740966964e-12
4.2975979350481165e-04 2.6504450806249139e-09 7.3938546326969619e-12
4.5660786331715923e-04 2.6454515815726918e-09 7.3936675191406659e-12
4.8513319299314046e-04 2.6404631730442001e-09 7.3934811984831248e-12
5.1544056476364810e-04 2.6354787919633693e-09 7.3932927275651483e-12
5.4764130684338812e-04 2.6304995507035690e-09 7.3931051905780790e-12
5.8185370237333876e-04 2.6255244378965382e-09 7.3929157815258802e-12
6.1820342391079091e-04 2.6205543945301145e-09 7.3927270686225454e-12
6.5682399506294866e-04 2.6155893415189270e-09 7.3925389055851349e-12
6.9785728095984813e-04 2.6106282489749263e-09 7.3923483706290766e-12
7.4145400936821563e-04 2.6056724769462705e-09 7.3921592846290042e-12
7.8777432436050285e-04 2.6007209769187277e-09 7.3919686936250213e-12
8.3698837457287867e-04 2.5957741988752909e-09 7.3917778659535306e-12
8.8927693821303400e-04 2.5908328366983670e-09 7.3915887704187976e-12
9.4483208711364274e-04 2.5858952961674742e-09 7.3913968858774614e-12
1.0038578922707487e-03 2.5809628593894589e-09 7.3912058367525147e-12
1.0665711734587442e-03 2.5760351054040828e-09 7.3910144484279196e-12
1.1332022956754789e-03 2.5711110910107538e-09 7.3908200250542149e-12
1.2039960153431338e-03 2.5661926288296744e-09 7.3906277118974360e-12
1.2792123793731458e-03 2.5612792526196366e-09 7.3904361992810294e-12
1.3591276803977996e-03 2.5563694003255755e-09 7.3902410257473407e-12
1.4440354716772697e-03 2.5514651132719055e-09 7.3900480367060541e-12
1.5342476454102325e-03 2.5465651999938772e-09 7.3898537827749875e-12
1.6300955784089796e-03 2.5416701346347996e-09 7.3896596574422947e-12
1.7319313493474587e-03 2.5367794289631230e-09 7.3894642258243468e-12
1.8401290320535634e-03 2.5318939740633227e-09 7.3892700854870727e-12
1.9550860695963239e-03 2.5270124628482527e-09 7.3890734502377754e-12
2.0772247342154570e-03 2.5221359532071712e-09 7.3888773662018554e-12
2.2069936784559967e-03 2.5172640959433687e-09 7.3886808228115903e-12
2.3448695832058788e-03 2.5123970996846180e-09 7.3884844533458395e-12
2.4913589086901088e-03 2.5075348578092585e-09 7.3882879296818158e-12
2.6469997548535791e-03 2.5026767261137979e-09 7.3880893323854202e-12
2.8123638379661644e-03 2.4978239233642892e-09 7.3878922875672747e-12
2.9880585907108583e-03 2.4929752393518156e-09 7.3876932055246580e-12
3.1747293934691746e-03 2.4881314738195796e-09 7.3874944475621721e-12
3.3730619450000085e-03 2.4832931333274826e-09 7.3872975220267151e-12
3.5837847812201932e-03 2.4784585991825190e-09 7.3870976141087154e-12
3.8076719513389845e-03 2.4736286300781026e-09 7.3868969885551083e-12
4.0455458611767733e-03 2.4688033446865737e-09 7.3866960024457943e-12
4.2982802941123003e-03 2.4639831117955047e-09 7.3864957192029814e-12
4.5668036207554075e-03 2.4591674035514378e-09 7.3862945894514356e-12
