# k_modes P_scalar P_tensor
4.5653602295523221e-05 2.8467330978933615e-09 7.4284070604896294e-12
4.6297759574301745e-05 2.8455368716962472e-09 7.4283735370381204e-12
4.6951005699938871e-05 2.8443410420285569e-09 7.4283403867751208e-12
4.7613468913067473e-05 2.8431445045788169e-09 7.4283047221878639e-12
4.8285279263753855e-05 2.8419484011487326e-09 7.4282695097789598e-12
4.8966568637027491e-05 2.8407529269131590e-09 7.4282352894501316e-12
4.9657470778772549e-05 2.8395569175352082e-09 7.4281989879986752e-12
5.0358121321983128e-05 2.8383627386501871e-09 7.4281668282116221e-12
5.1068657813390578e-05 2.8371669867764718e-09 7.4281298715118497e-12
5.1789219740464867e-05 2.8359721078786442e-09 7.4280945221045818e-12
5.2519948558798596e-05 2.8347766549358142e-09 7.4280570044462752e-12
5.3260987719875733e-05 2.8335830442308729e-09 7.4280236470646658e-12
5.4012482699233818e-05 2.8323890186637494e-09 7.4279885249972019e-12
5.4774581025021845e-05 2.8311955372588019e-09 7.4279541587731297e-12
5.5547432306962785e-05 2.8300019345687469e-09 7.4279188174110285e-12
5.6331188265723046e-05 2.8288082964336842e-09 7.4278827046761098e-12
5.7126002762698072e-05 2.8276149338110797e-09 7.4278466453331550e-12
5.7932031830216421e-05 2.8264230119783127e-09 7.4278136906334560e-12
5.8749433702171828e-05 2.8252305310780399e-09 7.4277785942576468e-12
5.9578368845085650e-05 2.8240375571253732e-09 7.4277415369738930e-12
6.0418999989609432e-05 2.8228449836745935e-09 7.4277048544865504e-12
6.1271492162470083e-05 2.8216544089236855e-09 7.4276727696086520e-12
6.2136012718867588e-05 2.8204626043400500e-09 7.4276367672293722e-12
6.3012731375328666e-05 2.8192711593919000e-09 7.4276010379631361e-12
6.3901820243023876e-05 2.8180802834651231e-09 7.4275661372352439e-12
6.4803453861556163e-05 2.8168895970777935e-09 7.4275310493126405e-12
6.5717809233224234e-05 2.8156993832159817e-09 7.4274965434898426e-12
6.6645065857771408e-05 2.8145088070684242e-09 7.4274604138987279e-12
6.7585405767622679e-05 2.8133181129445794e-09 7.4274233012810242e-12
6.8539013563621054e-05 2.8121287528877515e-09 7.4273890113448957e-12
6.9506076451266089e-05 2.8109384057719701e-09 7.4273514550603064e-12
7.0486784277465741e-05 2.8097505152232760e-09 7.4273197084161792e-12
7.1481329567804717e-05 2.8085610706554903e-09 7.4272831935463361e-12
7.2489907564340822e-05 2.8073725546363527e-09 7.4272484307881085e-12
7.3512716263932331e-05 2.8061830787398797e-09 7.4272104725465032e-12
7.4549956457108563e-05 2.8049952040961226e-09 7.4271760782956956e-12
7.5601831767486372e-05 2.8038067164974236e-09 7.4271393722625890e-12
7.6668548691745351e-05 2.8026196234350110e-09 7.4271056888204458e-12
7.7750316640164534e-05 2.8014314004266059e-09 7.4270683267195813e-12
7.8847347977733609e-05 2.8002456003630859e-09 7.4270367080272587e-12
