# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 3.299999999999999822e+00 -1.360100103367596278e-02 4.776023248016318239e-06 1.000000000000000000e+00 4.776023248016318239e-06 9.249361455902730821e-05 9.249361455902730821e-05
1.000100010001000149e-02 3.299863976305066782e+00 -1.360102564066007109e-02 4.776018830054689958e-06 1.010051177235855357e+00 4.824023441797352462e-06 9.249394923894635413e-05 -2.675197912168461351e-04
2.000200020002000298e-02 3.299727952121579655e+00 -1.360109849484236570e-02 4.776014412065411980e-06 1.020203380635537282e+00 4.872506049153181423e-06 9.249494013320163363e-05 -6.169475562454787825e-04
3.000300030003000273e-02 3.299591926974143608e+00 -1.360121817839316481e-02 4.776009994017604026e-06 1.030457625630923912e+00 4.921475918424943205e-06 9.249656796812633704e-05 -9.561002696388772905e-04
4.000400040004000596e-02 3.299455900401332187e+00 -1.360138331555921926e-02 4.776005575881291292e-06 1.040814937860179201e+00 4.970937946680755644e-06 9.249881404838635162e-05 -1.285279545544882772e-03
5.000500050005000918e-02 3.299319871955272543e+00 -1.360159257141535169e-02 4.776001157627378199e-06 1.051276353270337527e+00 5.020897080205420805e-06 9.250166023939063989e-05 -1.604778274711747554e-03
6.000600060006000547e-02 3.299183841201251521e+00 -1.360184465067753971e-02 4.775996739227625514e-06 1.061842918220921472e+00 5.071358314995066813e-06 9.250508895058259990e-05 -1.914880863524227698e-03
7.000700070007001563e-02 3.299047807717307546e+00 -1.360213829647283559e-02 4.775992320654617322e-06 1.072515689588597887e+00 5.122326697256734659e-06 9.250908311818646494e-05 -2.215863484614988971e-03
8.000800080008001192e-02 3.298911771093836265e+00 -1.360247228915449288e-02 4.775987901881741541e-06 1.083295734872888438e+00 5.173807323913005705e-06 9.251362618860793782e-05 -2.507994318556693546e-03
9.000900090009000820e-02 3.298775730933281469e+00 -1.360284544536785427e-02 4.775983482883167902e-06 1.094184132302942203e+00 5.225805343111702908e-06 9.251870210528249331e-05 -2.791533741611752599e-03
1.000100010001000184e-01 3.298639686849760277e+00 -1.360325661692376141e-02 4.775979063633819148e-06 1.105181970945379621e+00 5.278325954740692888e-06 9.252429529294005383e-05 -3.066734557190039980e-03
1.100110011001100146e-01 3.298503638468702981e+00 -1.360370468971164488e-02 4.775974644109353246e-06 1.116290350813223586e+00 5.331374410947890461e-06 9.253039064244129722e-05 -3.333842219855152802e-03
1.200120012001200109e-01 3.298367585426507098e+00 -1.360418858266063125e-02 4.775970224286137976e-06 1.127510382975922543e+00 5.384956016666466500e-06 9.253697349629694409e-05 -3.593095049801930951e-03
1.300130013001300211e-01 3.298231527370207861e+00 -1.360470724674516137e-02 4.775965804141231451e-06 1.138843189670480704e+00 5.439076130145342133e-06 9.254402963482015151e-05 -3.844724438542354659e-03
1.400140014001400313e-01 3.298095463957161577e+00 -1.360525966403168530e-02 4.775961383652357552e-06 1.150289904413705599e+00 5.493740163485019239e-06 9.255154526286377950e-05 -4.088955046280237475e-03
1.500150015001500137e-01 3.297959394854742321e+00 -1.360584484676289826e-02 4.775956962797890680e-06 1.161851672115582934e+00 5.548953583178790459e-06 9.255950699709225061e-05 -4.326004992371173564e-03
1.600160016001600238e-01 3.297823319740047499e+00 -1.360646183647609003e-02 4.775952541556832042e-06 1.173529649193791435e+00 5.604721910659385460e-06 9.256790185374014841e-05 -4.556086038441420176e-03
1.700170017001700340e-01 3.297687238299617185e+00 -1.360710970315209996e-02 4.775948119908796942e-06 1.185325003689369439e+00 5.661050722851131386e-06 9.257671723680802056e-05 -4.779403765995646029e-03
1.800180018001800164e-01 3.297551150229158345e+00 -1.360778754439140661e-02 4.775943697833990221e-06 1.197238915383542324e+00 5.717945652727630877e-06 9.258594092664694964e-05 -4.996157748802044878e-03
1.900190019001900266e-01 3.297415055233281933e+00 -1.360849448461387036e-02 4.775939275313195243e-06 1.209272575915725456e+00 5.775412389875070322e-06 9.259556106888306207e-05 -5.206541720373769611e-03
2.000200020002000367e-01 3.297278953025240877e+00 -1.360922967427866462e-02 4.775934852327752718e-06 1.221427188902713956e+00 5.833456681061185441e-06 9.260556616363348410e-05 -5.410743738015996382e-03
2.100210021002100191e-01 3.297142843326679618e+00 -1.360999228912089000e-02 4.775930428859547153e-06 1.233703970059067734e+00 5.892084330809929093e-06 9.261594505496503706e-05 -5.608946343574052959e-03
2.200220022002200293e-01 3.297006725867381860e+00 -1.361078152940142262e-02 4.775926004890988215e-06 1.246104147318709776e+00 5.951301201981937029e-06 9.262668692054746569e-05 -5.801326722076114925e-03
2.300230023002300395e-01 3.296870600385027661e+00 -1.361159661916649249e-02 4.775921580404995483e-06 1.258628960957744569e+00 6.011113216360808518e-06 9.263778126145234251e-05 -5.988056858403117966e-03
2.400240024002400219e-01 3.296734466624948290e+00 -1.361243680551353814e-02 4.775917155384984054e-06 1.271279663718511310e+00 6.071526355245291648e-06 9.264921789204980790e-05 -6.169303693528278322e-03
2.500250025002500598e-01 3.296598324339882424e+00 -1.361330135785982290e-02 4.775912729814848443e-06 1.284057520934884788e+00 6.132546660047412252e-06 9.266098692995404507e-05 -6.345229280280336240e-03
2.600260026002600422e-01 3.296462173289735453e+00 -1.361418956721038333e-02 4.775908303678943104e-06 1.296963810658834371e+00 6.194180232896611688e-06 9.267307878597002896e-05 -6.515990939764492937e-03
2.700270027002700246e-01 3.296326013241333452e+00 -1.361510074542178136e-02 4.775903876962072266e-06 1.309999823788256856e+00 6.256433237249967162e-06 9.268548415399236698e-05 -6.681741419425058642e-03
2.800280028002800625e-01 3.296189843968175825e+00 -1.361603422445821672e-02 4.775899449649471297e-06 1.323166864196091863e+00 6.319311898508531861e-06 9.269819400080872996e-05 -6.842629052828878670e-03
2.900290029002900449e-01 3.296053665250251452e+00 -1.361698935583333450e-02 4.775895021726793154e-06 1.336466248860737727e+00 6.382822504639878765e-06 9.271119955843916416e-05 -6.998797878751858784e-03
3.000300030003000273e-01 3.295917476874348662e+00 -1.361796551154775478e-02 4.775890593180128709e-06 1.349899307997775910e+00 6.446971406806942980e-06 9.272449233685204804e-05 -7.150387429082425209e-03
3.100310031003100653e-01 3.295781278633320266e+00 -1.361896208187400245e-02 4.775886163995965245e-06 1.363467385193020132e+00 6.511765020003101639e-06 9.273806409376093027e-05 -7.297533216007965999e-03
