# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 3.5000000000000000e+00 -1.1428571428571342e-02 5.0800815403567968e-06 1.0000000000000000e+00 5.0800815403567968e-06 6.5306122448978597e-05 -7.8251797575984837e-05
1.0001000100010001e-02 3.4998857028011643e+00 -1.1428587836831599e-02 5.0800782224186315e-06 1.0100511772358554e+00 5.1311389890041705e-06 6.5306309972087590e-05 -2.1898577536671771e-04
2.0002000200020003e-02 3.4997714052765572e+00 -1.1428636416211477e-02 5.0800749044637204e-06 1.0202033806355373e+00 5.1827095914156417e-06 6.5306865166977557e-05 -4.9631088534006951e-04
3.0003000300030003e-02 3.4996571071091922e+00 -1.1428716220171444e-02 5.0800715864736582e-06 1.0304576256309239e+00 5.2347985050327669e-06 6.5307777220604922e-05 -7.6547247892388005e-04
4.0004000400040006e-02 3.4995428079914079e+00 -1.1428826330238657e-02 5.0800682684305836e-06 1.0408149378601792e+00 5.2874109391320460e-06 6.5309035643378204e-05 -1.0267105332971221e-03
5.0005000500050009e-02 3.4994285076245926e+00 -1.1428965855174998e-02 5.0800649503171579e-06 1.0512763532703375e+00 5.3405521553458803e-06 6.5310630259377982e-05 -1.2802580996237958e-03
6.0006000600060005e-02 3.4993142057189170e+00 -1.1429133930180045e-02 5.0800616321165530e-06 1.0618429182209215e+00 5.3942274681887775e-06 6.5312551196996385e-05 -1.5263414991321840e-03
7.0007000700070016e-02 3.4991999019930771e+00 -1.1429329716107326e-02 5.0800583138124356e-06 1.0725156895885979e+00 5.4484422455888345e-06 6.5314788879746987e-05 -1.7651800041886441e-03
8.0008000800080012e-02 3.4990855961740039e+00 -1.1429552398597559e-02 5.0800549953889501e-06 1.0832957348728884e+00 5.5032019094245602e-06 6.5317334016143599e-05 -1.9969867576355976e-03
9.0009000900090008e-02 3.4989712879966741e+00 -1.1429801187508012e-02 5.0800516768307050e-06 1.0941841323029422e+00 5.5585119360671116e-06 6.5320177592979783e-05 -2.2219693197890644e-03
1.0001000100010002e-01 3.4988569772038649e+00 -1.1430075316173583e-02 5.0800483581227621e-06 1.1051819709453796e+00 5.6143778569279535e-06 6.5323310866700326e-05 -2.4403289509540762e-03
1.1001100110011001e-01 3.4987426635459111e+00 -1.1430374040674705e-02 5.0800450392506219e-06 1.1162903508132236e+00 5.6708052590120530e-06 6.5326725354865098e-05 -2.6522607766075084e-03
1.2001200120012001e-01 3.4986283467804711e+00 -1.1430696639138595e-02 5.0800417202002092e-06 1.1275103829759225e+00 5.7277997854766026e-06 6.5330412828007185e-05 -2.8579540587292049e-03
1.3001300130013002e-01 3.4985140266723085e+00 -1.1431042411071431e-02 5.0800384009578571e-06 1.1388431896704807e+00 5.7853671361953740e-06 6.5334365301856874e-05 -3.0575924471456877e-03
1.4001400140014003e-01 3.4983997029930753e+00 -1.1431410676719149e-02 5.0800350815103011e-06 1.1502899044137056e+00 5.8435130683287551e-06 6.5338575029904271e-05 -3.2513542110561809e-03
1.5001500150015001e-01 3.4982853755211125e+00 -1.1431800776454495e-02 5.0800317618446638e-06 1.1618516721155829e+00 5.9022433968994934e-06 6.5343034496272796e-05 -3.4394124505457363e-03
1.6001600160016002e-01 3.4981710440412503e+00 -1.1432212070188000e-02 5.0800284419484412e-06 1.1735296491937914e+00 5.9615639953742367e-06 6.5347736408876095e-05 -3.6219352881077726e-03
1.7001700170017003e-01 3.4980567083446239e+00 -1.1432643936800511e-02 5.0800251218094954e-06 1.1853250036893694e+00 6.0214807962509294e-06 6.5352673692830750e-05 -3.7990860401436763e-03
1.8001800180018002e-01 3.4979423682284869e+00 -1.1433095773594960e-02 5.0800218014160425e-06 1.1972389153835423e+00 6.0819997916520919e-06 6.5357839484097462e-05 -3.9710233684589983e-03
1.9001900190019003e-01 3.4978280234960382e+00 -1.1433566995764990e-02 5.0800184807566433e-06 1.2092725759157255e+00 6.1431270339240763e-06 6.5363227123323232e-05 -4.1379014115264495e-03
2.0002000200020004e-01 3.4977136739562478e+00 -1.1434057035878126e-02 5.0800151598201914e-06 1.2214271889027140e+00 6.2048686362423478e-06 6.5368830149857034e-05 -4.2998698958326038e-03
2.1002100210021002e-01 3.4975993194236912e+00 -1.1434565343371113e-02 5.0800118385959042e-06 1.2337039700590677e+00 6.2672307732228311e-06 6.5374642295911879e-05 -4.4570742270161430e-03
2.2002200220022003e-01 3.4974849597183839e+00 -1.1435091384055107e-02 5.0800085170733157e-06 1.2461041473187098e+00 6.3302196815394275e-06 6.5380657480845674e-05 -4.6096555607799457e-03
2.3002300230023004e-01 3.4973705946656186e+00 -1.1435634639628331e-02 5.0800051952422632e-06 1.2586289609577446e+00 6.3938416605477140e-06 6.5386869805533697e-05 -4.7577508538238136e-03
2.4002400240024002e-01 3.4972562240958069e+00 -1.1436194607193901e-02 5.0800018730928797e-06 1.2712796637185113e+00 6.4581030729149237e-06 6.5393273546805435e-05 -4.9014928944156756e-03
2.5002500250025006e-01 3.4971418478443184e+00 -1.1436770798780419e-02 5.0799985506155885e-06 1.2840575209348848e+00 6.5230103452562603e-06 6.5399863151918255e-05 -5.0410103129591025e-03
2.6002600260026004e-01 3.4970274657513229e+00 -1.1437362740863044e-02 5.0799952278010850e-06 1.2969638106588344e+00 6.5885699687775883e-06 6.5406633233041107e-05 -5.1764275722371786e-03
2.7002700270027002e-01 3.4969130776616293e+00 -1.1437969973882637e-02 5.0799919046403365e-06 1.3099998237882569e+00 6.6547884999246120e-06 6.5413578561720388e-05 -5.3078649374612222e-03
2.8002800280028006e-01 3.4967986834245250e+00 -1.1438592051760685e-02 5.0799885811245677e-06 1.3231668641960919e+00 6.7216725610385479e-06 6.5420694063301360e-05 -5.4354384262640526e-03
2.9002900290029004e-01 3.4966842828936131e+00 -1.1439228541407623e-02 5.0799852572452548e-06 1.3364662488607377e+00 6.7892288410184154e-06 6.5427974811277389e-05 -5.5592600750906211e-03
3.0003000300030003e-01 3.4965698759266699e+00 -1.1439879022299277e-02 5.0799819329941098e-06 1.3498993079977759e+00 6.8574640959899527e-06 6.5435416022421535e-05 -5.6794437786546687e-03
3.1003100310031007e-01 3.4964554623859283e+00 -1.1440543087321911e-02 5.0799786083631094e-06 1.3634673851930201e+00 6.9263851499813263e-06 6.5443013066434589e-05 -5.7961007635529242e-03
3.2003200320032005e-01 3.4963410421375913e+00 -1.1441220341313871e-02 5.0799752833444543e-06 1.3771718375369033e+00 6.9959988956055332e-06 6.5450761449247153e-05 -5.9093339161853786e-03
3.3003300330033003e-01 3.4962266150516816e+00 -1.1441910400613013e-02 5.0799719579305685e-06 1.3910140357602154e+00 7.0663122947497236e-06 6.5458656807828119e-05 -6.0192437327999098e-03
3.4003400340034007e-01 3.4961121810020104e+00 -1.1442612892960162e-02 5.0799686321140938e-06 1.4049953643712039e+00 7.1373323792714276e-06 6.5466694909069062e-05 -6.1259287401497289e-03
3.5003500350035005e-01 3.4959977398660591e+00 -1.1443327457143276e-02 5.0799653058878848e-06 1.4191172217940540e+00 7.2090662517017971e-06 6.5474871645704593e-05 -6.2294844312650874e-03
3.6003600360036003e-01 3.4958832915248652e+00 -1.1444053742657783e-02 5.0799619792450008e-06 1.4333810205087607e+00 7.2815210859559027e-06 6.5483183032419810e-05 -6.3300034005442070e-03
3.7003700370037007e-01 3.4957688358629166e+00 -1.1444791409381958e-02 5.0799586521787011e-06 1.4477881871924057e+00 7.3547041280501780e-06 6.5491625202131535e-05 -6.4275754687957839e-03
3.8003800380038005e-01 3.4956543727680467e+00 -1.1445540127266203e-02 5.0799553246824364e-06 1.4623401628618542e+00 7.4286226968270579e-06 6.5500194402430426e-05 -6.5222877986048644e-03
3.9003900390039004e-01 3.4955399021313345e+00 -1.1446299576035102e-02 5.0799519967498482e-06 1.4770384030178882e+00 7.5032841846869285e-06 6.5508886992170668e-05 -6.6142249999000353e-03
4.0004000400040007e-01 3.4954254238470130e+00 -1.1447069444901118e-02 5.0799486683747572e-06 1.4918843777907860e+00 7.5786960583274060e-06 6.5517699438194404e-05 -6.7034692256396113e-03
4.1004100410041006e-01 3.4953109378123735e+00 -1.1447849432288788e-02 5.0799453395511632e-06 1.5068795720873649e+00 7.6548658594900603e-06 6.5526628312177361e-05 -6.7901002577197304e-03
4.2004200420042004e-01 3.4951964439276795e+00 -1.1448639245568290e-02 5.0799420102732333e-06 1.5220254857395050e+00 7.7318012057146352e-06 6.5535670287583225e-05 -6.8741955830236966e-03
4.3004300430043008e-01 3.4950819420960806e+00 -1.1449438600797245e-02 5.0799386805353070e-06 1.5373236336541618e+00 7.8095097911008664e-06 6.5544822136712978e-05 -6.9558304597073057e-03
4.4004400440044006e-01 3.4949674322235285e+00 -1.1450247222469631e-02 5.0799353503318827e-06 1.5527755459648889e+00 7.8879993870779280e-06 6.5554080727836758e-05 -7.0350779736021423e-03
4.5004500450045004e-01 3.4948529142186957e+00 -1.1451064843270650e-02 5.0799320196576140e-06 1.5683827681848841e+00 7.9672778431816370e-06 6.5563443022394535e-05 -7.1120090847941776e-03
4.6004600460046008e-01 3.4947383879928964e+00 -1.1451891203836434e-02 5.0799286885073111e-06 1.5841468613615719e+00 8.0473530878394630e-06 6.5572906072253144e-05 -7.1866926644257381e-03
4.7004700470047006e-01 3.4946238534600056e+00 -1.1452726052517468e-02 5.0799253568759298e-06 1.6000694022327411e+00 8.1282331291634136e-06 6.5582467017006173e-05 -7.2591955216047797e-03
4.8004800480048004e-01 3.4945093105363849e+00 -1.1453569145144549e-02 5.0799220247585694e-06 1.6161519833842515e+00 8.2099260557509042e-06 6.5592123081303617e-05 -7.3295824205094635e-03
4.9004900490049008e-01 3.4943947591408024e+00 -1.1454420244796206e-02 5.0799186921504685e-06 1.6323962134093259e+00 8.2924400374936795e-06 6.5601871572198579e-05 -7.3979160877280532e-03
5.0005000500050012e-01 3.4942801991943564e+00 -1.1455279121566400e-02 5.0799153590469999e-06 1.6488037170694423e+00 8.3757833263948446e-06 6.5611709876497529e-05 -7.4642572096225643e-03
5.1005100510051005e-01 3.4941656306203979e+00 -1.1456145552331395e-02 5.0799120254436692e-06 1.6653761354568442e+00 8.4599642573941275e-06 6.5621635458101206e-05 -7.5286644201157079e-03
5.2005200520052008e-01 3.4940510533444531e+00 -1.1457019320514666e-02 5.0799086913361024e-06 1.6821151261586849e+00 8.5449912492014272e-06 6.5631645855323170e-05 -7.5911942782930023e-03
5.3005300530053012e-01 3.4939364672941426e+00 -1.1457900215848683e-02 5.0799053567200506e-06 1.6990223634228192e+00 8.6308728051387391e-06 6.5641738678172643e-05 -7.6519014818417150e-03
5.4005400540054005e-01 3.4938218723991215e+00 -1.1458788034188679e-02 5.0799020215913822e-06 1.7160995383252637e+00 8.7176175139905454e-06 6.5651911606232828e-05 -7.7108416415653100e-03
5.5005500550055009e-01 3.4937072685912103e+00 -1.1459682577910388e-02 5.0798986859460880e-06 1.7333483589393406e+00 8.8052340508627645e-06 6.5662162393231440e-05 -7.7680686710692656e-03
5.6005600560056013e-01 3.4935926558041350e+00 -1.1460583655125818e-02 5.0798953497802709e-06 1.7507705505065192e+00 8.8937311780503124e-06 6.5672488858068532e-05 -7.8236325447484639e-03
5.7005700570057005e-01 3.4934780339734872e+00 -1.1461491079566925e-02 5.0798920130901412e-06 1.7683678556089761e+00 8.9831177459133784e-06 6.5682888883496091e-05 -7.8775823914803492e-03
5.8005800580058009e-01 3.4933634030367009e+00 -1.1462404670510426e-02 5.0798886758720170e-06 1.7861420343438914e+00 9.0734026937625411e-06 6.5693360415269606e-05 -7.9299662326124502e-03
5.9005900590059013e-01 3.4932487629329931e+00 -1.1463324252601487e-02 5.0798853381223152e-06 1.8040948644994934e+00 9.1645950507527420e-06 6.5703901460140724e-05 -7.9808305782218484e-03
6.0006000600060005e-01 3.4931341136033072e+00 -1.1464249655685953e-02 5.0798819998375554e-06 1.8222281417328741e+00 9.2567039367862648e-06 6.5714510083947738e-05 -8.0302204991472646e-03
6.1006100610061009e-01 3.4930194549902613e+00 -1.1465180714650530e-02 5.0798786610143554e-06 1.8405436797495947e+00 9.3497385634248055e-06 6.5725184409797218e-05 -8.0781796937530112e-03
6.2006200620062013e-01 3.4929047870380963e+00 -1.1466117269270331e-02 5.0798753216494236e-06 1.8590433104850914e+00 9.4437082348106630e-06 6.5735922616329655e-05 -8.1247505499870074e-03
6.3006300630063006e-01 3.4927901096926295e+00 -1.1467059164063218e-02 5.0798719817395607e-06 1.8777288842879083e+00 9.5386223485972317e-06 6.5746722936063109e-05 -8.1699742020458349e-03
6.4006400640064010e-01 3.4926754229012049e+00 -1.1468006248150328e-02 5.0798686412816557e-06 1.8966022701047711e+00 9.6344903968888274e-06 6.5757583653807482e-05 -8.2138905819384225e-03
6.5006500650065013e-01 3.4925607266126524e+00 -1.1468958375122233e-02 5.0798653002726838e-06 1.9156653556675198e+00 9.7313219671899633e-06 6.5768503105143210e-05 -8.2565384661720913e-03
6.6006600660066006e-01 3.4924460207772428e+00 -1.1469915402910117e-02 5.0798619587097015e-06 1.9349200476819219e+00 9.8291267433641579e-06 6.5779479674957383e-05 -8.2979555171169578e-03
6.7006700670067010e-01 3.4923313053466463e+00 -1.1470877193661399e-02 5.0798586165898484e-06 1.9543682720183828e+00 9.9279145066023947e-06 6.5790511796030596e-05 -8.3381783193309956e-03
6.8006800680068014e-01 3.4922165802738934e+00 -1.1471843613619213e-02 5.0798552739103429e-06 1.9740119739045721e+00 1.0027695136401307e-05 6.5801597947667972e-05 -8.3772424109055145e-03
6.9006900690069006e-01 3.4921018455133366e+00 -1.1472814533005183e-02 5.0798519306684760e-06 1.9938531181199874e+00 1.0128478611551179e-05 6.5812736654367469e-05 -8.4151823095715474e-03
7.0007000700070010e-01 3.4919871010206105e+00 -1.1473789825904855e-02 5.0798485868616188e-06 2.0138936891924746e+00 1.0230275011133924e-05 6.5823926484518875e-05 -8.4520315337627949e-03
7.1007100710071014e-01 3.4918723467525954e+00 -1.1474769370155263e-02 5.0798452424872071e-06 2.0341356915967186e+00 1.0333094515531016e-05 6.5835166049126715e-05 -8.4878226186468828e-03
7.2007200720072007e-01 3.4917575826673808e+00 -1.1475753047234001e-02 5.0798418975427540e-06 2.0545811499547364e+00 1.0436947407441642e-05 6.5846454000550241e-05 -8.5225871270401612e-03
7.3007300730073010e-01 3.4916428087242277e+00 -1.1476740742149234e-02 5.0798385520258346e-06 2.0752321092383790e+00 1.0541844072911005e-05 6.5857789031254074e-05 -8.5563556551503783e-03
7.4007400740074014e-01 3.4915280248835336e+00 -1.1477732343330058e-02 5.0798352059340924e-06 2.0960906349738724e+00 1.0647795002369024e-05 6.5869169872562457e-05 -8.5891578333819590e-03
7.5007500750075007e-01 3.4914132311067947e+00 -1.1478727742516626e-02 5.0798318592652337e-06 2.1171588134484112e+00 1.0754810791679418e-05 6.5880595293410418e-05 -8.6210223220033171e-03
7.6007600760076011e-01 3.4912984273565710e+00 -1.1479726834649455e-02 5.0798285120170263e-06 2.1384387519188346e+00 1.0862902143199400e-05 6.5892064099085400e-05 -8.6519768016209263e-03
7.7007700770077014e-01 3.4911836135964456e+00 -1.1480729517757327e-02 5.0798251641872962e-06 2.1599325788223922e+00 1.0972079866849949e-05 6.5903575129952190e-05 -8.6820479588884773e-03
7.8007800780078007e-01 3.4910687897909911e+00 -1.1481735692843205e-02 5.0798218157739290e-06 2.1816424439896340e+00 1.1082354881196895e-05 6.5915127260154815e-05 -8.7112614667770160e-03
7.9007900790079011e-01 3.4909539559057272e+00 -1.1482745263767569e-02 5.0798184667748623e-06 2.2035705188594386e+00 1.1193738214542841e-05 6.5926719396288273e-05 -8.7396419879896738e-03
