# k  Ps  Pt
4.563211185768888242e-05 2.731373682894391511e-09 4.616539308332787306e-12
4.627601631533961152e-05 2.730351714189253476e-09 4.616525268373527217e-12
4.692900676383536594e-05 2.729329876089203808e-09 4.616511223145597570e-12
4.759121141354769144e-05 2.728308168606095592e-09 4.616497172638743424e-12
4.826276028399545495e-05 2.727286591775636974e-09 4.616483116883332973e-12
4.894378522937406522e-05 2.726265145591925193e-09 4.616469055838537905e-12
4.963441996444350340e-05 2.725243830077965382e-09 4.616454989512918409e-12
5.033480009078261750e-05 2.724222645255936323e-09 4.616440917914079861e-12
5.104506312341392253e-05 2.723201591129802691e-09 4.616426841017455644e-12
5.176534851780304679e-05 2.722159875188624888e-09 4.616377475956575734e-12
5.249579769724071847e-05 2.721139089847775041e-09 4.616363387679242797e-12
5.323655408060956281e-05 2.720118435260726987e-09 4.616349294110298964e-12
5.398776311054376661e-05 2.719097911466586929e-09 4.616335195287569169e-12
5.474957228198611641e-05 2.718077518432628295e-09 4.616321091120385854e-12
5.552213117114688948e-05 2.717057256235922811e-09 4.616306981715021534e-12
5.630559146487304750e-05 2.716037124846681634e-09 4.616292866985315330e-12
5.710010699043015892e-05 2.715017124295888055e-09 4.616278746955288601e-12
5.790583374570569655e-05 2.713997254580524107e-09 4.616264621586461292e-12
5.872292992983856204e-05 2.712995839886891444e-09 4.616281456431749138e-12
5.955155597427975019e-05 2.711976228189892178e-09 4.616267324856626082e-12
6.039187457429231163e-05 2.710938430752429111e-09 4.616222213676343686e-12
6.124405072089593330e-05 2.709919084615067411e-09 4.616208067055749598e-12
6.210825173326090030e-05 2.708899869404479241e-09 4.616193915099390619e-12
6.298464729156117684e-05 2.707880785171595767e-09 4.616179757866591107e-12
6.387340947028908613e-05 2.706861831759619939e-09 4.616165595220547183e-12
6.477471277204134049e-05 2.705843008978848225e-09 4.616151427088985557e-12
6.568873416178193066e-05 2.704824317161723272e-09 4.616137253564801681e-12
6.661565310158707842e-05 2.703805756221912239e-09 4.616123074489919239e-12
6.755565158588249842e-05 2.702787326259977541e-09 4.616108889977842922e-12
6.850891417717585577e-05 2.701769026398797537e-09 4.616094698702633711e-12
6.947562804229484123e-05 2.700750873510592729e-09 4.616080528710808319e-12
7.045598298913650210e-05 2.699732851726956479e-09 4.616066353418472569e-12
7.145017150393385931e-05 2.698715750664872321e-09 4.616053536126455615e-12
7.245838878905036854e-05 2.697697973588683129e-09 4.616039320838850766e-12
7.348083280130568093e-05 2.696680327246475655e-09 4.616025099507252054e-12
