# k_modes P_scalar P_tensor
4.5632110342105373e-05 3.0826543774788569e-09 5.2100789323860396e-12
4.6276014782111321e-05 3.0815004931994160e-09 5.2100622356278283e-12
4.6929005212766305e-05 3.0803476589524526e-09 5.2100470464447667e-12
4.7591209844439458e-05 3.0791955200072517e-09 5.2100327846182196e-12
4.8262758696647899e-05 3.0780424681330913e-09 5.2100167182242120e-12
4.8943783623584765e-05 3.0768889838284228e-09 5.2099996706687268e-12
4.9634418340008176e-05 3.0757350306038397e-09 5.2099815680532311e-12
5.0334798447494776e-05 3.0745842462519703e-09 5.2099685781782366e-12
5.1045061461064865e-05 3.0734319243077367e-09 5.2099527341551195e-12
5.1765346836182147e-05 3.0722801473278999e-09 5.2099375481048671e-12
5.2495795996135086e-05 3.0711266235636187e-09 5.2099191492921580e-12
5.3236552359804031e-05 3.0699759406694446e-09 5.2099053096554144e-12
5.3987761369821203e-05 3.0688235704814375e-09 5.2098883551197059e-12
5.4749570521126951e-05 3.0676724976940649e-09 5.2098733451612303e-12
5.5522129389929673e-05 3.0665206652215167e-09 5.2098567854844694e-12
5.6305589663073622e-05 3.0653691174142917e-09 5.2098404512478421e-12
5.7100105167822325e-05 3.0642171579455784e-09 5.2098231638373014e-12
5.7905831902061217e-05 3.0630668905659907e-09 5.2098085018833674e-12
5.8722928064926413e-05 3.0619156051940941e-09 5.2097918381900161e-12
5.9551554087866815e-05 3.0607659931757946e-09 5.2097777704956825e-12
6.0391872666143265e-05 3.0596147288724065e-09 5.2097606352096211e-12
6.1244048790772947e-05 3.0584634084077814e-09 5.2097431484162248e-12
6.2108249780923791e-05 3.0573142168186136e-09 5.2097290181015642e-12
6.2984645316767218e-05 3.0561639936334733e-09 5.2097128839880610e-12
6.3873407472793222e-05 3.0550142415515799e-09 5.2096972898325023e-12
6.4774710751596385e-05 3.0538639181774032e-09 5.2096804679085398e-12
6.5688732118137678e-05 3.0527146245080613e-09 5.2096651385421110e-12
6.6615651034491235e-05 3.0515652208184719e-09 5.2096493645723828e-12
6.7555649495080154e-05 3.0504159336506067e-09 5.2096335416244707e-12
6.8508912062409432e-05 3.0492661508929110e-09 5.2096166027926714e-12
6.9475625903304468e-05 3.0481176178670815e-09 5.2096015379838090e-12
7.0455980825659477e-05 3.0469680611165891e-09 5.2095844698714930e-12
7.1450169315705325e-05 3.0458195324174361e-09 5.2095688958921667e-12
7.2458386575802283e-05 3.0446703732547036e-09 5.2095519934898904e-12
7.3480830562767686e-05 3.0435218967172089e-09 5.2095359955163832e-12
7.4517702026742760e-05 3.0423740908474274e-09 5.2095208851347836e-12
7.5569204550609016e-05 3.0412269366567281e-09 5.2095066246655445e-12
7.6635544589959703e-05 3.0400778240160412e-09 5.2094887652684983e-12
7.7716931513636936e-05 3.0389297014257383e-09 5.2094723366048203e-12
7.8813577644839302e-05 3.0377827641717255e-09 5.2094576688180247e-12
7.9925698302810424e-05 3.0366342029116759e-09 5.2094399628910295e-12
8.1053511845114847e-05 3.0354876620645276e-09 5.2094254702228463e-12
8.2197239710512019e-05 3.0343401588470657e-09 5.2094090549922470e-12
8.3357106462433929e-05 3.0331928592115106e-09 5.2093927371366587e-12
8.4533339833076107e-05 3.0320462890353952e-09 5.2093774112327370e-12
8.5726170768112337e-05 3.0308984988566551e-09 5.2093597225439475e-12
8.6935833472038667e-05 3.0297528639428057e-09 5.2093454824817703e-12
8.8162565454158283e-05 3.0286062455211694e-09 5.2093292876841583e-12
8.9406607575214157e-05 3.0274599766870508e-09 5.2093134329341445e-12
9.0668204094681510e-05 3.0263121583852444e-09 5.2092946576910193e-12
9.1947602718725900e-05 3.0251665918434280e-09 5.2092794866040288e-12
