# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 3.200000000000000178e+00 -1.489513822688264509e-02 5.070177716763187084e-06 1.000000000000000000e+00 5.070177716763187084e-06 1.109325713989703360e-04 1.109325713985044815e-04
1.000100010001000149e-02 3.199851033619488305e+00 -1.489516863301217769e-02 5.070172091717612930e-06 1.010051177235855357e+00 5.121133290027754128e-06 1.109330243029349390e-04 -2.952760389830119919e-04
2.000200020002000298e-02 3.199702066635281117e+00 -1.489525865765075133e-02 5.070166466632689013e-06 1.020203380635537282e+00 5.172600969643605971e-06 1.109343652391598311e-04 -6.895486881527889897e-04
3.000300030003000273e-02 3.199553098459932077e+00 -1.489540655010902943e-02 5.070160841464048595e-06 1.030457625630923912e+00 5.224585902261930352e-06 1.109365681465154937e-04 -1.072235251426490680e-03
4.000400040004000596e-02 3.199404128523242630e+00 -1.489561061167935310e-02 5.070155216168628520e-06 1.040814937860179201e+00 5.277093286258014119e-06 1.109396077473872764e-04 -1.443675523868342535e-03
5.000500050005000918e-02 3.199255156271748834e+00 -1.489586919409282249e-02 5.070149590704628560e-06 1.051276353270337527e+00 5.330128372251056345e-06 1.109434595237617730e-04 -1.804199500869972271e-03
6.000600060006000547e-02 3.199106181168236862e+00 -1.489618069805562564e-02 5.070143965031474143e-06 1.061842918220921472e+00 5.383696463629214396e-06 1.109480996945624967e-04 -2.154127643927093976e-03
7.000700070007001563e-02 3.198957202691228296e+00 -1.489654357170302514e-02 5.070138339109775695e-06 1.072515689588597887e+00 5.437802917079909242e-06 1.109535051918233582e-04 -2.493771165900717304e-03
8.000800080008001192e-02 3.198808220334517394e+00 -1.489695630919803115e-02 5.070132712901295608e-06 1.083295734872888438e+00 5.492453143125480623e-06 1.109596536390775078e-04 -2.823432287870189777e-03
9.000900090009000820e-02 3.198659233606769181e+00 -1.489741744952399402e-02 5.070127086368916051e-06 1.094184132302942203e+00 5.547652606664216634e-06 1.109665233326909926e-04 -3.143404459309293974e-03
1.000100010001000184e-01 3.198510242031055384e+00 -1.489792557509101931e-02 5.070121459476605090e-06 1.105181970945379621e+00 5.603406827516818732e-06 1.109740932204755402e-04 -3.453972617067615786e-03
1.100110011001100146e-01 3.198361245144413889e+00 -1.489847931039898349e-02 5.070115832189381958e-06 1.116290350813223586e+00 5.659721380978363972e-06 1.109823428811932891e-04 -3.755413434669356478e-03
1.200120012001200109e-01 3.198212242497422420e+00 -1.489907732075872702e-02 5.070110204473285716e-06 1.127510382975922543e+00 5.716601898375807700e-06 1.109912525049735224e-04 -4.047995561030753517e-03
1.300130013001300211e-01 3.198063233653791304e+00 -1.489971831106712621e-02 5.070104576295342218e-06 1.138843189670480704e+00 5.774054067631088509e-06 1.110008028745745098e-04 -4.331979849987792515e-03
1.400140014001400313e-01 3.197914218189976232e+00 -1.490040102463179202e-02 5.070098947623536160e-06 1.150289904413705599e+00 5.832083633829906635e-06 1.110109753474240783e-04 -4.607619580526339971e-03
1.500150015001500137e-01 3.197765195694799889e+00 -1.490112424204110414e-02 5.070093318426785669e-06 1.161851672115582934e+00 5.890696399796205412e-06 1.110217518383725308e-04 -4.875160669577566913e-03
1.600160016001600238e-01 3.197616165769093133e+00 -1.490188678007532685e-02 5.070087688674906724e-06 1.173529649193791435e+00 5.949898226672424422e-06 1.110331148030918976e-04 -5.134841877070460761e-03
1.700170017001700340e-01 3.197467128025344163e+00 -1.490268749065450961e-02 5.070082058338597069e-06 1.185325003689369439e+00 6.009695034505603091e-06 1.110450472220551963e-04 -5.386895004994717365e-03
1.800180018001800164e-01 3.197318082087361457e+00 -1.490352525981891718e-02 5.070076427389400631e-06 1.197238915383542324e+00 6.070092802839350842e-06 1.110575325850302671e-04 -5.631545090518952530e-03
1.900190019001900266e-01 3.197169027589944257e+00 -1.490439900673770808e-02 5.070070795799690584e-06 1.209272575915725456e+00 6.131097571311783748e-06 1.110705548760219935e-04 -5.869010594600483459e-03
2.000200020002000367e-01 3.197019964178561491e+00 -1.490530768274159722e-02 5.070065163542640547e-06 1.221427188902713956e+00 6.192715440259465796e-06 1.110840985585978427e-04 -6.099503586213175267e-03
2.100210021002100191e-01 3.196870891509036472e+00 -1.490625027037520076e-02 5.070059530592201716e-06 1.233703970059067734e+00 6.254952571327412372e-06 1.110981485615303727e-04 -6.323229923967756128e-03
2.200220022002200293e-01 3.196721809247239143e+00 -1.490722578246483562e-02 5.070053896923079147e-06 1.246104147318709776e+00 6.317815188085235580e-06 1.111126902646921685e-04 -6.540389434514228169e-03
2.300230023002300395e-01 3.196572717068780101e+00 -1.490823326119745940e-02 5.070048262510712271e-06 1.258628960957744569e+00 6.381309576649476285e-06 1.111277094851371121e-04 -6.751176090452183295e-03
2.400240024002400219e-01 3.196423614658705503e+00 -1.490927177720649012e-02 5.070042627331245253e-06 1.271279663718511310e+00 6.445442086312183032e-06 1.111431924633029882e-04 -6.955778186432007119e-03
2.500250025002500598e-01 3.196274501711196425e+00 -1.491034042866025422e-02 5.070036991361511742e-06 1.284057520934884788e+00 6.510219130175825073e-06 1.111591258492702249e-04 -7.154378516082593627e-03
2.600260026002600422e-01 3.196125377929264655e+00 -1.491143834034873959e-02 5.070031354579005226e-06 1.296963810658834371e+00 6.575647185794558140e-06 1.111754966890111875e-04 -7.347154549686663212e-03
2.700270027002700246e-01 3.195976243024449825e+00 -1.491256466276444197e-02 5.070025716961858701e-06 1.309999823788256856e+00 6.641732795821965785e-06 1.111922924105653813e-04 -7.534278613317194062e-03
2.800280028002800625e-01 3.195827096716506777e+00 -1.491371857117312905e-02 5.070020078488824346e-06 1.323166864196091863e+00 6.708482568665281375e-06 1.112095008100771366e-04 -7.715918070766259601e-03
2.900290029002900449e-01 3.195677938733526346e+00 -1.491489926596394414e-02 5.070014439139279451e-06 1.336466248860737727e+00 6.775903179146249969e-06 1.112271100569259047e-04 -7.892235246911133081e-03
3.000300030003000273e-01 3.195528768811707998e+00 -1.491610597197269225e-02 5.070008798893206932e-06 1.349899307997775910e+00 6.844001369168575038e-06 1.112451086835597068e-04 -8.063387559003654115e-03
3.100310031003100653e-01 3.195379586694688800e+00 -1.491733793645784803e-02 5.070003157731149596e-06 1.363467385193020132e+00 6.912783948392045725e-06 1.112634855552422486e-04 -8.229527922003914558e-03
3.200320032003200477e-01 3.195230392133536768e+00 -1.491859442908047631e-02 5.069997515634209291e-06 1.377171837536903309e+00 6.982257794913498822e-06 1.112822298696955128e-04 -8.390804747719769752e-03
3.300330033003300301e-01 3.195081184886520820e+00 -1.491987474120788464e-02 5.069991872584023189e-06 1.391014035760215428e+00 7.052429855954594278e-06 1.113013311466665221e-04 -8.547362081755341401e-03
3.400340034003400680e-01 3.194931964718887407e+00 -1.492117818524808098e-02 5.069986228562757011e-06 1.404995364371203870e+00 7.123307148556516888e-06 1.113207792179616104e-04 -8.699339734343572439e-03
3.500350035003500504e-01 3.194782731402652232e+00 -1.492250409401290473e-02 5.069980583553081311e-06 1.419117221794053973e+00 7.194896760281645686e-06 1.113405642179159468e-04 -8.846873405564746606e-03
3.600360036003600328e-01 3.194633484716395078e+00 -1.492385182010765379e-02 5.069974937538157074e-06 1.433381020508760706e+00 7.267205849922284201e-06 1.113606765742652721e-04 -8.990094805811957648e-03
3.700370037003700707e-01 3.194484224445067078e+00 -1.492522073534506728e-02 5.069969290501627246e-06 1.447788187192405651e+00 7.340241648216517640e-06 1.113811069993871707e-04 -9.129131771263133618e-03
3.800380038003800531e-01 3.194334950379802418e+00 -1.492661023018151435e-02 5.069963642427594713e-06 1.462340162861854198e+00 7.414011458571248690e-06 1.114018464818797207e-04 -9.264108375456598168e-03
3.900390039003900355e-01 3.194185662317738927e+00 -1.492801971317320869e-02 5.069957993300614676e-06 1.477038403017888246e+00 7.488522657792516941e-06 1.114228862784439635e-04 -9.395145036549649303e-03
4.000400040004000735e-01 3.194036360061842217e+00 -1.492944861045033579e-02 5.069952343105677712e-06 1.491884377790785976e+00 7.563782696823151088e-06 1.114442179060387252e-04 -9.522358621673365428e-03
4.100410041004100559e-01 3.193887043420738259e+00 -1.493089636520689156e-02 5.069946691828197913e-06 1.506879572087364894e+00 7.639799101487826729e-06 1.114658331342741797e-04 -9.645862548177992421e-03
4.200420042004200383e-01 3.193737712208546853e+00 -1.493236243720412817e-02 5.069941039454005264e-06 1.522025485739505024e+00 7.716579473245633119e-06 1.114877239780123991e-04 -9.765766882005890576e-03
4.300430043004300762e-01 3.193588366244721755e+00 -1.493384630228539525e-02 5.069935385969324470e-06 1.537323633654161803e+00 7.794131489950177665e-06 1.115098826901415798e-04 -9.882178434317441529e-03
4.400440044004400586e-01 3.193439005353891247e+00 -1.493534745190028615e-02 5.069929731360770715e-06 1.552775545964888870e+00 7.872462906617343366e-06 1.115323017544921910e-04 -9.995200856103449508e-03
4.500450045004500410e-01 3.193289629365704929e+00 -1.493686539263587749e-02 5.069924075615335268e-06 1.568382768184884091e+00 7.951581556200769502e-06 1.115549738788616785e-04 -1.010493473182033294e-02
4.600460046004600789e-01 3.193140238114677842e+00 -1.493839964575294915e-02 5.069918418720374467e-06 1.584146861361571901e+00 8.031495350375104689e-06 1.115778919881159169e-04 -1.021147767195150144e-02
4.700470047004700613e-01 3.192990831440038146e+00 -1.493994974672500399e-02 5.069912760663596171e-06 1.600069402232741078e+00 8.112212280327145821e-06 1.116010492173342598e-04 -1.031492440499274209e-02
4.800480048004800437e-01 3.192841409185574797e+00 -1.494151524477793994e-02 5.069907101433052132e-06 1.616151983384251478e+00 8.193740417554928949e-06 1.116244389049657847e-04 -1.041536686985570365e-02
4.900490049004900817e-01 3.192691971199483447e+00 -1.494309570242824750e-02 5.069901441017121059e-06 1.632396213409325947e+00 8.276087914674833099e-06 1.116480545859647756e-04 -1.051289430811523304e-02
5.000500050005001196e-01 3.192542517334212793e+00 -1.494469069501751408e-02 5.069895779404504379e-06 1.648803717069442287e+00 8.359263006236824069e-06 1.116718899848715340e-04 -1.060759335768657677e-02
