# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 3.2000000000000002e+00 -1.4895138226882645e-02 5.0701777167631871e-06 1.0000000000000000e+00 5.0701777167631871e-06 1.1093257139897034e-04 -9.3181606371995395e-05
1.0001000100010001e-02 3.1998510336194883e+00 -1.4895168633012178e-02 5.0701720917176129e-06 1.0100511772358554e+00 5.1211332900277541e-06 1.1093302430293494e-04 -2.9328772672075675e-04
2.0002000200020003e-02 3.1997020666352811e+00 -1.4895258657650751e-02 5.0701664666326890e-06 1.0202033806355373e+00 5.1726009696436060e-06 1.1093436523915983e-04 -6.8761942496880157e-04
3.0003000300030003e-02 3.1995530984599321e+00 -1.4895406550109029e-02 5.0701608414640486e-06 1.0304576256309239e+00 5.2245859022619304e-06 1.1093656814651549e-04 -1.0703632910254921e-03
4.0004000400040006e-02 3.1994041285232426e+00 -1.4895610611679353e-02 5.0701552161686285e-06 1.0408149378601792e+00 5.2770932862580141e-06 1.1093960774738728e-04 -1.4418591712175343e-03
5.0005000500050009e-02 3.1992551562717488e+00 -1.4895869194092822e-02 5.0701495907046286e-06 1.0512763532703375e+00 5.3301283722510563e-06 1.1094345952376177e-04 -1.8024372240907300e-03
6.0006000600060005e-02 3.1991061811682369e+00 -1.4896180698055626e-02 5.0701439650314741e-06 1.0618429182209215e+00 5.3836964636292144e-06 1.1094809969456250e-04 -2.1524178801898297e-03
7.0007000700070016e-02 3.1989572026912283e+00 -1.4896543571703025e-02 5.0701383391097757e-06 1.0725156895885979e+00 5.4378029170799092e-06 1.1095350519182336e-04 -2.4921120232538714e-03
8.0008000800080012e-02 3.1988082203345174e+00 -1.4896956309198031e-02 5.0701327129012956e-06 1.0832957348728884e+00 5.4924531431254806e-06 1.1095965363907751e-04 -2.8218221007361055e-03
9.0009000900090008e-02 3.1986592336067692e+00 -1.4897417449523994e-02 5.0701270863689161e-06 1.0941841323029422e+00 5.5476526066642166e-06 1.1096652333269099e-04 -3.1418421251602447e-03
1.0001000100010002e-01 3.1985102420310554e+00 -1.4897925575091019e-02 5.0701214594766051e-06 1.1051819709453796e+00 5.6034068275168187e-06 1.1097409322047554e-04 -3.4524572165568713e-03
1.1001100110011001e-01 3.1983612451444139e+00 -1.4898479310398983e-02 5.0701158321893820e-06 1.1162903508132236e+00 5.6597213809783640e-06 1.1098234288119329e-04 -3.7539439665360019e-03
1.2001200120012001e-01 3.1982122424974224e+00 -1.4899077320758727e-02 5.0701102044732857e-06 1.1275103829759225e+00 5.7166018983758077e-06 1.1099125250497352e-04 -4.0465707944782577e-03
1.3001300130013002e-01 3.1980632336537913e+00 -1.4899718311067126e-02 5.0701045762953422e-06 1.1388431896704807e+00 5.7740540676310885e-06 1.1100080287457451e-04 -4.3305982765285602e-03
1.4001400140014003e-01 3.1979142181899762e+00 -1.4900401024631792e-02 5.0700989476235362e-06 1.1502899044137056e+00 5.8320836338299066e-06 1.1101097534742408e-04 -4.6062794470976718e-03
1.5001500150015001e-01 3.1977651956947999e+00 -1.4901124242041104e-02 5.0700933184267857e-06 1.1618516721155829e+00 5.8906963997962054e-06 1.1102175183837253e-04 -4.8738600727117002e-03
