# f_hz  Omega_gw
7.055745939831890026e-20 2.236955512895881672e-23
7.462905908351047854e-20 2.336106573968673714e-23
7.893561513104589612e-20 2.572430723132198694e-23
8.349068596917796585e-20 3.197516399673394654e-23
8.830861243092119527e-20 4.035434702094180120e-23
9.340456290362217655e-20 4.858953709186567831e-23
9.879458108393816454e-20 5.770807977186583241e-23
1.044956364885716843e-19 6.406920010932104926e-23
1.105256778797856609e-19 6.963901526429177434e-23
1.169036897738993214e-19 7.429146658436780387e-23
1.236497522106724413e-19 7.839581561212764704e-23
1.307851039717505378e-19 8.158413875472233143e-23
1.383322094472038539e-19 8.389841475896894059e-23
1.463148293606769665e-19 8.551063230333813324e-23
1.547580955758148882e-19 8.660603412193294791e-23
1.636885902194804401e-19 8.721095467769317615e-23
1.731344293708681378e-19 8.745665872117116729e-23
1.831253515799952895e-19 8.747407527284980593e-23
1.936928114942544870e-19 8.737350125566452070e-23
2.048700788877948716e-19 8.718715824147420103e-23
2.166923434055078295e-19 8.697230013906341402e-23
2.291968253513857461e-19 8.673807140866688870e-23
2.424228928700504953e-19 8.649007349075036293e-23
2.564121858903777702e-19 8.623206788383512034e-23
2.712087472214313673e-19 8.596670139488056254e-23
2.868591612134392904e-19 8.569589218749121053e-23
3.034127004203624551e-19 8.542105877074090107e-23
3.209214807257954117e-19 8.514326573488436271e-23
3.394406254205872343e-19 8.486332078357059429e-23
3.590284387487500183e-19 8.458184186947142748e-23
3.797465894680354353e-19 8.430023231009696690e-23
4.016603050030858755e-19 8.401681320840494314e-23
4.248385768024171667e-19 8.373303248020703408e-23
4.493543775457638451e-19 8.344910524766125917e-23
4.752848908856246117e-19 8.316519991651862611e-23
5.027117544463090220e-19 8.288144868982714783e-23
5.317213168455252543e-19 8.259795587812549014e-23
5.624049095476949743e-19 8.231480359698901134e-23
5.948591344048778383e-19 8.203205652407024791e-23
6.291861677905774998e-19 8.174976564771988342e-23
6.654940822839392782e-19 8.146797127012910130e-23
7.038971869171072801e-19 8.118670517618696845e-23
7.445163870569470561e-19 8.090604994722314431e-23
7.874795650541591533e-19 8.062589875258310825e-23
8.329219828581895213e-19 8.034633878711871368e-23
8.809867078654981572e-19 8.006738186240943315e-23
9.318250633418943881e-19 7.978903735241384368e-23
9.855971048370120824e-19 7.951131230627641227e-23
1.042472124090833542e-18 7.923421244179897979e-23
1.102629182018720866e-18 7.895774188895271319e-23
1.166257672452964586e-18 7.868190393323568312e-23
1.233557918415688386e-18 7.840670105180190621e-23
1.304741802800371210e-18 7.813213502527085292e-23
1.380033435447576058e-18 7.785821188396969704e-23
1.459669858715051001e-18 7.758492221506183176e-23
1.543901793763571764e-18 7.731227238641675209e-23
1.632994429908067568e-18 7.704026259276727535e-23
1.727228259519167617e-18 7.676889285432339380e-23
1.826899961103703410e-18 7.649816305248248821e-23
1.932323333344393325e-18 7.622807291596738121e-23
2.043830283039365677e-18 7.595862213976992049e-23
2.161771870051870343e-18 7.568981030130168544e-23
2.286519412560025520e-18 7.542163684912844895e-23
2.418465656086272205e-18 7.515410125778337119e-23
2.558026009987026249e-18 7.488720283573730202e-23
2.705639855295396720e-18 7.462094127766028580e-23
2.861771928034469732e-18 7.435531514636336553e-23
3.026913782356294714e-18 7.409032412116394755e-23
3.201585338112986164e-18 7.382596751955993779e-23
3.386336517732208152e-18 7.356224471164937000e-23
3.581748977550449926e-18 7.329915501249888691e-23
3.788437939054881889e-18 7.303669755625774618e-23
4.007054125799145659e-18 7.277487162608895680e-23
4.238285812091100522e-18 7.251367655859934314e-23
4.482860989902466414e-18 7.225311160546133742e-23
4.741549660822488405e-18 7.199317595062707175e-23
5.015166260271434296e-18 7.173386880646229280e-23
5.304572221606135336e-18 7.147518945412309978e-23
5.610678688190192461e-18 7.121713705958735230e-23
5.934449381967335988e-18 7.095971091136139821e-23
6.276903637569107285e-18 7.070291024450319732e-23
6.639119611509252309e-18 7.044673435227639363e-23
7.022237676568357964e-18 7.019118248401092948e-23
7.427464012055386806e-18 6.993625376958328165e-23
7.856074401249432252e-18 6.968194744641568170e-23
8.309418247977151684e-18 6.942826279593769587e-23
8.788922824971530402e-18 6.917519899785292584e-23
9.296097767387041428e-18 6.892275527549680802e-23
9.832539825618309061e-18 6.867093088741126957e-23
1.039993789238564716e-17 6.841972504799136005e-23
1.100007831991439620e-17 6.816913695725229486e-23
1.163485054394820668e-17 6.791916576967735036e-23
1.230625303230253093e-17 6.766981079032843103e-23
1.301639957668625538e-17 6.742107127185603916e-23
1.376752594760014524e-17 6.717294644757160855e-23
1.456199693326394200e-17 6.692543546929865973e-23
1.540231378473281603e-17 6.667853752778443448e-23
1.629112209064290634e-17 6.643225191654996308e-23
1.723122010637814642e-17 6.618657793779184729e-23
1.822556756388124042e-17 6.594151475882091028e-23
1.927729498984500205e-17 6.569706160410712858e-23
2.038971356162068071e-17 6.545321771722232073e-23
2.156632553187281675e-17 6.520998233818462125e-23
2.281083525480091860e-17 6.496735468203674182e-23
2.412716084864191865e-17 6.472533394478217073e-23
2.551944653117086761e-17 6.448391930604307141e-23
2.699207566703589970e-17 6.424311006306250066e-23
2.854968456800475947e-17 6.400290553141807684e-23
3.019717708957047991e-17 6.376330494966978076e-23
3.193974006987102981e-17 6.352430749429937214e-23
3.378285965952969812e-17 6.328591232756353041e-23
3.573233859382774722e-17 6.304811868883004784e-23
3.779431446158772080e-17 6.281092581622349038e-23
3.997527902828382166e-17 6.257433293913046899e-23
