# MPBH  fPBH
1.205094281338174833e+21 0.000000000000000000e+00
1.077186649974205841e+21 0.000000000000000000e+00
9.628550204339065979e+20 0.000000000000000000e+00
8.606584480015404237e+20 0.000000000000000000e+00
7.693089285473240351e+20 0.000000000000000000e+00
6.876551655501466173e+20 0.000000000000000000e+00
6.146680600740110008e+20 0.000000000000000000e+00
5.494277408254210867e+20 0.000000000000000000e+00
4.911119708289028588e+20 0.000000000000000000e+00
4.389857846076376351e+20 0.000000000000000000e+00
3.923922252644914954e+20 0.000000000000000000e+00
3.507440647209981051e+20 0.000000000000000000e+00
3.135164027627847680e+20 0.000000000000000000e+00
2.802400516157108060e+20 0.000000000000000000e+00
2.504956226771892634e+20 0.000000000000000000e+00
2.239082408765693297e+20 0.000000000000000000e+00
2.001428200485883740e+20 0.000000000000000000e+00
1.788998397744696852e+20 0.000000000000000000e+00
1.599115704653361971e+20 0.000000000000000000e+00
1.429386991119007089e+20 0.000000000000000000e+00
1.277673131740733112e+20 0.000000000000000000e+00
1.142062045978322534e+20 0.000000000000000000e+00
1.020844599813392466e+20 0.000000000000000000e+00
9.124930651867103232e+19 0.000000000000000000e+00
8.156418657316136550e+19 0.000000000000000000e+00
7.290703661380951245e+19 0.000000000000000000e+00
6.516874882384229990e+19 0.000000000000000000e+00
5.825179599277000294e+19 0.000000000000000000e+00
5.206900236117241037e+19 0.000000000000000000e+00
4.654244492692171981e+19 0.000000000000000000e+00
4.160247136578261811e+19 0.000000000000000000e+00
3.718682218904293376e+19 0.000000000000000000e+00
3.323984607455019418e+19 0.000000000000000000e+00
2.971179848181123482e+19 0.000000000000000000e+00
2.655821471145925837e+19 0.000000000000000000e+00
2.373934950762945331e+19 0.000000000000000000e+00
2.121967614043819622e+19 0.000000000000000000e+00
1.896743865540084941e+19 0.000000000000000000e+00
1.695425164669667533e+19 0.000000000000000000e+00
1.515474251014215885e+19 0.000000000000000000e+00
1.354623166711445914e+19 0.000000000000000000e+00
1.210844672922213376e+19 0.000000000000000000e+00
1.082326700128267264e+19 0.000000000000000000e+00
9.674495102525820928e+18 0.000000000000000000e+00
