# k  Ps  Pt
4.563871888636409870e-05 2.657627849640547621e-09 5.203399162126063617e-12
4.827235387031725305e-05 2.653239434026028636e-09 5.203325775323953683e-12
5.105796580274637406e-05 2.648853398197527389e-09 5.203252065304516332e-12
5.400432468898962965e-05 2.644469842119380017e-09 5.203178224580512633e-12
5.712070661767217983e-05 2.640088657928570956e-09 5.203104040884341845e-12
6.041692296482676418e-05 2.635710202836928254e-09 5.203030220307540118e-12
6.390335128327177306e-05 2.631333939507937991e-09 5.202955682800466459e-12
6.759096797449655925e-05 2.626960261163582679e-09 5.202881214305050302e-12
7.149138284591569255e-05 2.622589099287339090e-09 5.202806676657565965e-12
7.561687566228934496e-05 2.618220393106188065e-09 5.202731944176263070e-12
7.998043480638579157e-05 2.613854383534845191e-09 5.202657497495068235e-12
8.459579817060189041e-05 2.609490707872467798e-09 5.202582601597094435e-12
8.947749640828192282e-05 2.605129643026025749e-09 5.202507818150409536e-12
9.464089868090359435e-05 2.600770878483467017e-09 5.202432507860555095e-12
1.001022610451584015e-04 2.596414668178863914e-09 5.202357184979144920e-12
1.058787776322641830e-04 2.592060996258203572e-09 5.202281818896858852e-12
1.119886347806391575e-04 2.587709937145308398e-09 5.202206554645579941e-12
1.184510682923643526e-04 2.583361169478923468e-09 5.202130735281026403e-12
1.252864239936963056e-04 2.579014961401980499e-09 5.202054896591302629e-12
1.325162217902942227e-04 2.574671298200565112e-09 5.201979011635468073e-12
1.401632234188278240e-04 2.570330133285283579e-09 5.201902985321948615e-12
1.482515041082701969e-04 2.565991483224186787e-09 5.201826847267705366e-12
1.568065283764880189e-04 2.561655328630591849e-09 5.201750550831113394e-12
1.658552302007618173e-04 2.557321659056621984e-09 5.201674076307836281e-12
1.754260978146386424e-04 2.552990494527964961e-09 5.201597450437911468e-12
1.855492633980849136e-04 2.548662060826070786e-09 5.201521149761636771e-12
1.962565979433133383e-04 2.544335737122079800e-09 5.201443879294659049e-12
2.075818115949517565e-04 2.540012155749342074e-09 5.201366948587703342e-12
2.195605597804574393e-04 2.535691136883061101e-09 5.201289977737170868e-12
2.322305554649094380e-04 2.531372635937867686e-09 5.201212876625805977e-12
2.456316878835934094e-04 2.527056546999025852e-09 5.201135411267356663e-12
2.598061481261874895e-04 2.522743110732372806e-09 5.201058097957459804e-12
2.747985619679282811e-04 2.518432129761109965e-09 5.200980507796647615e-12
2.906561303659533062e-04 2.514123773242776346e-09 5.200902992865450791e-12
3.074287780631465702e-04 2.509817744562238348e-09 5.200824925484199605e-12
3.251693107673408870e-04 2.505514337420721255e-09 5.200746925664615661e-12
3.439335814007278428e-04 2.501213454003215179e-09 5.200668784243380234e-12
3.637806659428815853e-04 2.496915102160202215e-09 5.200590507233803148e-12
3.847730494210076344e-04 2.492619310665694328e-09 5.200512156032820109e-12
4.069768226329737587e-04 2.488325902949093441e-09 5.200433357554389513e-12
4.304618902224703766e-04 2.484035098042459012e-09 5.200354565292493447e-12
4.553021907613889296e-04 2.479747157655622914e-09 5.200276334983741252e-12
4.815759295323072280e-04 2.475461270467530880e-09 5.200196937984590357e-12
5.093658247439580367e-04 2.471178337767625838e-09 5.200118292802675730e-12
5.387593679548444191e-04 2.466897650026757128e-09 5.200038875511096120e-12
5.698490995249017596e-04 2.462619531492206628e-09 5.199959385907115135e-12
6.027328999624154918e-04 2.458344051693952633e-09 5.199879961525558046e-12
6.375142980834489241e-04 2.454070927366842772e-09 5.199799990402219028e-12
6.743027969539673334e-04 2.449800687097756513e-09 5.199720606561398491e-12
7.132142186408285244e-04 2.445532736799198704e-09 5.199640526356565447e-12
7.543710688570274929e-04 2.441267435276885100e-09 5.199560535601889507e-12
7.979029226492162161e-04 2.437004714885032002e-09 5.199480463964535229e-12
8.439468323417666229e-04 2.432744490742554619e-09 5.199400117881938678e-12
8.926477590217179754e-04 2.428486774682428780e-09 5.199319555756259658e-12
9.441590289230600980e-04 2.424231638833642950e-09 5.199238900154176024e-12
9.986428161472002754e-04 2.419979075705531158e-09 5.199158136287442450e-12
1.056270653239371011e-03 2.415729086020724176e-09 5.199077264855525770e-12
1.117223971228439557e-03 2.411481551532373290e-09 5.198996021188963326e-12
1.181694670830338604e-03 2.407236836929568058e-09 5.198915206758582068e-12
1.249885726613449806e-03 2.402994433683460370e-09 5.198833698628681651e-12
1.322011826028050103e-03 2.398754710874038643e-09 5.198752296393928689e-12
1.398300045311688319e-03 2.394517504508560076e-09 5.198670653381400922e-12
1.478990564398464068e-03 2.390282852482569837e-09 5.198588835170861041e-12
