# k_modes P_scalar P_tensor
4.5638718886364099e-05 2.6577469005785625e-09 5.2036396595041893e-12
4.8607752341360865e-05 2.6528161606362903e-09 5.2035558937466710e-12
5.1769936696996171e-05 2.6478890085837654e-09 5.2034728689752222e-12
5.5137837413034258e-05 2.6429640308859172e-09 5.2033877957203150e-12
5.8724837397040892e-05 2.6380441661060575e-09 5.2033064663125166e-12
6.2545190183568253e-05 2.6331262717886185e-09 5.2032226736846581e-12
6.6614076572919253e-05 2.6282107534752548e-09 5.2031372176056608e-12
7.0947664954555581e-05 2.6233004068838098e-09 5.2030556068325807e-12
7.5563175554852334e-05 2.6183918528234204e-09 5.2029711808751568e-12
8.0478948864501088e-05 2.6134869641722402e-09 5.2028876192405854e-12
8.5714518517466729e-05 2.6085855822109327e-09 5.2028046301765737e-12
9.1290688911095706e-05 2.6036858184461351e-09 5.2027184176721315e-12
9.7229617875811415e-05 2.5987898811024508e-09 5.2026333890932960e-12
1.0355490472289878e-04 2.5938973092674345e-09 5.2025486255306144e-12
1.1029168402024987e-04 2.5890084440249240e-09 5.2024648121175925e-12
1.1746672546870501e-04 2.5841221022087929e-09 5.2023795604479729e-12
1.2510854027586229e-04 2.5792390192271234e-09 5.2022943501369478e-12
1.3324749445005205e-04 2.5743593710410573e-09 5.2022095289331279e-12
1.4191592946466628e-04 2.5694828610338997e-09 5.2021244932467519e-12
1.5114829077232447e-04 2.5646088662693141e-09 5.2020379933789677e-12
1.6098126467954543e-04 2.5597387480890284e-09 5.2019527567025403e-12
1.7145392412582240e-04 2.5548716512418314e-09 5.2018670551833607e-12
1.8260788394637597e-04 2.5500081083130235e-09 5.2017819690707403e-12
1.9448746623554813e-04 2.5451462275561185e-09 5.2016936429542507e-12
2.0713987646793559e-04 2.5402892630898696e-09 5.2016087019012061e-12
2.2061539107710989e-04 2.5354347821435294e-09 5.2015221843217086e-12
2.3496755723729631e-04 2.5305832079312488e-09 5.2014349454034914e-12
2.5025340564188063e-04 2.5257352698122906e-09 5.2013484641091730e-12
2.6653367712425137e-04 2.5208901368980783e-09 5.2012610411016415e-12
2.8387306402149505e-04 2.5160488916513499e-09 5.2011749063880535e-12
3.0234046724003893e-04 2.5112096456149257e-09 5.2010861463491671e-12
