#f_hz Omega_gw
7.061459056430643338e-20 2.319388829004505969e-23
7.434591709409290134e-20 2.422754113812202508e-23
7.827440964241217131e-20 2.670009197575819818e-23
8.241048660565858528e-20 3.024353839121688787e-23
8.676511689589975160e-20 3.856970964744627073e-23
9.134984903052660541e-20 4.766249982961480479e-23
9.617684175902227089e-20 5.527874071505296123e-23
1.012588963080705481e-19 6.255575444800470095e-23
1.066094903305215136e-19 6.776592142256765797e-23
1.122428136482433459e-19 7.323844396647175054e-23
1.181738058836535052e-19 7.807498546816867627e-23
1.244181960797271765e-19 8.171772074419255631e-23
1.309925444135561294e-19 8.359709805839220292e-23
1.379142861140821938e-19 8.626512344487349005e-23
1.452017777004761113e-19 8.794549082261992622e-23
1.528743456637860200e-19 8.919173823202673288e-23
1.609523377209597601e-19 8.987133390022606064e-23
1.694571767771665840e-19 9.000812328240904862e-23
1.784114177395289288e-19 9.014299885739710985e-23
1.878388073329314092e-19 9.004493141881367786e-23
1.977643470765422217e-19 8.986210794568743649e-23
2.082143595880584777e-19 8.963842646280065323e-23
2.192165583915183819e-19 8.936650231319992254e-23
2.308001214138070220e-19 8.910501193001310925e-23
2.429957683647727600e-19 8.882944920582107254e-23
2.558358422061642499e-19 8.854369996360273634e-23
2.693543949254468027e-19 8.825050645088555129e-23
2.835872778419689094e-19 8.794512868206577687e-23
2.985722366849722152e-19 8.764395262529618399e-23
3.143490116955951526e-19 8.733956525324995235e-23
3.309594430183367601e-19 8.703287783363416257e-23
3.484475816614840604e-19 8.672181280500058286e-23
3.668598063207693507e-19 8.641304648232914235e-23
3.862449463760731362e-19 8.610350773461294168e-23
4.066544113873661122e-19 8.579354434765197646e-23
4.281423274333080138e-19 8.548343011279335357e-23
4.507656806540789583e-19 8.517244161171001877e-23
4.745844683791188416e-19 8.486280762804086162e-23
4.996618582405664398e-19 8.455349279538022333e-23
5.260643556943698053e-19 8.424460705049052418e-23
5.538619803933314150e-19 8.393623752126275738e-23
5.831284518798393967e-19 8.362813244312943388e-23
6.139413850907327466e-19 8.332105302621979962e-23
6.463824961927898658e-19 8.301464168695062923e-23
6.805378192947109751e-19 8.270893507673609045e-23
7.164979346103258006e-19 8.240396135535943243e-23
7.543582086781058596e-19 8.209963098294668608e-23
7.942190472740544162e-19 8.179620711004829062e-23
8.361861616886973141e-19 8.149356473739203315e-23
8.803708490743445367e-19 8.119171523907640433e-23
9.268902876061056033e-19 8.089061815085669885e-23
9.758678472394304913e-19 8.059038745346352861e-23
1.027433416888299229e-18 8.029096745344366097e-23
1.081723748891757462e-18 7.999236247507501054e-23
1.138882821682306055e-18 7.969457569639537510e-23
1.199062221617951528e-18 7.939759193813658765e-23
1.262421544990553211e-18 7.910145009797383415e-23
1.329128821276571777e-18 7.880612936705292660e-23
1.399360958752702944e-18 7.851163008414620000e-23
1.473304213658165459e-18 7.821795235102542794e-23
1.551154684147867075e-18 7.792508997357691869e-23
1.633118830346416016e-18 7.763305569263488951e-23
1.719414021882166599e-18 7.734184128764430750e-23
1.810269114353365437e-18 7.705144588674306978e-23
1.905925056255180436e-18 7.676186836718274991e-23
2.006635527977216028e-18 7.647310546850588124e-23
2.112667614566107112e-18 7.618516053040261076e-23
2.224302514037376628e-18 7.589802979474940250e-23
2.341836283115032029e-18 7.561171200668758170e-23
2.465580622376563155e-18 7.532620491481334236e-23
2.595863702885584199e-18 7.504150921937575750e-23
2.733031036504348784e-18 7.475762240628762435e-23
2.877446392194213825e-18 7.447454288880831663e-23
3.029492760734084278e-18 7.419226923451419040e-23
3.189573370415293778e-18 7.391079956622227616e-23
3.358112756406536823e-18 7.363013318520481393e-23
