# MPBH  fPBH
1.201742002150174884e+21 0.000000000000000000e+00
1.074191919312787079e+21 0.000000000000000000e+00
9.601797036737795195e+20 0.000000000000000000e+00
8.582684777007821619e+20 0.000000000000000000e+00
7.671738706789890785e+20 0.000000000000000000e+00
6.857478319945618555e+20 0.000000000000000000e+00
6.129641624382283448e+20 0.000000000000000000e+00
5.479055811824692101e+20 0.000000000000000000e+00
4.897521654394471711e+20 0.000000000000000000e+00
4.377710171065911869e+20 0.000000000000000000e+00
3.913070261702277202e+20 0.000000000000000000e+00
3.497746144599251354e+20 0.000000000000000000e+00
3.126503557014270116e+20 0.000000000000000000e+00
2.794663788598883779e+20 0.000000000000000000e+00
2.498044716368200663e+20 0.000000000000000000e+00
2.232908098080604815e+20 0.000000000000000000e+00
1.995912459774821663e+20 0.000000000000000000e+00
1.784070983713441055e+20 0.000000000000000000e+00
1.594713866001587896e+20 0.000000000000000000e+00
1.425454669479791985e+20 0.000000000000000000e+00
1.274160247842053489e+20 0.000000000000000000e+00
1.138923861937612227e+20 0.000000000000000000e+00
1.018041149445495685e+20 0.000000000000000000e+00
9.099886450715865907e+19 0.000000000000000000e+00
8.134045805616598221e+19 0.000000000000000000e+00
7.270717225560983962e+19 0.000000000000000000e+00
6.499020319945436365e+19 0.000000000000000000e+00
5.809229517354086400e+19 0.000000000000000000e+00
5.192651495753642803e+19 0.000000000000000000e+00
4.641515621960414003e+19 0.000000000000000000e+00
4.148876019605826765e+19 0.000000000000000000e+00
3.708524031378786714e+19 0.000000000000000000e+00
3.314909972320795443e+19 0.000000000000000000e+00
2.963073188043070669e+19 0.000000000000000000e+00
2.648579536400772301e+19 0.000000000000000000e+00
2.367465504716031590e+19 0.000000000000000000e+00
2.116188258268043674e+19 0.000000000000000000e+00
1.891580990519516774e+19 0.000000000000000000e+00
1.690813012365549158e+19 0.000000000000000000e+00
1.511354077416211251e+19 0.000000000000000000e+00
1.350942493710101299e+19 0.000000000000000000e+00
1.207556619976000717e+19 0.000000000000000000e+00
1.079389387214567629e+19 0.000000000000000000e+00
9.648255244997064704e+18 0.000000000000000000e+00
8.624212019800841216e+18 0.000000000000000000e+00
7.708858345247882240e+18 0.000000000000000000e+00
6.890658166874505216e+18 0.000000000000000000e+00
6.159299840031959040e+18 0.000000000000000000e+00
5.505566173895026688e+18 0.000000000000000000e+00
4.921218268695258112e+18 0.000000000000000000e+00
4.398891682198455808e+18 0.000000000000000000e+00
3.932003616829003776e+18 0.000000000000000000e+00
3.514669957735698944e+18 0.000000000000000000e+00
3.141631116242960384e+18 0.000000000000000000e+00
2.808185744104565760e+18 0.000000000000000000e+00
2.510131483171320832e+18 0.000000000000000000e+00
2.243712003750291456e+18 0.000000000000000000e+00
2.005569664188606976e+18 0.000000000000000000e+00
1.792703195058204160e+18 0.000000000000000000e+00
1.602429874642176000e+18 0.000000000000000000e+00
1.432351719026397952e+18 0.000000000000000000e+00
1.280325260695734784e+18 0.000000000000000000e+00
1.144434534759259264e+18 0.000000000000000000e+00
1.022966932354305536e+18 0.000000000000000000e+00
9.143916169136837120e+17 0.000000000000000000e+00
8.173402312797657600e+17 0.000000000000000000e+00
7.305896525203208960e+17 0.000000000000000000e+00
6.530465771078163200e+17 0.000000000000000000e+00
5.837337421917213440e+17 0.000000000000000000e+00
5.217776093126874880e+17 0.000000000000000000e+00
4.663973553384982400e+17 0.000000000000000000e+00
4.168950318762864000e+17 0.000000000000000000e+00
3.726467691417111040e+17 0.000000000000000000e+00
3.330949134288654080e+17 0.000000000000000000e+00
2.977409990907241600e+17 0.000000000000000000e+00
2.661394664571310080e+17 0.000000000000000000e+00
2.378920465182687360e+17 0.000000000000000000e+00
2.126427416046767360e+17 0.000000000000000000e+00
1.900733388061413440e+17 0.000000000000000000e+00
1.698993995858055680e+17 0.000000000000000000e+00
1.518666750472454080e+17 0.000000000000000000e+00
1.357479016767078240e+17 0.000000000000000000e+00
1.213399371777671520e+17 0.000000000000000000e+00
1.084612003017856480e+17 0.000000000000000000e+00
9.694938240877464000e+16 0.000000000000000000e+00
8.665940191783108800e+16 0.000000000000000000e+00
7.746157586741350400e+16 0.000000000000000000e+00
6.923998554193173600e+16 0.000000000000000000e+00
6.189101556690271200e+16 0.000000000000000000e+00
5.532204806112854400e+16 0.000000000000000000e+00
4.945029538850365600e+16 0.000000000000000000e+00
4.420175679881339200e+16 0.000000000000000000e+00
3.951028580823536000e+16 0.000000000000000000e+00
3.531675656589179600e+16 0.000000000000000000e+00
3.156831870030371600e+16 0.000000000000000000e+00
2.821773125469860800e+16 0.000000000000000000e+00
2.522276731686481600e+16 0.000000000000000000e+00
2.254568184020006800e+16 0.000000000000000000e+00
2.015273594898743600e+16 0.000000000000000000e+00
1.801377173279610800e+16 0.000000000000000000e+00
1.610183217120893800e+16 0.000000000000000000e+00
1.439282139884953200e+16 0.000000000000000000e+00
1.286520102908436600e+16 0.000000000000000000e+00
1.149971870921593400e+16 0.000000000000000000e+00
1.027916548619242400e+16 0.000000000000000000e+00
9.188158924952820000e+15 0.000000000000000000e+00
8.212949246083361000e+15 0.000000000000000000e+00
7.341246039569086000e+15 0.000000000000000000e+00
6.562063370742249000e+15 0.000000000000000000e+00
5.865581326322741000e+15 0.000000000000000000e+00
5.243022255637611000e+15 0.000000000000000000e+00
4.686540147307946000e+15 0.000000000000000000e+00
4.189121747235107000e+15 0.000000000000000000e+00
3.744498171692509500e+15 0.000000000000000000e+00
3.347065901596868000e+15 0.000000000000000000e+00
2.991816162262613000e+15 0.000000000000000000e+00
2.674271798623782000e+15 0.000000000000000000e+00
2.390430850372129000e+15 0.000000000000000000e+00
2.136716115897940000e+15 0.000000000000000000e+00
1.909930069396166750e+15 0.000000000000000000e+00
1.707214562965315250e+15 0.000000000000000000e+00
1.526014805831247000e+15 0.000000000000000000e+00
1.364047166731845500e+15 0.000000000000000000e+00
1.219270393681178000e+15 0.000000000000000000e+00
1.089859888400549375e+15 0.000000000000000000e+00
9.741847112011888750e+14 0.000000000000000000e+00
8.707870265148725000e+14 0.000000000000000000e+00
7.783637300277996250e+14 0.000000000000000000e+00
6.957500258674811250e+14 0.000000000000000000e+00
6.219047468685515000e+14 0.000000000000000000e+00
5.558972329112123750e+14 0.000000000000000000e+00
4.968956019621113125e+14 0.000000000000000000e+00
4.441562659994820625e+14 0.000000000000000000e+00
3.970145596934564375e+14 0.000000000000000000e+00
3.548763637363003750e+14 0.000000000000000000e+00
3.172106172527728125e+14 0.000000000000000000e+00
2.835426249257193750e+14 0.000000000000000000e+00
2.534480744876908438e+14 0.000000000000000000e+00
2.265476891819923438e+14 0.000000000000000000e+00
2.025024477989996562e+14 0.000000000000000000e+00
1.810093120466320625e+14 0.000000000000000000e+00
1.617974074077183438e+14 0.000000000000000000e+00
1.446246093522251250e+14 0.000000000000000000e+00
1.292744918809246094e+14 0.000000000000000000e+00
1.155535999434949844e+14 0.000000000000000000e+00
1.032890113557780781e+14 0.000000000000000000e+00
