# k_modes P_scalar P_tensor
4.5675673068762243e-05 2.7199392305680399e-09 9.5289320568241728e-12
4.8641450068142650e-05 2.7140508351029739e-09 9.5286636837795028e-12
5.1799798574828650e-05 2.7081676125106835e-09 9.5283903828928029e-12
5.5163222490979552e-05 2.7022909334454149e-09 9.5281169511200093e-12
5.8745037612327790e-05 2.6964203482363155e-09 9.5278417978569476e-12
6.2559424345416250e-05 2.6905559669066902e-09 9.5275652952073738e-12
6.6621483847830113e-05 2.6846993854156662e-09 9.5272930932310515e-12
7.0947297813680777e-05 2.6788474362781776e-09 9.5270139822517075e-12
7.5553992141036170e-05 2.6730034476938776e-09 9.5267397677659123e-12
8.0459804733352394e-05 2.6671654673214141e-09 9.5264635229740244e-12
8.5684157703336408e-05 2.6613333615687720e-09 9.5261847361136243e-12
9.1247734265093350e-05 2.6555096683725243e-09 9.5259125039022593e-12
9.7172560618972913e-05 2.6496887494652325e-09 9.5256266114339130e-12
1.0348209315330000e-04 2.6438771015934436e-09 9.5253503660029199e-12
1.1020131130821945e-04 2.6380711291720808e-09 9.5250708866765837e-12
1.1735681646930253e-04 2.6322705248931033e-09 9.5247869868145639e-12
1.2497693728243621e-04 2.6264771266797748e-09 9.5245053288980195e-12
1.3309184180693555e-04 2.6206913828057358e-09 9.5242275697811801e-12
1.4173365695089517e-04 2.6149103785668662e-09 9.5239431084830390e-12
1.5093659566162233e-04 2.6091379131173074e-09 9.5236657707907900e-12
1.6073709237470011e-04 2.6033697454935901e-09 9.5233801073890520e-12
1.7117394725792208e-04 2.5976085554328549e-09 9.5230958635606941e-12
1.8228847982116272e-04 2.5918540872412477e-09 9.5228121438838568e-12
1.9412469250032211e-04 2.5861049000482001e-09 9.5225236340473802e-12
2.0672944486297497e-04 2.5803630596733782e-09 9.5222379025424164e-12
2.2015263912540591e-04 2.5746277061879954e-09 9.5219518240353584e-12
2.3444741771549001e-04 2.5688988154486949e-09 9.5216652749102500e-12
2.4967037366357102e-04 2.5631765441089206e-09 9.5213788909725346e-12
2.6588177465427750e-04 2.5574600455804017e-09 9.5210894618254082e-12
2.8314580162629361e-04 2.5517508611199613e-09 9.5208027551158531e-12
3.0153080286470299e-04 2.5460462510835383e-09 9.5205085650302572e-12
3.2110956459186022e-04 2.5403501155661125e-09 9.5202214250893589e-12
3.4195959912805378e-04 2.5346590618607978e-09 9.5199286482490499e-12
3.6416345176279268e-04 2.5289749981229301e-09 9.5196373735705282e-12
3.8780902755161889e-04 2.5232972374420861e-09 9.5193450446996138e-12
4.1298993933223255e-04 2.5176251582902235e-09 9.5190492850224607e-12
4.3980587833773114e-04 2.5119611153902694e-09 9.5187590251539299e-12
4.6836300887421361e-04 2.5063027982349926e-09 9.5184655025864138e-12
4.9877438862528083e-04 2.5006503542691020e-09 9.5181692854143110e-12
5.3116041624742274e-04 2.4950034160696382e-09 9.5178689405249602e-12
5.6564930802831433e-04 2.4893652968848695e-09 9.5175770995531757e-12
6.0237760549511398e-04 2.4837328339035241e-09 9.5172816992352273e-12
6.4149071598239066e-04 2.4781056518691520e-09 9.5169813088716531e-12
6.8314348829977940e-04 2.4724857472602321e-09 9.5166835485156533e-12
7.2750082577843691e-04 2.4668723733181322e-09 9.5163855965110288e-12
7.7473833912335870e-04 2.4612657582554114e-09 9.5160882833025955e-12
8.2504304165617463e-04 2.4556645770674258e-09 9.5157865440050818e-12
8.7861408970091792e-04 2.4500683445578996e-09 9.5154783925894638e-12
9.3566357104394454e-04 2.4444826319820531e-09 9.5151855400347316e-12
9.9641734458949592e-04 2.4389002640766611e-09 9.5148800964860132e-12
1.0611159345351405e-03 2.4333249117970691e-09 9.5145762841034836e-12
1.1300154826071017e-03 2.4277565216099918e-09 9.5142739449761362e-12
1.2033887621253809e-03 2.4221946756089320e-09 9.5139714069193784e-12
1.2815262579133760e-03 2.4166386075284690e-09 9.5136657023518887e-12
1.3647373163273321e-03 2.4110887111792965e-09 9.5133583533464040e-12
1.4533513699586027e-03 2.4055450109035750e-09 9.5130494634486229e-12
1.5477192418573310e-03 2.4000091808094706e-09 9.5127456167601346e-12
1.6482145344409492e-03 2.3944779251342232e-09 9.5124337697093817e-12
1.7552351085861927e-03 2.3889544605265138e-09 9.5121267242539513e-12
1.8692046587603741e-03 2.3834365730237509e-09 9.5118156218333653e-12
1.9905743904278322e-03 2.3779257528030584e-09 9.5115064374842178e-12
2.1198248063724161e-03 2.3724210635135817e-09 9.5111954110212671e-12
2.2574676090080926e-03 2.3669230192038140e-09 9.5108846014510297e-12
2.4040477262088438e-03 2.3614312798235410e-09 9.5105726279048675e-12
2.5601454686782149e-03 2.3559463338972547e-09 9.5102615211979915e-12
2.7263788273994586e-03 2.3504668799742943e-09 9.5099459386571832e-12
2.9034059202619135e-03 2.3449942138940761e-09 9.5096311762365648e-12
3.0919275975498295e-03 2.3395275909203690e-09 9.5093141675931974e-12
3.2926902166087301e-03 2.3340695117944427e-09 9.5090050881965952e-12
3.5064885966742329e-03 2.3286161986517405e-09 9.5086886007694334e-12
3.7341691655615292e-03 2.3231681548343973e-09 9.5083667177732198e-12
3.9766333106732070e-03 2.3177283564080519e-09 9.5080515920459776e-12
4.2348409475920848e-03 2.3122933446506593e-09 9.5077290686267218e-12
4.5098143203871595e-03 2.3068656013068210e-09 9.5074092998413899e-12
4.8026420486779915e-03 2.3014452788831277e-09 9.5070929758404455e-12
5.1144834374799364e-03 2.2960303777449894e-09 9.5067717905223218e-12
5.4465730668928304e-03 2.2906218358715660e-09 9.5064496577364461e-12
5.8002256798038070e-03 2.2852193024042425e-09 9.5061250797049884e-12
6.1768413869545428e-03 2.2798244956659676e-09 9.5058052333381994e-12
6.5779112099798535e-03 2.2744347444115709e-09 9.5054789853924967e-12
7.0050229843625824e-03 2.2690518113408256e-09 9.5051536583186131e-12
7.4598676456744612e-03 2.2636757202044126e-09 9.5048293831203009e-12
7.9442459239902827e-03 2.2583058377412852e-09 9.5045034830651682e-12
8.4600754729784698e-03 2.2529418296004916e-09 9.5041745590325559e-12
9.0093984618922571e-03 2.2475850176546045e-09 9.5038481492687460e-12
9.5943896605180101e-03 2.2422334789303316e-09 9.5035161960927947e-12
1.0217365049089072e-02 2.2368890613444879e-09 9.5031864416264058e-12
1.0880790987251877e-02 2.2315521100823912e-09 9.5028603999189747e-12
1.1587293978384070e-02 2.2262201248733117e-09 9.5025274298938901e-12
1.2339671067921764e-02 2.2208957590006262e-09 9.5021988354275420e-12
1.3140900916862736e-02 2.2155763714520102e-09 9.5018633075713448e-12
1.3994155594285792e-02 2.2102642289906281e-09 9.5015305881294309e-12
1.4902813135572641e-02 2.2049580097939975e-09 9.5011949674191921e-12
1.5870470916050369e-02 2.1996591270968610e-09 9.5008625389332473e-12
1.6900959893000930e-02 2.1943662752701896e-09 9.5005276972981183e-12
1.7998359772421476e-02 2.1890790856820654e-09 9.5001887841093146e-12
