# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 6.299999999999999822e+00 -1.905677479772665411e-02 6.800309120408445191e-06 1.000000000000000000e+00 6.800309120408445191e-06 1.815803328456348765e-04 1.815803328463631080e-04
1.000100010001000149e-02 6.299809413046136619e+00 -1.905681884561201758e-02 6.800296771141719801e-06 1.010051177235855357e+00 6.868647759244880510e-06 1.815811722572366815e-04 -2.783646259728709432e-04
2.000200020002000298e-02 6.299618825217734752e+00 -1.905694925842932666e-02 6.800284421784088294e-06 1.020203380635537282e+00 6.937673156387306779e-06 1.815836575191750383e-04 -7.247814645810711758e-04
3.000300030003000273e-02 6.299428235663816267e+00 -1.905716349785574124e-02 6.800272072225267827e-06 1.030457625630923912e+00 7.007392213189532566e-06 1.815877402920026474e-04 -1.158066276503563231e-03
4.000400040004000596e-02 6.299237643558407207e+00 -1.905745910097809970e-02 6.800259722358218847e-06 1.040814937860179201e+00 7.077811900359349272e-06 1.815933736927264968e-04 -1.578603783427946034e-03
5.000500050005000918e-02 6.299047048099801316e+00 -1.905783367805324521e-02 6.800247372079037516e-06 1.051276353270337527e+00 7.148939258655446977e-06 1.816005122501702289e-04 -1.986767648447001350e-03
6.000600060006000547e-02 6.298856448509849493e+00 -1.905828491038666361e-02 6.800235021286873551e-06 1.061842918220921472e+00 7.220781399591364035e-06 1.816091118627360089e-04 -2.382920773236359233e-03
7.000700070007001563e-02 6.298665844033207506e+00 -1.905881054805246000e-02 6.800222669883821800e-06 1.072515689588597887e+00 7.293345506146463664e-06 1.816191297532778620e-04 -2.767415622984222869e-03
8.000800080008001192e-02 6.298475233936695616e+00 -1.905940840796317357e-02 6.800210317774847709e-06 1.083295734872888438e+00 7.366638833484101838e-06 1.816305244307686486e-04 -3.140594498236636001e-03
9.000900090009000820e-02 6.298284617508682182e+00 -1.906007637201739477e-02 6.800197964867697532e-06 1.094184132302942203e+00 7.440668709676994965e-06 1.816432556535678910e-04 -3.502789796544848819e-03
1.000100010001000184e-01 6.298093994058419298e+00 -1.906081238508363501e-02 6.800185611072817015e-06 1.105181970945379621e+00 7.515442536439866966e-06 1.816572843896788517e-04 -3.854324302281818184e-03
1.100110011001100146e-01 6.297903362915397096e+00 -1.906161445307150495e-02 6.800173256303267544e-06 1.116290350813223586e+00 7.590967789869475699e-06 1.816725727787722386e-04 -4.195511464486620032e-03
1.200120012001200109e-01 6.297712723428734449e+00 -1.906248064108500076e-02 6.800160900474644827e-06 1.127510382975922543e+00 7.667252021192060243e-06 1.816890840958702022e-04 -4.526655663594496282e-03
1.300130013001300211e-01 6.297522074966592776e+00 -1.906340907165180246e-02 6.800148543505000120e-06 1.138843189670480704e+00 7.744302857518307298e-06 1.817067827165681120e-04 -4.848052467882180312e-03
1.400140014001400313e-01 6.297331416915610269e+00 -1.906439792302236022e-02 6.800136185314771619e-06 1.150289904413705599e+00 7.822128002605909530e-06 1.817256340836696435e-04 -5.159988880308805786e-03
1.500150015001500137e-01 6.297140748680359223e+00 -1.906544542753269705e-02 6.800123825826710766e-06 1.161851672115582934e+00 7.900735237629778564e-06 1.817456046751137204e-04 -5.462743577094838002e-03
1.600160016001600238e-01 6.296950069682820228e+00 -1.906654987002473836e-02 6.800111464965811099e-06 1.173529649193791435e+00 7.980132421960007473e-06 1.817666619730701715e-04 -5.756587138258667177e-03
1.700170017001700340e-01 6.296759379361879461e+00 -1.906770958631807955e-02 6.800099102659251503e-06 1.185325003689369439e+00 8.060327493947654775e-06 1.817887744340831882e-04 -6.041782271532803068e-03
1.800180018001800164e-01 6.296568677172833972e+00 -1.906892296172696746e-02 6.800086738836320818e-06 1.197238915383542324e+00 8.141328471718405836e-06 1.818119114601389832e-04 -6.318584030384020306e-03
1.900190019001900266e-01 6.296377962586911181e+00 -1.907018842961644145e-02 6.800074373428364484e-06 1.209272575915725456e+00 8.223143453974231950e-06 1.818360433705383875e-04 -6.587240026842662056e-03
2.000200020002000367e-01 6.296187235090806134e+00 -1.907150446999143420e-02 6.800062006368720161e-06 1.221427188902713956e+00 8.305780620803094553e-06 1.818611413744516275e-04 -6.847990640420651386e-03
2.100210021002100191e-01 6.295996494186217873e+00 -1.907286960811271914e-02 6.800049637592656745e-06 1.233703970059067734e+00 8.389248234496786018e-06 1.818871775440349093e-04 -7.101069223610928169e-03
2.200220022002200293e-01 6.295805739389396471e+00 -1.907428241313353229e-02 6.800037267037321001e-06 1.246104147318709776e+00 8.473554640376990073e-06 1.819141247879875944e-04 -7.346702305179764365e-03
2.300230023002300395e-01 6.295614970230702490e+00 -1.907574149675075881e-02 6.800024894641673195e-06 1.258628960957744569e+00 8.558708267629644827e-06 1.819419568254294331e-04 -7.585109792076891524e-03
2.400240024002400219e-01 6.295424186254153121e+00 -1.907724551186454343e-02 6.800012520346433727e-06 1.271279663718511310e+00 8.644717630147681259e-06 1.819706481599779407e-04 -7.816505170747325634e-03
2.500250025002500598e-01 6.295233387016986981e+00 -1.907879315124011432e-02 6.800000144094022142e-06 1.284057520934884788e+00 8.731591327382228653e-06 1.820001740539033488e-04 -8.041095709008344930e-03
2.600260026002600422e-01 6.295042572089211141e+00 -1.908038314616580799e-02 6.799987765828506316e-06 1.296963810658834371e+00 8.819338045202393693e-06 1.820305105022441191e-04 -8.259082659140373414e-03
2.700270027002700246e-01 6.294851741053160588e+00 -1.908201426510100149e-02 6.799975385495533837e-06 1.309999823788256856e+00 8.907966556763633560e-06 1.820616342067590669e-04 -8.470661463417791109e-03
