# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 6.2999999999999998e+00 -1.9056774797726654e-02 6.8003091204084452e-06 1.0000000000000000e+00 6.8003091204084452e-06 1.8158033284563488e-04 -4.9536847487451833e-05
1.0001000100010001e-02 6.2998094130461366e+00 -1.9056818845612018e-02 6.8002967711417198e-06 1.0100511772358554e+00 6.8686477592448805e-06 1.8158117225723668e-04 -2.7611131570528846e-04
2.0002000200020003e-02 6.2996188252177348e+00 -1.9056949258429327e-02 6.8002844217840883e-06 1.0202033806355373e+00 6.9376731563873068e-06 1.8158365751917504e-04 -7.2259511166609990e-04
3.0003000300030003e-02 6.2994282356638163e+00 -1.9057163497855741e-02 6.8002720722252678e-06 1.0304576256309239e+00 7.0073922131895326e-06 1.8158774029200265e-04 -1.1559449008409892e-03
4.0004000400040006e-02 6.2992376435584072e+00 -1.9057459100978100e-02 6.8002597223582188e-06 1.0408149378601792e+00 7.0778119003593493e-06 1.8159337369272650e-04 -1.5765454630044561e-03
5.0005000500050009e-02 6.2990470480998013e+00 -1.9057833678053245e-02 6.8002473720790375e-06 1.0512763532703375e+00 7.1489392586554470e-06 1.8160051225017023e-04 -1.9847706545080483e-03
6.0006000600060005e-02 6.2988564485098495e+00 -1.9058284910386664e-02 6.8002350212868736e-06 1.0618429182209215e+00 7.2207813995913640e-06 1.8160911186273601e-04 -2.3809832641319317e-03
7.0007000700070016e-02 6.2986658440332075e+00 -1.9058810548052460e-02 6.8002226698838218e-06 1.0725156895885979e+00 7.2933455061464637e-06 1.8161912975327786e-04 -2.7655354786594285e-03
8.0008000800080012e-02 6.2984752339366956e+00 -1.9059408407963174e-02 6.8002103177748477e-06 1.0832957348728884e+00 7.3666388334841018e-06 1.8163052443076865e-04 -3.1387699713389446e-03
9.0009000900090008e-02 6.2982846175086822e+00 -1.9060076372017395e-02 6.8001979648676975e-06 1.0941841323029422e+00 7.4406687096769950e-06 1.8164325565356789e-04 -3.5010196449314383e-03
1.0001000100010002e-01 6.2980939940584193e+00 -1.9060812385083635e-02 6.8001856110728170e-06 1.1051819709453796e+00 7.5154425364398670e-06 1.8165728438967885e-04 -3.8526074020569421e-03
1.1001100110011001e-01 6.2979033629153971e+00 -1.9061614453071505e-02 6.8001732563032675e-06 1.1162903508132236e+00 7.5909677898694757e-06 1.8167257277877224e-04 -4.1938465624776254e-03
1.2001200120012001e-01 6.2977127234287344e+00 -1.9062480641085001e-02 6.8001609004746448e-06 1.1275103829759225e+00 7.6672520211920602e-06 1.8168908409587020e-04 -4.5250412523890234e-03
1.3001300130013002e-01 6.2975220749665928e+00 -1.9063409071651802e-02 6.8001485435050001e-06 1.1388431896704807e+00 7.7443028575183073e-06 1.8170678271656811e-04 -4.8464867632577882e-03
1.4001400140014003e-01 6.2973314169156103e+00 -1.9064397923022360e-02 6.8001361853147716e-06 1.1502899044137056e+00 7.8221280026059095e-06 1.8172563408366964e-04 -5.1584698798989364e-03
1.5001500150015001e-01 6.2971407486803592e+00 -1.9065445427532697e-02 6.8001238258267108e-06 1.1618516721155829e+00 7.9007352376297786e-06 1.8174560467511372e-04 -5.4612691778976484e-03
1.6001600160016002e-01 6.2969500696828202e+00 -1.9066549870024738e-02 6.8001114649658111e-06 1.1735296491937914e+00 7.9801324219600075e-06 1.8176666197307017e-04 -5.7551552901813872e-03
1.7001700170017003e-01 6.2967593793618795e+00 -1.9067709586318080e-02 6.8000991026592515e-06 1.1853250036893694e+00 8.0603274939476548e-06 1.8178877443408319e-04 -6.0403911426560293e-03
1.8001800180018002e-01 6.2965686771728340e+00 -1.9068922961726967e-02 6.8000867388363208e-06 1.1972389153835423e+00 8.1413284717184058e-06 1.8181191146013898e-04 -6.3172321588512454e-03
