# f_hz  Omega_gw
7.061330112843939847e-20 2.274648020982611678e-23
7.468806407853070307e-20 2.375215636912416910e-23
7.899796251774518283e-20 2.616477687172019249e-23
8.355656501410075541e-20 3.256513332635347361e-23
8.837822311413863493e-20 4.114298325437826602e-23
9.347811652494757949e-20 4.956491065749078322e-23
9.887230090343122034e-20 5.888411726691190199e-23
1.045777584032693394e-19 6.536962884332852692e-23
1.106124511387095329e-19 7.103871367768196422e-23
1.169953777335019121e-19 7.576348404805468355e-23
1.237466331330092272e-19 7.992305600370505126e-23
1.308874718677932462e-19 8.314190878077856752e-23
1.384403749678467705e-19 8.546420359205861306e-23
1.464291207381325029e-19 8.706688203236918672e-23
1.548788596182469093e-19 8.814012255515240823e-23
1.638161933618842790e-19 8.871149457837402157e-23
1.732692587853779957e-19 8.891563584029104509e-23
1.832678163489768555e-19 8.888661817739838577e-23
1.938433438497325077e-19 8.873728287893022071e-23
2.050291355209648298e-19 8.850058337537773183e-23
2.168604068502923823e-19 8.823503043169768794e-23
2.293744054462227515e-19 8.794998392312171987e-23
2.426105283023324658e-19 8.765117872641709016e-23
2.566104458282145073e-19 8.734246605709899030e-23
2.714182330376713084e-19 8.702655530853335454e-23
2.870805083071636392e-19 8.670540961436504557e-23
3.036465801413592673e-19 8.638048032371194098e-23
3.211686024078360117e-19 8.605285628493358588e-23
3.397017385296507492e-19 8.572336311163893134e-23
3.593043351526935875e-19 8.539263190773108936e-23
3.800381058345706437e-19 8.506209298793347048e-23
4.019683253333147028e-19 8.473003698201888585e-23
4.251640351075851906e-19 8.439793891689307172e-23
4.496982606753227833e-19 8.406601757796183580e-23
4.756482415151550410e-19 8.373444376987652077e-23
5.030956742343350688e-19 8.340335163976631541e-23
5.321269697687636131e-19 8.307284651283717822e-23
5.628335254248175115e-19 8.274301109945037380e-23
5.953120126194440495e-19 8.241391019758928141e-23
6.296646812243825162e-19 8.208559465412673952e-23
6.659996814726696564e-19 8.175810440965027541e-23
7.044314044408581699e-19 8.143147078024729152e-23
7.450808421788759906e-19 8.110577680690842067e-23
7.880759686212873113e-19 8.078091286683965935e-23
8.335521424791616343e-19 8.045696611952426958e-23
8.816525333809457753e-19 8.013394741775136709e-23
9.325285726039292946e-19 7.981186501922883557e-23
9.863404298153140933e-19 7.949072510614126199e-23
1.043257517323773759e-18 7.917053229332517230e-23
1.103459023429017245e-18 7.885128969117085083e-23
1.167134476548453778e-18 7.853299950842852698e-23
1.234484341896959326e-18 7.821566309534539739e-23
1.305720652598253950e-18 7.789928104449434741e-23
1.381067677214747926e-18 7.758385815005661764e-23
1.460762625797414449e-18 7.726938364720988378e-23
1.545056396678494986e-18 7.695586293465609039e-23
1.634214366358112802e-18 7.664329507068977416e-23
1.728517224971545768e-18 7.633167882246287482e-23
1.828261859967404630e-18 7.602101281011357865e-23
1.933762290778730452e-18 7.571129565743793997e-23
2.045350657429604530e-18 7.540252597346387790e-23
2.163378266189600351e-18 7.509470222592777058e-23
2.288216695568054228e-18 7.478782265240245074e-23
2.420258966130106546e-18 7.448188552301793620e-23
2.559920777817329419e-18 7.417688908771799753e-23
2.707641818668341699e-18 7.387283176260797430e-23
2.863887149059560190e-18 7.356971105522344741e-23
3.029148665824007400e-18 7.326752550620250959e-23
3.203946650857556729e-18 7.296627322684676658e-23
3.388831409087978485e-18 7.266595235526358569e-23
3.584385000963546963e-18 7.236656113261996769e-23
3.791223074915413697e-18 7.206809766291046911e-23
4.009996805562809159e-18 7.177055998994561699e-23
4.241394943763021802e-18 7.147394605334284629e-23
4.486145984960125942e-18 7.117825405621993376e-23
4.745020462658976876e-18 7.088348214535618595e-23
5.018833374244849320e-18 7.058962839875194733e-23
5.308446746785767081e-18 7.029669099523954000e-23
5.614772350895269367e-18 7.000466792567817248e-23
5.938774571199500412e-18 6.971355745808037409e-23
6.281473442445473994e-18 6.942335755733334640e-23
6.643947860808996357e-18 6.913406637816137418e-23
7.027338980512080913e-18 6.884568189088234888e-23
7.432853806443232531e-18 6.855820214473689965e-23
7.861768994091102626e-18 6.827162533289058613e-23
8.315434868754438941e-18 6.798594957027084990e-23
8.795279676681873074e-18 6.770117298214600336e-23
9.302814081525049430e-18 6.741729358730701089e-23
9.839635920261025040e-18 6.713430948623025672e-23
1.040743523355669278e-17 6.685221891424253302e-23
1.100799958641190960e-17 6.657102004118582828e-23
1.164321969583215314e-17 6.629071092684822386e-23
1.231509538324768617e-17 6.601128960762808490e-23
1.302574187041903862e-17 6.573275418900455852e-23
1.377739643864968318e-17 6.545510282008364249e-23
1.457242547227065503e-17 6.517833364380944020e-23
1.541333190857179843e-17 6.490244482180853941e-23
1.630276311763353648e-17 6.462743447681914200e-23
1.724351923686691365e-17 6.435330064043134750e-23
1.823856198650088068e-17 6.408004139891303429e-23
1.929102399377001787e-17 6.380765485821246575e-23
2.040421865515766089e-17 6.353613927738369352e-23
2.158165056774265679e-17 6.326549296407340167e-23
2.282702656249043986e-17 6.299571398704446517e-23
