# k  Ps  Pt
4.567483902227645001e-05 2.693003513691643203e-09 9.345422779348291746e-12
4.808833174800140225e-05 2.688253100711309827e-09 9.345206710118101560e-12
5.062935523818709154e-05 2.683506921284781788e-09 9.344990333185678705e-12
5.330464831400752343e-05 2.678764978102738653e-09 9.344773650748667583e-12
5.612130588099838012e-05 2.674027041022728349e-09 9.344555856450322051e-12
5.908679774482113249e-05 2.669293578636642378e-09 9.344338598174828145e-12
6.220898842126691068e-05 2.664564152723401413e-09 9.344120331384591698e-12
6.549615799303504791e-05 2.659839013376045981e-09 9.343901936373400309e-12
6.895702406860078804e-05 2.655118078865517609e-09 9.343683121569928592e-12
7.260076490140472336e-05 2.650401169887026887e-09 9.343463253594000515e-12
7.643704373067763502e-05 2.645688666042729755e-09 9.343243671368726569e-12
8.047603440845401161e-05 2.640980501299539897e-09 9.343024152414562301e-12
8.472844838073476873e-05 2.636276435915007610e-09 9.342803848157125540e-12
8.920556309435491394e-05 2.631576532351352476e-09 9.342582940373230074e-12
9.391925190489279864e-05 2.626880853525326510e-09 9.342361692889052966e-12
9.888201556493407291e-05 2.622189265516331466e-09 9.342139612029662795e-12
1.041070153761999720e-04 2.617502008908157747e-09 9.341917560897600953e-12
1.096081080934584715e-04 2.612818993645482079e-09 9.341695208004377709e-12
1.153998826727846601e-04 2.608140414342117140e-09 9.341473274044217088e-12
1.214976989616269048e-04 2.603465649718081715e-09 9.341249479014777755e-12
1.279177284332840849e-04 2.598795454929517056e-09 9.341026599104340999e-12
1.346769970738242170e-04 2.594129156929810378e-09 9.340802159409053020e-12
1.417934305351798839e-04 2.589467039483343196e-09 9.340577193872773278e-12
1.492859016741661631e-04 2.584809406537832184e-09 9.340352804550753810e-12
1.571742806034967337e-04 2.580155770596498434e-09 9.340127246728844125e-12
1.654794873875335226e-04 2.575506492605972352e-09 9.339901798342997336e-12
1.742235475225176829e-04 2.570861602716591459e-09 9.339676592836784825e-12
1.834296503484197656e-04 2.566220744275869305e-09 9.339450318169304403e-12
1.931222105473132252e-04 2.561583987941049382e-09 9.339223210081951241e-12
2.033269328913711246e-04 2.556951355642363114e-09 9.338995376094766519e-12
2.140708804121924656e-04 2.552323227150597552e-09 9.338768205916864898e-12
2.253825461722486407e-04 2.547699225986780937e-09 9.338540303516365061e-12
2.372919288287874719e-04 2.543079344477015625e-09 9.338311638119598826e-12
2.498306121905877046e-04 2.538463786129421393e-09 9.338082979930327071e-12
2.630318489785560179e-04 2.533852309358710078e-09 9.337853401861468372e-12
