# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 6.200000000000000178e+00 -2.259257127019923678e-02 9.098272664791622313e-06 1.000000000000000000e+00 9.098272664791622313e-06 2.552121382995159861e-04 -4.009975468139196069e-05
1.000100010001000149e-02 6.199774051469477243e+00 -2.259263799542165010e-02 9.098249442556982582e-06 1.010051177235855357e+00 9.189697560240145610e-06 2.552136457960850219e-04 -3.296175336911040445e-04
2.000200020002000298e-02 6.199548101614154483e+00 -2.259283555421016595e-02 9.098226220109297124e-06 1.020203380635537282e+00 9.282041147542391299e-06 2.552181091897914671e-04 -9.001511045690698421e-04
3.000300030003000273e-02 6.199322149144853356e+00 -2.259316010896602472e-02 9.098202997183573376e-06 1.030457625630923912e+00 9.375312657985939902e-06 2.552254418546868282e-04 -1.453930807639824355e-03
4.000400040004000596e-02 6.199096192810198858e+00 -2.259360793626429692e-02 9.098179773522574207e-06 1.040814937860179201e+00 9.469521415619636787e-06 2.552355597888125043e-04 -1.991446256217607041e-03
5.000500050005000918e-02 6.198870231395499530e+00 -2.259417542345964341e-02 9.098156548876597694e-06 1.051276353270337527e+00 9.564676838185628255e-06 2.552483815330338648e-04 -2.513173259723161870e-03
6.000600060006000547e-02 6.198644263721675429e+00 -2.259485906546139164e-02 9.098133323003248417e-06 1.061842918220921472e+00 9.660788438060779370e-06 2.552638280940314284e-04 -3.019573585962976280e-03
7.000700070007001563e-02 6.198418288644113261e+00 -2.259565546126008143e-02 9.098110095667198601e-06 1.072515689588597887e+00 9.757865823207490462e-06 2.552818228619862834e-04 -3.511095840308383741e-03
8.000800080008001192e-02 6.198192305051730244e+00 -2.259656131112624047e-02 9.098086866639993296e-06 1.083295734872888438e+00 9.855918698134146099e-06 2.553022915437436311e-04 -3.988176532833416672e-03
9.000900090009000820e-02 6.197966311865999778e+00 -2.259757341364387190e-02 9.098063635699842007e-06 1.094184132302942203e+00 9.954956864865182950e-06 2.553251620925121954e-04 -4.451239516167521115e-03
1.000100010001000184e-01 6.197740308039940693e+00 -2.259868866267825474e-02 9.098040402631425570e-06 1.105181970945379621e+00 1.005499022392089346e-05 2.553503646363313286e-04 -4.900696078848893085e-03
1.100110011001100146e-01 6.197514292557159798e+00 -2.259990404447308893e-02 9.098017167225675925e-06 1.116290350813223586e+00 1.015602877530708049e-05 2.553778314096955297e-04 -5.336945453182161125e-03
1.200120012001200109e-01 6.197288264430929061e+00 -2.260121663486782187e-02 9.097993929279593156e-06 1.127510382975922543e+00 1.025808261951465281e-05 2.554074966881129775e-04 -5.760375285236376056e-03
1.300130013001300211e-01 6.197062222703298318e+00 -2.260262359662595227e-02 9.097970688596072696e-06 1.138843189670480704e+00 1.036116195852929169e-05 2.554392967253761408e-04 -6.171362066831149670e-03
1.400140014001400313e-01 6.196836166444247951e+00 -2.260412217686503730e-02 9.097947444983712204e-06 1.150289904413705599e+00 1.046527709685123118e-05 2.554731696933209032e-04 -6.570271529307313181e-03
1.500150015001500137e-01 6.196610094750864661e+00 -2.260570970457922990e-02 9.097924198256652324e-06 1.161851672115582934e+00 1.057043844252531623e-05 2.555090556238537856e-04 -6.957458998835644101e-03
1.600160016001600238e-01 6.196384006746551876e+00 -2.260738358824512795e-02 9.097900948234408967e-06 1.173529649193791435e+00 1.067665650818138785e-05 2.555468963530276049e-04 -7.333269713376102880e-03
1.700170017001700340e-01 6.196157901580257032e+00 -2.260914131350166140e-02 9.097877694741714078e-06 1.185325003689369439e+00 1.078394191208515454e-05 2.555866354669437978e-04 -7.698039100726561910e-03
1.800180018001800164e-01 6.195931778425728176e+00 -2.261098044089487891e-02 9.097854437608366549e-06 1.197238915383542324e+00 1.089230537919958893e-05 2.556282182492653800e-04 -8.052093018085531087e-03
