# N phi dphidN H a aH eps_H eta_H
0.0000000000000000e+00 6.2000000000000002e+00 -2.2592571270199237e-02 9.0982726647916223e-06 1.0000000000000000e+00 9.0982726647916223e-06 2.5521213829951599e-04 -4.0099754681391961e-05
1.0001000100010001e-02 6.1997740514694772e+00 -2.2592637995421650e-02 9.0982494425569826e-06 1.0100511772358554e+00 9.1896975602401456e-06 2.5521364579608502e-04 -3.2961753369110404e-04
2.0002000200020003e-02 6.1995481016141545e+00 -2.2592835554210166e-02 9.0982262201092971e-06 1.0202033806355373e+00 9.2820411475423913e-06 2.5521810918979147e-04 -9.0015110456906984e-04
3.0003000300030003e-02 6.1993221491448534e+00 -2.2593160108966025e-02 9.0982029971835734e-06 1.0304576256309239e+00 9.3753126579859399e-06 2.5522544185468683e-04 -1.4539308076398244e-03
4.0004000400040006e-02 6.1990961928101989e+00 -2.2593607936264297e-02 9.0981797735225742e-06 1.0408149378601792e+00 9.4695214156196368e-06 2.5523555978881250e-04 -1.9914462562176070e-03
5.0005000500050009e-02 6.1988702313954995e+00 -2.2594175423459643e-02 9.0981565488765977e-06 1.0512763532703375e+00 9.5646768381856283e-06 2.5524838153303386e-04 -2.5131732597231619e-03
6.0006000600060005e-02 6.1986442637216754e+00 -2.2594859065461392e-02 9.0981333230032484e-06 1.0618429182209215e+00 9.6607884380607794e-06 2.5526382809403143e-04 -3.0195735859629763e-03
7.0007000700070016e-02 6.1984182886441133e+00 -2.2595655461260081e-02 9.0981100956671986e-06 1.0725156895885979e+00 9.7578658232074905e-06 2.5528182286198628e-04 -3.5110958403083837e-03
8.0008000800080012e-02 6.1981923050517302e+00 -2.2596561311126240e-02 9.0980868666399933e-06 1.0832957348728884e+00 9.8559186981341461e-06 2.5530229154374363e-04 -3.9881765328334167e-03
9.0009000900090008e-02 6.1979663118659998e+00 -2.2597573413643872e-02 9.0980636356998420e-06 1.0941841323029422e+00 9.9549568648651829e-06 2.5532516209251220e-04 -4.4512395161675211e-03
1.0001000100010002e-01 6.1977403080399407e+00 -2.2598688662678255e-02 9.0980404026314256e-06 1.1051819709453796e+00 1.0054990223920893e-05 2.5535036463633133e-04 -4.9006960788488931e-03
1.1001100110011001e-01 6.1975142925571598e+00 -2.2599904044473089e-02 9.0980171672256759e-06 1.1162903508132236e+00 1.0156028775307080e-05 2.5537783140969553e-04 -5.3369454531821611e-03
1.2001200120012001e-01 6.1972882644309282e+00 -2.2601216634867822e-02 9.0979939292795932e-06 1.1275103829759225e+00 1.0258082619514653e-05 2.5540749668811298e-04 -5.7603752852363761e-03
1.3001300130013002e-01 6.1970622227032974e+00 -2.2602623596625952e-02 9.0979706885960727e-06 1.1388431896704807e+00 1.0361161958529292e-05 2.5543929672537614e-04 -6.1713620668213242e-03
1.4001400140014003e-01 6.1968361664442471e+00 -2.2604122176865034e-02 9.0979474449837122e-06 1.1502899044137056e+00 1.0465277096851231e-05 2.5547316969332079e-04 -6.5702715292974912e-03
1.5001500150015001e-01 6.1966100947508647e+00 -2.2605709704579226e-02 9.0979241982566523e-06 1.1618516721155829e+00 1.0570438442525316e-05 2.5550905562385373e-04 -6.9574589988356458e-03
1.6001600160016002e-01 6.1963840067465510e+00 -2.2607383588245124e-02 9.0979009482344090e-06 1.1735296491937914e+00 1.0676656508181388e-05 2.5554689635302750e-04 -7.3332697133859266e-03
1.7001700170017003e-01 6.1961579015802561e+00 -2.2609141313501661e-02 9.0978776947417141e-06 1.1853250036893694e+00 1.0783941912085155e-05 2.5558663546694380e-04 -7.6980391007363822e-03
1.8001800180018002e-01 6.1959317784257282e+00 -2.2610980440894879e-02 9.0978544376083665e-06 1.1972389153835423e+00 1.0892305379199589e-05 2.5562821824926538e-04 -8.0520930180855311e-03
1.9001900190019003e-01 6.1957056364807839e+00 -2.2612898603678346e-02 9.0978311766690764e-06 1.2092725759157255e+00 1.1001757742257009e-05 2.5567159163011904e-04 -8.3957479525638579e-03
2.0002000200020004e-01 6.1954794749666018e+00 -2.2614893505659969e-02 9.0978079117633172e-06 1.2214271889027140e+00 1.1112309942841938e-05 2.5571670413617072e-04 -8.7293111827401026e-03
2.1002100210021002e-01 6.1952532931270126e+00 -2.2616962919086027e-02 9.0977846427351894e-06 1.2337039700590677e+00 1.1223973032484821e-05 2.5576350584165616e-04 -9.0530809012863526e-03
2.2002200220022003e-01 6.1950270902278142e+00 -2.2619104682553171e-02 9.0977613694332670e-06 1.2461041473187098e+00 1.1336758173766739e-05 2.5581194832014940e-04 -9.3673462983968146e-03
2.3002300230023004e-01 6.1948008655560844e+00 -2.2621316698939197e-02 9.0977380917104679e-06 1.2586289609577446e+00 1.1450676641435240e-05 2.5586198459685269e-04 -9.6723876060456401e-03
2.4002400240024002e-01 6.1945746184194981e+00 -2.2623596933343367e-02 9.0977148094239061e-06 1.2712796637185113e+00 1.1565739823531344e-05 2.5591356910119171e-04 -9.9684761029912358e-03
2.5002500250025006e-01 6.1943483481456445e+00 -2.2625943411027021e-02 9.0976915224347529e-06 1.2840575209348848e+00 1.1681959222527887e-05 2.5596665761949851e-04 -1.0255874080570224e-02
2.6002600260026004e-01 6.1941220540813449e+00 -2.2628354215345328e-02 9.0976682306080980e-06 1.2969638106588344e+00 1.1799346456479294e-05 2.5602120724756833e-04 -1.0534837154899997e-02
2.7002700270027002e-01 6.1938957355923137e+00 -2.2630827486740720e-02 9.0976449338128799e-06 1.3099998237882569e+00 1.1917913260183001e-05 2.5607717636730965e-04 -1.0805619306332696e-02
2.8002800280028006e-01 6.1936693920632386e+00 -2.2633361422962302e-02 9.0976216319219032e-06 1.3231668641960919e+00 1.2037671486352636e-05 2.5613452465121905e-04 -1.1068464640247015e-02
