#f_hz Omega_gw
7.070207779353766687e-20 2.746589130888772608e-23
7.485310656303724970e-20 2.866887919289121919e-23
7.924784867707983060e-20 3.161108545389774189e-23
8.390061292454833467e-20 4.131449754482786249e-23
8.882654818553821415e-20 5.183146738413853649e-23
9.404169275441837699e-20 6.251653948468307695e-23
9.956302655872275102e-20 7.175006971878003528e-23
1.054085264438970580e-19 7.962769502303138711e-23
1.115972247038957669e-19 8.756889688423970420e-23
1.181492710482045074e-19 9.343171795488905596e-23
1.250859982070393263e-19 9.791734496718011764e-23
1.324299913883324295e-19 1.015322806434983395e-22
1.402051618126417380e-19 1.040265071631686502e-22
1.484368245654132888e-19 1.057355801384477540e-22
1.571517810200663195e-19 1.069749976776062795e-22
1.663784061002704146e-19 1.073347775462047037e-22
1.761467406655214746e-19 1.073129890749774460e-22
1.864885893208236034e-19 1.070341976634997138e-22
1.974376239689235819e-19 1.066255261405538358e-22
2.090294934422639095e-19 1.061808062362281901e-22
2.213019395715919231e-19 1.056818989958322387e-22
2.342949200691422319e-19 1.051628440047615986e-22
2.480507386264788006e-19 1.046297838221179044e-22
2.626141826505840028e-19 1.040869178384390151e-22
2.780326690866476258e-19 1.035417081765519003e-22
2.943563988023378565e-19 1.029864038930460694e-22
3.116385200362128177e-19 1.024283013247566921e-22
3.299353014424420040e-19 1.018685632013962720e-22
3.493063152952520539e-19 1.013080738245625756e-22
3.698146314495898604e-19 1.007475104863529087e-22
3.915270226895178093e-19 1.001884129284122732e-22
4.145141821329313358e-19 9.962893613605365797e-23
4.388509534004460392e-19 9.907066826159384056e-23
4.646165742978568579e-19 9.851384289943544383e-23
4.918949348055730905e-19 9.795864198319641039e-23
5.207748502150132114e-19 9.740551527429829388e-23
5.513503503012624937e-19 9.685389386217685993e-23
5.837209854735059121e-19 9.630424766733388156e-23
6.179921509000275122e-19 9.575664052223835369e-23
6.542754296630934124e-19 9.521112156353432667e-23
6.926889560609893981e-19 9.466782338030409779e-23
7.333578002400860584e-19 9.412656562926295534e-23
7.764143754092499811e-19 9.358748772252903301e-23
8.219988689624411290e-19 9.305060475053815465e-23
8.702596989131995559e-19 9.251592725980218471e-23
