#MPBH fPBH
1.198681425205680144e+21 0.000000000000000000e+00
1.076409511492113662e+21 0.000000000000000000e+00
9.666099866625346109e+20 0.000000000000000000e+00
8.680106003713876296e+20 0.000000000000000000e+00
7.794688786100280361e+20 0.000000000000000000e+00
6.999588858265306399e+20 0.000000000000000000e+00
6.285593373800862843e+20 0.000000000000000000e+00
5.644429245885811261e+20 0.000000000000000000e+00
5.068667286784076022e+20 0.000000000000000000e+00
4.551636125626226442e+20 0.000000000000000000e+00
4.087344907037745480e+20 0.000000000000000000e+00
3.670413874920376238e+20 0.000000000000000000e+00
3.296012037058965012e+20 0.000000000000000000e+00
2.959801188271515894e+20 0.000000000000000000e+00
2.657885643497350103e+20 0.000000000000000000e+00
2.386767098378927145e+20 0.000000000000000000e+00
2.143304094305682719e+20 0.000000000000000000e+00
1.924675618240066683e+20 0.000000000000000000e+00
1.728348415555938877e+20 0.000000000000000000e+00
1.552047637142209823e+20 0.000000000000000000e+00
1.393730480658839470e+20 0.000000000000000000e+00
1.251562520525606257e+20 0.000000000000000000e+00
1.123896452378614989e+20 0.000000000000000000e+00
1.009253005705831055e+20 0.000000000000000000e+00
9.063038034958721024e+19 0.000000000000000000e+00
8.138559702942261248e+19 0.000000000000000000e+00
7.308383103200494387e+19 0.000000000000000000e+00
6.562888954889233203e+19 0.000000000000000000e+00
5.893439195236669850e+19 0.000000000000000000e+00
5.292276890054125978e+19 0.000000000000000000e+00
4.752436353910032794e+19 0.000000000000000000e+00
4.267662438526470554e+19 0.000000000000000000e+00
3.832338054190900838e+19 0.000000000000000000e+00
3.441419084371332710e+19 0.000000000000000000e+00
3.090375939388694118e+19 0.000000000000000000e+00
2.775141071927076045e+19 0.000000000000000000e+00
2.492061846242550170e+19 0.000000000000000000e+00
2.237858214964659814e+19 0.000000000000000000e+00
2.009584713090374042e+19 0.000000000000000000e+00
1.804596328793915392e+19 0.000000000000000000e+00
1.620517855596375654e+19 0.000000000000000000e+00
1.455216370777942630e+19 0.000000000000000000e+00
1.306776521139159859e+19 0.000000000000000000e+00
1.173478329746709299e+19 0.000000000000000000e+00
1.053777266509736346e+19 0.000000000000000000e+00
9.462863516639588352e+18 0.000000000000000000e+00
8.497600847960714240e+18 0.000000000000000000e+00
7.630800131935686656e+18 0.000000000000000000e+00
6.852417723000454144e+18 0.000000000000000000e+00
6.153434481133438976e+18 0.000000000000000000e+00
5.525751266813048832e+18 0.000000000000000000e+00
4.962095096048191488e+18 0.000000000000000000e+00
4.455934868097375744e+18 0.000000000000000000e+00
4.001405689411054592e+18 0.000000000000000000e+00
3.593240916936416768e+18 0.000000000000000000e+00
3.226711133368344576e+18 0.000000000000000000e+00
2.897569347251052544e+18 0.000000000000000000e+00
2.602001782962347520e+18 0.000000000000000000e+00
2.336583690382551040e+18 0.000000000000000000e+00
2.098239662213460224e+18 0.000000000000000000e+00
1.884207999142911488e+18 0.000000000000000000e+00
1.692008709953056512e+18 0.000000000000000000e+00
1.519414775788699648e+18 0.000000000000000000e+00
1.364426345623878912e+18 0.000000000000000000e+00
1.225247563928806912e+18 0.000000000000000000e+00
