# k  Ps  Pt
4.573226247964919653e-05 2.999079350370321468e-09 1.668843661767676404e-11
4.841727462033457082e-05 2.991000432315056605e-09 1.668774095398578501e-11
5.125992799293650098e-05 2.982931801378934392e-09 1.668704347983054367e-11
5.426947795895751918e-05 2.974873433249873371e-09 1.668634404466828183e-11
5.745572327654476717e-05 2.966825359950964103e-09 1.668564281317357946e-11
6.082903800415160033e-05 2.958787553999377647e-09 1.668493961690409736e-11
6.440040527731095814e-05 2.950760041422443796e-09 1.668423458892971515e-11
6.818145306849744951e-05 2.942742798846764826e-09 1.668352758090914152e-11
7.218449204650436996e-05 2.934735843196435803e-09 1.668281867425403842e-11
7.642255565860576474e-05 2.926739166041233934e-09 1.668210780684692232e-11
8.090944256600215013e-05 2.918752773489153507e-09 1.668139499751462753e-11
8.565976157071954721e-05 2.910776690255957487e-09 1.668068037351777330e-11
9.068897918023397561e-05 2.902810868983745521e-09 1.667996364829534962e-11
9.601346996469165126e-05 2.894855349912806309e-09 1.667924503757954667e-11
1.016505698706767885e-04 2.886910127180440185e-09 1.667852449280968938e-11
1.076186326651166916e-04 2.878975172849605064e-09 1.667780183769600841e-11
1.139370896930928003e-04 2.871050540018032799e-09 1.667707736207286456e-11
1.206265131441290969e-04 2.863136192764641802e-09 1.667635084421779366e-11
1.277086830329389152e-04 2.855232126613690128e-09 1.667562224150520617e-11
1.352066581127192070e-04 2.847338365601630657e-09 1.667489167877483509e-11
1.431448509518705697e-04 2.839454903685270433e-09 1.667415910499460943e-11
1.515491074185913375e-04 2.831581743710331204e-09 1.667342452105152528e-11
1.604467908321337624e-04 2.823718870517166117e-09 1.667268782109746736e-11
1.698668710547115036e-04 2.815866326977912284e-09 1.667194924248406069e-11
1.798400188141316891e-04 2.808024065013722721e-09 1.667120848609624940e-11
1.903987055642547424e-04 2.800192108129769156e-09 1.667046567323946287e-11
2.015773092084170747e-04 2.792370470002262101e-09 1.666972086975113540e-11
2.134122260300400987e-04 2.784559121266588836e-09 1.666897388440159794e-11
2.259419891948590106e-04 2.776758091462892287e-09 1.666822487633076500e-11
2.392073942106014606e-04 2.768967370732144873e-09 1.666747377149845280e-11
2.532516317525988206e-04 2.761186950610913740e-09 1.666672050072363700e-11
2.681204282877951497e-04 2.753416856138561112e-09 1.666596519924756571e-11
2.838621949550103741e-04 2.745657079587484644e-09 1.666520780356985159e-11
3.005281851861946055e-04 2.737907593702020699e-09 1.666444813129928275e-11
3.181726615818712928e-04 2.730168432378934765e-09 1.666368637065128209e-11
3.368530725840964703e-04 2.722439585702726400e-09 1.666292244469542568e-11
3.566302395221620115e-04 2.714721066722235942e-09 1.666215641605277881e-11
3.775685546400426077e-04 2.707012861998053181e-09 1.666138818519881839e-11
3.997361907503411776e-04 2.699314980778556158e-09 1.666061779054546625e-11
4.232053231973437364e-04 2.691627412094561085e-09 1.665984514888440797e-11
4.480523648518689307e-04 2.683950178686549680e-09 1.665907038094109655e-11
4.743582149030310538e-04 2.676283277265604680e-09 1.665829345055646240e-11
5.022085222569533684e-04 2.668626678793497740e-09 1.665751415808880064e-11
5.316939644000266002e-04 2.660980421540349118e-09 1.665673272468061196e-11
5.629105426346698530e-04 2.653344491784445928e-09 1.665594904634451094e-11
5.959598946488285079e-04 2.645718891495210908e-09 1.665516311748350921e-11
6.309496254369291414e-04 2.638103619953180146e-09 1.665437491547611048e-11
6.679936576496992105e-04 2.630498684429047887e-09 1.665358446756257432e-11
7.072126025135884236e-04 2.622904084014234812e-09 1.665279174921713128e-11
7.487341525274240992e-04 2.615319822056064580e-09 1.665199676407275214e-11
7.926934972149195409e-04 2.607745883528398528e-09 1.665119939730561711e-11
8.392337632866333271e-04 2.600182294787115141e-09 1.665039979770175632e-11
8.885064806445472276e-04 2.592629031940976817e-09 1.664959779424561710e-11
9.406720757464683783e-04 2.585086131007739396e-09 1.664879359957187612e-11
9.959003939366500944e-04 2.577553554938317837e-09 1.664798695421302300e-11
1.054371252443225956e-03 2.570031335815777429e-09 1.664717804894409086e-11
1.116275025843011231e-03 2.562519448073074272e-09 1.664636669647581154e-11
1.181813265899821783e-03 2.555017902975354069e-09 1.664555295009973865e-11
1.251199357794489280e-03 2.547526714140171125e-09 1.664473688132466359e-11
1.324659214883144214e-03 2.540045885822841950e-09 1.664391849680622372e-11
1.402432014245840733e-03 2.532575390034505317e-09 1.664309759352080560e-11
1.484770975420384061e-03 2.525115261804584298e-09 1.664227438218574588e-11
1.571944184856828878e-03 2.517665469562823400e-09 1.664144863463450415e-11
1.664235468776982313e-03 2.510226045547886373e-09 1.664062054286303857e-11
1.761945317280843313e-03 2.502796958225869830e-09 1.663978987896751936e-11
1.865391862708766285e-03 2.495378243724601707e-09 1.663895686103449952e-11
1.974911915444785282e-03 2.487969893847256494e-09 1.663812141472668882e-11
2.090862060533562293e-03 2.480571894032979656e-09 1.663728342375751810e-11
2.213619818681416499e-03 2.473184258315952801e-09 1.663644295876628588e-11
2.343584875421527488e-03 2.465806989399438151e-09 1.663560001878926859e-11
2.481180382445337482e-03 2.458440066640411880e-09 1.663475444268261300e-11
2.626854335337140949e-03 2.451083534445593266e-09 1.663390650989958261e-11
2.781081032197606478e-03 2.443737351259076078e-09 1.663305591752672435e-11
2.944362617905361707e-03 2.436401544773443646e-09 1.663220283298449593e-11
3.117230719044546908e-03 2.429076106410706460e-09 1.663134717466387528e-11
3.300248174821561291e-03 2.421761039423327107e-09 1.663048894477327306e-11
3.494010869606529665e-03 2.414456340599380227e-09 1.662962809867130581e-11
3.699149673066230021e-03 2.407162021189375387e-09 1.662876469245620915e-11
3.916332494205128877e-03 2.399878072763003766e-09 1.662789864486658042e-11
4.146266456002464969e-03 2.392604509725290237e-09 1.662703003426588870e-11
4.389700197725538051e-03 2.385341329667204855e-09 1.662615882173752862e-11
4.647426312415512371e-03 2.378088521937728517e-09 1.662528491083834120e-11
4.920283927481658437e-03 2.370846087127435506e-09 1.662440828260552432e-11
5.209161436806416037e-03 2.363614055795756682e-09 1.662352912824520468e-11
5.514999393256506816e-03 2.356392380774834370e-09 1.662264709372574418e-11
5.838793571017892800e-03 2.349181117535602280e-09 1.662176254731968390e-11
6.181598207725180760e-03 2.341980228880036125e-09 1.662087520210041293e-11
6.544529436941463364e-03 2.334789730508899914e-09 1.661998514612764057e-11
6.928768922164393537e-03 2.327609618094108818e-09 1.661909232673806333e-11
7.335567704190392932e-03 2.320439915029055997e-09 1.661819688564184037e-11
7.766250274363585386e-03 2.313280582497689434e-09 1.661729852195807585e-11
8.222218886971506546e-03 2.306131671893621947e-09 1.661639758034329794e-11
8.704958124828257593e-03 2.298993144818589767e-09 1.661549376202025066e-11
9.216039732910125473e-03 2.291865009594975323e-09 1.661458710081233633e-11
9.757127735781481737e-03 2.284747286715573208e-09 1.661367772134309333e-11
1.032998385547267105e-02 2.277639957704699359e-09 1.661276546639947916e-11
1.093647324744994459e-02 2.270543023255720139e-09 1.661185031476763600e-11
1.157857057335308880e-02 2.263456506682099074e-09 1.661093241256110591e-11
1.225836643027290035e-02 2.256380390606211615e-09 1.661001160747062833e-11
1.297807415750154569e-02 2.249314676115168715e-09 1.660908788247445152e-11
1.374003704291778052e-02 2.242259379023321586e-09 1.660816132887974743e-11
1.454673595247025011e-02 2.235214492590517219e-09 1.660723187216546891e-11
1.540079740759959549e-02 2.228180007022072759e-09 1.660629941241812416e-11
1.630500213689855052e-02 2.221155948799243696e-09 1.660536412233455567e-11
1.726229412985329573e-02 2.214142291035131371e-09 1.660442577501678206e-11
1.827579022214399773e-02 2.207139060005732611e-09 1.660348454077947552e-11
1.934879024371325903e-02 2.200146245223726526e-09 1.660254031578358092e-11
2.048478776264341106e-02 2.193163845958650599e-09 1.660159306675534453e-11
2.168748145982350370e-02 2.186191875957155144e-09 1.660064287202271190e-11
2.296078717144069831e-02 2.179230319025028588e-09 1.659968958153546888e-11
2.430885063850498837e-02 2.172279192962943769e-09 1.659873330383404533e-11
2.573606100491835150e-02 2.165338486286725003e-09 1.659777392457275769e-11
2.724706510803647994e-02 2.158408220415497501e-09 1.659681158015935322e-11
2.884678260825149915e-02 2.151488380160620486e-09 1.659584612748080997e-11
3.054042200685620420e-02 2.144578967679096031e-09 1.659487755536981164e-11
3.233349760434173908e-02 2.137679984707381798e-09 1.659390584792685148e-11
3.423184745434337123e-02 2.130791442515974104e-09 1.659293106624469779e-11
3.624165237169031661e-02 2.123913324974327814e-09 1.659195305563857918e-11
3.836945605644761365e-02 2.117045654212170049e-09 1.659097196142626086e-11
4.062218639947184212e-02 2.110188418040911768e-09 1.658998765979294475e-11
4.300717803884897966e-02 2.103341620468883274e-09 1.658900015172489188e-11
4.553219624065587418e-02 2.096505277369897244e-09 1.658800953502336576e-11
4.820546218179821291e-02 2.089679361933605207e-09 1.658701556879026912e-11
5.103567971724318891e-02 2.082863909892377833e-09 1.658601850713861391e-11
5.403206371879799158e-02 2.076058898690401477e-09 1.658501814087526655e-11
5.720437007770194648e-02 2.069264318554634806e-09 1.658401436225614270e-11
6.056292746871743543e-02 2.062480207771684618e-09 1.658300744751703824e-11
6.411867097913993840e-02 2.055706550792397941e-09 1.658199724225035835e-11
6.788317771221943908e-02 2.048943336406469906e-09 1.658098362670271329e-11
7.186870448091402241e-02 2.042190589097461888e-09 1.657996676803133316e-11
7.608822771470222235e-02 2.035448297724383445e-09 1.657894654430592149e-11
8.055548570938633746e-02 2.028716459404239655e-09 1.657792290286343651e-11
8.528502335744726770e-02 2.021995078664520055e-09 1.657689584793573746e-11
9.029223950458799275e-02 2.015284176680658311e-09 1.657586552301572576e-11
9.559343708665317407e-02 2.008583719101875966e-09 1.657483161411583522e-11
1.012058762101651632e-01 2.001893731820644661e-09 1.657379430198019956e-11
1.071478303493008100e-01 1.995214220904020274e-09 1.657275360520903147e-11
1.134386458422799171e-01 1.988545178153209844e-09 1.657170942561181431e-11
1.200988048808790676e-01 1.981886603445423373e-09 1.657066172828703216e-11
1.271499921981576742e-01 1.975238503507049169e-09 1.656961053733097972e-11
1.346151656715238731e-01 1.968600874146498785e-09 1.656855578465483416e-11
1.425186310710161997e-01 1.961973724572460892e-09 1.656749751499945710e-11
