# k_modes P_scalar P_tensor
4.5730822523274254e-05 3.0274748430711307e-09 1.6690864350461530e-11
4.8415747232371102e-05 3.0193601822713298e-09 1.6690176601133675e-11
5.1258307870492727e-05 3.0112559273530932e-09 1.6689487748605686e-11
5.4267759477839966e-05 3.0031621198403162e-09 1.6688798042456522e-11
5.7453900471810107e-05 2.9950772985168469e-09 1.6688099293912436e-11
6.0827104549481152e-05 2.9870042543586420e-09 1.6687407048536931e-11
6.4398354463138423e-05 2.9789409037757258e-09 1.6686709707729599e-11
6.8179277778813879e-05 2.9708868357228061e-09 1.6686004918708968e-11
7.2182184734260625e-05 2.9628427150543977e-09 1.6685296285953880e-11
7.6420108319627468e-05 2.9548117434802685e-09 1.6684601938141131e-11
8.0906846711328330e-05 2.9467884870996992e-09 1.6683891200505981e-11
8.5657008197267053e-05 2.9387759498475907e-09 1.6683181008208367e-11
9.0686058739690729e-05 2.9307743876806225e-09 1.6682472853071863e-11
9.6010372330527491e-05 2.9227829534966668e-09 1.6681761795643182e-11
1.0164728430316097e-04 2.9148012896927744e-09 1.6681045895696813e-11
1.0761514777422048e-04 2.9068302760554668e-09 1.6680330126108651e-11
1.1393339339915027e-04 2.8988700810763451e-09 1.6679615447553142e-11
1.2062259263611894e-04 2.8909189715131581e-09 1.6678891884705625e-11
1.2770452472424642e-04 2.8829801175439349e-09 1.6678177675665166e-11
1.3520224759422324e-04 2.8750486972038197e-09 1.6677444927386392e-11
1.4314017294219655e-04 2.8671300020745750e-09 1.6676724290106303e-11
1.5154414571135700e-04 2.8592206538013500e-09 1.6675996119904017e-11
1.6044152824000744e-04 2.8513220947184074e-09 1.6675268912359578e-11
1.6986128935009084e-04 2.8434324676126368e-09 1.6674531682725368e-11
1.7983409866623656e-04 2.8355551554604849e-09 1.6673804228719198e-11
1.9039242647242026e-04 2.8276856139418509e-09 1.6673059876842311e-11
2.0157064943135676e-04 2.8198289822051297e-09 1.6672328845999355e-11
2.1340516251083436e-04 2.8119814721143429e-09 1.6671588812626478e-11
2.2593449748141284e-04 2.8041445304806233e-09 1.6670848237472255e-11
2.3919944837129688e-04 2.7963175346482141e-09 1.6670103602106994e-11
2.5324320428685192e-04 2.7885007666863355e-09 1.6669356292981310e-11
2.6811149003121159e-04 2.7806939812844901e-09 1.6668605011316288e-11
2.8385271497881060e-04 2.7728983537305326e-09 1.6667856636630181e-11
