# N  phi  dphidN  H  a  aH  eps_H  eta_H
0.000000000000000000e+00 5.599999999999999645e+00 -1.704980361221831303e-02 6.432989718773260868e-06 1.000000000000000000e+00 6.432989718773260868e-06 1.453479016076063258e-04 1.453479016071993434e-04
1.000100010001000149e-02 5.599829484793341194e+00 -1.704983922842739225e-02 6.432980367616320341e-06 1.010051177235855357e+00 6.497639393446009767e-06 1.453485088576107840e-04 -2.703307422087496419e-04
2.000200020002000298e-02 5.599658968879552390e+00 -1.704994467684568457e-02 6.432971016395413579e-06 1.020203380635537282e+00 6.562938778457029482e-06 1.453503067417492519e-04 -6.737780022988217087e-04
3.000300030003000273e-02 5.599488451570559633e+00 -1.705011790400524224e-02 6.432961665035073336e-06 1.030457625630923912e+00 6.628894403126796907e-06 1.453532602702400684e-04 -1.065352335094684518e-03
4.000400040004000596e-02 5.599317932198522918e+00 -1.705035691741374829e-02 6.432952313462044814e-06 1.040814937860179201e+00 6.695512862393494196e-06 1.453573355055994150e-04 -1.445401876126426203e-03
5.000500050005000918e-02 5.599147410115229206e+00 -1.705065978374438809e-02 6.432942961605229762e-06 1.051276353270337527e+00 6.762800817472430688e-06 1.453624995304991134e-04 -1.814264726396051710e-03
6.000600060006000547e-02 5.598976884691527545e+00 -1.705102462711968053e-02 6.432933609395612781e-06 1.061842918220921472e+00 6.830764996522082700e-06 1.453687204173209266e-04 -2.172269224324145306e-03
7.000700070007001563e-02 5.598806355316718886e+00 -1.705144962728610131e-02 6.432924256766205425e-06 1.072515689588597887e+00 6.899412195316825732e-06 1.453759671959376485e-04 -2.519734239059745560e-03
8.000800080008001192e-02 5.598635821398026735e+00 -1.705193301800262198e-02 6.432914903651972504e-06 1.083295734872888438e+00 6.968749277926420058e-06 1.453842098252240114e-04 -2.856969427918108068e-03
9.000900090009000820e-02 5.598465282360112205e+00 -1.705247308559436001e-02 6.432905549989793121e-06 1.094184132302942203e+00 7.038783177402363220e-06 1.453934191674600279e-04 -3.184275466385906323e-03
1.000100010001000184e-01 5.598294737644535779e+00 -1.705306816731887512e-02 6.432896195718392915e-06 1.105181970945379621e+00 7.109520896471088239e-06 1.454035669596121557e-04 -3.501944313008026072e-03
1.100110011001100146e-01 5.598124186709235062e+00 -1.705371664980119203e-02 6.432886840778287302e-06 1.116290350813223586e+00 7.180969508234164245e-06 1.454146257858531909e-04 -3.810259463704617541e-03
1.200120012001200109e-01 5.597953629028028288e+00 -1.705441696753638367e-02 6.432877485111729811e-06 1.127510382975922543e+00 7.253136156875515630e-06 1.454265690512964403e-04 -4.109496195639426343e-03
1.300130013001300211e-01 5.597783064090142702e+00 -1.705516760145470850e-02 6.432868128662655331e-06 1.138843189670480704e+00 7.326028058375754574e-06 1.454393709568551870e-04 -4.399921801436634285e-03
1.400140014001400313e-01 5.597612491399749146e+00 -1.705596707754430605e-02 6.432858771376636067e-06 1.150289904413705599e+00 7.399652501233698113e-06 1.454530064751376238e-04 -4.681795814541036931e-03
1.500150015001500137e-01 5.597441910475529525e+00 -1.705681396552643711e-02 6.432849413200823090e-06 1.161851672115582934e+00 7.474016847195123096e-06 1.454674513272888640e-04 -4.955370226494281403e-03
