# f_hz  Omega_gw
7.059565656927617493e-20 2.430144399487469623e-23
7.466942001357530166e-20 2.537709237458053745e-23
7.897826234808647727e-20 2.795028908815796148e-23
8.353574893696998362e-20 3.476786420185398783e-23
8.835622794161856802e-20 4.390561865334480195e-23
9.345487549242785909e-20 5.288113537993342987e-23
9.884774346722999101e-20 6.281567828031337293e-23
1.045518100268079599e-19 6.973655803952449711e-23
1.105850330665929047e-19 7.579063914184625495e-23
1.169664067528227185e-19 8.084116619535455040e-23
1.237160213211507896e-19 8.529150133213104501e-23
1.308551263259699900e-19 8.874110630137199033e-23
1.384061975395760474e-19 9.123648465695070431e-23
1.463930077117836663e-19 9.296572808099364522e-23
1.548407014127697752e-19 9.413117955952684346e-23
1.637758741947662370e-19 9.476192854100746183e-23
1.732266563218230864e-19 9.500128036681275113e-23
1.832228013312475283e-19 9.499203947891404141e-23
1.937957797055310744e-19 9.485444434261853514e-23
2.049788779496716582e-19 9.462361424092007781e-23
2.168073033858085198e-19 9.436192503753351047e-23
2.293182949950935259e-19 9.407934817353560322e-23
2.425512406557556450e-19 9.378199246707639254e-23
2.565478011464590548e-19 9.347395993696313656e-23
2.713520413053445896e-19 9.315813675608448272e-23
2.870105687576798056e-19 9.283661417766305053e-23
3.035726806488717990e-19 9.251093861918067871e-23
3.210905188447911098e-19 9.218227017838398874e-23
3.396192340880203869e-19 9.185148863610165209e-23
3.592171596268380652e-19 9.151926704170008866e-23
3.799459948635606082e-19 9.118713194922060350e-23
4.018709996004189917e-19 9.085325804969070931e-23
4.250611994945099645e-19 9.051921965735031046e-23
4.495896033686412270e-19 9.018525011647244257e-23
4.755334330622256540e-19 8.985153239662139829e-23
5.029743665458589834e-19 8.951820970289800296e-23
5.319987950649609884e-19 8.918539467556684281e-23
5.626980951220410773e-19 8.885317571250636269e-23
5.951689161538622143e-19 8.852162248034898467e-23
6.295134848091799523e-19 8.819078978840459091e-23
6.658399267850030563e-19 8.786072050237814281e-23
7.042626072346101595e-19 8.753144834276527411e-23
7.449024908190028929e-19 8.720306218623488089e-23
7.878875225353369009e-19 8.687544526157663112e-23
8.333530305212867463e-19 8.654869115677566833e-23
8.814421521034634542e-19 8.622281177318899978e-23
9.323062844312038063e-19 8.589781628964553823e-23
9.861055611144528480e-19 8.557371133907856326e-23
1.043009356366304621e-18 8.525050211415445952e-23
1.103196818237381462e-18 8.492819218705659635e-23
1.166857432620821736e-18 8.460678448996565956e-23
1.234191619803495878e-18 8.428628070678779210e-23
1.305411365441556372e-18 8.396668165951490184e-23
1.380740887946808265e-18 8.364799269444203329e-23
1.460417344384990758e-18 8.333020237526842477e-23
